# CLCA Protocol v3.4 — F4 Construction Table
# Language: Korean (ko)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|------------------|---------|-----------------|-------------|-------------|------------------|
| **1. ATTRIBUTION** | 이것은 진실이다 | igeoseun jinsilida | This is the truth | Standard predicative construction used in formal and informal contexts. Copula 이다 with truth-domain nouns (진실, 사실) is completely natural | [CORE] |
| **1. ATTRIBUTION** | 그 사람은 정직하다 | geu sarameun jeongjikada | That person is honest | 하다-type adjectives (정직하다, 확실하다) equally productive | [CORE] |
| **2. NEGATIVE ATTRIBUTION** | 이것은 거짓이 아니다 | igeoseun geojisi anida | This is not false | Copula negation (아니다) preferred for nominal predicates. Double negation (거짓이 아니다) common in careful or hedged assertions | [CORE] |
| **2. NEGATIVE ATTRIBUTION** | 그는 정직하지 않다 | geuneun jeongjikaji anta | He is not honest | Verbal negation (안/지 않다) for adjectival verbs | [CORE] |
| **3. ADNOMINAL MODIFICATION** | 진실한 마음 | jinsilhan maeum | truthful heart, sincere heart | Highly productive with Sino-Korean stems using -한 ending (진실한, 정직한). Native Korean adjectives use -(으)ㄴ | [CORE] |
| **3. ADNOMINAL MODIFICATION** | 거짓된 말 | geojitdoen mal | false words, lying speech | The -된 form (거짓된) carries stative/resultative nuance | [CORE] |
| **4. BECOME / INCHOATIVE** | 거짓말이 진실이 되다 | geojinmari jinsiri doeda | A lie becomes truth | Standard inchoative construction. Nominal predicates use 되다. Common in proverbial and philosophical contexts discussing transformation of truth-states | [CORE] |
| **4. BECOME / INCHOATIVE** | 확실해지다 | hwaksilhaejida | to become certain | Adjectival verbs use -아/어지다 suffix | [CORE] |
| **5. CAUSATIVE** | 진실을 믿게 하다 | jinsireul mitge hada | to make (someone) believe the truth | Truth-domain terms show limited causative productivity. 믿게 하다 "make believe" is natural, but direct causatives of truth-terms (*진실하게 하다) are not attested | [MARGINAL] |
| **5. CAUSATIVE** | 진정시키다 | jinjeongsikida | to calm down, to pacify | Lexical causative -시키다 appears only in specialized items. Note: This has specialized meaning beyond truth-domain | [CORE] |
| **6. ABSTRACT NOMINALIZATION** | 진실성 | jinsilseong | truthfulness, veracity | Extremely productive with Sino-Korean stems. The -성 suffix systematically creates abstract quality nouns (진실성, 정직성, 확실성, 신뢰성). Not applicable to native Korean roots; no *거짓성 attested | [CORE] |
| **6. ABSTRACT NOMINALIZATION** | 신뢰성 | sinroeseong | reliability, trustworthiness | Extremely productive with Sino-Korean stems | [CORE] |
| **7. AGENTIVE NOMINALIZATION** | 거짓말쟁이 | geojinmaljaengi | liar, habitual liar | Very limited productivity. Only 거짓말쟁이 "liar" is common and natural. No corresponding positive agentive (*진실쟁이) exists. Shows asymmetry: marking deviant behavior rather than expected truthfulness | [CORE] |
