# CLCA Protocol v3.2 — F5 Opposition Table
# Language: Swahili (sw)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|--------|--------|-----------------|-------------|---------------------|---------------|------------------|
| kweli (#1) | uongo (#4) | kweli vs. uongo | "true, truth" vs. "lie, falsehood, untruth" | Core lexical opposition between truth and deliberate falsehood. Both terms function as nouns and in predicative constructions, representing the fundamental semantic opposition in the truth domain. | lexical | [CORE] |
| ukweli (#2) | uongo (#4) | ukweli vs. uongo | "truth, reality, fact" vs. "lie, falsehood, untruth" | Abstract nominal opposition parallel to kweli/uongo. Both use u- prefix nominalization pattern, representing truth and falsehood as abstract concepts or states of affairs. | lexical | [CORE] |
| sahihi (#3) | si sahihi (P2b) | sahihi vs. si sahihi | "correct, accurate" vs. "not correct, wrong" | Morphological negation using negative copula si. Represents opposition between correctness and incorrectness in evaluative contexts. | morphological | [CORE] |
| ni kweli (P2b) | si kweli (P2b) | ni kweli vs. si kweli | "it's true" vs. "it's not true" | Constructional opposition using affirmative copula ni vs. negative copula si. Standard pattern for affirming or denying truth of propositions. | morphological | [CORE] |
| halisi (#8) | -a uongo (#13) | halisi vs. -a uongo | "genuine, authentic, real" vs. "false, fake, counterfeit" | Lexical opposition in authenticity domain. Halisi marks genuine items while -a uongo marks counterfeits or fakes, particularly in commercial and material contexts. | lexical | [CORE] |
| kweli (#1) | batili (#12) | kweli vs. batili | "true, truth" vs. "false, invalid, null" | Lexical opposition with batili specialized for formal/legal invalidity. Batili emphasizes official nullity rather than simple untruth. | lexical | [CORE] |
| -adilifu (#17) | -bovu (#19) | -adilifu vs. -bovu | "just, fair, honest, upright" vs. "corrupt, rotten, bad" | Lexical opposition in moral character domain. Represents contrast between moral uprightness and corruption in both character and conduct. | lexical | [CORE] |
| uadilifu (#18, P2a) | ubovu (P2a) | uadilifu vs. ubovu | "justice, fairness, honesty, integrity" vs. "rottenness, corruption, decay" | Abstract nominal opposition parallel to -adilifu/-bovu. Both use u- prefix nominalization, representing moral qualities as abstract concepts. | lexical | [CORE] |
| -nyofu (#20) | -bovu (#19) | -nyofu vs. -bovu | "straight, honest, upright" vs. "corrupt, rotten, bad" | Lexical opposition emphasizing straightness/directness vs. corruption. -Nyofu carries connotations of physical straightness extended to moral uprightness. | lexical | [CORE] |
| kusema kweli (P1b, P2b) | kusema uongo (P2b) | kusema kweli vs. kusema uongo | "to tell the truth, to speak truthfully" vs. "to tell lies, to lie" | Constructional opposition using same verb (kusema "to speak") with contrasting objects. Represents fundamental behavioral opposition in speech acts. | constructional | [CORE] |
| -a kweli (#5, P1b) | -a uongo (#13, P2b) | -a kweli vs. -a uongo | "true, genuine, real" vs. "false, fake, counterfeit" | Constructional opposition using associative marker with contrasting nouns. Highly productive pattern for marking authenticity vs. falsity across noun classes. | constructional | [CORE] |
| thibitisha (#21, P2a) | batilisha (P2a) | thibitisha vs. batilisha | "to confirm, verify, validate" vs. "to invalidate, nullify, cancel" | Lexical opposition in verification domain. Both use causative -ish- derivation, representing opposite actions of establishing vs. nullifying validity. | lexical | [CORE] |
| kubali ukweli (P1b, P2b) | pinga ukweli (P1b, P2b) | kubali ukweli vs. pinga ukweli | "to accept the truth" vs. "to oppose the truth, to deny the truth" | Constructional opposition using contrasting verbs with same object (ukweli). Represents opposite epistemic stances toward truth claims. | constructional | [CORE] |
| ficha ukweli (P1b, P2b) | gundua ukweli (P1b, P2b) | ficha ukweli vs. gundua ukweli | "to hide the truth, to conceal the truth" vs. "to discover the truth, to uncover the truth" | Constructional opposition using contrasting verbs with same object. Represents opposite actions of concealment vs. revelation of truth. | constructional | [CORE] |
| linda haki (P1b, P2b) | vunja haki (P1b, P2b) | linda haki vs. vunja haki | "to protect rights, to defend justice" vs. "to violate rights, to commit injustice" | Constructional opposition using contrasting verbs with same object (haki). Represents opposite actions regarding rights and justice. | constructional | [CORE] |
| mwenye kweli (P1b, P2b) | mwenye uongo (P2b) | mwenye kweli vs. mwenye uongo | "truthful person, one who has truth" vs. "liar, one who has lies" | Constructional opposition using possessive -enye with contrasting nouns. Identifies persons characterized by truthfulness vs. dishonesty. | constructional | [CORE] |
| kwa haki (P1b, P2b) | bila haki (P2b) | kwa haki vs. bila haki | "justly, rightly, by rights" vs. "unjustly, wrongly, without justification" | Constructional opposition using prepositional phrases with contrasting prepositions (kwa "with/by" vs. bila "without"). Marks presence vs. absence of justification. | constructional | [CORE] |
| ukweli mkubwa (P1b, P2b) | ukweli mdogo (P1b, P2b) | ukweli mkubwa vs. ukweli mdogo | "great truth, important truth" vs. "small truth, minor truth" | Constructional opposition using scalar adjectives (mkubwa "big" vs. mdogo "small") modifying ukweli. Represents gradation in significance or importance of truths. | constructional | [CORE] |
| ukweli ulio wazi (P1b, P2b) | ukweli wa siri (P1b) | ukweli ulio wazi vs. ukweli wa siri | "obvious truth, clear truth" vs. "secret truth, hidden truth" | Constructional opposition contrasting manifest vs. concealed truth. One uses relative clause (ulio wazi "which is open"), the other associative construction (wa siri "of secret"). | constructional | [CORE] |
| ni kweli kwamba (P2b) | si kweli kwamba (P2b) | ni kweli kwamba vs. si kweli kwamba | "it's true that..." vs. "it's not true that..." | Constructional opposition using complementizer constructions with affirmative vs. negative copula. Standard pattern for affirming or denying propositional content. | morphological | [CORE] |
| kweli kabisa (P2b) | si kweli kabisa (P2b) | kweli kabisa vs. si kweli kabisa | "absolutely true, completely true" vs. "not true at all, completely false" | Constructional opposition with intensification. Both use intensifier kabisa but with affirmative vs. negative copula, creating maximal contrast. | morphological | [CORE] |
| ukweli usio na shaka (P1b, P2b) | (no attested positive form) | ukweli usio na shaka | "undoubted truth, certain truth" vs. (implied: "doubtful truth") | Negative relative construction marking absence of doubt. While positive counterpart not attested in data, the construction implies contrast with doubtful or uncertain truth. | constructional | [CORE] for attested form; [UNCERTAIN] for implied contrast |
| haki ya kisheria (P1b) | haki ya kimila (P1b) | haki ya kisheria vs. haki ya kimila | "legal right, lawful right" vs. "customary right, traditional right" | Constructional opposition distinguishing types of normative systems. Both use associative construction with contrasting modifiers marking source of rights (statutory law vs. custom). | constructional | [CORE] |
| toa haki (P1b, P2b) | kosa haki (P1b, P2b) | toa haki vs. kosa haki | "to give rights, to render justice" vs. "to wrong someone, to commit injustice" | Constructional opposition using contrasting verbs with same object. Toa (give) vs. kosa (err, wrong) represent opposite actions regarding justice. | constructional | [CORE] |
| ingawa ni kweli (P2b) | (contrasting main clause) | ingawa ni kweli | "although it's true" vs. (contrasting assertion) | Concessive construction acknowledging truth while introducing contrasting information. The opposition is structural: concessive clause vs. main clause assertion. | constructional | [CORE] |
| lazima ni kweli (P2b) | inawezekana ni kweli (P2b) | lazima ni kweli vs. inawezekana ni kweli | "it must be true" vs. "it's possible it's true, it may be true" | Constructional opposition using different modal auxiliaries. Lazima (necessity) vs. inawezekana (possibility) represent opposite ends of epistemic modality scale. | constructional | [CORE] |
| mdanganyifu (#23, P2a) | mtu wa kweli (P1b, P2b) | mdanganyifu vs. mtu wa kweli | "deceiver, liar, fraud" vs. "truthful person, person of integrity" | Lexical opposition in character evaluation. Mdanganyifu uses agentive derivation while mtu wa kweli uses periphrastic construction, both identifying persons by truth-related character. | lexical | [CORE] |
| -danganyifu (#23) | -adilifu (#17) | -danganyifu vs. -adilifu | "deceptive, deceitful, fraudulent" vs. "just, fair, honest, upright" | Lexical opposition in character adjectives. Both use -ifu adjectival suffix but represent opposite moral qualities regarding truthfulness and honesty. | lexical | [CORE] |
