# F2b Constructions Table

| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| सत्य (satya) | सत्यं वद | satyaṃ vada | "speak truth" / "tell the truth" | Common imperative construction from Upaniṣadic injunction. Used as moral exhortation to truthfulness, appears in educational and ethical contexts. | [CORE] |
| सत्य (satya) | सत्यं ब्रूयात् | satyaṃ brūyāt | "one should speak truth" | Optative construction expressing moral obligation. Common in dharmaśāstra literature as prescription for truthful speech. | [CORE] |
| सत्य (satya) | सत्यमेव जयते | satyam eva jayate | "truth alone conquers/prevails" | Famous quotation from Muṇḍaka Upaniṣad (3.1.6), adopted as national motto of India. Used to express ultimate triumph of truth over falsehood. | [CORE] |
| सत्य (satya) | सत्ये स्थितः | satye sthitaḥ | "established in truth" / "standing firm in truth" | Locative construction describing one who is firmly committed to truth. Used in moral and spiritual characterization. | [CORE] |
| सत्य (satya) | सत्यात् न चलेत् | satyāt na calet | "one should not deviate from truth" | Ablative construction expressing prohibition against departing from truth. Used in moral instruction and dharmaśāstra. | [CORE] |
| सत्य (satya) | सत्यस्य वचनम् | satyasya vacanam | "utterance of truth" / "truthful statement" | Genitive tatpuruṣa construction denoting the act of speaking truth. Used in formal and legal contexts. | [CORE] |
| सत्य (satya) | सत्यं प्रतिज्ञाय | satyaṃ pratijñāya | "having promised truth" / "having vowed truthfulness" | Absolutive construction describing one who has made a vow of truthfulness. Used in narrative and ritual contexts. | [CORE] |
| सत्य (satya) | सत्यं न हन्ति | satyaṃ na hanti | "does not destroy/violate truth" | Negative construction describing one who does not violate truth. Used in moral characterization and legal contexts. | [CORE] |
| असत्य (asatya) | असत्यं वदति | asatyaṃ vadati | "speaks falsely" / "tells lies" | Simple verbal construction describing act of speaking falsely. Used in moral condemnation and legal contexts. | [CORE] |
| असत्य (asatya) | असत्यं न वक्तव्यम् | asatyaṃ na vaktavyam | "falsehood should not be spoken" | Gerundive construction expressing prohibition against lying. Common in ethical instruction. | [CORE] |
| ऋत (ṛta) | ऋतस्य पथा | ṛtasya pathā | "by the path of ṛta" / "according to cosmic order" | Vedic instrumental construction describing action in accordance with cosmic order. Used in hymnic and ritual contexts. | [MARGINAL] |
| ऋत (ṛta) | ऋतं च सत्यं च | ṛtaṃ ca satyaṃ ca | "both cosmic order and truth" | Dvandva-like coordination appearing in Vedic texts, particularly Taittirīya Upaniṣad. Represents pairing of cosmic and moral truth. | [MARGINAL] |
| तथ्य (tathya) | तथ्यं कथयति | tathyaṃ kathayati | "tells the facts" / "narrates truthfully" | Verbal construction emphasizing factual narration. Used in contexts requiring accurate reporting or testimony. | [CORE] |
| मिथ्या (mithyā) | मिथ्या भवति | mithyā bhavati | "is false" / "becomes illusory" | Copular construction with mithyā as predicate adjective. Common in philosophical discourse characterizing something as false or illusory. | [CORE] |
| मिथ्या (mithyā) | मिथ्या प्रतीयते | mithyā pratīyate | "appears falsely" / "is cognized as false" | Passive construction describing false appearance or cognition. Used in epistemological discussions of error and illusion. | [CORE] |
| मिथ्या (mithyā) | मिथ्येव | mithyaiva | "merely false" / "only illusory" | Emphatic particle construction (mithyā + eva) stressing illusory nature. Common in Vedāntic discourse dismissing empirical reality. | [CORE] |
| मिथ्या (mithyā) | मिथ्या न भवति | mithyā na bhavati | "is not false" / "is not illusory" | Negative copular construction asserting reality or truth of something. Used in philosophical arguments defending reality of phenomena. | [CORE] |
| प्रमाण (pramāṇa) | प्रमाणेन ज्ञायते | pramāṇena jñāyate | "is known through valid means" / "is cognized by pramāṇa" | Instrumental construction describing knowledge acquisition through valid epistemic means. Standard formulation in epistemological discourse. | [CORE] |
| प्रमाण (pramāṇa) | प्रमाणं भवति | pramāṇaṃ bhavati | "becomes/serves as valid means of knowledge" | Copular construction asserting something's status as valid epistemic instrument. Used in philosophical debates about validity. | [CORE] |
| प्रमाण (pramāṇa) | प्रमाणाभावात् | pramāṇābhāvāt | "due to absence of valid means" / "because of lack of proof" | Ablative compound construction expressing causal reasoning from lack of epistemic warrant. Common in philosophical argumentation. | [CORE] |
| प्रमाण (pramāṇa) | प्रमाणतः | pramāṇataḥ | "from/according to valid means" / "on the basis of proof" | Ablative suffix construction indicating epistemic grounding. Used to cite authoritative basis for claims. | [CORE] |
| प्रमाण (pramāṇa) | किं प्रमाणम् | kiṃ pramāṇam | "what is the proof?" / "what is the valid means?" | Interrogative construction challenging epistemic warrant. Standard question in philosophical debate demanding justification. | [CORE] |
| प्रमा (pramā) | प्रमा जायते | pramā jāyate | "valid knowledge arises" / "correct cognition is produced" | Verbal construction describing genesis of valid cognition. Used in epistemological analysis of knowledge production. | [CORE] |
| प्रमा (pramā) | प्रमा न भवति | pramā na bhavati | "valid knowledge does not arise" / "there is no correct cognition" | Negative construction denying validity of cognition. Used in epistemological arguments about error and invalidity. | [CORE] |
