| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| ATTRIBUTION | **allinmi** | *allinmi* | ‘it is right / correct’ | Common for simple predicative evaluation, especially in direct assertion. The enclitic **-mi** strengthens/asserts the judgment; alternate attested construction: **pantasqa**. | [CORE] |
| ATTRIBUTION | **pantasqa** | *pantasqa* | ‘it is mistaken / wrong’ | Used for predicative evaluation without a copula, but the dataset gives less support for its frequency than for **allinmi**. Alternate attested construction: **allinmi**. | [MARGINAL] |
| NEGATIVE ATTRIBUTION | **mana allin** | *mana allin* | ‘not right; wrong; improper’ | A basic negative evaluative expression, suitable for rejecting correctness or propriety. It is the clearest established negative pattern in the data; alternate attested construction: **mana chiqaq**. | [CORE] |
| NEGATIVE ATTRIBUTION | **mana chiqaq** | *mana chiqaq* | ‘not true; not real’ | Structurally possible and noted as an extension, but less directly supported by the supplied material. Its use should therefore be treated cautiously relative to **mana allin**. | [UNCERTAIN] |
| ADNOMINAL MODIFICATION | **llulla runa** | *llulla runa* | ‘liar; deceitful person’ | A natural noun phrase for characterizing a person as deceitful. It is used for person-description; alternate attested construction: **llulla simi**. | [CORE] |
| ADNOMINAL MODIFICATION | **llulla simi** | *llulla simi* | ‘false speech; lie’ | A natural noun phrase for false or deceptive speech content. It is specific to speech/content reference; alternate attested construction: **llulla runa**. | [CORE] |
| BECOME / INCHOATIVE | (no common expression identified) | (no common expression identified) | (no common expression identified) | No clear common inchoative construction is attested in the supplied material. No alternate construction is identified in P4a. | [UNCERTAIN] |
| CAUSATIVE | **pantachiy** | *pantachiy* | ‘to mislead; cause to err’ | Clearly attested for causing error or misleading someone. It is the most compact causative form in this semantic area; alternate attested construction: **pantayman churay**. | [CORE] |
| CAUSATIVE | **pantayman churay** | *pantayman churay* | ‘to lead into error; misdirect’ | An attested periphrastic way to express causing error, likely more explicit than the derived causative. It appears restricted to the error domain in the supplied data; alternate attested construction: **pantachiy**. | [MARGINAL] |
| ABSTRACT NOMINALIZATION | **chiqaq kay** | *chiqaq kay* | ‘truth; reality; true nature’ | This is the clearest attested abstract expression for truth/reality in the dataset. It is suited to abstract or elevated reference; alternate attested construction: **hucha**. | [CORE] |
| ABSTRACT NOMINALIZATION | **hucha** | *hucha* | ‘fault; guilt; sin’ | This is an abstract noun in meaning, but it is lexical rather than a transparent productive nominalization in the supplied material. It belongs specifically to the fault/guilt domain, not general truth. | [MARGINAL] |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | **llullaq** | *llullaq* | ‘liar; one who lies’ | A straightforward person-denoting form for someone characterized by lying. It is the clearest agentive expression in this domain; alternate attested construction: **llulla runa**. | [CORE] |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | **llulla runa** | *llulla runa* | ‘liar; deceitful person’ | A natural descriptive alternative for a deceitful person, using a modifier plus noun phrase rather than a derived agentive. It overlaps semantically with **llullaq**; alternate attested construction: **llullaq**. | [CORE] |
| ADVERBIAL TRUTH-ASSERTION | **chiqap** | *chiqap* | ‘truly; really; in truth’ | Used adverbially to reinforce the truth of the whole proposition. It is the core adverbial truth-asserting form in the supplied material; alternate attested construction: **chiqaqta**. | [CORE] |
| ADVERBIAL TRUTH-ASSERTION | **chiqaqta** | *chiqaqta* | ‘truly; really’ | This is presented as structurally similar but less certain than **chiqap**. It should therefore be treated as a possible variant rather than the primary form. | [MARGINAL] |
| SPEECH-SPECIFIC TRUTH/FALSEHOOD NOUN PHRASES | **chiqaq simi** | *chiqaq simi* | ‘true word; truthful speech’ | Used for explicitly truthful speech, especially in morally or rhetorically marked contexts. The notes suggest a somewhat specialized discourse use; alternate attested construction: **llulla simi**. | [MARGINAL] |
| SPEECH-SPECIFIC TRUTH/FALSEHOOD NOUN PHRASES | **llulla simi** | *llulla simi* | ‘false speech; lie’ | A natural expression for false or deceptive speech content. It is well supported and also appears under broader adnominal modification; alternate attested construction: **chiqaq simi**. | [CORE] |
