# CLCA Protocol v3.2 — F5 Opposition Table
# Language: Georgian (ka)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|--------|--------|-----------------|-------------|---------------------|---------------|------------------|
| სიმართლე (simart'le) | ტყუილი (t'q'uili) | simart'le vs. t'q'uili | truth vs. lie | Core lexical opposition between truth as correspondence to reality and lie as deliberate falsehood. This is the primary native Georgian opposition in the truth domain, appearing in fixed phrases like სიმართლე და ტყუილი (simart'le da t'q'uili) "truth and lie" and contrasting honest speech with deception. | lexical | [CORE] |
| მართალი (mart'ali) | მცდარი (mts'dari) | mart'ali vs. mts'dari | correct/right vs. erroneous/mistaken | Lexical opposition between correctness and error, particularly in evaluating statements or beliefs. მართალი emphasizes rightness or correctness, while მცდარი indicates mistake or error without necessarily implying deliberate deception. | lexical | [CORE] |
| სწორი (sts'ori) | მცდარი (mts'dari) | sts'ori vs. mts'dari | correct vs. erroneous | Lexical opposition between correctness (especially procedural or technical correctness) and error. სწორი is commonly used for correct answers, proper methods, or accurate information, contrasting with მცდარი for mistakes or incorrect information. | lexical | [CORE] |
| ნამდვილი (namdvili) | ყალბი (q'albi) | namdvili vs. q'albi | real/genuine vs. false/fake/counterfeit | Core lexical opposition between authenticity and falsification, particularly for material objects, documents, and identities. ნამდვილი emphasizes genuineness and reality, while ყალბი indicates counterfeiting, forgery, or inauthenticity. | lexical | [CORE] |
| ნამდვილი (namdvili) | ფიქტიური (pik't'iuri) | namdvili vs. pik't'iuri | real vs. fictitious/fictional | Lexical opposition between reality and fiction, particularly in narrative and investigative contexts. ნამდვილი indicates actual existence or factual basis (ნამდვილი ისტორია "true story"), while ფიქტიური marks invented or imaginary content (ფიქტიური პერსონაჟი "fictional character"). | lexical | [CORE] |
| ბუნებრივი (bunebrivi) | ხელოვნური (khelovnuri) | bunebrivi vs. khelovnuri | natural vs. artificial | Lexical opposition between natural occurrence or genuineness and artificial creation or affectedness. Applies both to material objects (ბუნებრივი მასალა "natural material" vs. ხელოვნური მასალა "artificial material") and to behavior (ბუნებრივი ქცევა "genuine behavior" vs. ხელოვნური ქცევა "affected behavior"). | lexical | [CORE] |
| გულწრფელი (gults'rpeli) | ლიცემერი (lits'emeri) | gults'rpeli vs. lits'emeri | sincere vs. hypocritical | Lexical opposition between sincerity and hypocrisy in emotional expression and conduct. გულწრფელი (literally "pure-hearted") indicates genuine feelings and honest expression, while ლიცემერი marks insincerity, two-facedness, and discrepancy between professed and actual values. | lexical | [CORE] |
| სანდო (sando) | საეჭვო (saech'vo) | sando vs. saech'vo | reliable/trustworthy vs. doubtful/questionable | Lexical opposition between reliability and dubiousness in evaluating sources, persons, or information. სანდო indicates trustworthiness and credibility (სანდო წყარო "reliable source"), while საეჭვო marks questionability and lack of trust (საეჭვო ინფორმაცია "doubtful information"). | lexical | [CORE] |
| ობიექტური (obiek't'uri) | სუბიექტური (subiek't'uri) | obiek't'uri vs. subiek't'uri | objective vs. subjective | Lexical opposition between objectivity and subjectivity in evaluation and representation. ობიექტური indicates independence from personal perspective (ობიექტური რეალობა "objective reality"), while სუბიექტური marks dependence on personal viewpoint (სუბიექტური აზრი "subjective opinion"). | lexical | [CORE] |
