| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|---|---|---|---|---|---|
| உண்மை | uṇmai | from **உண் / உள்**-related Dravidian root associated with being/reality + abstract noun suffix **-மை** | truth, reality, fact, genuineness | This is one of the most common Tamil words for “truth” or “what is real.” It is used for factual correctness, sincerity, and ontological reality, as in discussions of whether a statement is true, whether a report reflects reality, or what the true nature of something is. | [CORE] |
| உண்மையான | uṇmaiyāṉa | **உண்மை** “truth, reality” + adjectival **-ஆன** | true, real, genuine, authentic | This adjective is used for things judged to be genuine or actually so, such as a true story, a real friend, or an authentic object. It is common in both everyday and formal registers when evaluating whether something is not false, fake, or merely apparent. | [CORE] |
| உண்மைத்தன்மை | uṇmaittaṉmai | **உண்மை** “truth” + linking **-த்-** + **தன்மை** “quality, nature” | truthfulness, authenticity, veracity, genuineness | This form refers to the quality of being true or genuine. It is often used in formal writing, criticism, journalism, and philosophical or legal discussion when assessing the truth-status or authenticity of a claim, document, portrayal, or testimony. | [CORE] |
| மெய் | mey | body; real; true | true, real, genuine | This is an old and still productive Tamil word meaning “true” or “real,” especially in compounds and elevated usage. It appears in literary, philosophical, and religious contexts, and also in contrasts such as true versus false or real versus illusory. | [CORE] |
| மெய்யான | meyyāṉa | **மெய்** “true, real” + adjectival **-ஆன** | true, real, genuine | This adjective is used in somewhat elevated or literary style for something judged truly so. It can describe genuine feeling, true doctrine, real knowledge, or an authentic condition, especially in formal prose and religious or philosophical discourse. | [CORE] |
| மெய்ப்பொருள் | meypporuḷ | **மெய்** “true, real” + **பொருள்** “thing, meaning, substance” | true meaning, real substance, essential reality | This expression is used for the real import or essential nature of something, especially in literary, philosophical, and exegetical contexts. It often refers to what something fundamentally is, beyond surface appearance or superficial interpretation. | [CORE] |
| பொய் | poy | falsehood, lie, unreality | false, lie, falsehood, fake | This is the basic Tamil word for falsehood or falsity. It is used for lying, false statements, deceptive appearances, and things judged not genuine or not corresponding to reality. | [CORE] |
| பொய்யான | poyyāṉa | **பொய்** “falsehood” + adjectival **-ஆன** | false, fake, untrue | This adjective is used for false claims, fake appearances, deceptive representations, or incorrect assertions. It is common in everyday speech and writing when explicitly rejecting the truth or genuineness of something. | [CORE] |
| சரி | cari | conventional lexical item; often “right, proper, correct” | correct, right, okay, proper | This is one of the most frequent colloquial and general words for correctness or rightness. It is used to evaluate answers, actions, procedures, and judgments, and can also mean “all right” in conversational use. | [CORE] |
| சரியான | cariyāṉa | **சரி** “correct, proper” + adjectival **-ஆன** | correct, proper, accurate, right | This adjective is widely used for correct answers, accurate information, proper method, or appropriate conduct. It applies across practical, moral, educational, and administrative contexts. | [CORE] |
| சரித்தன்மை | carittaṉmai | **சரி** “correct” + **தன்மை** “quality, nature” | correctness, validity, propriety | This noun refers to the quality of being correct or proper. It is more formal than சரி and appears in evaluative discussion of reasoning, procedure, interpretation, or conduct. | [MARGINAL] |
| தவறு | tavaṟu | error, fault, wrong | mistake, error, wrong, fault | This is a very common word for error or wrongness, used for factual mistakes, moral faults, and procedural errors. It can evaluate both statements and conduct, depending on context. | [CORE] |
