# G5 — Cross-Language Construction Comparison

## 1. Recurring Constructional Functions

Working from the F4 tables across all eight languages, the following constructional functions recur with sufficient cross-language evidence to warrant comparison. These are identified inductively from the data, not imposed from a prior schema.

**Function 1: Attributing a truth-domain property to a subject** — stating that something is true, false, correct, genuine, etc.

**Function 2: Denying a truth-domain property** — stating that something is not true, not correct, not genuine, etc.

**Function 3: Modifying a noun with a truth-domain term** — using a truth-domain adjective or noun to characterize another noun (true story, false document, honest person).

**Function 4: Expressing change of state toward truth or correctness** — describing something becoming true, becoming real, coming to be correct.

**Function 5: Expressing change of state away from truth or correctness** — describing something becoming false, becoming wrong, being revealed as fake.

**Function 6: Causing a truth-domain state** — making something true, verifying, authenticating, correcting, falsifying.

**Function 7: Forming abstract nouns from truth-domain roots** — creating nominals that refer to the quality or state itself (truth, correctness, authenticity).

**Function 8: Forming agent nouns from truth-domain roots** — creating nominals that refer to persons characterized by truth-related behavior (liar, honest person).

**Function 9: Asking whether something has a truth-domain property** — yes/no questions about truth, correctness, genuineness.

**Function 10: Intensifying or emphasizing a truth-domain property** — expressing that something is very true, absolutely correct, completely genuine.

**Function 11: Comparing truth-domain properties** — expressing that one thing is more true, more accurate, or as genuine as another.

**Function 12: Expressing obligation or permission regarding truth** — stating that one should tell the truth, must not lie, is allowed to correct.

**Function 13: Marking the epistemic source of a truth claim** — indicating whether the speaker knows something directly, by report, or by inference.

**Function 14: Using truth-domain terms as discourse markers** — pragmatic uses that frame statements as honest, express surprise, or seek confirmation.

**Function 15: Expressing that truth is revealed or concealed** — constructions for uncovering, discovering, hiding, or exposing truth.

---

## 2. Comparison Table

| Constructional Function | Common Realization Patterns | Languages | Notes on Variation, Restrictions, or Gaps |
|---|---|---|---|
| **1. Attributing a truth-domain property to a subject** | Copula + truth-domain adjective/noun as predicate | All 8 | **zh**: 这是真的 (copula 是 + adjective + nominalizer 的); monosyllabic adjectives require 的, disyllabic may omit it. **he**: Zero copula in present tense (זה אמת, הדבר נכון); copula obligatory in past/future. **sa**: Copula bhavati or zero copula; mithyā bhavati and satyaṃ bhavati are parallel. **el**: Copula είναι + adjective; full agreement obligatory. **en**: Subject + BE + adjective; no agreement. **tl**: Predicate-initial order (Totoo ang sinabi niya); ang marks the topic. **sw**: Invariant copula ni + predicate; ni/si do not agree with noun class. **qu**: Copula kay or zero; evidential suffixes attach to predicate (chiqapmi, llullami). The Quechua evidential requirement is unique: every attribution is grammatically marked for epistemic source. Swahili's invariant copula is distinctive; all other languages show some form of agreement or class sensitivity. |
| **2. Denying a truth-domain property** | Negation particle/prefix + copula or predicate | All 8 | **zh**: 不是真的 (copular negation) or 答案不对 (direct negation of predicate); choice affects emphasis. **he**: לא + predicate (לא נכון, לא אמין); אין + noun phrase (אין בזה אמת). **sa**: na + predicate (satyaṃ na bhavati); morphological a-/an- prefix creates lexicalized antonyms (asatya, adharma). **el**: δεν + copula + predicate (δεν είναι αλήθεια); no morphological negation of copula. **en**: NOT + copula + adjective (it is not true); or prefixed antonym (incorrect, dishonest, unreal). **tl**: Hindi + predicate (hindi totoo); contracted di- as prefix (di-totoo) is less emphatic. **sw**: Invariant negative copula si (si kweli, si sahihi); replaces ni entirely. **qu**: mana + predicate (mana allin, mana kaq); free particle, not bound. Two strategies are visible across languages: syntactic negation (adding a negative particle to the copular construction) and morphological negation (prefixing the adjective itself). Sanskrit uses both, with morphological negation producing lexicalized antonyms. Swahili's si/ni alternation is the most grammaticalized form of copular negation in the corpus. |
| **3. Modifying a noun with a truth-domain term** | Adjective preceding or following noun; associative/genitive construction | All 8 | **zh**: Modifier + 的 + noun (真实的情况, 正确的答案); 的 may be omitted in tight lexical compounds (真相, 实话). **he**: Adjective follows noun with agreement (סיפור אמיתי, עדות שקר); construct state for noun-noun modification (עד שקר). **sa**: Tatpuruṣa compound strongly preferred (satyavacana, mithyājñāna); genitive construction less common and marks different semantic relationship. **el**: Adjective precedes noun with full agreement (αληθινή ιστορία, ψευδής μαρτυρία); postnominal position possible for emphasis. **en**: Adjective precedes noun (true story, false document, honest answer); no agreement. **tl**: Modifier + na + noun (tunay na kaibigan, llulla runa); na is the linker. **sw**: Adjective follows noun with class agreement (mtu wa kweli, ushahidi madhubuti); wa/za/etc. associative construction for noun-noun modification. **qu**: Modifier precedes noun without agreement (chiqan simi, llulla runa); case suffixes attach to the whole NP. Sanskrit's strong preference for compounding over analytic modification is distinctive. Swahili's post-nominal adjective order with class agreement contrasts with the pre-nominal order in zh, en, tl, qu. |
| **4. Expressing change of state toward truth or correctness** | Inchoative verb + truth-domain predicate; or dedicated inchoative verb | All 8, but with significant variation | **zh**: 变得真实 (become + authentic); 弄假成真 (fixed expression: fake-becomes-real); resultative compounds (落实, 证实) preferred for causally-induced change. **he**: התברר (hitpa'el, "it became clear/turned out") is the standard form; takes complement clause (התברר שזה נכון). **sa**: bhavati with inchoative reading (mithyā bhavati = becomes illusory); jāyate specifically inchoative (pramā jāyate = valid knowledge arises). **el**: γίνομαι + adjective (γίνεται γνωστή η αλήθεια); αποδεικνύεται + adjective (αποδεικνύεται αληθινή). **en**: come true (fixed, restricted to "true"); turn out to be + adjective (turned out to be false); prove + adjective (proved correct). **tl**: nagtotoo / tumutuoo (dedicated verbal forms for "coming true"); magkatotoo (resultative). **sw**: amekuwa + predicate (amekuwa kweli = has become true); kamilika (stative, has become complete). **qu**: allinyay (-ya- inchoative, to become good); chiqanyay (marginal). A consistent asymmetry: positive change (becoming true, becoming good, becoming complete) is more readily lexicalized than negative change. English "come true" is fixed and does not extend to *come false. Hebrew התברר is the most grammaticalized inchoative for truth-revelation in the corpus. Quechua's -ya- inchoative is productive for positive change but has no attested parallel for deterioration. |
| **5. Expressing change of state away from truth or correctness** | Negated inchoative; dedicated verb of falsification or revelation of falsity | All 8, but more restricted than Function 4 | **zh**: 变得不正常 (become + not-normal); 变得虚假 (become + false); bare 变假 is marginal. **he**: התברר כשקר (turned out to be a lie); התברר שזה לא נכון (turned out not to be correct); no dedicated inchoative for "becoming false." **sa**: asatyaṃ bhavati (becomes untrue); mithyā bhavati (becomes illusory). **el**: αποδεικνύεται ψευδής (is proven false); διαψεύδεται (is disproven, dedicated verb); γίνεται άκυρο (becomes invalid). **en**: prove false (turned out to be false); no *come false. **tl**: hindi na totoo (no longer true); naging mali (became wrong). **sw**: amekuwa si sahihi (has become not correct); imekuwa uongo (has become a lie). **qu**: mana allinman tukuy (to turn into not-good); no dedicated inchoative. The asymmetry between Functions 4 and 5 is one of the most consistent findings in the corpus. Negative change is expressed through negated inchoatives, periphrastic constructions, or dedicated verbs of disproof/revelation, rather than through parallel inchoative forms. Greek διαψεύδεται (is disproven) is the most dedicated form for this function. |
| **6. Causing a truth-domain state** | Dedicated causative verb; causative morphology; resultative compound | All 8 | **zh**: Resultative verb compounds (改正 = change+correct, 落实 = settle+solid, 证实 = prove+real); 把-disposal construction (把错误改正); periphrastic causatives (让事实说话) for action verbs. **he**: Dedicated hif'il causative verbs (הוכיח = proved, אימת = verified, ביסס = established, תיקן = corrected); no direct causative "to make X true." **sa**: -ish- causative suffix (sahihisha, hakikisha, kamilisha, dhihirisha); no causative for truth-domain predicates via NIC suffix (unattested). **el**: Dedicated causative verbs (βεβαιώνω = confirm/certify, ακυρώνω = invalidate, διορθώνω = correct, αποδεικνύω = prove). **en**: Dedicated causative verbs (verify, authenticate, validate, falsify, correct, prove); direct causative "make X true" is largely ungrammatical. **tl**: pa-causative (patunayan = to prove/verify); further derivations (mapatunayan = can be proven, napatunayan = was proven). **sw**: -isha causative suffix (sahihisha, hakikisha, kamilisha, thibitisha); highly productive with both native and Arabic-derived roots. **qu**: -cha- causative suffix (chiqanchay = verify/authenticate, allinchay = make good/correct); reflexive-causative combination (chiqanchakuy = verify for oneself). A consistent pattern: causatives for establishing truth, verifying, or correcting are well-attested in all languages. Causatives for making false are more restricted: English falsify and forge are dedicated verbs; zh 弄假 is a collocation; qu has no attested *llullachay (make false). Chinese resultative compounds are unique in using truth-domain roots as resultative complements. Swahili's -isha suffix is the most productive causative morpheme in the corpus for this function. |
| **7. Forming abstract nouns from truth-domain roots** | Suffix, prefix, circumfix, or copula nominalization | All 8 | **zh**: -性 suffix (真实性, 可靠性, 准确性); -度 suffix for degree nouns (真实度, 准确度); both restricted to disyllabic bases. **he**: -ות suffix (אמינות, נאמנות, מהימנות, שקרנות); highly productive. **sa**: -tā suffix (satyatā, yathārthatā); -tva suffix (mithyātva, samyaktva); both available with no clear semantic difference. **el**: -ότητα suffix (αληθινότητα, αυθεντικότητα, εγκυρότητα); -εια suffix (ειλικρίνεια, ακρίβεια); -ία suffix (υποκρισία, αδικία). **en**: -y/-ty suffix (honesty, falsity, accuracy); -ness suffix (truthfulness, correctness, soundness); -ity suffix (validity, authenticity, reliability). **tl**: ka-...-an circumfix (katotohanan, katunayan, katapatan, katamaan); pag- prefix for action nominals (pagtotoo, pagpapatunay). **sw**: u- noun-class prefix (ukweli, uongo, usahihi, uhalisia, uhakika, uadilifu); highly productive with both native and Arabic-derived roots. **qu**: Copula nominalization (chiqan kay = truth/the state of being true); kaq substantivizer (chiqan kaq = that which is true). Chinese's restriction of -性 and -度 to disyllabic bases is a morphological constraint not found in other languages. Tagalog's circumfix is typologically distinctive. Quechua's reliance on copula nominalization rather than a dedicated suffix is the most analytic strategy in the corpus. |
| **8. Forming agent nouns from truth-domain roots** | Suffix, prefix, or compound | All 8, with consistent asymmetry | **zh**: No productive single-word form for "truth-teller"; 说谎者 (compound), 骗子 (-子 suffix) for liar. **he**: שקרן (-ן suffix, liar); no dedicated single-word "truth-teller." **sa**: satyavādin (satya+vādin, truth-speaker); mithyāvādin (mithyā+vādin, liar); productive compound pattern. **el**: ψεύτης (-της suffix, liar); no standard *αληθευτής for truth-teller. **en**: liar (-er suffix); no single derived word for truth-teller. **tl**: sinungaling (lexicalized liar); mandaraya (man-+daya, cheater). **sw**: mwongo (m-+ongo root, liar); mdanganyifu (m-+-ifu suffix, deceiver); no dedicated "truth-teller" agent noun. **qu**: llullakuq (llulla+-ku-+-q, liar/deceiver); chiqan rimaq (compound, truth-speaker). The asymmetry is consistent across all 8 languages: agent nouns for "liar/deceiver" are lexicalized in every language; agent nouns for "truth-teller" require compounds or periphrasis in at least 5 languages (zh, he, el, en, sw). Sanskrit and Quechua have the most productive compound patterns for both positive and negative agents (satyavādin/mithyāvādin, chiqan rimaq/llullakuq). |
| **9. Asking whether something has a truth-domain property** | Question particle; A-not-A pattern; intonation | All 8 | **zh**: A-not-A pattern (是不是真的?, 对不对?); question particle 吗 (真的吗?); both are productive and common. **he**: Intonation + declarative (זה נכון?); tag question (נכון?); no dedicated question morpheme. **sa**: Interrogative pronoun kim (kiṃ pramāṇam = what is the proof?); no dedicated yes/no question morpheme. **el**: Intonation + declarative (είναι αλήθεια?); tag question (νκον?); no dedicated question morpheme. **en**: Inversion (Is it true?); tag question (right?); no dedicated question morpheme. **tl**: Question particle ba (totoo ba?, tama ba?); obligatory in yes/no questions. **sw**: Intonation + declarative; no dedicated question morpheme for yes/no questions. **qu**: Question suffix -chu (chiqanchu?, allinchu?); obligatory in yes/no questions; disjunctive pattern (chiqanchu llullachu? = true or false?). Tagalog ba and Quechua -chu are the most grammaticalized question markers for this function. Chinese A-not-A is distinctive in presenting both poles of the opposition simultaneously. Sanskrit uses interrogative pronouns rather than yes/no question morphemes. |
