| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|---|---|---|---|---|---|
| სიმართლე | *simartle* | abstract noun from **მართალი** “true; right; just” | truth; correctness; justice | Used for the truth of a statement, but also for moral or social rightness in many contexts. It is very common in everyday speech, public discourse, religion, and literature, and can refer both to factual truth and to what is just or fair. | [CORE] |
| მართალი | *martali* | basic adjective; also used substantivally | true; right; correct; just | This is a central adjective for saying that someone is right, a statement is true, or a person is morally in the right. It is also widely used in legal, ethical, and conversational contexts, including expressions meaning “you are right.” | [CORE] |
| ჭეშმარიტება | *č’ešmarit’eba* | abstract noun from **ჭეშმარიტი** | truth; verity | This word is common in elevated, religious, philosophical, and literary usage for “truth” in a fuller or more absolute sense. It can refer to doctrinal truth, metaphysical truth, or the genuine nature of something, and is more formal than **სიმართლე** in many contexts. | [CORE] |
| ჭეშმარიტი | *č’ešmarit’i* | adjective | true; genuine; real; authentic | Often used for statements, beliefs, teachings, or identities judged to be truly what they claim to be. It is especially frequent in formal, religious, philosophical, and literary styles, though still broadly recognizable. | [CORE] |
| სწორი | *sts’ori* | adjective | correct; right; proper; straight | This is a very common word for correctness in answers, actions, procedures, and judgments. Depending on context, it can refer to factual correctness, proper conduct, or the proper form or alignment of something. | [CORE] |
| სისწორე | *sists’ore* | abstract noun from **სწორი** | correctness; rightness; accuracy | Used for the correctness or accuracy of information, reasoning, performance, or form. It appears in educational, technical, and evaluative contexts, and can also refer to propriety or rightness more broadly. | [CORE] |
| ნამდვილი | *namdvili* | adjective | real; genuine; authentic; true | A very common adjective for distinguishing what is genuine from what is fake, apparent, or merely nominal. It is used for objects, emotions, persons, identity, and sometimes for “real” or “true” in a more emphatic everyday sense. | [CORE] |
| ნამდვილად | *namdvilad* | adverb from **ნამდვილი** | really; truly; indeed; genuinely | This adverb is frequent in speech and writing to affirm that something is genuinely the case. It often strengthens assertions and can indicate certainty, sincerity, or actual reality rather than appearance. | [CORE] |
| ნამდვილობა | *namdviloba* | abstract noun from **ნამდვილი** | genuineness; authenticity; realness | Used for the quality of being genuine or authentic, especially in relation to documents, objects, claims, or identity. It is less common than **ნამდვილი**, but clearly attested in contexts where authenticity is under evaluation. | [CORE] |
