| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|---|---|---|---|---|---|---|
| cheqa | cheqanchay | cheqanchay | cheqa + -ncha- (causative verbalizer) + -y (infinitive) | to verify, to confirm, to establish as true, to correct | Used in administrative, legal, and everyday contexts for the act of checking a claim or document against reality and confirming its accuracy. The causative verbalizer *-ncha-* derives a transitive verb from the adjectival root, with the meaning 'to make [something] cheqa'. | [CORE] |
| cheqa | cheqanchakuy | cheqanchakuy | cheqa + -ncha- (causative verbalizer) + -ku- (reflexive/middle) + -y (infinitive) | to verify for oneself, to confirm on one's own behalf, to assure oneself of the truth | Used when a person checks or confirms something for their own satisfaction or on their own initiative. The addition of *-ku-* to the *-ncha-* base shifts the action to a self-directed or internally motivated frame. | [CORE] |
| cheqa | cheqanchasqa | cheqanchasqa | cheqa + -ncha- (causative verbalizer) + -sqa (past participial/resultative) | verified, officially confirmed, certified | Used in administrative and legal contexts to describe a document, claim, or fact that has been formally verified or certified. The participial *-sqa* on the derived verbal base yields a resultative adjective or nominal. | [CORE] |
| cheqa | cheqakay | cheqakay | cheqa + -ka- (intransitive verbalizer/inceptive) + -y (infinitive) | to become true, to become real, to be realized, to come true | Used to describe a prediction, hope, or claim that comes to be true or is realized in fact. The intransitive verbalizer *-ka-* derives an intransitive verb from the adjectival root, contrasting with the transitive *cheqanchay*. | [CORE] |
| cheqa | cheqaq | cheqaq | cheqa + -q (agentive/adjectival nominalizer) | true, truthful, genuine, authentic (attributive); one who is truthful (nominalized) | Functions as an attributive adjective meaning 'true', 'genuine', or 'authentic', used to describe persons of integrity and statements of factual accuracy; attested in moral discourse and descriptions of authentic objects or persons. Can nominalize to mean 'one who is truthful'. The *-q* nominalizer on an adjectival root is attested but less typical than its use on verbal bases; the form is well-established in this lexical item. | [CORE] |
| cheqa | cheqasqa | cheqasqa | cheqa + -sqa (past participial/resultative) | verified, confirmed, established as true | Used to describe something that has undergone a process of verification or confirmation. The *-sqa* participial directly on the adjectival root (rather than on a derived verbal base) is less regular than *cheqanchasqa*; the form is attested but its morphological analysis is debated. | [UNCERTAIN] |
| cheqa | cheqam / cheqami | cheqam / cheqami | cheqa + validating evidential clitic *-m/-mi*; "it is true (speaker asserts with direct knowledge)" | it is true, indeed, certainly, that is correct | Fixed assertive expression affirming a proposition with direct evidential commitment; extremely common in both everyday conversation and formal testimony. | [CORE] |
| cheqa | cheqachiy | cheqachiy | cheqa + causative *-chi* + infinitive *-y*; "to cause to be true/correct" | to verify, to confirm, to prove, to correct | Used in legal, administrative, and everyday contexts for the act of establishing accuracy or correcting error. | [CORE] |
| cheqa | cheqan | cheqan | cheqa + third-person possessive/nominalizer *-n*; "its truth, the correct one" | the truth, the correct one, what is right | Used to refer to the truth of a matter or the correct version of something; appears in moral instruction and legal testimony. | [CORE] |
| cheqa | cheqakayta | cheqakayta | cheqa + stative/inchoative *-ka* + infinitive *-y* + accusative *-ta*; "the being true/real (as object of a verb)" | being true, being real, the truth of (something) | Nominalized verbal form used as the object of verbs of knowing, showing, or proving; appears in philosophical and legal discourse when the truth-status of a proposition is itself under discussion. | [CORE] |
| cheqa | cheqakaychiy | cheqakaychiy | cheqa + stative *-ka* + causative *-chi* + infinitive *-y*; "to cause to become true/real, to realize, to actualize" | to realize, to actualize, to make real, to bring about | Used in contexts where a plan, promise, or intention is brought into reality; appears in administrative and political discourse and in religious contexts (fulfilling a vow or prophecy). | [CORE] |
| cheqa | cheqachikuy | cheqachikuy | cheqa + causative *-chi* + reflexive *-ku* + infinitive *-y*; "to verify for oneself, to confirm oneself, to prove oneself" | to verify for oneself, to confirm, to prove oneself (to be genuine) | Used in contexts where a person establishes their own credibility or verifies something personally; the reflexive *-ku* marks the action as self-directed. | [CORE] |
| cheqa | cheqapuni | cheqapuni | cheqa + emphatic *-puni* (definitely, absolutely, without exception); "absolutely true, certainly real" | absolutely true, certainly real, definitely correct | Used to assert truth or genuineness with strong emphasis and without qualification; the suffix *-puni* adds a sense of incontrovertibility. | [CORE] |
| cheqa | cheqataq | cheqataq | cheqa + contrastive/additive *-taq*; "and indeed true, but truly" | and indeed, but truly, and in fact | Used in discourse to introduce a contrastive or confirmatory assertion, often in contrast to a prior doubt or denial; appears in conversational and narrative contexts. | [CORE] |
| cheqa | cheqamanta | cheqamanta | cheqa-n (truth-POSS) + *-manta* (ablative); "from/about the truth, truly, in truth" | truly, in truth, from truth, about what is true | Used as an adverbial expression meaning "truly" or "in truth," or as a postpositional phrase meaning "about the truth"; appears in formal assertions and in discourse about truthfulness. | [CORE] |
