| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|-----------------|-----------------|---------------------|-------------------|------------------|
| doğru | doğru | straight, direct | true, correct, right, accurate | Used to evaluate statements as factually accurate or morally right. Also functions as a postposition meaning "toward" and as an adverb meaning "correctly." Common in both everyday and formal discourse. | [CORE] |
| yanlış | yanlış | from root *yan* (side) + *-lış* (nominalizer), suggesting "deviation" | wrong, false, incorrect, mistaken | Primary term for evaluating statements, actions, or beliefs as incorrect or morally wrong. Used across all registers from casual conversation to academic writing. | [CORE] |
| gerçek | gerçek | from Persian *gercek*, related to "real, actual" | real, true, genuine, actual | Emphasizes authenticity and reality rather than mere correctness. Used to distinguish genuine from fake, or actual from apparent. Common in philosophical and everyday contexts. | [CORE] |
| sahte | sahte | from Arabic *saḫt* (hard, firm), semantic shift to "counterfeit" | fake, counterfeit, false, phony | Specifically denotes inauthenticity or deliberate deception in objects, documents, or persons. Carries stronger connotation of fraudulence than simple incorrectness. | [CORE] |
| hakikat | hakikat | from Arabic *ḥaqīqa* (truth, reality) | truth, reality, the real truth | Formal or elevated term for fundamental truth, often used in philosophical, religious, or literary contexts. Implies deeper or ultimate truth rather than simple factual accuracy. | [CORE] |
| güvenilir | güvenilir | *güven* (trust) + *-ilir* (passive possibility suffix) | reliable, trustworthy, dependable | Evaluates persons, sources, or objects as worthy of trust or confidence. Common in assessments of information sources, character references, and product reviews. | [CORE] |
| dürüst | dürüst | from Persian *durust* (correct, proper) | honest, truthful, sincere | Evaluates persons or conduct as morally upright and truthful. Emphasizes character and integrity rather than mere factual accuracy. | [CORE] |
| hak | hak | from Arabic *ḥaqq* (right, truth, justice) | right, just, true, God | Multifaceted term used for rights, justice, truth, and in religious contexts for God. In evaluative contexts, indicates what is rightfully due or morally correct. | [CORE] |
| adil | adil | from Arabic *ʿādil* (just, fair) | just, fair, equitable | Primarily used in legal and moral contexts to evaluate actions, decisions, or persons as fair and impartial. More formal than everyday speech. | [CORE] |
| yanıltıcı | yanıltıcı | *yanılt-* (to mislead) + *-ıcı* (agentive suffix) | misleading, deceptive, deceiving | Evaluates statements, appearances, or representations as likely to cause false beliefs. Common in critical analysis and warnings about misinformation. | [CORE] |
| kesin | kesin | from Arabic *qaṭʿ* (cutting, decisive) | certain, definite, absolute, precise | Indicates high degree of certainty or precision in statements or measurements. Used to emphasize definitiveness and lack of ambiguity. | [CORE] |
| şüpheli | şüpheli | *şüphe* (doubt, from Arabic *šubha*) + *-li* (possessive suffix) | doubtful, suspicious, dubious, suspect | Evaluates persons, claims, or situations as warranting doubt or suspicion. Common in both epistemic contexts (uncertain truth) and moral contexts (suspicious character). | [CORE] |
| asıl | asıl | from Arabic *aṣl* (origin, root, essence) | original, genuine, essential, main | Distinguishes the authentic or fundamental from derivative or superficial. Used to identify what something truly or originally is. | [CORE] |
| özgün | özgün | *öz* (essence, self) + *-gün* (archaic suffix) | original, authentic, genuine | Emphasizes originality and authenticity, particularly in creative or intellectual work. Contrasts with copied or derivative material. | [CORE] |
| taklit | taklit | from Arabic *taqlīd* (imitation) | imitation, copy, fake, counterfeit | Denotes something made to resemble something else, ranging from neutral copying to fraudulent counterfeiting. Context determines whether pejorative. | [CORE] |
| isabetli | isabetli | *isabet* (hitting the mark, from Arabic *iṣāba*) + *-li* | accurate, apt, on target, well-aimed | Evaluates statements, judgments, or actions as hitting the mark or being appropriate. Implies both accuracy and appropriateness. | [CORE] |
| tutarlı | tutarlı | *tut-* (to hold) + *-ar* + *-lı* (consistent, coherent) | consistent, coherent, logical | Evaluates arguments, behaviors, or systems as internally consistent and free from contradiction. Important in logical and moral evaluation. | [CORE] |
| geçerli | geçerli | *geç-* (to pass) + *-er* + *-li* (valid, current) | valid, current, applicable | Indicates that something meets required standards or conditions, particularly in legal, logical, or temporal contexts. Used for validity of arguments, documents, or tickets. | [CORE] |
| meşru | meşru | from Arabic *mašrūʿ* (lawful, legitimate) | legitimate, lawful, rightful | Evaluates actions, claims, or authority as conforming to law or accepted norms. Common in legal and political discourse. | [CORE] |
| haksız | haksız | *hak* (right) + *-sız* (without) | unjust, unfair, wrong, unrightful | Evaluates actions or situations as lacking justice or rightfulness. Used in moral and legal contexts to indicate violation of rights or fairness. | [CORE] |
| yalan | yalan | native Turkish word for lie | lie, falsehood, untruth | Denotes deliberately false statements. Distinguished from mere error by implication of intentional deception. Very common in everyday speech. | [CORE] |
