# CLCA Protocol v3.2 — F1 Vocabulary Table
# Language: Quechua (qu)

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|----------------|-----------------|---------------------|-------------------|------------------|
| chiqaq | chiqaq | true, truthful (from root *chiqay* "to be true") | true, real, genuine, authentic | This term is used to affirm the accuracy or genuineness of statements, objects, or persons. It appears in both everyday discourse to validate claims and in more formal contexts to distinguish authentic from false representations. | [CORE] |
| cheqaq | cheqaq | variant of *chiqaq* (dialectal variation) | true, real, correct | This is a dialectal variant of *chiqaq* used in some Quechua varieties. It functions identically to affirm truth or accuracy of statements and situations. | [CORE] |
| llulla | llulla | lie, false | false, lie, untrue, deceptive | Used to characterize statements or representations as false or deceptive. This term can function as both noun (a lie) and adjective (false), and is commonly used in moral evaluations of dishonest speech or behavior. | [CORE] |
| allin | allin | good, well | good, right, correct, proper, well | This is a general evaluative term used for positive assessment of conduct, objects, states, and actions. It appears in moral contexts (good behavior), practical contexts (done correctly), and aesthetic contexts (pleasing, beautiful). | [CORE] |
| mana allin | mana allin | not good | bad, wrong, improper, incorrect | A fixed negative expression used to evaluate conduct, states, or objects as deficient or improper. This is the standard way to express negative moral or practical evaluation in many Quechua varieties. | [CORE] |
| chanin | chanin | having value, valid | valid, legitimate, worthy, valuable | Used to affirm the legitimacy or validity of claims, documents, or authority. It appears in legal and administrative contexts to indicate something has proper standing or recognition. | [CORE] |
| rikch'ay | rikch'ay | to resemble, to be similar | to resemble, to look like, to be similar to | This verb is used to express resemblance or similarity between objects, persons, or representations. It is commonly used when evaluating whether something matches or corresponds to something else. | [CORE] |
| chiqan | chiqan | correct, exact | correct, exact, precise, accurate | Used to evaluate the accuracy or precision of statements, measurements, or representations. It emphasizes exactness and correspondence to reality or standards. | [CORE] |
| pantay | pantay | to err, to be mistaken | to err, to make a mistake, to be wrong | This verb describes making errors or being mistaken in judgment, action, or statement. It is used in evaluating incorrect conduct or false beliefs without necessarily implying moral fault. | [CORE] |
| pantasqa | pantasqa | mistaken, erred (past participle of *pantay*) | mistaken, wrong, erroneous, in error | The participial form used to characterize something as containing error or being mistaken. It applies to statements, beliefs, or actions that have gone astray from correctness. | [CORE] |
| sut'i | sut'i | clear, evident | clear, evident, obvious, manifest | Used to evaluate the clarity or obviousness of statements, situations, or truths. It indicates that something is plainly visible or understandable without obscurity. | [CORE] |
| paqta | paqta | exact, just right | exact, precise, just right, fitting | This term evaluates correspondence or fit, indicating that something matches exactly or is precisely appropriate. It is used for measurements, timing, and appropriateness of actions or objects. | [CORE] |
| yachay | yachay | to know, knowledge | to know, knowledge, to understand | While primarily meaning "to know," this term is relevant in epistemic contexts where knowledge is distinguished from belief or error. It appears in evaluations of whether someone truly knows versus merely thinks they know. | [CORE] |
| yuyay | yuyay | to think, to remember, thought | to think, to believe, opinion, thought | Used to express belief or opinion as distinct from certain knowledge. It appears in contexts evaluating subjective versus objective claims. | [CORE] |
| ch'ulla | ch'ulla | single, odd (not paired) | single, odd, unpaired, incomplete | Used to characterize something as incomplete or lacking its proper complement. It can evaluate objects or situations as deficient in their essential pairing or completeness. | [CORE] |
| hunt'a | hunt'a | full, complete | full, complete, whole, sufficient | Used to evaluate completeness or sufficiency of objects, actions, or states. It indicates that something has reached its proper measure or fulfillment. | [CORE] |
| k'uchi | k'uchi | crooked, bent | crooked, bent, dishonest, corrupt | Beyond its literal meaning, this term is used metaphorically to evaluate conduct or persons as dishonest or morally corrupt. It appears in moral and legal contexts to characterize improper behavior. | [CORE] |
| chiqamanta | chiqamanta | from truth, truly (ablative of *chiqaq*) | truly, really, in truth, genuinely | An adverbial expression used to emphasize the truth or genuineness of a statement. It functions to strengthen assertions and affirm their correspondence to reality. | [CORE] |
