| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|---|---|---|---|---|
| 1. Truth affirmation and denial in direct evaluation | This group covers expressions used to say plainly that a statement, report, or claim is true or not true. In usage, these forms are especially common in conversation, dispute, response, and correction, where speakers affirm, reject, or soften rejection of what has been said. | - **òtítọ́** — òtítọ́<br>- **òtọ́** — òtọ́<br>- **òtítọ́ ni** — òtítọ́ ni<br>- **jẹ́ òtítọ́** — jẹ́ òtítọ́<br>- **kì í ṣe òtítọ́** — kì í ṣe òtítọ́<br>- **irọ́** — irọ́<br>- **irọ́ ni** — irọ́ ni<br>- **ó tọ́** — ó tọ́<br>- **kò tọ́** — kò tọ́ | - **òtọ́** — overlaps with genuineness/authenticity uses, not only statement truth.<br>- **kì í ṣe òtítọ́** — overlaps with error/inaccuracy, since it can deny truth without directly accusing deception.<br>- **kò tọ́** — overlaps strongly with moral impropriety and practical wrongness, not just factual falsity.<br>- **ó tọ́ / tọ́** — can evaluate actions and judgments, not only propositions. | — |
| 2. Truth as something spoken, known, shown, or valued | This group includes expressions where *òtítọ́* appears as the object of speaking, knowing, revealing, or valuing. In usage, these forms are common in moral instruction, religion, argument, and interpersonal situations where truth is treated as something one can tell, discover, conceal, or care about. | - **sọ òtítọ́** — sọ òtítọ́<br>- **máa sọ òtítọ́** — máa sọ òtítọ́<br>- **mọ̀ òtítọ́** — mọ̀ òtítọ́<br>- **fẹ́ òtítọ́** — fẹ́ òtítọ́<br>- **fi òtítọ́ hàn** — fi òtítọ́ hàn<br>- **òtítọ́ ọrọ̀** — òtítọ́ ọrọ̀<br>- **ní òtítọ́** — ní òtítọ́<br>- **l’òtítọ́** — l’òtítọ́ | - **ní òtítọ́ / l’òtítọ́** — overlap with discourse-marking uses such as “truly” or “in fact,” not only with truth as content.<br>- **fẹ́ òtítọ́** — overlaps with moral/religious evaluation rather than simple factual discussion.<br>- **fi òtítọ́ hàn** — overlaps with evidential contexts, since truth is often shown through proof or investigation.<br>- **òtítọ́ ọrọ̀** — can function as a clarification formula in disputes and narratives. | — |
| 3. Correctness, propriety, and being right | This group centers on forms used to evaluate whether a person, action, judgment, procedure, or statement is right, proper, or incorrect. In actual usage, these expressions move across factual, practical, and moral settings, so they do not stay limited to one narrow type of evaluation. | - **tọ́** — tọ́<br>- **títọ́** — títọ́<br>- **ó tọ́** — ó tọ́<br>- **kò tọ́** — kò tọ́<br>- **òtítọ́** — òtítọ́<br>- **òtọ́** — òtọ́<br>- **jẹ́ òtítọ́** — jẹ́ òtítọ́ | - **títọ́** — also has literal uses for straightness.<br>- **òtítọ́ / òtọ́** — overlap with truth and genuineness, not just correctness.<br>- **kò tọ́** — often sounds moral or social, not merely factual.<br>- **jẹ́ òtítọ́** — often applies to claims and reports, but can extend beyond them. | — |
| 4. Evidence, proof, and witness-based support | This group includes expressions used when a claim is supported, checked, or challenged through evidence, testimony, or witnesses. These are especially common in legal, administrative, investigative, religious, and argumentative settings where speakers ask what can be shown, who saw it, or whether proof exists. | - **ẹ̀rí** — ẹ̀rí<br>- **fi ẹ̀rí hàn** — fi ẹ̀rí hàn<br>- **ní ẹ̀rí** — ní ẹ̀rí<br>- **kò sí ẹ̀rí** — kò sí ẹ̀rí<br>- **ẹlẹ́rìí** — ẹlẹ́rìí<br>- **jẹ́ ẹlẹ́rìí** — jẹ́ ẹlẹ́rìí<br>- **pe ẹlẹ́rìí** — pe ẹlẹ́rìí<br>- **ẹlẹ́rìí ojú** — ẹlẹ́rìí ojú<br>- **ẹ̀rí ọ̀rọ̀** — ẹ̀rí ọ̀rọ̀ | - **ẹ̀rí** — can refer both to abstract proof and to documentary evidence.<br>- **ẹ̀rí ọ̀rọ̀** — appears less central and may shade toward testimony rather than material proof.<br>- **ẹlẹ́rìí àròsọ** — attestation is weaker in the source material; it does not group as securely as the others.<br>- **fi òtítọ́ hàn** — not built on *ẹ̀rí*, but often overlaps functionally with showing proof. | — |
| 5. Administrative and documentary verification | This group covers expressions used when identity, ownership, birth, or official status is established through documents or formal proof. The usage is practical and bureaucratic rather than abstract: these forms appear where something must be verified, authenticated, or matched to records. | - **ìdánimọ̀** — ìdánimọ̀<br>- **ẹ̀rí ìdánimọ̀** — ẹ̀rí ìdánimọ̀<br>- **ẹ̀rí ìbí** — ẹ̀rí ìbí<br>- **ẹ̀rí ọkọ́** — ẹ̀rí ọkọ́<br>- **ẹ̀rí ilé** — ẹ̀rí ilé<br>- **àdéhùn** — àdéhùn<br>- **ojúlówó** — ojúlówó<br>- **rí i dájú** — rí i dájú<br>- **rí i pé** — rí i pé | - **ojúlówó** — also belongs with genuineness/authenticity in commercial evaluation, not only paperwork.<br>- **àdéhùn** — concerns validity and faithfulness of agreement, but the supplied material gives few fixed constructions around it.<br>- **rí i dájú / rí i pé** — are broader procedural expressions, not limited to documents.<br>- **ẹ̀rí** compounds here are more specialized than general evidential uses. | — |
| 6. Genuineness, authenticity, and non-imitation | This group gathers items used when something is evaluated as genuine, original, real, or fake. In usage, this is especially natural for goods, documents, identities, and representations, where the issue is not only whether a statement is true but whether an item is authentic rather than deceptive or imitated. | - **ojúlówó** — ojúlówó<br>- **òtọ́** — òtọ́<br>- **èké** — èké<br>- **irọ́** — irọ́<br>- **ìdánimọ̀** — ìdánimọ̀<br>- **ẹ̀rí ìdánimọ̀** — ẹ̀rí ìdánimọ̀<br>- **bá mu** — bá mu | - **òtọ́** — also belongs with truth/correctness more generally.<br>- **èké** — can refer to deceit or falsehood broadly, not only fake objects.<br>- **irọ́** — often targets lying or false statements rather than counterfeit things.<br>- **bá mu** — is broader than authenticity; it can mean fit, match, or correspond in many settings. | — |
| 7. Certainty, assurance, and checking | This group includes expressions used when speakers mark confidence, certainty, or the act of making sure. In usage, these forms often accompany claims, expectations, instructions, and procedures where the issue is how firmly something is established or whether it has been properly checked. | - **dájú** — dájú<br>- **ó dájú** — ó dájú<br>- **rí i dájú** — rí i dájú<br>- **rí i pé** — rí i pé<br>- **ẹ̀rí** — ẹ̀rí<br>- **péye** — péye | - **dájú / ó dájú** — can concern likelihood or confidence, not only confirmed truth.<br>- **rí i dájú** — often procedural rather than purely epistemic.<br>- **ẹ̀rí** — belongs more centrally with evidence than with certainty itself.<br>- **péye** — is about exactness/precision, but can support certainty in practice. | — |
| 8. Justice, righteousness, and morally upright conduct | This group covers expressions used to evaluate people, actions, judgments, and social order in moral or religious terms. In usage, these forms are not mainly about whether a statement is factually true, but about whether conduct or judgment is just, upright, fair, or worthy. | - **òdodo** — òdodo<br>- **olódodo** — olódodo<br>- **ṣe òdodo** — ṣe òdodo<br>- **idájọ́ òdodo** — idájọ́ òdodo<br>- **fẹ́ òdodo** — fẹ́ òdodo<br>- **dúró fún òdodo** — dúró fún òdodo<br>- **ènìyàn òdodo** — ènìyàn òdodo<br>- **ọlọ́run òdodo** — ọlọ́run òdodo<br>- **ìwà rere** — ìwà rere<br>- **ìwà búburú** — ìwà búburú | - **olódodo** — glossed partly as “honest person,” so it can edge toward truthfulness of character.<br>- **kò tọ́** — often overlaps with this group in moral rebuke.<br>- **ìwà rere / ìwà búburú** — are broader character terms, not specifically tied to justice.<br>- **ọ̀nà títọ́ / ọ̀nà òdodo** — can overlap through figurative moral-path usage. | — |
| 9. Accuracy, precision, matching, and error | This group includes expressions used when an account, description, calculation, representation, or procedure is assessed for exactness or mismatch. In usage, these forms are common in practical, educational, administrative, and descriptive settings where the concern is whether something fits, corresponds, or contains error. | - **àṣìṣe** — àṣìṣe<br>- **péye** — péye<br>- **bá mu** — bá mu<br>- **tọ́** — tọ́<br>- **kò tọ́** — kò tọ́<br>- **kì í ṣe òtítọ́** — kì í ṣe òtítọ́<br>- **títọ́** — títọ́ | - **kì í ṣe òtítọ́** — can be a denial of truth, but also simple inaccuracy.<br>- **kò tọ́** — may indicate moral wrongness rather than technical error.<br>- **bá mu** — also covers appropriateness and resemblance, not just accuracy.<br>- **títọ́** — extends to literal straightness and broader propriety. | — |
