1. **benar**  
   **Transliteration:** —  
   **Literal meaning / morphology:** basic adjective; ‘correct, true, right’  
   **Typical English translations:** true; correct; right  

   **Usage:** *Benar* is one of the most common Indonesian words for saying that a statement, answer, or report is correct or true. It is also used in broader evaluative contexts, such as judging an action or decision as right.  
   **Epistemic status:** [CORE]

2. **kebenaran**  
   **Transliteration:** —  
   **Literal meaning / morphology:** *ke- + benar + -an*; ‘truth, correctness’  
   **Typical English translations:** truth; correctness; rightness  

   **Usage:** *Kebenaran* is used for truth in general, including factual, moral, religious, and philosophical contexts. It can refer both to the truth of a proposition and to truth as an abstract value or principle.  
   **Epistemic status:** [CORE]

3. **membenarkan**  
   **Transliteration:** —  
   **Literal meaning / morphology:** *meN- + benar + -kan*; ‘to make correct; to justify; to confirm as true’  
   **Typical English translations:** to justify; to confirm; to validate; to correct  

   **Usage:** In ordinary usage, *membenarkan* can mean confirming that something is true or correct. It is also very common in moral and legal contexts for ‘justifying’ an act, argument, or decision.  
   **Epistemic status:** [CORE]

4. **betul**  
   **Transliteration:** —  
   **Literal meaning / morphology:** basic adjective; ‘correct, exact’  
   **Typical English translations:** correct; right; true; exact  

   **Usage:** *Betul* is widely used in speech and writing to affirm that something is correct. It often overlaps with *benar*, though in many contexts it sounds slightly more colloquial or conversational.  
   **Epistemic status:** [CORE]

5. **kebetulan**  
   **Transliteration:** —  
   **Literal meaning / morphology:** *ke- + betul + -an*; historically related, but synchronically ‘coincidence’  
   **Typical English translations:** coincidence; by chance  

   **Usage:** Although morphologically related to *betul*, modern *kebetulan* usually means ‘coincidence’ rather than ‘correctness’. Because its current usage does not normally evaluate truth or rightness, it is only a peripheral item here.  
   **Epistemic status:** [MARGINAL]

6. **tepat**  
   **Transliteration:** —  
   **Literal meaning / morphology:** basic adjective; ‘precise, exact, fitting’  
   **Typical English translations:** accurate; precise; appropriate; exact  

   **Usage:** *Tepat* is used for accuracy in statements, descriptions, measurements, timing, and choices. It also extends to judgments of appropriateness, as in whether a response, policy, or action is fitting.  
   **Epistemic status:** [CORE]

7. **ketepatan**  
   **Transliteration:** —  
   **Literal meaning / morphology:** *ke- + tepat + -an*; ‘accuracy, precision, appropriateness’  
   **Typical English translations:** accuracy; precision; exactness; appropriateness  

   **Usage:** *Ketepatan* commonly refers to the accuracy of data, wording, analysis, or identification. It is also used for precision in technical and administrative contexts, and sometimes for the appropriateness of a decision or measure.  
   **Epistemic status:** [CORE]

8. **tepat sasaran**  
   **Transliteration:** —  
   **Literal meaning / morphology:** ‘precise/right + target’  
   **Typical English translations:** well-targeted; on target; accurately directed  

   **Usage:** This fixed expression is common in policy, aid distribution, criticism, and planning. It evaluates whether an action, statement, or intervention reaches the correct object, group, or issue.  
   **Epistemic status:** [CORE]

9. **sesuai**  
   **Transliteration:** —  
   **Literal meaning / morphology:** *se- + suai*; ‘in accord, matching’  
   **Typical English translations:** appropriate; in accordance; suitable; consistent with  

   **Usage:** *Sesuai* is used when something matches a rule, fact, expectation, description, or standard. It is especially common in legal, bureaucratic, and formal contexts for conformity with documents, procedures, or reality.  
   **Epistemic status:** [CORE]

10. **kesesuaian**  
    **Transliteration:** —  
    **Literal meaning / morphology:** *ke- + sesuai + -an*; ‘conformity, correspondence, suitability’  
    **Typical English translations:** conformity; correspondence; consistency; suitability  

    **Usage:** *Kesesuaian* refers to the degree to which one thing matches another, such as data with evidence, conduct with rules, or a representation with the original. It is frequent in formal evaluation, auditing, and academic writing.  
    **Epistemic status:** [CORE]

11. **cocok**  
    **Transliteration:** —  
