| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| ATTRIBUTION | זה נכון. | *ze nakhon* | “That is true/correct.” | Very common in everyday and formal Hebrew for evaluating statements, facts, sources, or descriptions. Present-tense use often has zero copula; alternate attested predicates include **אמין, מהימן, מדויק, אותנטי, זהה, תואם**. | [CORE] |
| ATTRIBUTION | המקור מהימן. | *ha-maqor meheman* | “The source is reliable.” | Natural in journalism, academic writing, and general evaluation of evidence or testimony. Predicate choice varies by semantic subtype, with reliability especially expressed by **אמין / מהימן**. | [CORE] |
| NEGATIVE ATTRIBUTION | זה לא נכון. | *ze lo nakhon* | “That is not true/correct.” | This is the ordinary colloquial way to deny truth or correctness. Variation is attested between everyday **לא** and more formal **אינו/אינה**; lexical negatives such as **כוזב, שקרי, מזויף** are also noted. | [CORE] |
| NEGATIVE ATTRIBUTION | התיאור אינו תואם למציאות. | *ha-teʾur eino toʾem la-metsiʾut* | “The description does not correspond to reality.” | Natural in formal, written, or evaluative contexts, especially where mismatch with facts or reality is being stated explicitly. The formal negator **אינו** is more restricted stylistically than **לא**. | [CORE] |
| ADNOMINAL MODIFICATION | סיפור אמיתי | *sipur amiti* | “a true story” | A basic and productive noun-plus-modifier pattern used across speech and writing. The modifier follows the noun and agrees with it; alternate attested modifiers include **שקרית, מהימנה, מדויק, אותנטי** in combinations such as **טענה שקרית, עדות מהימנה, תיאור מדויק, אוכל אותנטי**. | [CORE] |
| ADNOMINAL MODIFICATION | מסמך מזויף | *mismakh mezuyaf* | “a forged document” | Common for classifying documents, products, testimony, and similar entities by authenticity or falsity. Especially natural in legal, journalistic, and administrative contexts. | [CORE] |
| BECOME / INCHOATIVE | (no common expression identified) |  | “(no common expression identified)” | No common construction was identified in the source output, so natural usage cannot be confirmed here. The note explicitly says no clear construction is established from the dataset. | [UNCERTAIN] |
| BECOME / INCHOATIVE | (no common expression identified) |  | “(no common expression identified)” | No attested alternate construction is provided in P4a. This category remains doubtful on the available evidence. | [UNCERTAIN] |
| CAUSATIVE | להוציא את האמת לאור | *lehotsi et ha-ʾemet la-ʾor* | “to bring the truth to light” | A natural idiomatic expression for revealing concealed truth, especially in journalism, law, and public discourse. Alternate attested causative/revelatory constructions include **להצדיק**, **להוכיח**, and **לגלות** with a truth noun or proposition. | [CORE] |
| CAUSATIVE | להצדיק את הטענה | *lehatsdiq et ha-taʿanah* | “to justify the claim” | Common in argumentative, legal, and academic contexts where a claim is being supported or shown warranted. P4a specifically notes **להצדיק** as a clearly attested direct causative morphology in this domain. | [CORE] |
| ABSTRACT NOMINALIZATION | אמת | *ʾemet* | “truth” | Highly natural as an abstract noun in both standalone and construct-like NP uses. Alternate attested nominalizations include **דיוק, אמינות, מהימנות, צדק, הצדקה, מהות, זיוף**, including NP patterns such as **מהימנות המקור** and **חוסר דיוק**. | [CORE] |
| ABSTRACT NOMINALIZATION | אמינות | *ʾaminut* | “reliability / credibility” | Common in evaluation of sources, testimony, institutions, and information. Especially frequent in formal and semi-formal registers. | [CORE] |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | (no common expression identified) |  | “(no common expression identified)” | No productive agentive pattern was identified in the dataset for this semantic area. P4a notes preference for descriptive phrases or clause-level expressions instead. | [UNCERTAIN] |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | (no common expression identified) |  | “(no common expression identified)” | Attested alternates mentioned in P4a are **איש אמת** and **לומר את האמת**, but not as a productive agentive nominalization pattern. This category is therefore unclear rather than established. | [UNCERTAIN] |
| LIGHT-VERB / SUPPORT-VERB CONSTRUCTIONS | לומר את האמת | *lomar et ha-ʾemet* | “to tell the truth” | One of the strongest and most idiomatic patterns in the dataset, used broadly in speech and writing. Alternate attested support-verb combinations include **לעשות צדק** and, at the pattern level, combinations with **אמת, צדק, שקר, אמינות**. | [CORE] |
| LIGHT-VERB / SUPPORT-VERB CONSTRUCTIONS | לעשות צדק | *laʿasot tsedeq* | “to do justice” | Natural especially in moral, legal, and rhetorical contexts. This construction type is productive in packaging truth-related meanings through verb+noun combinations rather than single verbs. | [CORE] |
| DISCOURSE-MARKER CONSTRUCTIONS | למען האמת | *lemaʿan ha-ʾemet* | “to tell the truth / honestly” | A common discourse marker used to introduce candor, qualification, or a more direct stance. It is relatively fixed in form and functions pragmatically rather than as ordinary predication. | [CORE] |
| DISCOURSE-MARKER CONSTRUCTIONS | ליתר דיוק | *le-yeter diyuq* | “more precisely” | Common in spoken and written reformulation when correcting or sharpening a previous statement. Like **למען האמת**, it is a semi-frozen discourse frame. | [CORE] |
| CORRESPONDENCE / COMPARISON CONSTRUCTIONS | זהה ל־ | *zehe le-* | “identical to—” | Natural for explicit comparison of identity or exact sameness in formal and general usage. Alternate attested constructions in this set include **דומה ל־** for resemblance and **תואם ל־ / תואם את** for correspondence. | [CORE] |
| CORRESPONDENCE / COMPARISON CONSTRUCTIONS | תואם את העובדות | *toʾem et ha-uvdot* | “matches the facts” | Common in evaluative contexts involving facts, records, descriptions, or reality. P4a notes variation between complements with **ל־** and **את**. | [CORE] |
| FORMAL FALSEHOOD LABELING | הצהרה כוזבת | *hatsaharah kozevet* | “false declaration” | Strongly associated with legal, bureaucratic, and journalistic Hebrew rather than casual conversation. It contrasts with everyday clausal negation such as **זה לא נכון**. | [CORE] |
| FORMAL FALSEHOOD LABELING | טענה שקרית | *taʿanah sheqrit* | “false claim” | Common in institutional or formal evaluation of statements, allegations, and reports. The pattern is especially natural when claims are being categorized rather than simply denied. | [CORE] |
