# F3 — SEMANTIC GROUPS TABLE

| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|------------|------------|---------------------------|-------------------------------|----------------|
| GROUP 1: Truth-stating and verification expressions | This group comprises expressions used when making claims about factual accuracy, confirming information, or establishing what corresponds to reality. These terms appear in contexts where speakers assert, verify, or authenticate the truth-status of statements, documents, or situations. They contrast with expressions of falsehood and are commonly found in testimonial, investigative, legal, and administrative discourse. | egia (truth), egiazkoa (true, genuine, authentic), egiazko (true, real - attributive), egiazkotasuna (truthfulness, authenticity), egia esan (to tell the truth), egiaztatu (to verify, to confirm), egiazkotua (verified, confirmed), egiaztagiri (certificate, attestation), egiaztapen (verification, confirmation), egiatan (in truth, truly), egiazki (truly, really), benetan (truly, really, indeed), benetako/benetakoa (real, genuine, actual), ziurra (certain, sure, secure), ziurtatu (to make sure, to ensure), ziurtasuna (certainty, security), ziurtagiri (certificate), ageria (evident, obvious, manifest), agerian dago (it is evident) | benetako/benetakoa: overlaps with GROUP 2 (authenticity emphasis) but primarily functions in truth-stating contexts; ziurra: overlaps with epistemic certainty expressions but also used for factual verification; ageria: overlaps with GROUP 4 (visibility/manifestation) but functions in truth-stating when indicating evident facts | Forms a loosely connected cluster with Groups 2-3 around truth, authenticity, and deception |
| GROUP 2: Authenticity and genuineness expressions | This group includes expressions that distinguish the genuine, real, or authentic from the fake, pretended, or merely apparent. These terms are used to evaluate whether something is what it claims or appears to be, focusing on essential nature rather than factual accuracy of statements. Common in contexts evaluating relationships, emotions, objects, identities, and character. | egiazko maitasuna (true love), egiazko adiskidea (true friend), egiazko izaera (true nature, real character), egiazko balioa (true value, real worth), benetako/benetakoa (real, genuine, actual), funtsean (fundamentally, essentially), egiazko egoera (true situation, real state of affairs), egiazko arrazoia (true reason, real reason), faltsua (false, fake, counterfeit), faltsukeria (falseness, deceit, hypocrisy), faltsu jokatu (to play false, to act deceitfully), gezurrezko identitatea (false identity), gezurrezko itxura (false appearance) | egiazko: functions in both truth-stating (GROUP 1) and authenticity contexts; faltsua: overlaps with GROUP 3 (deliberate deception) but emphasizes inauthenticity over intentional lying; itxurazko (apparent, seeming): contrasts with this group but doesn't clearly belong to it | Forms a loosely connected cluster with Groups 1 and 3 around truth, authenticity, and deception |
| GROUP 3: Falsehood and deception expressions | This group comprises expressions for deliberate falsehoods, lies, and deceptive acts. These terms emphasize intentional misrepresentation and are used in moral, legal, and social contexts to describe and condemn dishonest behavior. They contrast with truth-telling expressions and carry negative moral valence. | gezurra (lie, falsehood), gezurra esan (to tell a lie), gezurrezko (false, fake - attributive), gezurti (falsely, lyingly), gezurtatu (to lie, to falsify), gezurkeria (lying, deceit - habitual/collective), gezur-gezurra (complete lie, blatant lie), gezur hutsa (pure lie, nothing but a lie), gezurra eman (to give the lie to, to prove false), gezurra atera (to expose a lie), gezurretan hartu (to catch in a lie), gezurrezko lekukotza (false testimony, perjury), gezurrezko agiri (false document), gezurrezko albistea (false news, fake news), gezurrezko promesa (false promise), gezurrezko aitorpena (false confession), iruzurra (fraud, deception), iruzur egin (to commit fraud), iruzurti (fraudulently, deceitfully), iruzurtsu (fraudulent, deceitful), iruzurkeria (fraudulence, systematic deception), faltsua (false, fake, counterfeit), faltsutu (to falsify, to counterfeit) | gezur txikia (white lie): belongs to this group but with mitigated moral condemnation; faltsua: overlaps with GROUP 2 (inauthenticity) but also functions in deliberate deception contexts; gezurrezko itxura: could belong to GROUP 4 (appearance) or this group depending on whether deception is intentional | Forms a loosely connected cluster with Groups 1-2 around truth, authenticity, and deception |
| GROUP 4: Correctness and error expressions | This group includes expressions for what is correct, right, or proper versus what is wrong, mistaken, or erroneous. These terms are used in evaluative contexts spanning physical alignment, factual accuracy, procedural propriety, and moral rightness. They appear in educational, technical, moral, and everyday practical contexts where standards of correctness apply. | zuzena (correct, right, straight), zuzendu (to correct, to straighten, to rectify), zuzenketa (correction, rectification), zuzentasuna (correctness, rightness, justice), zuzen egin (to do right, to act correctly), zuzen ibili (to walk straight, to behave properly), zuzen jarri (to straighten, to set right), zuzen-zuzen (very straight, completely correct), okerra (wrong, incorrect, crooked), okertu (to go wrong, to become crooked), okertasuna (wrongness, incorrectness), oker egin (to do wrong, to make a mistake), oker joan (to go wrong, to go astray), oker ibili (to walk crooked, to behave wrongly), zehatza (precise, exact), zehaztu (to specify, to determine precisely), zehaztasuna (precision, exactness), zehazki (precisely, exactly), zehatz-mehatz (precisely, in detail, meticulously), egokia (appropriate, suitable), egokitu (to adapt, to suit, to fit), egokitasuna (appropriateness, suitability), huts egin (to fail, to miss, to err) | zuzentasuna: extends into legal/moral justice (GROUP 6) beyond simple correctness; zuzen ibili/oker ibili: overlap with moral conduct expressions (GROUP 6); egokia: focuses on situational appropriateness rather than absolute correctness | Shows overlap with Group 6 in the moral extension of correctness |
| GROUP 5: Reliability and credibility expressions | This group comprises expressions evaluating whether sources, persons, or claims are worthy of trust, belief, or confidence. These terms are used when assessing the dependability of information sources, the trustworthiness of people, and the plausibility of claims. Common in contexts of information evaluation, social trust, and epistemic assessment. | fidagarria (reliable, trustworthy, dependable), sinesgarria (believable, credible, plausible), zalantzagarria (doubtful, dubious, questionable), zalantzan jarri (to call into question, to cast doubt on), zalantzan egon (to be in doubt, to be uncertain), frogagarria (provable, demonstrable, verifiable), froga eman (to give proof, to provide evidence), frogatu behar (must prove, need to prove) | ziurra (certain, sure): overlaps with GROUP 1 (verification) but also functions in reliability contexts; egiazkotua (verified): belongs primarily to GROUP 1 but relates to establishing reliability | Represents a distinct epistemic evaluation function |
| GROUP 6: Moral honesty and integrity expressions | This group includes expressions for honest, sincere, and upright character and conduct versus dishonest, deceitful, or hypocritical behavior. These terms emphasize moral evaluation of persons and their actions, focusing on integrity, sincerity, and ethical conduct. Common in moral discourse, character assessment, and social evaluation. | zintzoa (honest, sincere), zintzotasuna (honesty, sincerity, integrity), zintzoki (honestly, sincerely), zintzo jokatu (to act honestly, to play fair), zintzo ibili (to behave honestly, to act with integrity), zuzen ibili (to behave properly), zuzentasuna (justice, rectitude), gezurkeria (lying, deceit - with moral condemnation), faltsukeria (falseness, deceit, hypocrisy), faltsu jokatu (to play false, to act deceitfully), iruzurkeria (fraudulence, systematic deception) | zuzentasuna: overlaps with GROUP 4 (correctness) but extends to moral/legal justice; zuzen ibili: functions in both correctness contexts (GROUP 4) and moral conduct contexts; gezurkeria/faltsukeria/iruzurkeria: belong primarily to GROUP 3 (deception) but carry strong moral condemnation | Shows overlap with Group 4 in the moral extension of correctness |
| GROUP 7: Similarity and identity expressions | This group comprises expressions for sameness, equality, similarity, and resemblance. These terms are used in comparative contexts to indicate degrees of likeness, from complete identity to mere resemblance. Common in analytical, descriptive, and comparative discourse across various domains. | berdina (same, equal, identical), berdindu (to equalize, to make equal), berdinketa (equalization, tie), berdintasuna (equality, sameness), berdin-berdin (exactly the same, completely equal), berdin dio (it's all the same, it doesn't matter), berdin da (it's the same, it doesn't matter), antzekoa (similar, resembling, like), antzeko (similar - attributive), antzetasuna (similarity, resemblance), antzeko zerbait (something similar), antza eman (to give the appearance, to seem) | antza eman: overlaps with GROUP 8 (appearance) but functions in similarity contexts; berdina: in some contexts expresses indifference rather than identity | Deals with comparison |
| GROUP 8: Appearance and manifestation expressions | This group includes expressions for how things appear, seem, or present themselves, often contrasting appearance with underlying reality. These terms are used when describing surface phenomena, visible manifestations, or seeming characteristics that may or may not correspond to actual nature. Common in descriptive, analytical, and skeptical discourse. | itxurazko (apparent, seeming, ostensible), itxura eman (to give the appearance, to seem), itxuraz behintzat (at least apparently), ageria (evident, obvious, manifest), agertu (to appear, to become visible), agerian (in the open, visibly), agerian jarri (to expose, to make visible), agerian egon (to be exposed, to be visible), agerian dago (it is evident), gezurra dirudi (it seems like a lie, it appears false), antza eman (to give the appearance, to seem) | ageria: overlaps with GROUP 1 (truth-stating) when used for evident facts; gezurra dirudi: belongs primarily to GROUP 3 (falsehood) but functions in appearance/seeming contexts; itxurazko: contrasts with authenticity (GROUP 2) but doesn't clearly belong to that group | Deals with appearance |
| GROUP 9: Directness and mediation expressions | This group comprises expressions indicating direct, unmediated, or immediate connection versus indirect or mediated relationships. These terms are used to describe spatial paths, temporal immediacy, communicative directness, and unmediated transmission. Common in navigational, temporal, communicative, and media contexts. | zuzenean (directly, straight, live broadcast), zuzeneko (direct, straight, live - attributive), zuzen joan (to go straight, to proceed directly), zuzen-zuzenean (directly, straight away, immediately), zuzen-zuzen (very straight, directly) | zuzen: functions in multiple contexts (physical straightness, correctness, directness) | Shows limited development as a distinct semantic group |
