| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| 真 (zhēn) | 这是真的 | zhè shì zhēn de | This is true / This is real / This is genuine. | The copular construction X + 是 + 真的 is the most basic predication of truth or genuineness in Chinese. The particle 的 nominalizes or substantivizes 真, producing a predicative structure. Ubiquitous across all registers and contexts. Functions as the default construction for asserting that something is not fake or not false. | [CORE] |
| 真 (zhēn) | 是真是假 | shì zhēn shì jiǎ | Whether it is true or false; is it real or fake? | The parallel structure 是X是Y presents two alternatives for evaluation. This construction frames the authenticity question as an open binary and is common in investigative, commercial, and everyday discourse. Used in everyday speech and in contexts of evaluating claims, objects, or situations ("说不清是真是假" — can't tell whether it's true or false). Closely related to 真假难辨. | [CORE] |
| 真 (zhēn) | 说真的 | shuō zhēn de | To be honest; speaking truthfully; honestly speaking. | A discourse-initial or parenthetical expression used to signal that the speaker is about to make a frank or sincere statement, or to assert that one is speaking seriously rather than jokingly. Parallel in function to 说实话 and 老实说. Common in conversational registers. Functions as a discourse marker across all registers of spoken Chinese. | [CORE] |
| 真 (zhēn) | 来真的 | lái zhēn de | To do it for real; to get serious; to mean business. | A colloquial construction using the verb 来 (to come/do) with 真的 to assert that something is being done genuinely rather than as a pretense or game. Contrasts with 来假的 (to go through the motions). Used in everyday speech ("他是来真的" — he's serious about this / he means it for real). Common in informal spoken registers. | [CORE] |
| 真 (zhēn) | 不是真的 | bù shì zhēn de | It is not true / It is not real / It is not genuine. | The negated copular construction, parallel to Construction 1. The most basic predication of non-truth or inauthenticity. Ubiquitous across all registers. The negated construction has distinct pragmatic uses (denial, correction, reassurance) that differ from the affirmative. | [CORE] |
| 真 (zhēn) | 当真吗？ | dàng zhēn ma? | Are you serious? Do you really mean it? Is it for real? | A common conversational question used to ask whether a statement or situation should be taken as genuine rather than as a joke or exaggeration. Distinct from the lexicalized 当真 (P1b) in that it functions as a full interrogative construction. | [CORE] |
| 真 (zhēn) | 半真半假 | bàn zhēn bàn jiǎ | Half true, half false; partly genuine, partly fabricated. | A fixed periphrastic construction using the 半X半Y pattern to describe something that is a mixture of genuine and false elements. Used in evaluative discourse about accounts, claims, or representations. | [CORE] |
| 真 (zhēn) | 说真话 | shuō zhēnhuà | To tell the truth; to speak truthfully. | A common verb-object collocation meaning to speak truthfully. Contrasts directly with 说假话 (to tell lies). Used across moral, legal, and everyday contexts. | [CORE] |
| 真 (zhēn) | 真有其事 | zhēn yǒu qí shì | It really happened; the matter is real; it's a true story. | A fixed predicate construction asserting that a reported event or matter actually occurred. Used in journalistic and everyday contexts to confirm the factual basis of a report or rumor ("此事真有其事" — this matter really did happen). | [CORE] |
| 真 (zhēn) | 假戏真做 | jiǎ xì zhēn zuò | To play a fake role as if it were real; to act out a fiction as though it were genuine. | A fixed expression describing the situation in which someone performs a pretense with genuine commitment, so that the boundary between fiction and reality blurs. Used in dramatic, interpersonal, and political contexts. Distinct from 弄假成真 in that the performative frame is maintained even as the execution becomes genuine. | [CORE] |
| 假 (jiǎ) | 这是假的 | zhè shì jiǎ de | This is fake / This is false / This is not genuine. | The copular construction X + 是 + 假的, parallel to Construction 1 for 真. The most basic predication of inauthenticity or falseness. Ubiquitous across all registers, including commercial, legal, and everyday contexts. | [CORE] |
| 假 (jiǎ) | 装假 | zhuāng jiǎ | To put on a false front; to pretend; to fake it. | The verb 装 (to pretend, to put on) combined with 假 produces a colloquial expression for performing inauthenticity. Common in everyday speech. Overlaps with 假装 but 装假 foregrounds the performance aspect more explicitly. Slightly more colloquial than 假装 (P1b). | [CORE] |
| 假 (jiǎ) | 打假 | dǎ jiǎ | To crack down on counterfeits; to combat fakes; anti-counterfeiting. | The verb 打 (to strike, to combat) combined with 假 produces a widely used expression in commercial, regulatory, and legal discourse for efforts to suppress counterfeit goods or fraudulent practices. 打假行动 (anti-counterfeiting campaign) and 打假力度 (intensity of anti-fake enforcement) are standard collocations. | [CORE] |
| 假 (jiǎ) | 造假 | zào jiǎ | To fabricate; to falsify; to manufacture fakes. | The verb 造 (to make, to manufacture) combined with 假 produces a common expression for the act of creating false documents, data, or objects. Used in legal, academic, and journalistic contexts: 数据造假 (data fabrication), 学术造假 (academic fraud). Closely related to 伪造 but more colloquial and broader in application. | [CORE] |
