# CLCA Protocol v3.4 — F2b Constructions Table
# Language: Georgian (ka)

| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| ჭეშმარიტი (ch'eshmarit'i) | ჭეშმარიტი სიტყვა | ch'eshmarit'i sit'q'va | true word, truth | Fixed phrase meaning "the truth" or "true words." Common in everyday speech when affirming truthfulness or asking someone to speak truthfully. | [CORE] |
| ჭეშმარიტი (ch'eshmarit'i) | ჭეშმარიტი ღმერთი | ch'eshmarit'i ghmerti | true God | Religious phrase distinguishing the true God from false gods or idols. Common in religious discourse and liturgical contexts. | [CORE] |
| ჭეშმარიტი (ch'eshmarit'i) | ჭეშმარიტი გზა | ch'eshmarit'i gza | true path, right way | Metaphorical phrase for the correct or righteous path in life. Used in moral and religious discourse. | [CORE] |
| სიმართლე (simart'le) | სიმართლე და სამართალი | simart'le da samart'ali | truth and justice | Fixed phrase pairing truth with justice/law. Common in legal, political, and moral discourse as fundamental values. | [CORE] |
| სიმართლე (simart'le) | სიმართლის თქმა | simart'lis t'q'ma | telling the truth, truth-telling | Phrase referring to the act of speaking truthfully. Common in moral discourse and everyday contexts about honesty. | [CORE] |
| სიმართლე (simart'le) | სიმართლე გითხრა | simart'le git'khra | I'll tell you the truth, to tell you the truth | Conversational phrase used to introduce a frank or honest statement. Very common in everyday speech. | [CORE] |
| სიმართლე (simart'le) | სიმართლე რომ ვთქვათ | simart'le rom vt'q'vat | to tell the truth, truth be told | Fixed phrase introducing an honest admission or frank statement. Common in both formal and informal discourse. | [CORE] |
| სიმართლე (simart'le) | სიმართლის ძიება | simart'lis dzieba | search for truth, seeking truth | Phrase describing the pursuit of truth. Common in philosophical, investigative, and moral contexts. | [CORE] |
| სიმართლე (simart'le) | სიმართლის მომენტი | simart'lis moment'i | moment of truth | Borrowed phrase (calque) for critical moment when truth is revealed. Used in dramatic and analytical contexts. | [CORE] |
| სიმართლე (simart'le) | სიმართლის საათი | simart'lis saati | hour of truth | Similar to "moment of truth," referring to critical time when truth emerges. Used in dramatic contexts. | [CORE] |
| სიმართლე (simart'le) | სიმართლეს თვალში უყურებს | simart'les tvalshi uq'urebs | looks truth in the eye | Idiomatic phrase meaning to face reality honestly or confront truth directly. Common in evaluating courage and honesty. | [CORE] |
| სიმართლე (simart'le) | სიმართლე თვალებში უყურებს | simart'le tvalebshi uq'urebs | truth looks (you) in the eyes | Idiomatic expression meaning truth is obvious or undeniable. Common in contexts where facts are clear. | [CORE] |
| სიმართლე (simart'le) | სიმართლე ზღვის ფსკერზეც კი ამოვა | simart'le zghvis pskerzetsk'i amova | truth will come up even from the bottom of the sea | Proverbial expression meaning truth will eventually be revealed. Common in moral discourse. | [CORE] |
| სიმართლე (simart'le) | სიმართლე მწარეა, მაგრამ სიმართლეა | simart'le mts'area, magram simart'lea | truth is bitter, but it is truth | Proverbial expression acknowledging that truth can be unpleasant but must be accepted. Common in moral discourse. | [CORE] |
| მართალი (mart'ali) | მართალი ხარ | mart'ali khar | you are right, you are correct | Very common phrase for agreeing with someone or acknowledging they are correct. Used constantly in everyday conversation. | [CORE] |
