# CLCA Protocol v3.4 — F4 Construction Table
# Language: Greek (el)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|------------------|---------|-----------------|-------------|-------------|------------------|
| ATTRIBUTION | αυτό είναι αλήθεια | aftó íne alítheia | this is truth/true | Standard copular construction with truth-domain adjectives or nouns. Subject X is characterized by the truth-property. Greek uses the copula είναι with both nominal predicates (αλήθεια) and adjectival predicates (αληθινός, σωστός, ψευδής). No special construction required; standard predication pattern. | [CORE] |
| ATTRIBUTION | η ιστορία είναι αληθινή | i istoría íne alithiní | the story is true | Standard copular construction with truth-domain adjectives or nouns. Subject X is characterized by the truth-property. Greek uses the copula είναι with both nominal predicates (αλήθεια) and adjectival predicates (αληθινός, σωστός, ψευδής). No special construction required; standard predication pattern. | [CORE] |
| NEGATIVE ATTRIBUTION | αυτό δεν είναι αλήθεια | aftó den íne alítheia | this is not true | Standard negation with δεν preceding the copula. Also: X είναι NEGATIVE-TRUTH-TERM using inherently negative terms. Greek employs both analytic negation (δεν + positive term) and lexical negation (inherently negative terms like ψέμα, λάθος, άδικος). Both patterns equally common. | [CORE] |
| NEGATIVE ATTRIBUTION | αυτό είναι ψέμα | aftó íne pséma | this is a lie | Standard negation with δεν preceding the copula. Also: X είναι NEGATIVE-TRUTH-TERM using inherently negative terms. Greek employs both analytic negation (δεν + positive term) and lexical negation (inherently negative terms like ψέμα, λάθος, άδικος). Both patterns equally common. | [CORE] |
| ADNOMINAL MODIFICATION | αληθινή ιστορία | alithiní istoría | true story | Truth-domain adjectives modify nouns directly in attributive position, agreeing in gender, number, and case. Standard Greek adjective-noun agreement. Truth adjectives (αληθινός, σωστός, ψευδής, πλαστός, etc.) function as regular attributive modifiers with full inflectional agreement. | [CORE] |
| ADNOMINAL MODIFICATION | ψευδής κατάθεση | psevdís katáthesi | false testimony | Truth-domain adjectives modify nouns directly in attributive position, agreeing in gender, number, and case. Standard Greek adjective-noun agreement. Truth adjectives (αληθινός, σωστός, ψευδής, πλαστός, etc.) function as regular attributive modifiers with full inflectional agreement. | [CORE] |
| BECOME / INCHOATIVE | γίνεται σωστό | gínete sostó | it becomes correct | The verb γίνομαι "become" combines with truth adjectives to express change of state. Standard inchoative construction using γίνομαι. Less common with core truth terms (αλήθεια, ψέμα) which resist inchoative framing; more natural with correctness terms (σωστός) and clarity terms. | [MARGINAL] |
| BECOME / INCHOATIVE | η κατάσταση γίνεται σαφής | i katástasi gínete safís | the situation becomes clear | The verb γίνομαι "become" combines with truth adjectives to express change of state. Standard inchoative construction using γίνομαι. Less common with core truth terms (αλήθεια, ψέμα) which resist inchoative framing; more natural with correctness terms (σωστός) and clarity terms. | [MARGINAL] |
| CAUSATIVE | το κάνει σωστό | to káni sostó | it makes it correct | The verb κάνω "make/do" can express causation with adjectival complements. Also: specialized causative verbs with -ώνω suffix. Greek has both analytic causatives (κάνω + adjective) and morphological causatives (ακυρώνω "invalidate," βεβαιώνω "certify"). The morphological pattern is productive for legal/administrative terms but not for core truth vocabulary. | [MARGINAL] |
| CAUSATIVE | ακυρώνω το έγγραφο | akyróno to éngrafo | I invalidate the document | The verb κάνω "make/do" can express causation with adjectival complements. Also: specialized causative verbs with -ώνω suffix. Greek has both analytic causatives (κάνω + adjective) and morphological causatives (ακυρώνω "invalidate," βεβαιώνω "certify"). The morphological pattern is productive for legal/administrative terms but not for core truth vocabulary. | [CORE] |
| ABSTRACT NOMINALIZATION | ορθότητα | orthótita | correctness | Productive derivational pattern creating abstract quality nouns from adjectives using TRUTH-ROOT + -ότητα/-εια/-ία. Highly productive pattern documented in P2a. The suffix -ότητα is most common (ορθότητα, σωστότητα, αληθινότητα), followed by -εια/-ία (ακρίβεια, ειλικρίνεια, αδικία). Creates abstract quality nouns from truth-domain adjectives. | [CORE] |
| ABSTRACT NOMINALIZATION | αξιοπιστία | axiopistía | reliability | Productive derivational pattern creating abstract quality nouns from adjectives using TRUTH-ROOT + -ότητα/-εια/-ία. Highly productive pattern documented in P2a. The suffix -ότητα is most common (ορθότητα, σωστότητα, αληθινότητα), followed by -εια/-ία (ακρίβεια, ειλικρίνεια, αδικία). Creates abstract quality nouns from truth-domain adjectives. | [CORE] |
| AGENTIVE NOMINALIZATION | ψεύτης | pséftis | liar | Derivational pattern creating agent nouns for persons characterized by truth-related behavior using TRUTH-ROOT + agent suffix (-της, -τρα, -αράς, -εώνας). Productive for negative agents (ψεύτης, ψεύτρα, ψευταράς, απατεώνας) but limited for positive agents. No common agentive noun for "truth-teller" in everyday use (αληθολόγος exists but is marginal/literary). | [CORE] |
| AGENTIVE NOMINALIZATION | απατεώνας | apateónas | swindler | Derivational pattern creating agent nouns for persons characterized by truth-related behavior using TRUTH-ROOT + agent suffix (-της, -τρα, -αράς, -εώνας). Productive for negative agents (ψεύτης, ψεύτρα, ψευταράς, απατεώνας) but limited for positive agents. No common agentive noun for "truth-teller" in everyday use (αληθολόγος exists but is marginal/literary). | [CORE] |
| TRUTH-TELLING CONSTRUCTIONS | λέω την αλήθεια | léo tin alítheia | I tell the truth | Light verb λέω "say/tell" combines with truth nouns to express truth-telling or lying. This is the primary construction for expressing truth-telling and lying in Greek. The verb λέω is obligatory; no single-word verb equivalent to English "lie" exists (*ψεμίζω is not standard). The verb ψεύδομαι exists but is more formal. | [CORE] |
| TRUTH-TELLING CONSTRUCTIONS | λέω ψέματα | léo psémata | I tell lies | Light verb λέω "say/tell" combines with truth nouns to express truth-telling or lying. This is the primary construction for expressing truth-telling and lying in Greek. The verb λέω is obligatory; no single-word verb equivalent to English "lie" exists (*ψεμίζω is not standard). The verb ψεύδομαι exists but is more formal. | [CORE] |
| ERROR-MAKING CONSTRUCTIONS | κάνω λάθος | káno láthos | I make a mistake / I'm wrong | Light verb κάνω combines with error noun λάθος to express making mistakes. This is the standard construction for expressing error in Greek. The verb κάνω is obligatory; λάθος does not function as a verb. The construction is extremely common and productive with various modifiers of λάθος. | [CORE] |
| ERROR-MAKING CONSTRUCTIONS | έκανα ένα μεγάλο λάθος | ékana éna megálo láthos | I made a big mistake | Light verb κάνω combines with error noun λάθος to express making mistakes. This is the standard construction for expressing error in Greek. The verb κάνω is obligatory; λάθος does not function as a verb. The construction is extremely common and productive with various modifiers of λάθος. | [CORE] |
| PREPOSITIONAL TRUTH PHRASES | στην αλήθεια | stin alítheia | in truth, actually | Prepositional phrases with truth nouns function as discourse markers or adverbials using στην + TRUTH-NOUN. These prepositional phrases function as discourse markers introducing corrections or frank statements. Very common in both spoken and written Greek. The pattern is productive with abstract truth nouns. | [CORE] |
| PREPOSITIONAL TRUTH PHRASES | στην πραγματικότητα | stin pragmatikótita | in reality, actually | Prepositional phrases with truth nouns function as discourse markers or adverbials using στην + TRUTH-NOUN. These prepositional phrases function as discourse markers introducing corrections or frank statements. Very common in both spoken and written Greek. The pattern is productive with abstract truth nouns. | [CORE] |
| INTERROGATIVE TRUTH EXPRESSIONS | αλήθεια; | alítheia? | really? is that true? | Single truth nouns used as questions to express surprise or seek confirmation using TRUTH-NOUN + interrogative intonation. Greek allows bare truth nouns with interrogative intonation to function as complete questions. This pattern is extremely common in colloquial speech for expressing surprise or seeking confirmation. | [CORE] |
| INTERROGATIVE TRUTH EXPRESSIONS | σοβαρά; | sovará? | seriously? | Single truth nouns used as questions to express surprise or seek confirmation using TRUTH-NOUN + interrogative intonation. Greek allows bare truth nouns with interrogative intonation to function as complete questions. This pattern is extremely common in colloquial speech for expressing surprise or seeking confirmation. | [CORE] |
| EXCLAMATORY TRUTH EXPRESSIONS | ψέματα! | psémata! | lies! no way! | Truth vocabulary used as exclamations to express emphasis or denial using TRUTH-NOUN/ADJ + exclamatory intonation. Greek productively uses truth vocabulary as exclamations. The plural ψέματα functions as a denial ("that's not true!"). The possessive construction αλήθεια μου emphasizes sincerity. | [CORE] |
| EXCLAMATORY TRUTH EXPRESSIONS | αλήθεια μου! | alítheia mou! | honestly! truly! | Truth vocabulary used as exclamations to express emphasis or denial using TRUTH-NOUN/ADJ + exclamatory intonation. Greek productively uses truth vocabulary as exclamations. The plural ψέματα functions as a denial ("that's not true!"). The possessive construction αλήθεια μου emphasizes sincerity. | [CORE] |
| CATCHING IN FALSEHOOD | τον έπιασα στο ψέμα | ton épiasa sto pséma | I caught him in a lie | Construction expressing discovery of someone in error or deception using πιάνω + X + στο ψέμα/λάθος. The verb πιάνω "catch" combines with prepositional phrase στο ψέμα/λάθος to express discovery of falsehood or error. Common construction in everyday speech. | [CORE] |
| CATCHING IN FALSEHOOD | την έπιασαν στο λάθος | tin épiasan sto láthos | they caught her in the mistake | Construction expressing discovery of someone in error or deception using πιάνω + X + στο ψέμα/λάθος. The verb πιάνω "catch" combines with prepositional phrase στο ψέμα/λάθος to express discovery of falsehood or error. Common construction in everyday speech. | [CORE] |
| TRUTH REVELATION | βγαίνει η αλήθεια στο φως | vgéni i alítheia sto fos | the truth comes to light | Constructions expressing truth being revealed or discovered using βγαίνω/αποκαλύπτω + η αλήθεια. Greek uses both intransitive (βγαίνω "come out") and transitive (αποκαλύπτω "reveal") verbs with αλήθεια to express truth revelation. The phrase στο φως "to the light" is a common metaphorical extension. | [CORE] |
| TRUTH REVELATION | αποκαλύπτω την αλήθεια | apokalýpto tin alítheia | I reveal the truth | Constructions expressing truth being revealed or discovered using βγαίνω/αποκαλύπτω + η αλήθεια. Greek uses both intransitive (βγαίνω "come out") and transitive (αποκαλύπτω "reveal") verbs with αλήθεια to express truth revelation. The phrase στο φως "to the light" is a common metaphorical extension. | [CORE] |
| TRUTH CONCEALMENT | κρύβει την αλήθεια | krývi tin alítheia | he/she hides the truth | Construction expressing concealment of truth using κρύβω + την αλήθεια. The verb κρύβω "hide" combines with αλήθεια to express truth concealment. Common in accusations and discussions of deception. Contrasts with revelation constructions. | [CORE] |
