# F6 — NATURALNESS TABLE

| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|----------|---------------------------|-----------------|-------------------|-------|
| 1 | Nagtotoo ang panaginip ko. | nagtotoo ang panaginip ko | NATURAL | Very common for dreams, predictions, wishes. Progressive aspect with reduplication indicates ongoing realization. |
| 2 | Tumutuoo ang hula. | tumutuoo ang hula | NATURAL | Alternative to *nagtotoo*. Common for predictions and prophecies. |
| 3 | Magkatotoo ang iyong pangarap. | magkatotoo ang iyong pangarap | NATURAL | Often used in wishes or hopes for realization. *Magka-* prefix indicates accidental/resultative change. |
| 4 | Nagtotoo na ang sinabi niya. | nagtotoo na ang sinabi niya | NATURAL | Addition of *na* marks current realization of previously made statement. |
| 5 | Tumuoo ang lahat ng sinabi mo. | tumuoo ang lahat ng sinabi mo | NATURAL | Completed aspect indicates full realization has occurred. |
| 6 | Tumama ang hula ko. | tumama ang hula ko | NATURAL | Common for correct guesses, predictions, or estimates. Note: polysemous with "to hit/strike." |
| 7 | Tumama ka sa sagot. | tumama ka sa sagot | NATURAL | *Sa* marks the goal/target of correctness. |
| 8 | Tumatama ang kanyang palagay. | tumatama ang kanyang palagay | NATURAL | Progressive aspect indicates ongoing validation. |
| 9 | Nagkamali ako. | nagkamali ako | NATURAL | Extremely common expression for acknowledging errors. Highly lexicalized. |
| 10 | Nagkakamali ka. | nagkakamali ka | NATURAL | Progressive aspect indicates ongoing or habitual error-making. |
| 11 | Baka magkamali ako. | baka magkamali ako | NATURAL | Common in hedging or expressing uncertainty. |
| 12 | Huwag kang magkamali. | huwag kang magkamali | NATURAL | Negative imperative warning against error. |
| 13 | Nagkamali siya sa pagkakaintindi. | nagkamali siya sa pagkakaintindi | NATURAL | *Sa* marks the domain of the error. |
| 14 | Patunayan mo ang sinabi mo. | patunayan mo ang sinabi mo | NATURAL | Very common directive in legal, investigative, and argumentative contexts. |
| 15 | Pinatunayan niya ang katotohanan. | pinatunayan niya ang katotohanan | NATURAL | Completed aspect, patient voice. Common in reporting verification. |
| 16 | Napatunayan niya ang kanyang punto. | napatunayan niya ang kanyang punto | NATURAL | Abilitative completed aspect emphasizes successful completion. |
| 17 | Pinapatunayan niya ang kanyang salita. | pinapatunayan niya ang kanyang salita | NATURAL | Progressive aspect indicates ongoing proving action. |
| 18 | Mapatunayan ko ang aking inoseniya. | mapatunayan ko ang aking inoseniya | NATURAL | Abilitative contemplated aspect. Common in legal contexts. |
| 19 | Pinatotohanan niya ang kanyang pangako. | pinatotohanan niya ang kanyang pangako | MARGINAL | Less common than *patunayan*. Appears in more formal or literary contexts. |
| 20 | Pakatotohanin mo ang sinabi mo. | pakatotohanin mo ang sinabi mo | MARGINAL | Emphatic directive with intensifying *paka-*. Less frequent than simple causative forms. |
| 21 | Itama mo ang sagot. | itama mo ang sagot | NATURAL | Very common directive for making corrections. |
| 22 | Tinatama niya ang kanyang pagkakamali. | tinatama niya ang kanyang pagkakamali | NATURAL | Progressive aspect indicates ongoing correction action. |
| 23 | Wastuhan mo ang ulat. | wastuhan mo ang ulat | MARGINAL | More formal register than *itama*. Less common in everyday speech. |
| 24 | Manlinlang siya ng tao. | manlinlang siya ng tao | NATURAL | Habitual or characteristic action of deceiving. |
| 25 | Linlangin mo siya. | linlangin mo siya | NATURAL | Directive focusing on the victim of deception. |
