| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|---|---|---|---|---|---|---|
| सत्य (*satya*) | सत्यता | satyatā | *satya* + *-tā* (abstract nominal suffix); "the state or property of being true" | truthfulness, truth as an abstract property | Used in philosophical and ethical discourse to name the abstract property of being true or truthful, as distinct from particular true statements or acts. Appears in characterizations of persons and propositions. Appears in *Nyāya* commentaries and *Dharmaśāstra*. (Cross-referenced from P1b Root 1, item 8.) | [CORE] |
| सत्य (*satya*) | सत्यत्व | satyatva | *satya* + *-tva* (abstract nominal suffix); "the state of being true" | truthfulness, the property of being true | Parallel to *satyatā* but formed with the *-tva* suffix; used in philosophical prose to name the abstract property of truth. Both *satyatā* and *satyatva* are attested, with *satyatā* somewhat more common in ethical contexts and *satyatva* more common in technical philosophical argument. A more technical philosophical variant appearing in Navya-Nyāya logical literature to refer to the property of truth as a formal category subject to definition and analysis. | [MARGINAL] |
| सत्य (*satya*) | सात्य | sātya | *satya* + secondary adjectival derivation (vṛddhi of initial syllable); "relating to or characterized by truth" | relating to truth, of the nature of truth | Attested as a secondary adjectival form in some philosophical and grammatical contexts, though less common than *satya* itself used adjectivally. The form is morphologically regular but its independent attestation is limited. Appears in Vedic and post-Vedic literature as a secondary adjectival formation from *satya*, used to characterize what pertains to or partakes of truth. | [MARGINAL] |
| सत्य (*satya*) | सत्यापन | satyāpana | *satya* + *āpana* (causative action noun from root *āp-*, to reach/attain); "causing truth to be established, verification" | verification, attestation, confirmation | Used in legal and administrative contexts for the act of verifying or attesting to the truth of a statement or document. Standard in modern Sanskrit-medium official usage. (Cross-referenced from P1b Root 1, items 7 and 13.) | [CORE] |
| सत्य (*satya*) | सत्यापित | satyāpita | *satya* + *āpita* (past passive participle of causative of *āp-*); "caused to be verified, attested" | verified, attested, certified | Used in legal and administrative documents to indicate that a statement or copy has been officially verified. Standard in modern Sanskrit-influenced official language. The past passive participle form corresponding to *satyāpana*; appears on official documents to indicate that a statement has been verified. (Cross-referenced from P1b Root 1, item 8.) | [CORE] |
| सत्य (*satya*) | सत्यवादिन् | satyavādin | *satya* + *vādin* (agent noun from root *vad-*, to speak); "one who speaks truth" | truth-speaker, one who speaks truthfully | Used in epic and Dharmaśāstra literature to characterize a person whose speech is reliably truthful; appears as an epithet of virtuous figures and as a category in discussions of reliable testimony. Used as a term of praise in *Dharmaśāstra* witness evaluation. (Cross-referenced from P1b Root 1, items 2 and 9.) | [CORE] |
| सत्य (*satya*) | सत्यवचन | satyavacana | *satya* + *vacana* (speech, utterance, from root *vac-*); "truthful utterance" | truthful speech, speaking the truth | Used in ethical and legal contexts to designate the act or practice of speaking truthfully; appears in Dharmaśāstra enumerations of virtuous conduct and in vow formulas. (Cross-referenced from P1b Root 1, item 3.) | [CORE] |
| सत्य (*satya*) | सत्यव्रत | satyavrata | *satya* + *vrata* (vow, observance); "vow of truth" | vow of truthfulness; one who has taken a vow of truth | Used in epic and Purāṇic literature both as a compound noun naming the vow of always speaking truth and as an epithet of figures who have taken such a vow; also functions as a proper name. (Cross-referenced from P1b Root 1, items 4 and 11.) | [CORE] |
| सत्य (*satya*) | सत्यसंध | satyasaṃdha | *satya* + *saṃdha* (bound, pledged, from root *dhā-* with *sam-*); "bound to truth" | true to one's word, faithful to one's pledge | Used in epic literature as an epithet of heroes and kings who keep their promises; evaluates reliability and fidelity to commitments as a form of truthfulness. (Cross-referenced from P1b Root 1, item 5.) | [CORE] |
