| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|---|---|---|---|---|---|---|
| kweli | uongo | kweli / uongo | truth / falsehood, lie; true / false | These are the primary lexical antonyms in the Swahili truth-evaluation domain. They are explicitly contrasted in fixed constructions (*kweli au uongo*, "true or false"), in paired imperatives (*niambie ukweli, usiniambie uongo*), and in proverbial assertions (*kweli hushinda uongo*). They are explicitly paired in the binary evaluative construction *kweli au uongo* ("true or false?") documented in P1b (Root 1, Item 30) and P2b (Item 1, Construction 5; Item 3, Construction 4). P3 identifies them as the core contrasting pair across propositional truth assertion and deception characterization. | lexical | [CORE] |
| ukweli | uongo | ukweli / uongo | truth, truthfulness / lie, falsehood, deception | The CONTEXT explicitly identifies *uongo* as the antonym of *ukweli* (P1: "Antonym of *ukweli*"). Both are abstract nominals in noun class 11/14 formed with the *u-* prefix; they are the primary polar opposites in the propositional truth domain. The proverbial construction *ukweli nusu ni uongo* ("a half-truth is a lie"), documented in P2b (Item 2, Construction 11), explicitly bridges and contrasts the two. They are contrasted in constructions such as *kuna tofauti kubwa kati ya kweli na uongo* and *uhalisi dhidi ya uongo*. | lexical | [CORE] |
| halisi | bandia | halisi / bandia | genuine, authentic, real / fake, counterfeit, artificial, imitation | The CONTEXT explicitly identifies *bandia* as the antonym of *halisi* (P1: "Antonym of *halisi*"). *Halisi* evaluates an object as genuine; *bandia* evaluates it as not genuine. The contrast is directly illustrated by the paired expressions *bidhaa halisi* (genuine goods) and *bidhaa bandia* (fake goods) documented in P2b. They are explicitly opposed in the construction *hii ni halisi, si bandia* ("this is genuine, not fake") and in the binary frame *halisi au bandia — jinsi ya kutofautisha* ("genuine or fake — how to tell the difference"). P3 identifies them as "the core contrasting pair" in Group 3, and P1 notes that *bandia* "contrasts directly with *halisi*." | lexical | [CORE] |
| halali | haramu | halali / haramu | lawful, legitimate, permissible / forbidden, unlawful, illicit, wrong | The CONTEXT explicitly identifies *haramu* as the antonym of *halali* (P1: "Functions as the antonym of *halali*"). Both are Arabic-derived adjectives used in religious-legal and broader moral evaluation; they occupy opposite poles of the permissibility dimension. P1 (Item 30) explicitly identifies *haramu* (from Arabic *ḥarām*) as the standard antonym of *halali* in both religious and legal discourse. P2a (Item 30, Derived Form 2) documents *haramu* as the primary contrastive term, noting it is not a morphological derivation from *halali* but the lexical opposite. The contrast operates in Islamic dietary law, legal permissibility, and moral evaluation. | lexical | [CORE] |
| uhakika | shaka | uhakika / shaka | certainty, reliability, assurance / doubt, uncertainty, suspicion | The CONTEXT explicitly identifies *shaka* as contrasting with *uhakika* (P1: "Contrasts with *shaka* (doubt)"). *Uhakika* denotes the state of being certain; *shaka* denotes the state of being uncertain. They are the primary polar opposites in the epistemic certainty dimension. | lexical | [CORE] |
| kuthibitisha | kudanganya | kuthibitisha / kudanganya | to confirm; to verify; to prove; to authenticate / to deceive; to lie; to mislead; to cheat | The CONTEXT documents both verbs as central to the truth domain (P1, P2a). *Kuthibitisha* describes the act of establishing truth or authenticity; *kudanganya* describes the act of creating false impressions. They are not morphologically related but occupy opposite functional positions in the domain of acts bearing on truth. | lexical | [CORE] |
| kudhihirisha | kuficha | kudhihirisha / kuficha | to reveal; to demonstrate; to make evident; to show clearly / to hide; to conceal | The CONTEXT documents *kudhihirisha* (P2a §28) and documents *kuficha* as the verb in the passive relative construction *ukweli uliofichwa* ("hidden truth; concealed truth"; P1b Root 1, P2b §2 Construction 7). Both verbs take *ukweli* as a natural object and appear in constructions documented in P1b and P2b (*kudhihirisha ukweli mbele ya wote*; *ukweli uliofichwa*). P2a documents *kudhihirisha* as a causative derivation; *kuficha* is its contextual antonym in the revelation-concealment domain. The two verbs express opposite acts with respect to making truth visible or invisible. | lexical | [CORE] |
| uaminifu | udanganyifu | uaminifu / udanganyifu | faithfulness; trustworthiness; loyalty; integrity; reliability / deception; deceitfulness; dishonesty; fraud | The CONTEXT documents both abstract nominals (P1, P2a). They are morphologically parallel (*u-* abstract prefix + adjectival stem ending in *-fu*) and occupy opposite positions in the evaluation of character: *uaminifu* denotes the quality of being trustworthy; *udanganyifu* denotes the quality of being deceptive. Both are *u-* class 14 abstract nominals evaluating character, and they occupy opposing positions in the character-evaluation domain documented in P3 Groups 6 and 7. The construction *mtu asiye na uaminifu hawezi kuaminiwa* (P2b) implicitly invokes this opposition by defining the untrustworthy person through the absence of *uaminifu*. | morphological | [CORE] |
| mwaminifu | mdanganyifu | mwaminifu / mdanganyifu | a faithful/trustworthy person; a believer; a loyal person / a deceiver; a liar; a dishonest person; a fraud | The CONTEXT documents both agentive nominals (P2a §12, §16). They are morphologically parallel (*m-* class 1 prefix + adjectival stem) and occupy opposite positions in the evaluation of personal trustworthiness: *mwaminifu* denotes a person who can be trusted; *mdanganyifu* denotes a person who deceives. Both are documented in P2a as core agentive nominalizations. The opposition is structurally parallel: same prefix, contrasting stems. | morphological | [CORE] |
