# CLCA Protocol v3.4 — F4 Construction Table
# Language: Hebrew (he)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|------------------|---------|-----------------|-------------|-------------|------------------|
| ATTRIBUTION | זה אמת | ze emet | this is truth / this is true | Extremely common in everyday speech and writing. Zero copula in present tense is the default pattern. Used across all registers. No restrictions observed. | [CORE] |
| ATTRIBUTION | הדבר נכון | hadavar nakhon | the thing is correct | Standard predicative construction. Frequent in formal and informal contexts. Adjectives must agree in gender/number with subject. | [CORE] |
| NEGATIVE ATTRIBUTION | זה לא נכון | ze lo nakhon | this is not correct | Default negation pattern, used constantly in all contexts. לא precedes the predicate in standard word order. No restrictions. | [CORE] |
| NEGATIVE ATTRIBUTION | אין בזה אמת | eyn baze emet | there is no truth in this | Common in both spoken and written Hebrew. Often used for emphatic denial or philosophical statements. Slightly more formal than simple לא negation. | [CORE] |
| ADNOMINAL MODIFICATION | סיפור אמיתי | sipur amiti | true story | Highly productive pattern used constantly. Adjective follows noun in standard Hebrew word order. Definiteness agreement obligatory (הסיפור האמיתי). | [CORE] |
| ADNOMINAL MODIFICATION | עדות שקר | edut sheker | false testimony | Common in legal and formal registers. שקר functions as noun in construct state here. Fixed collocation in legal contexts. | [CORE] |
| BECOME / INCHOATIVE | להיות כנה | lihyot kene | to become honest / to be honest | Ambiguous between stative and inchoative readings; context disambiguates. Used across all registers. Very common construction. | [CORE] |
| BECOME / INCHOATIVE | הפך לשקרן | hafakh leshakran | became a liar | Explicitly inchoative, no ambiguity. Common with agent nouns and role terms. Typical in narrative contexts describing character change. | [CORE] |
| CAUSATIVE | להאמין | leha'amin | to cause to be firm → to believe, to make believe | Extremely frequent verb in all contexts. Hif'il pattern productive for causatives. This particular verb has lexicalized meaning "believe" rather than transparent causative. | [CORE] |
| CAUSATIVE | להצדיק | lehatsдik | to cause to be right → to justify | Common in argumentative and formal discourse. Retains transparent causative meaning. Used in legal, ethical, and everyday contexts. | [CORE] |
| ABSTRACT NOMINALIZATION | אמיתי → אמיתות | amiti → amitiyut | true → authenticity/truthfulness | Highly productive morphological pattern. Used freely to create abstract nouns from adjectives. Common in formal and philosophical registers. | [CORE] |
| ABSTRACT NOMINALIZATION | נאמן → נאמנות | ne'eman → ne'emanut | faithful → faithfulness/loyalty | Same productive pattern. This particular form very common in relationship and institutional contexts. No restrictions on formation. | [CORE] |
| AGENTIVE NOMINALIZATION | שקר → שקרן | sheker → shakran | lie → liar (habitual) | Productive pattern for habitual/characteristic agents. Often carries pejorative connotation. Common in colloquial speech. | [CORE] |
| AGENTIVE NOMINALIZATION | מאמין | ma'amin | believer | Active participle functioning as agent noun. Very common pattern in Hebrew. Used in religious and general contexts without restriction. | [CORE] |
| VERBAL CONSTRUCTIONS WITH LIGHT VERBS | לומר את האמת | lomar et ha'emet | to say the truth → to tell the truth | Extremely common collocation, used constantly. את marks definite direct object. Standard across all registers. | [CORE] |
| VERBAL CONSTRUCTIONS WITH LIGHT VERBS | לעשות צדק | la'asot tsedek | to do justice | Common in legal, ethical, and religious discourse. Fixed collocation. Slightly more formal than everyday speech. | [CORE] |
| INTENSIFICATION / DEGREE MODIFICATION | ברור לחלוטין | barur leḥalutin | clear completely → completely clear | Common intensification pattern. לחלוטין follows adjective. Used in formal and informal contexts for emphasis. | [CORE] |
| INTENSIFICATION / DEGREE MODIFICATION | שקר גמור | sheker gamur | lie complete → complete lie | Very common emphatic pattern. גמור follows noun/adjective. Used across registers for strong emphasis. | [CORE] |
| COMPARATIVE CONSTRUCTIONS | יותר נכון | yoter nakhon | more correct | Standard analytic comparative. Used constantly in all contexts. Only comparative strategy available in Hebrew (no synthetic forms). | [CORE] |
| COMPARATIVE CONSTRUCTIONS | הכי מדויק | hakhi meduyak | most precise | Standard analytic superlative. Extremely common. הכי precedes adjective in fixed order. No restrictions. | [CORE] |
| PREPOSITIONAL PHRASE ADVERBIALS | באמת | be'emet | in truth → truly, really | Extremely high frequency in spoken Hebrew. Functions as adverb and discourse marker. Used for emphasis, confirmation, or surprise. | [CORE] |
| PREPOSITIONAL PHRASE ADVERBIALS | בצדק | betsedek | in justice → justly, rightly | Common in formal and evaluative contexts. Used to express approval or correctness of action. Slightly more formal than באמת. | [CORE] |
| DOMAIN-SPECIFIC COMPOUNDS | אמת מדעית | emet mada'it | truth scientific → scientific truth | Productive pattern for creating technical/specialized terms. Common in academic and formal discourse. Adjective must agree in gender/number. | [CORE] |
