# CLCA Protocol v3.4 — F2b Constructions Table
# Language: Korean (ko)

| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| 진실 (jinsil) | 진실을 말하다 | jinsireul malhada | to tell the truth, to speak the truth | Standard expression for truthful speech. Very common across all registers. Example: "진실을 말해 주세요" (Please tell me the truth). | [CORE] |
| 진실 (jinsil) | 진실을 밝히다 | jinsireul balkhida | to reveal the truth, to bring the truth to light | Common in investigative, journalistic, and legal contexts. Emphasizes uncovering hidden truth. Example: "사건의 진실을 밝히다" (to reveal the truth of the incident). | [CORE] |
| 진실 (jinsil) | 진실을 숨기다 | jinsireul sumgida | to hide the truth, to conceal the truth | Common expression for deliberate concealment of truth. Used in moral and investigative contexts. | [CORE] |
| 진실 (jinsil) | 진실을 알다 | jinsireul alda | to know the truth | Standard expression for possessing knowledge of truth. Common across all contexts. | [CORE] |
| 진실 (jinsil) | 진실을 찾다 | jinsireul chatda | to seek the truth, to search for the truth | Common in investigative and philosophical contexts. Emphasizes active pursuit of truth. | [CORE] |
| 진실 (jinsil) | 진실이 드러나다 | jinsiri deureonada | the truth comes to light, the truth is revealed | Intransitive construction describing truth becoming known. Common in narrative and journalistic contexts. | [CORE] |
| 진실 (jinsil) | 진실 게임 | jinsil geim | truth game (game where participants must tell the truth) | Colloquial expression for social games involving truthful disclosure. Borrowed from English "truth game." | [CORE] |
| 진실 (jinsil) | 진실의 순간 | jinsirui sungan | moment of truth | Idiomatic expression for critical moment when truth is revealed or tested. Calque from English. | [CORE] |
| 거짓 (geojit) | 거짓말을 하다 | geojinmareul hada | to tell a lie, to lie | Most common expression for lying. Standard across all registers. Example: "거짓말하지 마" (Don't lie). | [CORE] |
| 거짓 (geojit) | 거짓말이 들통나다 | geojinmari deultongada | a lie is exposed, a lie is found out | Idiomatic expression for lies being discovered. Common in everyday speech. "들통나다" means "to be exposed/found out." | [CORE] |
| 거짓 (geojit) | 거짓말을 꾸미다 | geojinmareul kkumida | to fabricate a lie, to concoct a lie | Emphasizes deliberate construction of false story. "꾸미다" means "to devise/fabricate." | [CORE] |
| 거짓 (geojit) | 거짓말을 밝히다 | geojinmareul balkhida | to expose a lie, to reveal a lie | Common in investigative contexts. Emphasizes uncovering falsehood. | [CORE] |
| 거짓 (geojit) | 새빨간 거짓말 | saeppalgan geojinmal | blatant lie, outright lie (literally "bright red lie") | Idiomatic intensifier emphasizing obviousness or brazenness of lie. Very common in colloquial speech. | [CORE] |
