| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|---|---|---|---|---|
| 1 | Ukweli ulidhihirika. | Ukweli ulidhihirika. | [CORE] | Used in narrative and journalistic contexts; inchoative presents emergence of truth as self-occurring without foregrounded agent. |
| 2 | Ukweli ulidhihirika baadaye. | Ukweli ulidhihirika baadaye. | [CORE] | Temporal adverb *baadaye* is a natural collocate in narrative contexts where truth is revealed after concealment. |
| 3 | Ukweli ulidhihirika baada ya uchunguzi. | Ukweli ulidhihirika baada ya uchunguzi. | [CORE] | Documented in P4a and P4b; common in narrative and journalistic contexts. |
| 4 | Makosa yalidhihirika haraka. | Makosa yalidhihirika haraka. | [CORE] | Same inchoative form applied to *makosa* as subject; errors presented as revealing themselves. |
| 5 | Udanganyifu wake ulidhihirika mwishowe. | Udanganyifu wake ulidhihirika mwishowe. | [CORE] | *Udanganyifu* as subject; inchoative presents exposure of deception as an emergent process. |
| 6 | Uongo wake ulidhihirika. | Uongo wake ulidhihirika. | [CORE] | Common in narrative and journalistic registers. |
| 7 | Ukweli unajulikana. | Ukweli unajulikana. | [CORE] | Documented in P1b as a core expression. |
| 8 | Ukweli utajulikana hatimaye. | Ukweli utajulikana hatimaye. | [CORE] | Future tense is a natural extension consistent with proverbial constructions asserting inevitable disclosure of truth. |
| 9 | Ukweli uliofunuliwa | Ukweli uliofunuliwa | [CORE] | Documented in P1b; passive *-liwa* suffix encodes resultant state of having been revealed; implies external agent. |
| 10 | Alidanganyika kwa urahisi. | Alidanganyika kwa urahisi. | [CORE] | Documented in P4a and P4b; presents subject as entering state of deception without specifying agent. |
| 11 | Alidanganyika. | Alidanganyika. | [CORE] | *-ika* suffix implies susceptibility or unintended entry into a state; distinct from passive *kudanganywa*. |
| 12 | Watu wengi walidanganyika na habari za uongo. | Watu wengi walidanganyika na habari za uongo. | [CORE] | *na* introduces instrument/cause rather than volitional agent; consistent with inchoative reading. |
| 13 | Watu wengi walidanganyika. | Watu wengi walidanganyika. | [CORE] | Common in narrative and evaluative contexts. |
| 14 | Habari hii haiaminiki. | Habari hii haiaminiki. | [CORE] | Documented in P2a. |
| 15 | Yeye anaaminika. | Yeye anaaminika. | [CORE] | *Kuaminika* describes state of being trustworthy or credible; applies to both persons and propositions. |
| 16 | Ushahidi unakosekana. | Ushahidi unakosekana. | [CORE] | Stative/inchoative presents absence of evidence as a discovered state; used in legal and investigative contexts. |
| 17 | Ukweli unakosekana katika taarifa hii. | Ukweli unakosekana katika taarifa hii. | [CORE] | Extends absence-of-truth sense into evaluative discourse about reporting accuracy. |
| 18 | Alianza kuwa na uhakika. | Alianza kuwa na uhakika. | [MARGINAL] | Periphrastic form; less frequent than *-ika* construction; grammatically well-formed but stylistically marked relative to *nina/sina uhakika*. |
| 19 | Makosa yalisahihishwa. | Makosa yalisahihishwa. | [CORE] | Passive resultant-state construction; no *-ka/-ika* inchoative from *sahihi* is attested. |
| 20 | Akawa muongo baada ya muda. | Akawa muongo baada ya muda. | [not rated in source] | *Kuwa* + agentive nominal *muongo*; describes change in character evaluation; no single-word inchoative from *uongo* attested. |
| 21 | Akawa mwaminifu zaidi baada ya uzoefu huo. | Akawa mwaminifu zaidi baada ya uzoefu huo. | [not rated in source] | *Kuwa* + *mwaminifu*; describes change in trustworthiness evaluation. |
| 22 | Imani yake ikawa thabiti zaidi. | Imani yake ikawa thabiti zaidi. | [not rated in source] | *Kuwa* + *thabiti*; describes change in quality of belief. |
| 23 | Jambo hilo lilihalalishwa. | Jambo hilo lilihalalishwa. | [CORE] | Passive construction rather than true inchoative; presupposes implicit or explicit agent. |
| 24 | Ukweli ulifichwa. | Ukweli ulifichwa. | [CORE] | Primary expression for truth transitioning to a hidden state. |
| 25 | Ukweli ulifichwa na wenye mamlaka. | Ukweli ulifichwa na wenye mamlaka. | [CORE] | Passive construction allows agent to be expressed with *na*. |
| 26 | Ukweli ulifichwa kwa muda. | Ukweli ulifichwa kwa muda. | [CORE] | Documented in P1b and P2b. |
| 27 | Ukweli uliofichwa haufichiki milele. | Ukweli uliofichwa haufichiki milele. | [CORE] | Documented in P1b and P2b; stative negative asserts impossibility of permanent concealment. |
| 28 | Walijaribu kuficha ukweli kwa muda mrefu. | Walijaribu kuficha ukweli kwa muda mrefu. | [CORE] | Documented in P1b and P2b; describes deliberate act of making truth inaccessible. |
| 29 | Alipoteza imani baada ya kusikia habari hiyo. | Alipoteza imani baada ya kusikia habari hiyo. | [CORE] | Documented in P1b; describes process of losing religious or interpersonal trust. |
| 30 | Wananchi wengi walipoteza imani kwa serikali. | Wananchi wengi walipoteza imani kwa serikali. | [CORE] | Extends loss-of-trust sense to institutional credibility. |
| 31 | Alikuiuka amana aliyopewa. | Alikuiuka amana aliyopewa. | [CORE] | Documented in P1b and P5; describes transition from holding trust to having violated it. |
| 32 | Imani yake ilipotoka. | Imani yake ilipotoka. | [CORE] | *Kupotoka* applied to *imani*; describes departure from correct belief. |
| 33 | Akili yake ilipotoka. | Akili yake ilipotoka. | [CORE] | Same verb applied to *akili*; describes departure from correct judgment. |
| 34 | Alipotosha ukweli kwa makusudi. | Alipotosha ukweli kwa makusudi. | [CORE] | Documented in P1b and P2b; causative *potosha* presents agent as causing truth to depart from accurate state. |
| 35 | Yeye haaminiwa tena. | Yeye haaminiwa tena. | [CORE] | Adverb *tena* marks transition from prior state of trust to its absence. |
| 36 | Siwezi kumwamini tena. | Siwezi kumwamini tena. | [CORE] | Documented in P2b. |
| 37 | Uongo unaenea haraka. | Uongo unaenea haraka. | [CORE] | Documented in P2b; intransitive *kuenea* describes propagation of falsehood as dynamic process. |
| 38 | Kueneza uongo ni hatari. | Kueneza uongo ni hatari. | [CORE] | Documented in P2b. |
| 39 | Ushahidi ulithibitisha ukweli wa tukio hilo. | Ushahidi ulithibitisha ukweli wa tukio hilo. | [CORE] | Causative presents agent bringing about state of confirmed truth. |
| 40 | Tafadhali thibitisha taarifa hii. | Tafadhali thibitisha taarifa hii. | [CORE] | Documented in P4a and P4b; imperative with *tafadhali* is common polite request formula. |
| 41 | Uchunguzi ulithibitisha madai yake. | Uchunguzi ulithibitisha madai yake. | [CORE] | Documented across P1, P2a, P2b, P4a, P4b. |
| 42 | Thibitisha habari kabla ya kuisambaza. | Thibitisha habari kabla ya kuisambaza. | [CORE] | Documented in P2b; imperative directs agent to cause news to be in verified state. |
| 43 | Vyanzo vingi vilithibitisha ukweli wa tukio hilo. | Vyanzo vingi vilithibitisha ukweli wa tukio hilo. | [CORE] | *Ukweli* as object of *kuthibitisha*; causative presents sources as agents bringing about established truth. |
| 44 | Thibitisha utambulisho wako kabla ya kuendelea. | Thibitisha utambulisho wako kabla ya kuendelea. | [CORE] | Documented in P1 and P2a. |
| 45 | Mamlaka ilithibitisha hati hiyo. | Mamlaka ilithibitisha hati hiyo. | [CORE] | Institutional agent authenticating a document. |
| 46 | Thibitisha usahihi wa taarifa. | Thibitisha usahihi wa taarifa. | [CORE] | Causative applied to accuracy verification. |
| 47 | Hakikisha ukweli wa habari kabla ya kuchapisha. | Hakikisha ukweli wa habari kabla ya kuchapisha. | [CORE] | Documented in P1b and P2a; common in journalistic contexts. |
| 48 | Hakikisha mlango umefungwa. | Hakikisha mlango umefungwa. | [CORE] | Documented in P4a and P4b; procedural extension of *kuhakikisha* outside truth domain. |
| 49 | Kuhakikisha ubora wa bidhaa. | Kuhakikisha ubora wa bidhaa. | [CORE] | Documented in P2b. |
