| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|---|---|---|---|---|---|
| òtítọ́ | òtítọ́ | Nominalized form related to the root *tọ* (to be straight, correct, proper); the *ò-* prefix nominalizes; *-tí-* may be an intensifying or aspectual element (analysis debated) | truth, truthfulness, accuracy, correctness, fact | The most general and widely used term for truth in Yoruba. Used in moral, legal, religious, and everyday contexts to evaluate whether a statement corresponds to reality. Appears in proverbs, court contexts, and Christian/Islamic religious language. Participates in productive constructions such as *sọ òtítọ́* ("speak the truth"), *ọ̀nà òtítọ́* ("the way of truth"), and *ènìyàn òtítọ́* ("a truthful person"). Contrasts with *irọ́* (falsehood). | [CORE] |
| irọ́ | irọ́ | Noun; morphological decomposition uncertain; sometimes analyzed as related to *rọ* (to be soft, yielding, to flow), but the semantic connection is not transparent; conventionally understood as the antonym of *òtítọ́* | lie, falsehood, untruth, deception, fabrication | The direct antonym of *òtítọ́*; used across all registers to denote a false statement or act of deception. Used in moral condemnation of dishonest speech and in legal contexts of perjury or fraud. Appears in fixed expressions such as *sọ irọ́* ("tell a lie") and in proverbs contrasting truth and falsehood. | [CORE] |
| òdodo | òdodo | Nominalized form; reduplication of *do* or related to *dọ* (to be right, fitting); the reduplication may intensify; semantically associated with uprightness and moral correctness; also homophonous with *òdodo* meaning "flower/hibiscus" — context disambiguates | justice, righteousness, fairness, rightness, rectitude | Used in moral, legal, and religious discourse to describe conduct or outcomes that conform to right standards. Appears in political discourse and in Yoruba translations of religious texts, including Yoruba traditional religion and Christian/Islamic usage. Distinct from *òtítọ́* in that it foregrounds normative rightness rather than factual accuracy. Contrasts with *àìdọ́gba* (inequality) and *ẹ̀tọ́* in some contexts. | [CORE] |
| ìmọ̀ | ìmọ̀ | Nominalization of *mọ̀* (to know); *ì-* is a nominalizing prefix | knowledge, understanding, awareness | Refers to the state of knowing or being informed about something. Used in epistemological and practical contexts to evaluate whether a person has accurate information. Relevant to assessments of reliability and credibility of testimony. Contrasts with *àìmọ̀* (ignorance). Appears in compounds such as *ìmọ̀ ènìyàn* ("human knowledge/understanding"). | [CORE] |
| àìmọ̀ | àìmọ̀ | *àì-* (negation prefix) + *mọ̀* ("to know"); "not-knowing" | ignorance, lack of knowledge, unawareness | Used to evaluate a person's claim or conduct as unreliable or mistaken due to lack of knowledge. Functions as a mitigating or explanatory term in moral and epistemic assessments. | [CORE] |
| gbàgbọ́ | gbàgbọ́ | Verb; *gbà* (to accept, receive) + *gbọ́* (to hear, to believe); compound meaning "to accept as heard/true" | to believe, to trust, to have faith in | Describes the cognitive act of accepting a proposition or person as reliable or true. Used in both religious contexts (faith) and everyday contexts of trusting testimony. The object can be a person, statement, or claim. | [CORE] |
| ìgbàgbọ́ | ìgbàgbọ́ | Nominalization of *gbàgbọ́*; *ì-* nominalizing prefix; *gbà* (to receive, accept) + *gbọ́* (to hear, believe); compound nominalization | belief, faith, trust, conviction | The nominal form of *gbàgbọ́*, referring to the state or act of believing. Used in religious, moral, and epistemic contexts to describe acceptance of something as true or reliable. Widely used in religious discourse (particularly Christian and Islamic) but also in secular contexts of epistemic commitment. Evaluates the reliability or credibility of what is believed. Common in Christian and Islamic Yoruba discourse as well as everyday speech. | [CORE] |
| ìgbẹ́kẹ̀lé | ìgbẹ́kẹ̀lé | Nominalization of *gbẹ́kẹ̀lé* (to rely on, to trust); *ì-* nominalizing prefix; compound involving *gbé* (carry/place) + *kẹ̀lé* (lean on); the verbal base may decompose further but analysis is not fully settled | trust, reliance, dependability, reliability, confidence in | Refers specifically to reliance on a person or thing as dependable or trustworthy. Used in interpersonal, commercial, and moral contexts to evaluate whether a source, person, or institution is reliable. Distinct from *ìgbàgbọ́* in emphasizing practical dependability over propositional belief. A person described as having *ìgbẹ́kẹ̀lé* is considered dependable and honest. Appears in evaluative contexts such as *ènìyàn tí a lè gbẹ́kẹ̀lé* ("a person one can rely on / a reliable person"). | [CORE] |
| ẹ̀rí | ẹ̀rí | Noun; related to *rí* (to see); *ẹ̀-* nominalizes; thus roughly "that which is seen / evidence" | evidence, proof, testimony, witness, sign | Used in legal, moral, and everyday contexts to refer to evidence that supports or establishes the truth of a claim. *Ẹ̀rí ojú* ("eye-witness evidence") is a common compound. Central to assessments of factual accuracy in judicial settings. Closely related in usage to *ìjẹ́rìísí* but more general. | [CORE] |
