# CLCA Protocol v3.4 — F2a Derivational Table
# Language: Greek (el)

| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|-----------|--------------|-----------------|-------------------|-------------|-------------------|------------------|
| αλήθεια (alítheia) "truth" | αληθινός | alithinós | αληθ- (true) + -ινός (adjectival suffix indicating material/quality) | true, genuine, real, authentic | Adjectival form describing something as genuine or authentic. Used attributively and predicatively in all registers. | [CORE] |
| αλήθεια (alítheia) "truth" | αληθεύω | alithévo | αληθ- (true) + -εύω (denominative verb suffix) | to tell the truth, to be truthful | Denominative verb formed from the noun. Used in everyday and formal contexts for truthful speaking. | [CORE] |
| αλήθεια (alítheia) "truth" | αληθώς | alithós | αληθ- (true) + -ώς (adverbial suffix) | truly, really, indeed | Adverbial form used to emphasize truth or reality of statements. Common in confirmations and emphatic assertions. | [CORE] |
| αλήθεια (alítheia) "truth" | αληθινά | alithiná | αληθιν- (true) + -ά (neuter plural/adverbial ending) | truly, really, genuinely | Adverbial form derived from the adjective αληθινός. Interchangeable with αληθώς in many contexts. | [CORE] |
| αλήθεια (alítheia) "truth" | αληθινότητα | alithinótita | αληθιν- (true) + -ότητα (abstract noun suffix) | genuineness, authenticity, truthfulness | Abstract noun derived from αληθινός referring to the quality of being genuine. Used in formal discourse. | [CORE] |
| αλήθεια (alítheia) "truth" | αληθής | alithís | αληθ- (true) + -ής (adjectival suffix) | true, truthful, veracious | Alternative adjectival form, more formal than αληθινός. Common in philosophical and formal writing. | [CORE] |
| αλήθεια (alítheia) "truth" | αληθεύομαι | alithévome | αληθ- (true) + -εύομαι (passive/middle denominative verb) | to be verified, to prove true | Passive/middle voice form indicating verification or confirmation of truth. Used when predictions or claims are confirmed. | [CORE] |
| αλήθεια (alítheia) "truth" | αλήθω | alítho | αληθ- (true) + -ω (verb ending) | to tell the truth, to speak truthfully | Alternative verb form, less common than αληθεύω but still in regular use. | [CORE] |
| αληθινός (alithinós) "true, genuine" | αληθινά | alithiná | αληθιν- (true) + -ά (adverbial/neuter plural) | truly, really, genuinely | Adverbial derivation from the adjective. Common in everyday and formal speech. | [CORE] |
| αληθινός (alithinós) "true, genuine" | αληθινότητα | alithinótita | αληθιν- (true) + -ότητα (abstract noun suffix) | genuineness, authenticity | Abstract noun formation indicating the quality of being genuine or authentic. | [CORE] |
| ψέμα (pséma) "lie" | ψεματάκι | psematáki | ψεμα- (lie) + -άκι (diminutive suffix) | little lie, white lie, fib | Diminutive form used to minimize the severity of a lie. Common in everyday speech, often affectionate or mitigating. | [CORE] |
| ψέμα (pséma) "lie" | ψέματα | psémata | ψεμα- (lie) + -τα (neuter plural) | lies (plural) | Standard plural form. Also used as an exclamation meaning "no way!" or "that's not true!" | [CORE] |
| ψεύτης (pséftis) "liar" | ψεύτρα | psévtra | ψευτ- (lie) + -ρα (feminine agent suffix) | female liar | Feminine form of ψεύτης. Used to refer specifically to female liars, though less common in modern usage due to gender-neutral tendencies. | [CORE] |
| ψεύτης (pséftis) "liar" | ψευταράς | pseftarás | ψευτ- (lie) + -αράς (augmentative/pejorative agent suffix) | big liar, habitual liar | Augmentative/pejorative form emphasizing habitual or egregious lying. Common in colloquial condemnation. | [CORE] |
| σωστός (sostós) "correct, right" | σωστά | sostá | σωστ- (correct) + -ά (adverbial/neuter plural) | correctly, rightly, properly | Adverbial form used to indicate correct manner of action. Extremely common in everyday speech and instructions. | [CORE] |
| σωστός (sostós) "correct, right" | σωστότητα | sostótita | σωστ- (correct) + -ότητα (abstract noun suffix) | correctness, rightness, accuracy | Abstract noun referring to the quality of being correct. Used in formal and educational contexts. | [CORE] |
| λάθος (láthos) "mistake, error" | λαθάκι | latháki | λαθ- (mistake) + -άκι (diminutive suffix) | small mistake, minor error | Diminutive form used to minimize the significance of an error. Common in everyday speech, often apologetic or mitigating. | [CORE] |
| λάθος (láthos) "mistake, error" | λάθη | láthi | λαθ- (mistake) + -η (neuter plural) | mistakes, errors (plural) | Standard plural form used in all contexts. | [CORE] |
| λάθος (láthos) "mistake, error" | λαθεμένος | latheménos | λαθ- (mistake) + -εμένος (participial/adjectival suffix) | mistaken, wrong, erroneous | Adjectival/participial form describing something or someone as mistaken. Common in everyday and formal usage. | [CORE] |
| ορθός (orthós) "correct, right, straight" | ορθά | orthá | ορθ- (correct) + -ά (adverbial/neuter plural) | correctly, rightly, properly | Adverbial form indicating correct manner. Common in everyday and formal speech. | [CORE] |
| ορθός (orthós) "correct, right, straight" | ορθώς | orthós | ορθ- (correct) + -ώς (adverbial suffix) | correctly, rightly, properly | More formal adverbial variant, used in elevated discourse and official documents. | [CORE] |
| ορθός (orthós) "correct, right, straight" | ορθότητα | orthótita | ορθ- (correct) + -ότητα (abstract noun suffix) | correctness, rightness, accuracy | Abstract noun referring to the quality of being correct. Used in formal and technical discourse. | [CORE] |
| γνήσιος (gnísios) "genuine, authentic" | γνησιότητα | gnisiótita | γνησι- (genuine) + -ότητα (abstract noun suffix) | genuineness, authenticity | Abstract noun referring to the quality of being genuine or authentic. Used in formal contexts, particularly regarding documents and artifacts. | [CORE] |
| γνήσιος (gnísios) "genuine, authentic" | γνησίως | gnisíos | γνησι- (genuine) + -ώς (adverbial suffix) | genuinely, authentically | Adverbial form used in formal and literary contexts. Less common than the adjective. | [MARGINAL] |
| πραγματικός (pragmatikós) "real, actual" | πραγματικά | pragmatiká | πραγματικ- (real) + -ά (adverbial/neuter plural) | really, actually, truly | Extremely common adverb used to emphasize reality or truth. Used in everyday speech and formal discourse. | [CORE] |
| πραγματικός (pragmatikós) "real, actual" | πραγματικότητα | pragmatikótita | πραγματικ- (real) + -ότητα (abstract noun suffix) | reality, actuality | Abstract noun referring to reality as opposed to appearance or imagination. Very common in philosophical and everyday discourse. | [CORE] |
| ακριβής (akrivís) "accurate, precise" | ακριβώς | akrivós | ακριβ- (accurate) + -ώς (adverbial suffix) | exactly, precisely, accurately | Extremely common adverb used to indicate exactness or precision. Also used as affirmative response meaning "exactly!" | [CORE] |
| ακριβής (akrivís) "accurate, precise" | ακρίβεια | akríveia | ακριβ- (accurate) + -εια (abstract noun suffix) | accuracy, precision, exactness | Abstract noun referring to the quality of being accurate or precise. Common in technical and formal contexts. | [CORE] |
| δίκαιος (díkaios) "just, fair" | δικαιοσύνη | dikaiosýni | δικαι- (just) + -οσύνη (abstract noun suffix) | justice, fairness, righteousness | Major abstract noun referring to justice as a concept and practice. Used in legal, ethical, and everyday contexts. | [CORE] |
| δίκαιος (díkaios) "just, fair" | δίκαια | díkaia | δικαι- (just) + -α (neuter plural/adverbial) | justly, fairly, rightly | Adverbial form indicating just or fair manner. Common in moral and legal discourse. | [CORE] |
| δίκαιος (díkaios) "just, fair" | δικαίως | dikaíos | δικαι- (just) + -ώς (adverbial suffix) | justly, fairly, righteously | More formal adverbial variant, used in elevated and legal discourse. | [CORE] |
| δίκαιος (díkaios) "just, fair" | δικαιότητα | dikaiótita | δικαι- (just) + -ότητα (abstract noun suffix) | justness, fairness, righteousness | Abstract noun referring to the quality of being just. Less common than δικαιοσύνη, more focused on the quality than the concept. | [MARGINAL] |
| άδικος (ádikos) "unjust, unfair" | αδικία | adikía | αδικ- (unjust) + -ία (abstract noun suffix) | injustice, unfairness, wrong | Abstract noun referring to injustice or unfair treatment. Common in moral, legal, and everyday discourse. | [CORE] |
| άδικος (ádikos) "unjust, unfair" | άδικα | ádika | αδικ- (unjust) + -α (neuter plural/adverbial) | unjustly, unfairly, wrongly | Adverbial form indicating unjust manner. Common in complaints and moral condemnation. | [CORE] |
| άδικος (ádikos) "unjust, unfair" | αδίκως | adíkos | αδικ- (unjust) + -ώς (adverbial suffix) | unjustly, unfairly | More formal adverbial variant, used in elevated discourse. | [MARGINAL] |
| πλαστός (plastós) "fake, false, counterfeit" | πλαστότητα | plastótita | πλαστ- (fake) + -ότητα (abstract noun suffix) | fakeness, falseness, artificiality | Abstract noun referring to the quality of being fake or artificial. Used in formal contexts. | [CORE] |
| πλαστός (plastós) "fake, false, counterfeit" | πλαστά | plastá | πλαστ- (fake) + -ά (neuter plural/adverbial) | falsely, artificially | Adverbial form indicating false or artificial manner. Less common than the adjective. | [MARGINAL] |
| αυθεντικός (afthentikós) "authentic, genuine" | αυθεντικότητα | afthentikótita | αυθεντικ- (authentic) + -ότητα (abstract noun suffix) | authenticity, genuineness | Abstract noun referring to the quality of being authentic. Common in discussions of art, documents, and cultural artifacts. | [CORE] |
| αυθεντικός (afthentikós) "authentic, genuine" | αυθεντικά | afthentiká | αυθεντικ- (authentic) + -ά (neuter plural/adverbial) | authentically, genuinely | Adverbial form indicating authentic manner. Used in formal and everyday contexts. | [CORE] |
| ψευδής (psevdís) "false, lying" | ψευδώς | psevdós | ψευδ- (false) + -ώς (adverbial suffix) | falsely, untruthfully | Adverbial form used in formal and legal contexts to indicate false manner. | [CORE] |
| ψευδής (psevdís) "false, lying" | ψεύδομαι | psévdome | ψευδ- (false) + -ομαι (middle/passive verb ending) | to lie, to tell lies | Primary verb for lying derived from the adjectival root. Used in all registers. | [CORE] |
| ειλικρινής (ilikrinís) "sincere, genuine" | ειλικρίνεια | ilikríneia | ειλικριν- (sincere) + -εια (abstract noun suffix) | sincerity, genuineness, honesty | Abstract noun referring to the quality of being sincere. Common in discussions of character and communication. | [CORE] |
| ειλικρινής (ilikrinís) "sincere, genuine" | ειλικρινά | ilikriná | ειλικριν- (sincere) + -ά (neuter plural/adverbial) | sincerely, genuinely, honestly | Adverbial form indicating sincere manner. Very common in everyday and formal speech. | [CORE] |
| έγκυρος (énkyros) "valid, legitimate" | εγκυρότητα | enkyrótita | εγκυρ- (valid) + -ότητα (abstract noun suffix) | validity, legitimacy | Abstract noun referring to the quality of being valid. Common in legal and administrative contexts. | [CORE] |
| άκυρος (ákyros) "invalid, void" | ακυρότητα | akyrótita | ακυρ- (invalid) + -ότητα (abstract noun suffix) | invalidity, nullity | Abstract noun referring to the state of being invalid. Used in legal and administrative contexts. | [CORE] |
| άκυρος (ákyros) "invalid, void" | ακυρώνω | akyróno | ακυρ- (invalid) + -ώνω (causative verb suffix) | to invalidate, to cancel, to annul | Causative verb meaning to make invalid or to cancel. Common in legal, administrative, and everyday contexts. | [CORE] |
| άκυρος (ákyros) "invalid, void" | ακύρωση | akýrosi | ακυρ- (invalid) + -ωση (action noun suffix) | cancellation, annulment, invalidation | Action noun referring to the act of canceling or invalidating. Common in administrative and legal contexts. | [CORE] |
| νόθος (nóthos) "illegitimate, spurious" | νοθεία | nothía | νοθ- (illegitimate) + -εια (abstract noun suffix) | adulteration, falsification, illegitimacy | Abstract noun referring to the act or state of falsification or illegitimacy. Used in legal and formal contexts. | [MARGINAL] |
| νόθος (nóthos) "illegitimate, spurious" | νοθεύω | nothévo | νοθ- (illegitimate) + -εύω (denominative verb suffix) | to adulterate, to falsify, to corrupt | Verb meaning to adulterate or falsify. Used in formal and technical contexts. | [MARGINAL] |
| αξιόπιστος (axiópistos) "reliable, trustworthy" | αξιοπιστία | axiopistía | αξιοπιστ- (reliable) + -ία (abstract noun suffix) | reliability, trustworthiness, credibility | Abstract noun referring to the quality of being reliable or trustworthy. Common in evaluations of sources and character. | [CORE] |
| απατηλός (apatilós) "deceptive, misleading" | απάτη | apáti | απατ- (deception) + -η (noun suffix) | deception, fraud, swindle | Noun referring to an act of deception or fraud. Very common in legal and everyday contexts. | [CORE] |
| απατηλός (apatilós) "deceptive, misleading" | απατεώνας | apateónas | απατ- (deception) + -εώνας (agent noun suffix) | swindler, fraud, con artist | Agent noun referring to a person who commits fraud or deception. Common in legal and colloquial condemnation. | [CORE] |
| απατηλός (apatilós) "deceptive, misleading" | απατώ | apató | απατ- (deception) + -ω (verb ending) | to deceive, to cheat, to swindle | Verb meaning to deceive or defraud. Common in legal and everyday contexts. | [CORE] |
| βέβαιος (véveos) "certain, sure" | βεβαιότητα | veveótita | βεβαι- (certain) + -ότητα (abstract noun suffix) | certainty, assurance | Abstract noun referring to the state of being certain. Common in epistemological and everyday discourse. | [CORE] |
| βέβαιος (véveos) "certain, sure" | βέβαια | vévea | βεβαι- (certain) + -α (neuter plural/adverbial) | certainly, of course, surely | Extremely common adverb used to express certainty or agreement. Used as affirmative response and in emphatic statements. | [CORE] |
| βέβαιος (véveos) "certain, sure" | βεβαίως | veveós | βεβαι- (certain) + -ώς (adverbial suffix) | certainly, surely, of course | More formal variant of βέβαια, used in elevated discourse. | [CORE] |
| βέβαιος (véveos) "certain, sure" | βεβαιώνω | veveóno | βεβαι- (certain) + -ώνω (causative verb suffix) | to certify, to confirm, to assure | Causative verb meaning to make certain or to certify. Common in administrative and legal contexts. | [CORE] |
| βέβαιος (véveos) "certain, sure" | βεβαίωση | veveósi | βεβαι- (certain) + -ωση (action noun suffix) | certification, confirmation, assurance | Action noun referring to the act of certifying or a certificate itself. Very common in administrative contexts. | [CORE] |
| αμφίβολος (amfívolos) "doubtful, ambiguous" | αμφιβολία | amfivolía | αμφιβολ- (doubtful) + -ία (abstract noun suffix) | doubt, uncertainty, ambiguity | Abstract noun referring to doubt or uncertainty. Common in epistemological and everyday discourse. | [CORE] |
| κατασκευασμένος (kataskevazménos) "fabricated, constructed" | κατασκευάζω | kataskevázo | κατα- (down, thoroughly) + σκευ- (equipment, vessel) + -άζω (verb suffix) | to construct, to fabricate, to manufacture | Verb meaning to construct or fabricate. Used both for legitimate construction and for fabrication of false evidence or stories. | [CORE] |
| κατασκευασμένος (kataskevazménos) "fabricated, constructed" | κατασκευή | kataskevί | κατα- (down, thoroughly) + σκευ- (equipment) + -ή (noun suffix) | construction, fabrication, manufacture | Noun referring to the act or result of construction. Used in technical and everyday contexts. | [CORE] |
