| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|---|---|---|---|---|---|---|
| doğru | yanlış | doğru / yanlış | correct/right/true / wrong/false | This opposition is directly supported by the construction **doğruyu yanlışı ayırmak**. It spans both epistemic and moral evaluation depending on context. | lexical | [CORE] |
| haklı | haksız | haklı / haksız | right/justified / wrong/unjust/in the wrong | This is an explicit lexical and derivational opposition attested in the root expansion and derivational sections. It is used for disputes, judgments, and fairness rather than simple factual truth. | morphological | [CORE] |
| geçerli | geçersiz | geçerli / geçersiz | valid / invalid | This pair is directly attested in the derivational system. It is especially used for documents, arguments, procedures, and institutional acceptability. | morphological | [CORE] |
| meşru | gayrimeşru | meşru / gayrimeşru | legitimate / illegitimate | This opposition is explicitly listed under derivation from **meşru**. It applies in legal, political, and moral evaluation of acts, claims, or authority. | morphological | [CORE] |
| isabetli | isabetsiz | isabetli / isabetsiz | accurate/apt/well-judged / inaccurate/ill-judged | This pair is directly supported in the derivational section. It contrasts judgments or observations that hit the mark with those that do not. | morphological | [CORE] |
| asıl | asılsız | asıl / asılsız | original/essential/main / baseless/unfounded/false | The data explicitly gives **asılsız** as a derivation from **asıl**. In use, the contrast is not simple antonymy in every context, but it clearly opposes grounded/original basis to lack of basis. | morphological | [CORE] |
| gerçek | sahte | gerçek / sahte | real / fake | This contrast is directly supported in the vocabulary and root-expansion notes, where **gerçek** is said to contrast with **sahte**. It is common for objects, identities, products, and appearances. | lexical | [CORE] |
| hakiki | taklit | hakiki / taklit | genuine / imitation | The usage note for **hakiki** explicitly says it contrasts with imitation or falseness, and **taklit** is independently listed in the set. The opposition is especially natural for products and materials. | lexical | [CORE] |
| sahici | sahte | sahici / sahte | genuine/authentic / fake | The context presents **sahici** as non-artificial and **sahte** as fake or counterfeit. This is a supported contrast for feelings, relations, performances, and presented identities. | lexical | [CORE] |
| özgün | taklit | özgün / taklit | original / imitation | The usage note for **özgün** explicitly says it marks something as not a copy, while **taklit** names imitation/copying. This contrast is especially strong in art, design, and writing. | lexical | [CORE] |
| güvenilir | inandırıcı | güvenilir / inandırıcı | reliable / convincing | The semantic grouping explicitly distinguishes source reliability from persuasive force. A source or witness may be **güvenilir**, while an explanation may merely seem **inandırıcı** without being established as true. | lexical | [CORE] |
| doğru | geçerli | doğru / geçerli | true/correct / valid | The semantic groups explicitly separate factual correctness from validity/applicability. The contrast is not antonymic but oppositional in function: one evaluates truth, the other accepted standing or procedural force. | lexical | [CORE] |
| gerçek | gerçekçi | gerçek / gerçekçi | real / realistic | The context distinguishes actuality (**gerçek**) from closeness to real conditions or plausible representation (**gerçekçi**). Something can be realistic without being literally real. | lexical | [CORE] |
| gerçeği söylemek | gerçeği çarpıtmak | gerçeği söylemek / gerçeği çarpıtmak | to tell the truth / to distort the truth | These are directly attested as parallel truth-object constructions with opposite reporting values. One presents reality faithfully; the other misrepresents it. | constructional | [CORE] |
| hakikati söylemek | hakikati gizlemek | hakikati söylemek / hakikati gizlemek | to tell the truth / to conceal the truth | This opposition is explicitly attested in the light-verb constructions and root expansion. It contrasts disclosure with suppression of what is true. | constructional | [CORE] |
| hakikati söylemek | hakikati çarpıtmak | hakikati söylemek / hakikati çarpıtmak | to tell the truth / to distort the truth | Both constructions are directly listed and share the same object, making the contrast especially clear. One reports truth, the other alters it rhetorically or ideologically. | constructional | [CORE] |
| gerçeğe uygun | hakikatten uzak | gerçeğe uygun / hakikatten uzak | true to reality / far from the truth | P4 explicitly presents **X-(y)e uygun** versus **X-(d)en uzak** as a contrastive relational pattern. These constructions oppose conformity to reality and distance from truth. | constructional | [CORE] |
| X doğru / gerçek / geçerli değil | X sahte / asılsız / geçersiz | doğru değil / sahte; asılsız; geçersiz | not true/real/valid / fake; baseless; invalid | P4a explicitly contrasts analytic negation with lexical negative forms. The first denies a positive predicate compositionally, while the second uses dedicated negative adjectives. | constructional | [CORE] |
| gerçek kişi | tüzel kişi | gerçek kişi / tüzel kişi | natural person / legal person | This is directly supported by the root-expansion entry noting that **gerçek kişi** contrasts with **tüzel kişi**. It is a legal opposition, not a general truth/falsity one. | lexical | [CORE] |
| gerçek veri | simulated/dummy/synthetic data | gerçek veri / — | real data / simulated, dummy, or synthetic data | The root-expansion note for **gerçek veri** explicitly states this contrast in technical usage. The opposing side is given descriptively rather than as one fixed Turkish lexical item in the context. | lexical | [MARGINAL] |
| gerçek hayat | fiction/theory/online representation | gerçek hayat / — | real life / fiction, theory, or online representation | The context explicitly says **gerçek hayat** contrasts with lived actuality versus fiction or mediated representation. The opposition is usage-based and constructionally supported in the note. | lexical | [CORE] |
| gerçek dünya | idealized or simulated settings | gerçek dünya / — | real world / idealized or simulated settings | The root-expansion entry explicitly gives this contrast. It opposes practical actuality to abstract, ideal, or simulated environments. | lexical | [CORE] |
| gerçek ad / gerçek isim | pseudonym, nickname, or false identity | gerçek ad / gerçek isim / — | real name / pseudonym, nickname, or false identity | The context explicitly states that **gerçek ad / gerçek isim** contrasts with non-real naming or identity presentation. This is a supported identity/authenticity opposition. | lexical | [CORE] |
| hakikat sonrası | factual accuracy | hakikat sonrası / — | post-truth / factual accuracy | The entry for **hakikat sonrası** explicitly says it refers to discourse where emotional appeal outweighs factual accuracy. The contrast is therefore directly supported, though asymmetrical. | lexical | [CORE] |
