| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|---|---|---|---|---|
| 1. Statements and reports evaluated as true or false | This group covers expressions used to say that a statement, claim, report, or proposition is true, false, or factually accurate. They are especially common in conversation, journalism, argumentation, and careful written evaluation of whether something matches the facts. | **totta** — ‘true’<br>**tosi** — ‘true, real’<br>**epätosi** — ‘untrue, false’<br>**paikkansapitävä** — ‘true, accurate, valid’<br>**pitää paikkansa** — ‘be true, hold true, be correct’<br>**Se on totta.** — “That is true.”<br>**Onko se tosi?** — “Is it true?”<br>**väite on epätosi** — “the claim is false”<br>**Se pitää paikkansa.** — “That is true / That checks out.”<br>**väite ei pidä paikkansa** — “the claim is not true”<br>**paikkansapitävä tieto / väite / kuvaus** — “accurate information / claim / description” | **tosi** also overlaps with “real/genuine” uses and colloquial intensifying use.<br>**paikkansapitävä** is close to careful factual accuracy, not just everyday affirmation.<br>**väärä** can also appear here in expressions like **väärä tieto**, though it is broader than truth evaluation. | — |
| 2. Truth as content to tell, reveal, seek, or hide | These expressions are used when **truth** appears as something spoken, discovered, revealed, or pursued. They are common in moral talk, journalism, law, philosophy, and narrative contexts where truth is treated as content rather than just a yes/no property of a sentence. | **totuus** — ‘truth’<br>**puhua totta** — “tell the truth”<br>**kertoa totuus** — “tell the truth”<br>**paljastaa totuus** — “reveal the truth”<br>**etsiä totuutta** — “seek the truth”<br>**totuus tulee ilmi** — “the truth comes out”<br>**asian totuus** — “the truth of the matter”<br>**totuudenetsintä** — ‘search for truth’<br>**totuudenetsijä** — ‘seeker of truth’<br>**totuudenrakkaus** — ‘love of truth’ | **totuus** also belongs with technical and abstract uses such as **totuusarvo**.<br>**puhua totta** uses **totta**, but in practice patterns with truth-telling expressions centered on **totuus**. | — |
| 3. Reality and actuality contrasted with appearance, fiction, or assumption | This group includes expressions used to distinguish what is actual or real from what is only apparent, imagined, fictional, or supposed. They are common in everyday explanation, criticism, philosophy, media talk, and legal or analytical contexts. | **todellinen** — ‘real, actual’<br>**todellisuus** — ‘reality’<br>**todellinen syy** — “the real reason”<br>**todellinen ongelma** — “the real problem”<br>**todellisessa elämässä** — “in real life”<br>**vastata todellisuutta** — “correspond to reality”<br>**perustua todellisuuteen** — “be based on reality”<br>**irtautua todellisuudesta** — “lose touch with reality”<br>**todellisuudessa** — “in reality / actually”<br>**tulla todeksi** — “come true” | **tosi** sometimes patterns with this group when it means ‘real’.<br>**todella** and **todellakin** come from the same family but often function as discourse adverbs or intensifiers rather than clear reality-contrast terms. | — |
| 4. Genuineness, sincerity, and non-imitation | These expressions are used for things, feelings, behavior, style, and experiences judged as genuine rather than fake, staged, or insincere. They are common in everyday description, criticism, psychology, branding, and cultural commentary. | **aito** — ‘genuine, authentic’<br>**aidosti** — ‘genuinely, authentically’<br>**aitous** — ‘authenticity, genuineness’<br>**epäaito** — ‘inauthentic, fake’<br>**epäaidosti** — ‘inauthentically, insincerely’<br>**epäaitous** — ‘inauthenticity’<br>**aito ilo** — “genuine joy”<br>**aito kiinnostus** — “genuine interest”<br>**aito hymy** — “genuine smile”<br>**aidosti kiinnostunut** — “genuinely interested”<br>**aidosti oma itsensä** — “genuinely oneself”<br>**epäaito hymy / käytös** — “fake smile / inauthentic behavior”<br>**kuulostaa epäaidolta** — “sound inauthentic” | **aito kokemus** overlaps with more formal **autenttinen kokemus**.<br>**aito asia** is colloquial and less neutral than the more literal collocations.<br>Some uses of **aito** approach provenance/originality rather than sincerity. | — |
| 5. Authenticity and originality of objects, documents, versions, or sources | This group covers expressions used when the issue is whether something is original, authentic, forged, copied, or imitative. They are especially common in legal, archival, artistic, commercial, and journalistic contexts. | **autenttinen** — ‘authentic’<br>**alkuperäinen** — ‘original, authentic’<br>**väärennös** — ‘forgery, fake’<br>**jäljitelmä** — ‘imitation, replica, fake’<br>**aito nahka** — “genuine leather”<br>**autenttinen lähde** — “authentic source/document”<br>**alkuperäinen asiakirja** — “original document”<br>**alkuperäinen versio** — “original version”<br>**alkuperäisessä muodossaan** — “in its original form”<br>**tehdä väärennös** — “make a forgery”<br>**väärennös paljastui** — “the forgery was exposed”<br>**halpa jäljitelmä** — “cheap imitation”<br>**pelkkä jäljitelmä** — “mere imitation”<br>**olla jäljitelmä jostakin** — “be an imitation of something” | **aito** belongs here in material/product uses like **aito nahka**, but many other **aito** uses are about sincerity.<br>**autenttinen** overlaps with experience/style language, not only object authenticity.<br>**todellinen** can sometimes mean ‘real’ in nearby contexts, but it is not the usual word for forged vs original objects. | — |
| 6. Correctness, properness, and suitability in action or choice | These expressions are used when something is evaluated as correct, proper, suitable, or done in the right way. They are common in instruction, education, practical decision-making, and everyday moral or procedural judgment. | **oikea** — ‘right, correct, proper’<br>**oikein** — ‘correctly, properly, right’<br>**oikea vastaus** — “correct answer”<br>**oikea ratkaisu** — “the right solution”<br>**oikea tapa tehdä tämä** — “the right way to do this”<br>**oikea henkilö** — “the right person”<br>**oikeaan aikaan** — “at the right time”<br>**tehdä oikein** — “do the right thing / do correctly”<br>**oikein ymmärretty** — “understood correctly”<br>**oikein tehty** — “done correctly”<br>**oikeanlainen** — “the right kind of, suitable, proper”<br>**oikea-aikainen / oikea-aikaisesti** — “timely / in a timely manner” | **oikea** also overlaps with justice, entitlement, and legality through the **oikeus** family.<br>**tehdä oikein** can be practical or moral depending on context.<br>**oikea henkilö** is about fit/suitability rather than factual correctness. | — |
| 7. Error, incorrectness, and mismatch | This group includes expressions used when something is wrong, mistaken, erroneous, or mismatched. They are common in everyday correction, education, administration, technical writing, and public communication. | **väärä** — ‘wrong, false’<br>**virheellinen** — ‘erroneous, incorrect, faulty’<br>**väärä tieto** — “false information”<br>**väärä vastaus** — “wrong answer”<br>**soittaa väärälle henkilölle** — “call the wrong person”<br>**väärä hälytys** — “false alarm”<br>**olla väärässä** — “be wrong”<br>**virheellinen tieto** — “erroneous information”<br>**virheellinen käsitys** — “mistaken notion”<br>**virheellinen tulkinta** — “erroneous interpretation” | **väärä tieto** overlaps with truth/falsity evaluation.<br>**virheellinen** is often more formal and error-focused than **väärä**.<br>**epätosi** is nearby, but tends to be narrower and more proposition-focused. | — |
| 8. Justice, fairness, entitlement, and legal right | These expressions are used where the issue is not just correctness but rights, justice, fairness, or justified entitlement. They are common in law, politics, ethics, education, and public debate. | **oikeus** — ‘rightness, justice, right; legality, entitlement’<br>**oikeudenmukainen** — ‘just, fair’<br>**oikeudenmukaisuus** — ‘justice, fairness’<br>**oikeutettu** — ‘entitled; justified’<br>**oikeuttaa** — ‘entitle; justify; warrant’<br>**oikeutus** — ‘justification, legitimation’<br>**olla oikeus tehdä jotakin** — “have the right to do something”<br>**ei ole oikeutta** — “have no right”<br>**oikeus päättää omista asioistaan** — “the right to decide about one’s own affairs”<br>**oikeudenmukainen kohtelu** — “fair treatment”<br>**oikeudenmukainen päätös** — “a just/fair decision”<br>**kohdella jotakuta oikeudenmukaisesti** — “treat someone fairly” | **oikeutettu** can mean legal entitlement or more general justification.<br>**oikeus** also belongs to institutional legal vocabulary.<br>**olla oikeassa** is related in form but in usage belongs more with being correct than with rights. | — |
| 9. Legal conformity and juridical evaluation | This group covers expressions used to evaluate whether conduct, status, procedure, or decisions conform to law. They are especially common in official, administrative, and legal language. | **laillinen** — ‘legal, lawful’<br>**lainmukainen** — ‘in accordance with the law’<br>**oikeudellinen** — ‘legal, juridical’<br>**oikeudellisesti** — ‘legally, in juridical terms’<br>**laillinen oikeus** — “legal right”<br>**laillinen menettely** — “lawful procedure”<br>**onko tämä laillista?** — “is this legal?”<br>**lainmukainen menettely** — “procedure in accordance with the law”<br>**lainmukainen päätös** — “lawful decision”<br>**toimia lainmukaisesti** — “act in accordance with the law” | **laillinen** and **lainmukainen** are close, but the material notes that **lainmukainen** is often narrower and more formal.<br>**oikeudellinen** is broader and often frames something from a legal standpoint rather than simply saying it is lawful.<br>**oikeus** overlaps strongly with this group but also extends beyond it. | — |
