| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|---|---|---|---|---|---|---|
| सत्य | असत्य | *satya* / *asatya* | truth, true / false, untrue | This is the clearest basic opposition in the dataset between truth and falsehood. The second form is explicitly the privative negative of the first and is used for falsehood in speech, character, or representation. | morphological | [CORE] |
| ऋत | अनृत | *ṛta* / *anṛta* | truth, right order / falsehood, untruth | The data explicitly presents *anṛta* as the antonym of *ṛta*, especially in Vedic and moral-religious usage. The contrast is between truth/right order and falsehood/wrongness. | morphological | [CORE] |
| यथार्थ | अयथार्थ | *yathārtha* / *ayathārtha* | real, accurate, true / unreal, inaccurate, false | This is a direct opposition between correspondence to reality and failure to correspond to reality. The negative form is explicitly built with privative *a-* and is used in philosophical and evaluative prose. | morphological | [CORE] |
| यथार्थता | अयथार्थता | *yathārthatā* / *ayathārthatā* | accuracy, reality, truth / inaccuracy, unreality, falsity | These abstract nouns oppose the quality of being accurate or real to the quality of being inaccurate or unreal. The contrast is explicitly supported in the derivational inventory. | morphological | [CORE] |
| यथार्थज्ञान | अयथार्थज्ञान | *yathārthajñāna* / *ayathārthajñāna* | true knowledge, accurate cognition / false knowledge, erroneous cognition | This pair contrasts veridical cognition with cognition that fails to match its object. It is directly stated in the philosophical usage notes. | morphological | [CORE] |
| प्रमाणिक | अप्रमाणिक | *pramāṇika* / *apramāṇika* | authoritative, authentic, trustworthy / unauthoritative, unreliable, inauthentic | This is a direct opposition in evaluative and textual contexts between accepted authority and lack of authority. The negative form is explicitly listed as the standard counterpart. | morphological | [CORE] |
| प्रामाण्य | अप्रामाण्य | *prāmāṇya* / *aprāmāṇya* | validity, authority / invalidity, lack of authority | The pair contrasts epistemic validity with invalidity in philosophical debate. The data explicitly identifies *aprāmāṇya* as the standard antonym of *prāmāṇya*. | morphological | [CORE] |
| प्रमाण | अप्रमाण | *pramāṇa* / *apramāṇa* | valid proof, authority / not authoritative, invalid as proof | This opposition concerns whether something counts as valid evidence or not. It is directly supported in the *pramāṇa* family inventory. | morphological | [CORE] |
| सत्यवचन | असत्यवचन | *satyavacana* / *asatyavacana* | truthful speech, true statement / false statement, untruthful speech | This pair contrasts speech that accords with fact or duty with false utterance. The negative counterpart is explicitly given in the derivational system. | morphological | [CORE] |
| सत्यवादिन् | असत्यवादिन् | *satyavādin* / *asatyavādin* | truth-speaker, truthful person / speaker of falsehood, liar | This opposition is between a person characterized by truthful speech and one characterized by false speech. It is directly supported in the derivational inventory and semantic grouping on personal ethical qualities. | morphological | [CORE] |
| सत्यं वद | अनृतं मा वद | *satyaṃ vada* / *anṛtaṃ mā vada* | Speak the truth. / Do not speak falsehood. | These are opposed ethical speech commands: one positively enjoins truthful speech, the other prohibits false speech. The contrast is constructional because it is expressed through imperative vs prohibitive verbal patterns. | constructional | [CORE] |
| सत्यं वद | असत्यं वदति / असत्यं ब्रूते | *satyaṃ vada* / *asatyaṃ vadati, asatyaṃ brūte* | Speak the truth. / He/she speaks falsehood; he/she says what is false. | The dataset supports a contrast between speaking truth and speaking falsehood using parallel speech-verb constructions. Although person and mood differ, the opposition in content is explicit and well supported. | constructional | [CORE] |
| सत्यं ब्रूते / सत्यं ब्रवीति | मिथ्या वदति | *satyaṃ brūte / satyaṃ bravīti* / *mithyā vadati* | He/she speaks the truth. / He/she speaks falsely. | This is a direct contrast between truthful and false speech expressed with common speech verbs. The forms are not morphologically paired, but the semantic opposition is explicit in the constructional inventory. | constructional | [CORE] |
| सत्यं ब्रूते / सत्यं ब्रवीति | मृषा वदति | *satyaṃ brūte / satyaṃ bravīti* / *mṛṣā vadati* | He/she speaks the truth. / He/she speaks falsely. | This is another supported speech-level opposition, with *mṛṣā* functioning as the false counterpart in a literary/elevated register. The contrast is clearly present in the multi-word constructions. | constructional | [CORE] |
| प्रमा | मिथ्या ज्ञानम् | *pramā* / *mithyā jñānam* | valid cognition, true knowledge / false knowledge, erroneous cognition | The semantic groupings explicitly oppose correct cognition to erroneous cognition. The forms are not derivational counterparts, but they function as a clear epistemic opposition in philosophical usage. | lexical | [CORE] |
| यथार्थज्ञान | मिथ्या ज्ञानम् | *yathārthajñāna* / *mithyā jñānam* | true knowledge, accurate cognition / false knowledge, erroneous cognition | Both expressions are placed in the group for evaluating cognition as correct or incorrect. The contrast is between knowledge that corresponds to reality and knowledge that does not. | lexical | [CORE] |
| प्रमाणं भवति | प्रमाणं नास्ति | *pramāṇaṃ bhavati* / *pramāṇaṃ nāsti* | it is valid proof / there is no proof | This is an explicit constructional opposition between the presence and absence of valid evidence. The contrast is directly supported in the constructional inventory under attribution and negative attribution. | constructional | [CORE] |
