# CLCA Protocol v3.2 — F1 Vocabulary Table
# Language: Georgian (ka)

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|-----------------|-----------------|---------------------|-------------------|------------------|
| ჭეშმარიტი | ch'eshmarit'i | true, genuine | true, real, genuine, authentic | Used to describe statements that correspond to reality or things that are authentic and not false. Commonly appears in both everyday speech and formal contexts to affirm the veracity of claims or the genuineness of objects or feelings. | [CORE] |
| სიმართლე | simart'le | truth (noun derived from mart'ali "right") | truth, veracity | The primary noun for truth in Georgian, used in philosophical, legal, and everyday contexts. Functions as the standard term when discussing truthfulness, factual accuracy, or speaking honestly. | [CORE] |
| მართალი | mart'ali | right, correct | right, correct, just, righteous | Describes both factual correctness and moral righteousness. Used to evaluate statements as accurate or to characterize persons as morally upright or just in their conduct. | [CORE] |
| სწორი | sts'ori | straight, correct | correct, right, proper, accurate | Commonly used for correctness in practical, factual, and procedural contexts. Often preferred over mart'ali when discussing technical accuracy, proper methods, or correct answers. | [CORE] |
| ტყუილი | t'q'uili | lie, falsehood | lie, falsehood, untruth | The standard term for a deliberate falsehood or lie. Used in everyday speech to denote statements known to be false or deceptive representations. | [CORE] |
| ყალბი | q'albi | false, fake | false, fake, counterfeit, forged | Describes objects or representations that are counterfeit, forged, or deliberately made to deceive. Commonly used for fake documents, counterfeit money, or inauthentic goods. | [CORE] |
| ნამდვილი | namdvili | real, genuine | real, genuine, authentic, actual | Emphasizes authenticity and reality, often contrasted with imitations or false representations. Used to affirm that something is the real thing rather than a copy or fake. | [CORE] |
| ზუსტი | zusti | precise, exact | precise, exact, accurate | Used to describe precision and exactness in measurements, statements, or representations. Emphasizes accuracy in detail rather than general correctness. | [CORE] |
| სანდო | sando | reliable, trustworthy | reliable, trustworthy, credible | Describes persons, sources, or information that can be trusted or relied upon. Commonly used to evaluate the credibility of witnesses, sources, or the dependability of objects. | [CORE] |
| სამართლიანი | samart'liani | just, fair (derived from samart'ali "law, justice") | just, fair, righteous | Used in moral and legal contexts to describe fairness, justice, or rightness of conduct. Evaluates actions, decisions, or persons according to standards of justice and fairness. | [CORE] |
