# F1 VOCABULARY TABLE — Sanskrit (sa)

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|-----------------|-----------------|---------------------|-------------------|------------------|
| सत्य | satya | from √as "to be" + -tya suffix; "that which is" | truth, true, real, genuine | Used across all registers to denote truth, reality, or what genuinely exists. Appears in philosophical discourse (satya vs. mithyā), moral contexts (satya-vāda "truth-speaking"), and legal/ritual settings where authenticity is at issue. | [CORE] |
| असत्य | asatya | a- (negative prefix) + satya; "not-being, non-existent" | false, untrue, unreal | Direct negation of satya, used to characterize false statements, unreal appearances, or inauthentic claims. Common in philosophical and ethical discourse contrasting truth and falsehood. | [CORE] |
| ऋत | ṛta | from √ṛ "to go, move rightly"; cosmic order, right | cosmic order, truth, right, law | Vedic term denoting cosmic and moral order, truth as alignment with universal law. Used primarily in archaic/religious contexts to describe what is fundamentally right or properly ordered. | [MARGINAL] |
| अनृत | anṛta | a- (negative) + ṛta; "not-right, disorder" | falsehood, untruth, disorder, wrong | Negation of ṛta, denoting falsehood or violation of cosmic/moral order. Appears in Vedic and classical texts as opposite of truth and righteousness. | [MARGINAL] |
| तथ्य | tathya | from tathā "thus, so" + -ya suffix; "being thus, corresponding to fact" | true, factual, real, accurate | Emphasizes correspondence to actual state of affairs or facts. Used in contexts requiring verification or factual accuracy, often in narrative or descriptive discourse. | [CORE] |
| मिथ्या | mithyā | etymology uncertain; possibly from mithah "mutually, wrongly" | false, illusory, unreal, erroneous | Central term in philosophical discourse (especially Vedānta) for what is false, illusory, or lacking ultimate reality. Used to characterize mistaken cognitions, false appearances, and unreliable representations. | [CORE] |
| प्रमाण | pramāṇa | pra- (forth) + √mā "to measure" + -ana; "means of right knowledge" | valid means of knowledge, proof, authority, standard | Technical term in epistemology for valid instruments of knowledge (perception, inference, testimony, etc.). Used broadly for standards of verification, authoritative sources, and reliable evidence. | [CORE] |
| प्रमा | pramā | pra- + √mā; "right knowledge, valid cognition" | valid knowledge, true cognition, correct understanding | Denotes the result of valid cognition, knowledge that corresponds to reality. Distinguished from erroneous cognition (bhrama) in epistemological discourse. | [CORE] |
| भ्रम | bhrama | from √bhram "to wander, err"; error, confusion | error, illusion, mistake, false cognition | Denotes erroneous cognition or mistaken perception (e.g., seeing rope as snake). Central to epistemological discussions of knowledge versus error. | [CORE] |
| भ्रान्ति | bhrānti | from √bhram + -ti suffix; "wandering, error" | error, delusion, mistake, confusion | Similar to bhrama, denotes mistaken cognition or confusion. Used interchangeably with bhrama in many contexts, though sometimes distinguished in technical philosophical usage. | [CORE] |
| यथार्थ | yathārtha | yathā "as, like" + artha "object, meaning"; "according to the object" | true, accurate, real, corresponding to reality | Denotes correspondence between cognition and object, or between representation and reality. Used for accurate statements, true knowledge, and genuine understanding. | [CORE] |
| अयथार्थ | ayathārtha | a- (negative) + yathārtha; "not according to the object" | untrue, inaccurate, not corresponding to reality | Negation of yathārtha, denoting lack of correspondence between cognition and reality. Used for false statements or erroneous representations. | [CORE] |
| धर्म | dharma | from √dhṛ "to hold, support" + -ma; "that which upholds" | duty, righteousness, law, religion, proper conduct | Multivalent term denoting right conduct, moral/religious duty, law, or essential nature. Used in moral, legal, and philosophical contexts to evaluate conduct and character as right or proper. | [CORE] |
| अधर्म | adharma | a- (negative) + dharma; "not-dharma" | unrighteousness, wrong conduct, injustice, vice | Negation of dharma, denoting wrong conduct, violation of duty, or moral transgression. Used in ethical and legal discourse to characterize improper actions. | [CORE] |
| साधु | sādhu | from √sādh "to accomplish, succeed"; "good, proper" | good, virtuous, proper, correct, well done | Evaluative term for what is good, proper, or well-executed. Used for moral character, correct conduct, and proper usage (especially grammatical correctness). | [CORE] |
| असाधु | asādhu | a- (negative) + sādhu; "not-good, improper" | bad, improper, incorrect, wicked | Negation of sādhu, denoting what is improper, incorrect, or morally bad. Used in ethical and grammatical contexts. | [CORE] |
| सम्यक् | samyak | sam- (together, complete) + √añc "to go"; "going together, complete" | right, correct, proper, complete, true | Adverbial/adjectival form denoting correctness, completeness, or propriety. Common in Buddhist contexts (samyag-dṛṣṭi "right view") and general usage for correct understanding or proper action. | [CORE] |
| मिथ्यात्व | mithyātva | mithyā + -tva (abstract suffix); "falseness, illusoriness" | falsity, illusoriness, unreality | Abstract noun denoting the quality or state of being false or illusory. Technical term in Vedānta philosophy for the ontological status of appearance versus reality. | [CORE] |
| सत्यता | satyatā | satya + -tā (abstract suffix); "truthfulness, reality" | truthfulness, truth, reality, genuineness | Abstract noun denoting the quality of being true or real. Used for truthfulness as virtue and reality as ontological category. | [CORE] |
| विपर्यय | viparyaya | vi- (apart) + pari- (around) + √i "to go" + -aya; "going wrongly" | error, perversion, reversal, mistaken cognition | Technical term in Yoga and epistemology for erroneous cognition or mistaken understanding. Denotes knowledge that reverses or perverts the true nature of things. | [CORE] |
| आभास | ābhāsa | ā- (toward) + √bhās "to shine" + -a; "shining forth, appearance" | appearance, semblance, reflection, illusion | Denotes appearance or semblance, often contrasted with reality. Used in philosophical contexts for illusory appearances or mere semblances lacking genuine reality. | [CORE] |
| व्यवहार | vyavahāra | vi- (apart) + ava- (down) + √hṛ "to carry" + -a; "transaction, practice" | conventional usage, practical reality, transaction, behavior | Denotes conventional or practical level of reality and discourse, contrasted with ultimate truth (paramārtha). Used for everyday transactions, linguistic conventions, and empirical reality. | [CORE] |
| परमार्थ | paramārtha | parama "highest" + artha "meaning, object"; "highest meaning/reality" | ultimate truth, highest reality, absolute meaning | Denotes ultimate or absolute truth/reality, contrasted with conventional truth (vyavahāra). Central to Buddhist and Vedāntic discussions of two levels of truth. | [CORE] |
| अविद्या | avidyā | a- (negative) + vidyā "knowledge"; "non-knowledge, ignorance" | ignorance, nescience, false knowledge | Fundamental term for ignorance or false knowledge, especially metaphysical ignorance of reality. In Vedānta, the root cause of bondage and misperception of reality. | [CORE] |
| विद्या | vidyā | from √vid "to know" + -yā; "knowledge" | knowledge, learning, wisdom, science | General term for knowledge, learning, or wisdom. Contrasted with avidyā (ignorance) and used for both mundane learning and liberating knowledge. | [CORE] |
| सदृश | sadṛśa | sa- (with) + dṛśa (from √dṛś "to see"); "having same appearance" | similar, like, resembling, analogous | Denotes similarity or resemblance between things. Used in comparative contexts and discussions of analogy, likeness, or correspondence. | [CORE] |
| स्वरूप | svarūpa | sva "own" + rūpa "form"; "own-form" | essential nature, true form, inherent character | Denotes the essential nature or true form of something, what it fundamentally is. Used in philosophical discourse to distinguish essential from accidental properties. | [CORE] |
| अनुमान | anumāna | anu- (after) + √mā "to measure" + -ana; "measuring after" | inference, reasoning, deduction | Technical term for inference as a means of valid knowledge (pramāṇa). Denotes knowledge derived through reasoning from perceived evidence to unperceived conclusion. | [CORE] |
| प्रत्यक्ष | pratyakṣa | prati- (toward) + akṣa "eye"; "before the eyes" | perception, direct cognition, evident | Technical term for direct perception as a means of valid knowledge. Denotes immediate, non-inferential cognition through sense organs, considered most reliable pramāṇa. | [CORE] |
| शब्द | śabda | from √śabd "to sound"; "word, sound" | word, verbal testimony, scriptural authority, sound | As epistemological term, denotes verbal testimony or authoritative statement as means of knowledge. Includes both ordinary reliable testimony and scriptural revelation (āgama). | [CORE] |
| सत् | sat | √as (to be) present participle stem | being, existing, real, good | Used as adjective meaning "real, genuine, good" and as noun meaning "being, reality, the existent." Appears in philosophical compounds and as honorific prefix. Common in Upaniṣadic formula "sat-cit-ānanda" (being-consciousness-bliss). | [CORE] |
| सत्त्व | sattva | sat + -tva (abstract suffix) | being, existence, essence, goodness, purity | Denotes existence or essential nature in philosophical contexts. In Sāṃkhya, one of three guṇas (qualities) representing purity, lightness, illumination. Used for character quality meaning goodness or courage. | [CORE] |
| सत्ता | sattā | sat + -tā (abstract suffix) | existence, being, reality, entity | Abstract noun for existence or being. Used in ontological discussions to denote the fact or state of existing. Common in philosophical discourse about what has being versus non-being. | [CORE] |
| सत्कार | satkāra | sat + kāra (making, doing) | honor, respect, hospitality, good treatment | Denotes respectful treatment, hospitality, or honoring someone. Used in social and ritual contexts for proper reception of guests or showing respect to worthy persons. | [CORE] |
| सत्पुरुष | satpuruṣa | sat + puruṣa (man, person) | good person, virtuous man, gentleman | Denotes person of good character or virtue. Also technical grammatical term (satpuruṣa-samāsa) for determinative compound. Used in moral evaluation of character. | [CORE] |
| सत्कृत | satkṛta | sat + kṛta (made, done) | honored, respected, well-treated, esteemed | Past participle describing someone who has been honored or treated well. Used in social contexts for proper reception and in descriptions of respectful treatment. | [CORE] |
| सत्सङ्ग | satsaṅga | sat + saṅga (association, company) | association with the good, company of the virtuous | Religious and moral term for keeping company with virtuous or spiritually advanced persons. Considered important spiritual practice in devotional traditions. | [CORE] |
| असत् | asat | a- (negative) + sat | non-being, unreal, bad, evil | Denotes non-existence, unreality, or what is bad/evil. Used in ontological discussions (sat vs. asat) and moral contexts. Appears in cosmogonic discussions of being emerging from non-being. | [CORE] |
| सत्यवादिन् | satyavādin | satya + vādin (speaking, from √vad) | truth-speaking, truthful, veracious | Describes person who speaks truth habitually. Used as moral virtue in ethical discourse and legal contexts where truthful testimony is required. | [CORE] |
| सत्यवचन | satyavacana | satya + vacana (speech, statement) | true statement, truthful speech | Denotes a true or truthful utterance. Used in contexts requiring verification of statements or in moral discourse about truthful speech as virtue. | [CORE] |
| सत्यव्रत | satyavrata | satya + vrata (vow, observance) | vow of truthfulness, committed to truth | Denotes vow or commitment to truthfulness. Used for persons dedicated to truth-speaking as religious or moral discipline. Also appears as proper name. | [CORE] |
| सत्यसन्ध | satyasandha | satya + sandha (binding, keeping) | keeping truth, faithful to promises, honest | Describes person who keeps promises and commitments. Used in moral and legal contexts for reliability and faithfulness to one's word. | [CORE] |
| सत्यापन | satyāpana | satya + āpana (causing to reach, from ā + √āp) | verification, confirmation, validation | Modern administrative and legal term for verification or confirmation of facts. Used in contexts requiring official validation or authentication of claims. | [CORE] |
| सत्यनिष्ठ | satyaniṣṭha | satya + niṣṭha (devoted to, established in) | devoted to truth, firmly established in truth | Describes person firmly committed to truthfulness. Used in moral and spiritual discourse for unwavering dedication to truth as principle. | [CORE] |
