| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| 진실 (jinsil) | 진실을 말하다 | jinsil-eul malhada | to tell the truth, to speak the truth | The most basic and frequent verbal construction with 진실. Used across all registers in moral, legal, and everyday contexts. Appears in both affirmative and negative forms (진실을 말하지 않다, to not tell the truth). Cross-referenced from P1b. | [CORE] |
| 진실 (jinsil) | 진실을 밝히다 | jinsil-eul balkhida | to reveal the truth, to bring the truth to light | A highly conventionalized collocation used in investigative, journalistic, and legal contexts to describe the act of uncovering or disclosing what is actually the case. 밝히다 (to illuminate, to clarify) is the preferred verb in this collocation; contrasts with 진실을 말하다 in that it implies prior concealment. Cross-referenced from P1b. | [CORE] |
| 진실 (jinsil) | 진실을 숨기다 | jinsil-eul sumgida | to hide the truth, to conceal the truth | Used to describe deliberate concealment of what is actually the case. Common in journalistic, legal, narrative, and interpersonal contexts. Contrasts with 진실을 밝히다 as the negative counterpart; frequently appears in opposition to it. | [CORE] |
| 진실 (jinsil) | 진실을 알다 | jinsil-eul alda | to know the truth | Verb-object collocation describing the epistemic state of knowing what is actually the case. Common across all registers; frequently appears in narrative and investigative contexts. Appears in constructions such as 진실을 알고 싶다 (to want to know the truth) and 진실을 알게 되다 (to come to know the truth). | [CORE] |
| 진실 (jinsil) | 진실을 외면하다 | jinsil-eul oemyeonhada | to turn away from the truth, to ignore the truth, to avert one's eyes from the truth | Used to characterize willful avoidance of an uncomfortable or inconvenient truth. 외면하다 (to turn one's face away) carries a moral dimension of culpable avoidance. Common in political, ethical, journalistic, and moral contexts. Carries a critical or accusatory tone. | [CORE] |
| 진실 (jinsil) | 진실을 왜곡하다 | jinsil-eul waegokada | to distort the truth, to twist the truth | Used in journalistic and political discourse to describe the misrepresentation of facts. 왜곡하다 (to distort, to warp) implies deliberate or systematic misrepresentation rather than simple error. The pairing of 진실 with 왜곡하다 is highly conventionalized. | [CORE] |
| 진실 (jinsil) | 진실이 밝혀지다 | jinsil-i balkhyeojida | the truth comes to light, the truth is revealed, the truth is uncovered | Passive/resultative construction describing the emergence of truth, typically after a period of concealment or uncertainty. The passive/spontaneous counterpart to 진실을 밝히다. Common in narrative, journalistic, and legal contexts. The subject is 진실 rather than an agent. Carries a slightly more agentive implication than 진실이 드러나다 — the truth is uncovered through investigation or disclosure rather than simply emerging. | [CORE] |
| 진실 (jinsil) | 진실이 드러나다 | jinsil-i deureonada | the truth emerges, the truth is exposed, the truth comes to light | Predicative collocation describing the emergence of truth, often in contexts where it had previously been concealed. Similar to 진실이 밝혀지다 but 드러나다 (to be exposed, to surface) carries a slightly stronger implication of something previously hidden becoming visible. Common in investigative, journalistic, and narrative contexts. The subject is 진실 and the verb 드러나다 is intransitive. | [CORE] |
| 진실 (jinsil) | 진실과 거짓을 가리다 | jinsil-gwa geojit-eul garida | to distinguish truth from falsehood, to separate truth from lies | Fixed collocation framing the epistemic task of discrimination between true and false. 가리다 (to distinguish, to determine) is the standard verb in this construction. Appears in legal, journalistic, and philosophical contexts. | [CORE] |
| 진실 (jinsil) | 진실과 거짓을 구별하다 | jinsil gwa geojit-eul gubyeolhada | to distinguish truth from falsehood | Verb-object collocation framing the epistemic task of differentiating true from false claims. Common in educational, philosophical, and journalistic discourse. The paired structure 진실과 거짓 (truth and falsehood) is itself a fixed nominal pair. | [CORE] |
| 진실 (jinsil) | 진실과 거짓 사이 | jinsil-gwa geojit sai | between truth and falsehood | A fixed framing construction used in titles, discourse, and analytical contexts to position something in the space between truth and lie. The pairing 진실과 거짓 is highly conventionalized as a polar opposition. | [CORE] |
| 진실 (jinsil) | 진실의 순간 | jinsil-ui sungan | moment of truth | Used to describe a decisive moment when the true nature of something or someone is revealed. Likely influenced by the Spanish/English expression "moment of truth." Used in everyday and journalistic Korean to describe situations where the true state of affairs becomes apparent or a critical decision must be made. Documented in P1b; cross-referenced here as a fixed nominal construction. | [CORE] |
| 진실 (jinsil) | 진실은 하나다 | jinsil-eun hanada | there is only one truth, the truth is singular | A formulaic assertion used in investigative, legal, and popular culture contexts (notably associated with the detective fiction genre in Korean popular culture) to assert that facts are determinate and singular. Functions as a rhetorical claim rather than a philosophical proposition in most uses. | [CORE] |
| 진실 (jinsil) | 진실만이 살 길이다 | jinsil-mani sal gil-ida | truth is the only way to survive, only the truth will save us | Proverbial expression used in moral and political discourse to assert that honesty is the only viable course of action in a difficult situation. The construction is formulaic and appears in public speech and media commentary. | [CORE] |
| 진실 (jinsil) | 진실 규명 | jinsil gyumyeong | truth investigation, clarification of the truth, truth-finding | Noun-noun compound used in political, legal, and historical contexts to refer to formal processes of establishing what actually happened. Cross-referenced from P1b. | [CORE] |
| 사실 (sasil) | 사실을 확인하다 | sasil-eul hwagin-hada | to verify the facts, to confirm the facts | Standard collocation for the act of checking whether reported information is accurate. Common in journalistic, administrative, legal, and everyday contexts. The basis for the compound 사실확인 (fact-checking) documented in P1b; here as a verbal construction. | [CORE] |
