# CLCA Protocol v3.4 — F2b Constructions Table
# Language: Swahili (sw)

| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| kweli | ni kweli | ni kweli | it is true, that's true | Copular construction used to affirm the truth of a statement or proposition. Extremely common in conversational agreement and confirmation. | [CORE] |
| kweli | si kweli | si kweli | it is not true, that's not true, it's false | Negative copular construction used to deny the truth of a statement. Very common in disagreement and refutation. | [CORE] |
| kweli | kweli au uongo | kweli au uongo | true or false, truth or lies | Contrastive construction presenting a binary choice between truth and falsehood. Used in questioning, evaluation, and binary assessments. | [CORE] |
| kweli | kweli kweli | kweli kweli | really truly, very true, absolutely true | Reduplicative construction for emphasis. Common in informal speech to strongly affirm truthfulness. | [CORE] |
| kweli | hii ni kweli | hii ni kweli | this is true, this is the truth | Demonstrative copular construction pointing to a specific truth claim. Common in explanatory and argumentative discourse. | [CORE] |
| ukweli | ni ukweli | ni ukweli | it is the truth, it is a fact | Copular construction affirming something as factual truth. More formal than "ni kweli." | [CORE] |
| ukweli | kwa ukweli | kwa ukweli | in truth, truthfully, honestly | Prepositional phrase used adverbially to frame statements as truthful. Common in formal and emphatic speech. | [CORE] |
| ukweli | ukweli ni kwamba | ukweli ni kwamba | the truth is that, the fact is that | Construction introducing a truth claim or factual statement. Very common in explanatory discourse when revealing facts. | [CORE] |
| ukweli | ukweli ni ule ule | ukweli ni ule ule | the truth is the same, the truth remains the same | Construction emphasizing unchanging truth. Used when asserting consistency of facts despite circumstances. | [CORE] |
| ukweli | ukweli huu | ukweli huu | this truth, this fact | Demonstrative construction pointing to a specific truth. Common in argumentative and explanatory contexts. | [CORE] |
| ukweli | ukweli ule | ukweli ule | that truth, that fact | Distal demonstrative construction referring to a previously mentioned or distant truth. | [CORE] |
| ukweli | ukweli wote | ukweli wote | the whole truth, all the truth, the entire truth | Construction emphasizing completeness of truth disclosure. Common in legal and investigative contexts. | [CORE] |
