# F6 — NATURALNESS TABLE

| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|----------|---------------------------|-----------------|-------------------|--------|
| 1.1a | βγαίνει η αλήθεια | vgéni i alítheia | [CORE] | Standard expression for truth being revealed or becoming known. Uses intransitive verb βγαίνω "come out, emerge" rather than γίνομαι "become." |
| 1.1b | αποδεικνύεται αλήθεια | apodikníete alítheia | [CORE] | Formal expression for something being proven true. Uses passive voice of αποδεικνύω "prove." Common in formal and investigative contexts. |
| 1.1c | γίνεται αλήθεια | gínete alítheia | [UNNATURAL] | NOT ATTESTED as natural expression. Greek does not use γίνομαι "become" with αλήθεια in this way. Truth is conceptualized as being revealed rather than becoming. |
| 1.2a | αποδεικνύεται αληθινός/αληθινή/αληθινό | apodikníete alithinós/alithiní/alithinó | [CORE] | Formal expression for something being proven genuine or true. Adjective agrees with subject. Common in formal contexts, particularly for authentication. |
| 1.2b | γίνεται αληθινός/αληθινή/αληθινό | gínete alithinós/alithiní/alithinó | [MARGINAL] | MARGINALLY ATTESTED. Can be used but sounds somewhat awkward. More natural with specific subjects (e.g., φίλος "friend"). Example: γίνεται αληθινός φίλος "becomes a true friend" is acceptable. |
| 1.2c | αληθεύομαι | alithévome | [CORE] | Middle/passive voice verb expressing verification or confirmation. More formal register. Standard formal expression for verification. |
| 1.3a | γίνεται σωστό/σωστή/σωστός | gínete sostó/sostí/sostós | [CORE] | ATTESTED and natural. Used when something is corrected or becomes accurate. Natural expression for correction or becoming accurate. |
| 1.3b | διορθώνεται | diorthónete | [CORE] | Passive voice of διορθώνω "correct." Standard expression for correction. Primary way to express something being corrected. |
| 1.4a | γίνεται πραγματικός/πραγματική/πραγματικό | gínete pragmatikós/pragmatikí/pragmatikó | [CORE] | ATTESTED and natural. Used when something imagined or planned becomes reality. Natural expression for realization of plans or dreams. |
| 1.4b | πραγματοποιείται | pragmatopiíte | [CORE] | Passive voice of πραγματοποιώ "realize, accomplish." Standard expression for realization. Primary way to express something being realized or coming true. |
| 1.5a | γίνεται ορθός/ορθή/ορθό | gínete orthós/orthí/orthó | [MARGINAL] | MARGINALLY ATTESTED. More natural in physical sense (becoming straight) than epistemic sense (becoming correct). Possible but not preferred for epistemic correctness. More natural for physical straightness. |
| 1.5b | διορθώνεται | diorthónete | [CORE] | Same as with σωστός. Standard expression for correction. Primary way to express correction. |
| 1.6a | γίνεται έγκυρος/έγκυρη/έγκυρο | gínete énkyros/énkyri/énkyro | [CORE] | ATTESTED and natural in legal/administrative contexts. Used when documents or decisions acquire legal force. Natural in institutional contexts. |
| 1.6b | επικυρώνεται | epikyrónete | [CORE] | Passive voice of επικυρώνω "validate, certify." Formal legal/administrative term. Standard formal expression for validation. |
| 1.7a | γίνομαι βέβαιος/βέβαιη | gínome véveos/vévei | [CORE] | ATTESTED and natural. Used when someone acquires certainty about something. Natural expression for acquiring certainty. |
| 1.7b | βεβαιώνομαι | veveónome | [CORE] | Middle voice of βεβαιώνω. Expresses active verification or making sure. Standard expression for verification. |
| 1.8a | γίνεται δίκαιος/δίκαιη/δίκαιο | gínete díkaios/díkaii/díkaio | [CORE] | ATTESTED and natural. Used when person becomes just or situation becomes fair. Natural expression for moral improvement or fairness being achieved. |
| 1.8b | δικαιώνομαι | dikeónome | [CORE] | Passive/middle voice of δικαιώνω "vindicate, justify." Expresses being proven right or vindicated. Standard expression for vindication. |
| 2.1a | αποδεικνύεται ψέμα | apodikníete pséma | [CORE] | Formal expression for something being proven false or a lie. Common in investigative and argumentative contexts. |
| 2.1b | γίνεται ψέμα | gínete pséma | [UNNATURAL] | NOT ATTESTED as natural expression. Greek does not use γίνομαι with ψέμα in this way. |
| 2.1c | βγαίνει ψέμα | vgéni pséma | [CORE] | Colloquial expression using βγαίνω "come out, turn out." Natural in everyday speech. Common colloquial expression. |
| 2.2a | γίνεται λάθος | gínete láthos | [MARGINAL] | MARGINALLY ATTESTED. More natural to say αποδεικνύεται λάθος "it proves to be wrong." Possible but not preferred. |
| 2.2b | αποδεικνύεται λάθος | apodikníete láthos | [CORE] | Standard expression for something being proven incorrect. Natural and common. |
| 2.2c | βγαίνει λάθος | vgéni láthos | [CORE] | Colloquial expression using βγαίνω. Natural in everyday speech. Common colloquial expression. |
| 2.3a | αποδεικνύεται ψευδής/ψευδής/ψευδές | apodikníete psevdís/psevdís/psevdés | [CORE] | Formal expression for something being proven false. Adjective agrees with subject. Standard formal expression. |
| 2.3b | γίνεται ψευδής | gínete psevdís | [UNNATURAL] | NOT COMMONLY ATTESTED. Sounds awkward in most contexts. This construction is not naturally used. |
| 2.4a | γίνεται άκυρος/άκυρη/άκυρο | gínete ákyros/ákyri/ákyro | [CORE] | ATTESTED and natural in legal/administrative contexts. Used when documents or decisions lose legal force. Natural in institutional contexts. |
| 2.4b | ακυρώνεται | akyrónete | [CORE] | Passive voice of ακυρώνω "invalidate." Standard legal/administrative expression. Primary way to express invalidation. |
| 2.5 | γίνεται άδικος/άδικη/άδικο | gínete ádikos/ádiki/ádiko | [CORE] | ATTESTED and natural. Used when person becomes unjust or situation becomes unfair. Natural expression for moral deterioration or unfairness developing. |
| 2.6 | γίνεται αμφίβολος/αμφίβολη/αμφίβολο | gínete amfívolos/amfívoli/amfívolo | [CORE] | ATTESTED and natural. Used when something becomes uncertain or questionable. Natural expression for increasing doubt. |
| 3.1a | αποκαλύπτω την αλήθεια | apokalýpto tin alítheia | [CORE] | Standard transitive expression for causing truth to be known. Does not make something true, but reveals existing truth. Primary way to express truth revelation. |
| 3.1b | φέρνω την αλήθεια στο φως | férno tin alítheia sto fos | [CORE] | Idiomatic expression for revealing truth. Metaphorical causative. Common idiomatic expression. |
| 3.1c | κάνω κάτι αλήθεια | káno káti alítheia | [UNNATURAL] | NOT ATTESTED as natural expression. Greek does not use κάνω "make" to cause truth. This construction is not used. |
| 3.2a | κάνω κάτι αληθινό | káno káti alithinó | [MARGINAL] | MARGINALLY ATTESTED. Can be used in specific contexts (e.g., making dreams real) but sounds somewhat awkward. Possible but not preferred. |
| 3.2b | πραγματοποιώ | pragmatopiό | [CORE] | Standard verb for making something real or accomplishing it. Derived from πραγματικός "real." Primary way to express realization or making real. |
| 3.3a | κάνω κάτι σωστό | káno káti sostó | [CORE] | ATTESTED and natural. Can mean either "I correct something" or "I do the right thing." Natural expression with dual meaning. |
| 3.3b | διορθώνω | diorthóno | [CORE] | Standard transitive verb for correcting errors or fixing mistakes. Primary way to express correction. |
| 3.4a | κάνω κάτι ορθό | káno káti orthó | [MARGINAL] | MARGINALLY ATTESTED. More natural in physical sense (straightening) than epistemic sense. Possible but not preferred for epistemic correctness. |
| 3.4b | διορθώνω | diorthóno | [CORE] | Same verb as with σωστός. Standard expression for correction. Primary way to express correction. |
| 3.4c | ορθώνω | orthóno | [CORE] / [UNNATURAL] | Causative verb specifically for physical straightening or raising upright. Not used for epistemic correctness. Standard for physical straightening; unnatural for epistemic correctness. |
| 3.5a | κάνω κάτι έγκυρο | káno káti énkyro | [MARGINAL] | MARGINALLY ATTESTED. More natural to use specialized causative verb. Possible but not preferred. |
| 3.5b | επικυρώνω | epikyrόno | [CORE] | Standard causative verb for making something officially valid. Legal/administrative term. Primary way to express validation in formal contexts. |
| 3.5c | κυρώνω | kyrόno | [CORE] | Formal causative verb for official validation or ratification. Standard in legal/administrative contexts. |
| 3.6a | κάνω κάποιον βέβαιο | káno kápion véveo | [MARGINAL] | MARGINALLY ATTESTED. More natural to use specialized causative verb. Possible but not preferred. |
| 3.6b | βεβαιώνω | veveόno | [CORE] | Standard causative verb for making certain or confirming. Can take personal or impersonal objects. Primary way to express confirmation or certification. |
| 3.6c | διαβεβαιώνω | diaveveόno | [CORE] | Intensified form of βεβαιώνω, specifically for reassuring or strongly assuring someone. Standard for personal assurance. |
| 3.7a | κάνω κάτι δίκαιο | káno káti díkaio | [CORE] | ATTESTED and natural. Can mean either "I make something fair" or "I do the just thing." Natural expression with dual meaning. |
| 3.7b | δικαιώνω | dikeόno | [CORE] | Causative verb for vindicating someone or proving them right. Also means "to do justice to." Standard expression for vindication. |
| 4.1a | κάνω κάτι ψέμα | káno káti pséma | [UNNATURAL] | NOT ATTESTED as natural expression. Greek does not use κάνω with ψέμα in this causative sense. This construction is not used. |
| 4.1b | διαψεύδω | diapsévdo | [CORE] | Formal verb for proving something false or refuting claims. Standard formal expression for refutation. |
| 4.1c | ψεύδομαι | psévdome | [CORE] | Primary verb for lying. Middle voice. Does not mean "make false" but "tell falsehoods." Standard verb for lying, but not causative. |
| 4.2a | κάνω λάθος | káno láthos | [CORE] | CORE expression but means "I commit an error" not "I cause something to be wrong." Standard expression for making mistakes, but not causative in sense of making something else wrong. |
| 4.2b | κάνω κάτι λάθος | káno káti láthos | [UNNATURAL] | NOT NATURALLY ATTESTED in this causative sense. Greek uses other strategies. This construction is not used causatively. |
| 4.2c | λαθεύω | lathévo | [MARGINAL] | Formal verb for erring or making mistakes. Intransitive, not causative. Formal/literary; not causative. |
| 4.3a | κάνω κάτι ψευδές | káno káti psevdés | [UNNATURAL] | NOT ATTESTED as natural expression. Greek lacks simple causative for "make false." This construction is not used. |
| 4.3b | διαψεύδω | diapsévdo | [CORE] | Same as with ψέμα. Standard formal verb for proving false. Standard formal expression. |
| 4.3c | παραποιώ | parapiό | [CORE] | Formal verb for deliberately falsifying or distorting information. Standard for deliberate falsification. |
| 4.4a | κάνω κάτι άκυρο | káno káti ákyro | [MARGINAL] | MARGINALLY ATTESTED. More natural to use specialized causative verb. Possible but not preferred. |
| 4.4b | ακυρώνω | akyrόno | [CORE] | Standard causative verb for invalidating or cancelling. Legal/administrative term. Primary way to express invalidation. |
| 4.5a | κάνω κάτι άδικο | káno káti ádiko | [CORE] | ATTESTED and natural. Can mean either "I make something unfair" or "I commit an injustice." Natural expression with dual meaning. |
| 4.5b | αδικώ | adikό | [CORE] | Standard verb for treating someone unjustly or wronging them. Primary way to express wronging someone. |
| 4.6a | κάνω κάτι πλαστό | káno káti plastó | [UNNATURAL] | NOT NATURALLY ATTESTED in this form. Greek uses specialized verbs. This construction is not used. |
| 4.6b | πλαστογραφώ | plastografό | [CORE] | Standard verb for forging documents or counterfeiting. Specialized legal term. Primary way to express forgery. |
| 4.6c | παραχαράσσω | paracharásso | [CORE] | Specialized verb for counterfeiting currency or forging documents. Standard for counterfeiting money. |
| 4.7a | κατασκευάζω | kataskevázo | [CORE] | Standard verb that can mean both legitimate construction and fabrication of false evidence/stories. Primary verb for fabrication. |
| 4.7b | κατασκευάζω ψέματα | kataskevázo psémata | [CORE] | Specific construction for inventing elaborate lies or false stories. Common expression for deliberate fabrication. |
| 5.1a | κρατώ την αλήθεια | kratό tin alítheia | [MARGINAL] | Expression for maintaining or adhering to truth. Less common than revelation constructions. Possible but not frequently used. |
| 5.1b | υπερασπίζομαι την αλήθεια | yperaspízome tin alítheia | [CORE] | Expression for actively defending or protecting truth against attack. Common in argumentative and moral contexts. |
| 5.1c | μένω στην αλήθεια | méno stin alítheia | [CORE] | Expression for consistently telling truth or adhering to facts. Common expression for truthfulness. |
| 5.2a | κρατώ το σωστό | kratό to sostó | [MARGINAL] | Expression for maintaining correct state or proper standards. Possible but not frequently used. |
| 5.2b | διατηρώ την ορθότητα | diatirό tin orthótita | [MARGINAL] | Formal expression for preserving correctness or proper standards. Formal/technical usage. |
| 5.3a | διατηρώ την εγκυρότητα | diatirό tin enkyrótita | [CORE] | Legal/administrative expression for preserving validity of documents or decisions. Standard in institutional contexts. |
| 5.3b | παραμένει έγκυρος/έγκυρη/έγκυρο | paraméni énkyros/énkyri/énkyro | [CORE] | Expression for continued validity. Uses παραμένω "remain." Standard expression for ongoing validity. |
| 6.1a | αποτρέπω το ψέμα | apotrépo to pséma | [MARGINAL] | Expression for stopping lies from being told or believed. Possible but not frequently used. |
| 6.1b | εμποδίζω κάποιον να πει ψέματα | embodízo kápion na pi psémata | [CORE] | More natural construction using εμποδίζω "prevent" with infinitival complement. Natural expression for preventing lying. |
| 6.2a | αποφεύγω το λάθος | apofévgo to láthos | [CORE] | Standard expression for avoiding errors. Uses αποφεύγω "avoid." Common expression for error avoidance. |
| 6.2b | προλαβαίνω το λάθος | prolaváno to láthos | [CORE] | Expression for catching and preventing errors before they occur. Common expression for timely prevention. |
| 6.3a | αποτρέπω την ακύρωση | apotrépo tin akýrosi | [CORE] | Legal/administrative expression for preventing invalidation. Standard in institutional contexts. |
| 6.3b | διατηρώ την ισχύ | diatirό tin ischý | [CORE] | Legal expression for maintaining legal force or validity. Uses ισχύς "force, validity." Standard legal terminology. |
| 7.1a | αποδείχτηκε αληθινό | apodíchtike alithinó | [CORE] | Perfective past expressing completed proof or verification. Standard aspectual usage. |
| 7.1b | έγινε σωστό | égine sostó | [CORE] | Perfective past expressing completed correction. Standard aspectual usage. |
| 7.2a | γινόταν σωστό | ginótan sostó | [CORE] | Imperfective past expressing gradual or ongoing correction. Standard aspectual usage. |
| 7.2b | αποδεικνυόταν ψέμα | apodiknyótan pséma | [CORE] | Imperfective past expressing gradual revelation of falsity. Standard aspectual usage. |
| 7.3a | βγαίνει η αλήθεια | vgéni i alítheia | [CORE] | Present tense with progressive interpretation. Truth gradually emerging. Natural progressive interpretation. |
| 7.3b | διορθώνεται | diorthónete | [CORE] | Present passive with progressive interpretation. Natural progressive interpretation. |
| 8.1a | η αλήθεια δεν αλλάζει | i alítheia den allázi | [CORE] | Expression emphasizing immutability of truth. Common in philosophical and moral discourse. Standard expression for truth's stability. |
| 8.1b | η αλήθεια παραμένει | i alítheia paraméni | [CORE] | Expression emphasizing persistence of truth despite attempts to hide or deny it. Common in emphatic assertions. |
| 8.2a | τα γεγονότα δεν αλλάζουν | ta gegonóta den allázone | [CORE] | Expression emphasizing immutability of facts. Common in arguments. Standard expression for factual stability. |
| 8.2b | η πραγματικότητα είναι αμετάβλητη | i pragmatikótita íne ametávliti | [MARGINAL] | Formal expression emphasizing immutability of reality. Formal/philosophical usage. |
| 9.1a | η αλήθεια βγαίνει σιγά σιγά | i alítheia vgéni sigá sigá | [CORE] | Expression for gradual revelation of truth over time. Common expression for slow revelation. |
| 9.1b | η αλήθεια αποκαλύπτεται λίγο λίγο | i alítheia apokalýptete lígo lígo | [CORE] | Expression for incremental revelation of truth. Common expression for gradual disclosure. |
| 9.2 | διορθώνεται σιγά σιγά | diorthónete sigá sigá | [CORE] | Expression for gradual correction process. Natural expression for incremental correction. |
| 9.3 | αλλοιώνεται σιγά σιγά | alliónete sigá sigá | [CORE] | Expression for gradual distortion or falsification. Uses αλλοιώνω "distort, alter." Natural expression for incremental falsification. |
