# F3 — SEMANTIC GROUPS TABLE

| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|------------|------------|---------------------------|-------------------------------|----------------|
| Propositional Affirmation and Denial | Expressions used to affirm or deny the truth-value of statements or propositions in discourse. These forms appear primarily in responses, confirmations, corrections, and evaluative contexts where speakers assess whether something said or claimed corresponds to reality. They function as direct judgments on propositional content. | kweli (#1), ukweli (#2), ni kweli (P2b), si kweli (P2b), kwa kweli (P1b, P2b), ni kweli kwamba (P2b), si kweli kwamba (P2b), kweli kweli (P1b, P2b), kweli kabisa (P2b), uongo (#4), ni uongo (P2b), kusema kweli (P1b, P2b), kusema uongo (P2b) | haki (#6) - overlaps with this group when used in "haki ni kwamba..." (the truth is that...) but primarily belongs to rights/justice domain; batili (#12) - overlaps but more specialized for formal/legal invalidity | The root -kweli participates in both evaluating truth of statements and marking genuineness of entities, showing these are not clearly separated in usage. The term haki bridges truth-evaluation and rights/justice domains, suggesting these concepts are linked in Swahili usage patterns. |
| Correctness and Accuracy Evaluation | Expressions used to evaluate the correctness, accuracy, or precision of answers, information, procedures, calculations, and documents. These forms appear predominantly in educational, administrative, technical, and verification contexts where conformity to standards or factual accuracy is being assessed. They mark whether something meets established criteria for correctness. | sahihi (#3), usahihi (#24, P2a), ni sahihi (P2b), si sahihi (P2b), jibu sahihi (P1b, P2b), taarifa sahihi (P1b, P2b), hesabu sahihi (P1b, P2b), kwa usahihi (P1b, P2b), sawa (#7), ni sawa (P2b), kamili (#9), ukamili (P2a), taarifa kamili (P2b) | sahihi when used for document validation (overlaps with authentication group); kamili when emphasizing completeness vs. accuracy | Sahihi appears in factual accuracy, procedural correctness, and document validation, showing a broad semantic range. Sawa functions across correctness, acceptability, and agreement contexts without clear boundaries. Kamili is ambiguous between completeness and accuracy/perfection. |
| Authenticity and Genuineness | Expressions used to distinguish genuine, authentic, or real entities from fake, counterfeit, or superficial ones. These forms appear in commercial contexts (verifying products), social contexts (evaluating relationships and character), and general discourse about the essential nature of things. They mark whether something is what it purports to be. | halisi (#8), uhalisi (P2a), ni halisi (P2b), dhahabu halisi (P2b), -a kweli (#5), rafiki wa kweli (P1b, P2b), upendo wa kweli (P1b, P2b), dhahabu ya kweli (P1b), jina la kweli (P1b, P2b), ukweli halisi (P1b), -a dhati (#26), -tupu (#27) | kweli when used for authenticity vs. propositional truth; halisi when emphasizing purity vs. authenticity | The root -kweli participates in both evaluating truth of statements and marking genuineness of entities, showing these are not clearly separated in usage. |
| Rights, Justice, and Entitlement | Expressions used to discuss legal rights, moral entitlements, justice, and what is due to persons. These forms appear in legal discourse, human rights contexts, moral arguments, and situations involving claims, disputes, and the distribution of what is owed. They mark normative claims about what people deserve or are entitled to. | haki (#6), -a haki (#25), -enye haki (#10), haki yake (P1b), haki za binadamu (P1b, P2b), haki za wanawake (P1b, P2b), haki za watoto (P1b, P2b), haki ya kura (P1b, P2b), haki ya kumiliki (P1b, P2b), dai haki (P1b, P2b), toa haki (P1b, P2b), pata haki (P1b, P2b), linda haki (P1b, P2b), vunja haki (P1b, P2b), kwa haki (P1b, P2b), bila haki (P2b) | haki when used as "truth" (haki ni kwamba...) overlaps with propositional affirmation group; uadilifu (#18) overlaps between justice and moral character | The term haki bridges truth-evaluation and rights/justice domains, suggesting these concepts are linked in Swahili usage patterns. |
| Moral Character and Uprightness | Expressions used to evaluate the moral character of persons, particularly regarding honesty, integrity, fairness, and uprightness. These forms appear in character descriptions, moral judgments, testimonials, and ethical discourse. They mark whether someone's conduct and character align with moral standards of truthfulness and justice. | -adilifu (#17), uadilifu (#18), -nyofu (#20), unyofu (P2a), mtu adilifu (P2b), mtu wa kweli (P1b, P2b), mwenye kweli (P1b, P2b), -danganyifu (#23), udanganyifu (P2a), mdanganyifu (P2a), -bovu (#19), ubovu (P2a), kwa uadilifu (P2b) | -adilifu overlaps with justice domain; mwenye kweli overlaps with propositional truth when describing truthful speech vs. character | Expressions for moral uprightness (-adilifu, -nyofu) form a coherent group separate from propositional truth, though connected through honesty/truthfulness. |
| Evidence, Proof, and Verification | Expressions used in contexts of establishing, confirming, or providing evidence for claims. These forms appear in legal proceedings, investigations, research, and situations requiring validation or proof. They mark the processes and materials used to establish what is true or valid. | ushahidi (#15), shahidi (P2a), shuhudia (P2a), hoja (#14), thibitisha (#21), uthibitisho (P2a), mthibitisho (P2a), hakikisha (P2a), hakikisha usahihi (P2b), thibitisha usahihi (P2b), tafuta ukweli (P1b, P2b), gundua ukweli (P1b, P2b) | hoja overlaps with argumentation/reasoning; thibitisha overlaps with authentication processes | Forms related to proof and verification constitute a distinct procedural domain separate from truth-value judgments. |
| Obviousness and Manifestation | Expressions used to mark what is evident, clear, obvious, or manifestly apparent. These forms appear when pointing out what should be visible or recognizable to observers, often in arguments or explanations. They indicate that truth or facts are openly displayed rather than hidden. | dhahiri (#11), udhahiri (P2a), ni dhahiri (P2b), ni dhahiri kwamba (P2b), dhihirisha (P2a), ukweli ulio wazi (P1b, P2b) | (none noted) | (none noted) |
| Certainty and Confidence | Expressions used to mark the speaker's degree of certainty, confidence, or assurance about claims. These forms appear when emphasizing definiteness, removing doubt, or expressing strong conviction. They indicate epistemic stance regarding the reliability of knowledge or claims. | hakika (#16), uhakika (P2a), kwa hakika (P1b, P2b), ni hakika kwamba (P2b), kwa hakika kabisa (P2b), ukweli usio na shaka (P1b, P2b), bila shaka (P2b) | (none noted) | Gradations not prominent: Unlike some languages, Swahili truth vocabulary does not show extensive scalar or degree-based groupings (though intensifiers like kabisa exist). |
| Falsity and Invalidity | Expressions used to mark statements, claims, or documents as false, invalid, null, or without validity. These forms appear particularly in legal and formal contexts where official invalidation is required, as well as in general discourse about falsehood. They mark negation of truth or validity. | batili (#12), ubatili (P2a), ni batili (P2b), batilisha (P2a), -a uongo (#13), habari za uongo (P2b), ushahidi wa uongo (P2b) | uongo (#4) overlaps with propositional denial but emphasizes deliberate deception; batili more specialized for formal/legal contexts | (none noted) |
| Document Authentication and Validation | Expressions used specifically in administrative and legal contexts for validating, authenticating, or certifying documents, signatures, stamps, and copies. These forms appear in bureaucratic procedures requiring official verification. They mark whether documents meet formal requirements for acceptance. | saini sahihi (P1b, P2b), hati sahihi (P1b, P2b), nakala sahihi (P1b, P2b), chapa sahihi (P1b, P2b), uthibitisho sahihi (P2b) | sahihi overlaps with general correctness evaluation; thibitisha overlaps with general verification | Legal/administrative specialization: Document authentication forms a recognizable sub-domain with specialized vocabulary. |
| Epistemic Actions and Processes | Expressions describing cognitive and communicative actions related to truth, including seeking, discovering, knowing, understanding, recognizing, accepting, confessing, hiding, and opposing truth. These forms appear in narratives about knowledge acquisition, disclosure, and resistance. They mark different ways agents interact with truth. | jua ukweli (P1b, P2b), elewa ukweli (P1b, P2b), tambua ukweli (P1b, P2b), kubali ukweli (P1b, P2b), kiri ukweli (P1b, P2b), ficha ukweli (P1b, P2b), pinga ukweli (P1b, P2b), kuongea kweli (P1b, P2b), kuambia kweli (P1b, P2b) | (none noted) | (none noted) |
| Reasonableness and Sound Judgment | Expressions used to evaluate whether decisions, judgments, or persons exhibit reason, wisdom, or sound thinking. These forms appear in evaluative contexts assessing the rationality or sensibleness of actions and choices. They mark alignment with reasonable standards of judgment. | -a busara (#28), mtu wa busara (P2b), uamuzi wa busara (P2b), mwenye busara (P2b) | (none noted) | (none noted) |
| Procedural and Methodological Correctness | Expressions used to evaluate whether procedures, methods, ways of doing things, or timing are correct or appropriate. These forms appear in instructional and procedural contexts where proper execution matters. They mark conformity to proper methods rather than factual accuracy. | njia sahihi (P1b, P2b), namna sahihi (P1b, P2b), wakati sahihi (P1b, P2b), mahali sahihi (P1b, P2b) | These overlap with general correctness evaluation but emphasize procedure over fact | (none noted) |
| (Ungrouped Items) | Items with specialized or limited distribution that resist clear grouping | -tupu (#27) - appears primarily in negative evaluations marking emptiness/hollowness but limited attestation in truth domain; ukweli wa Mungu (P1b) - specialized religious usage; ukweli wa historia (P1b) - specialized historical/academic usage | (none noted) | (none noted) |
