# CLCA Protocol v3.4 — F2a Derivational Table
# Language: Basque (eu)

| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|-----------|--------------|-----------------|-------------------|-------------|-------------------|------------------|
| egia | egiazkoa | egiazkoa | egia (truth) + -zko (relational suffix) + -a (article) | true, genuine, authentic | Adjectival derivation marking something as characterized by truth or genuineness. Used attributively and predicatively across all registers. | [CORE] |
| egia | egiazkotasuna | egiazkotasuna | egia (truth) + -zko (relational) + -tasun (abstract noun) + -a (article) | truthfulness, authenticity, veracity | Abstract nominal derivation denoting the quality of being true or authentic. Used in formal and philosophical discourse. | [CORE] |
| egia | egiazkotu | egiazkotu | egia (truth) + -zko (relational) + -tu (verbalizer) | to verify, to authenticate | Verbal derivation meaning to establish as true or authentic. Common in administrative and legal contexts. | [CORE] |
| egia | egiaztatu | egiaztatu | egia (truth) + -zta- (verbal element) + -tu (verbalizer) | to verify, to prove, to confirm | Alternative verbal derivation with similar meaning to egiazkotu. Used in formal, academic, and legal contexts. | [CORE] |
| egia | egiaztatze | egiaztatze | egia (truth) + -zta- + -tze (nominalization) | verification, confirmation | Nominal derivation referring to the act or process of verifying. Used in administrative and technical contexts. | [CORE] |
| egia | egiaztapen | egiaztapen | egia (truth) + -zta- + -pen (action/result nominalization) | verification, proof | Nominal derivation emphasizing the result of verification. Common in formal and technical discourse. | [CORE] |
| egia | egiaztatzailea | egiaztatzailea | egia (truth) + -zta- + -tzaile (agent) + -a (article) | verifier, authenticator | Agentive derivation referring to person or entity that verifies. Used in administrative and technical contexts. | [CORE] |
| egia | egiazki | egiazki | egia (truth) + -zki (adverbial suffix) | truly, really, genuinely | Adverbial derivation used to emphasize truth or genuineness. Common in both spoken and written discourse. | [CORE] |
| egia | egiatan | egiatan | egia (truth) + -tan (locative/manner) | in truth, truly | Adverbial derivation marking statements as truthful. Functions as discourse marker and intensifier. | [CORE] |
| egia | egiazale | egiazale | egia (truth) + -zale (lover, enthusiast) | truth-lover, one devoted to truth | Compound derivation describing persons who value truth. Used in philosophical and moral discourse. | [CORE] |
| egia | egiazaletasuna | egiazaletasuna | egia (truth) + -zale (lover) + -tasun (abstract noun) + -a (article) | love of truth, devotion to truth | Abstract nominal derivation from egiazale. Used in philosophical and moral discourse about intellectual virtues. | [CORE] |
| gezur | gezurra | gezurra | gezur (lie) + -a (article) | the lie, a lie | Definite/indefinite nominal form. Standard form used in most contexts when referring to lies. | [CORE] |
| gezur | gezurrezko | gezurrezko | gezur (lie) + -ezko (relational suffix) | false, fake, lying | Adjectival derivation marking something as characterized by falsehood. Used for false statements, counterfeit objects, and deceptive representations. | [CORE] |
| gezur | gezurti | gezurti | gezur (lie) + -ti (agentive/characteristic suffix) | liar, lying (person) | Agentive/characteristic derivation describing persons who lie habitually. Used in moral condemnation. | [CORE] |
| gezur | gezurtia | gezurtia | gezur (lie) + -ti (characteristic) + -a (article) | the liar, a liar | Definite form of gezurti. Used to refer to specific persons characterized by lying. | [CORE] |
| zuzen | zuzena | zuzena | zuzen (straight/correct) + -a (article) | the correct one, the straight one | Definite adjectival/nominal form. Used both attributively and substantively across spatial, epistemic, and moral domains. | [CORE] |
| zuzen | zuzendu | zuzendu | zuzen (correct/straight) + -du (verbalizer) | to correct, to straighten, to rectify | Verbal derivation meaning to make correct or straight. Used in educational, editorial, and physical adjustment contexts. | [CORE] |
| zuzen | zuzenketa | zuzenketa | zuzen (correct) + -keta (action nominalization) | correction, rectification | Nominal derivation referring to the act or result of correcting. Common in educational and editorial contexts. | [CORE] |
| zuzen | zuzentzailea | zuzentzailea | zuzen (correct) + -tzaile (agent) + -a (article) | corrector, proofreader | Agentive derivation referring to person who corrects. Used in editorial and educational contexts. | [CORE] |
| zuzen | zuzentasuna | zuzentasuna | zuzen (correct/right) + -tasun (abstract noun) + -a (article) | correctness, rightness, justice, rectitude | Abstract nominal derivation denoting the quality of being correct or right. Used in epistemic, moral, and legal contexts. | [CORE] |
| zuzen | zuzenean | zuzenean | zuzen (straight/direct) + -ean (locative/manner) | directly, straight, live (broadcast) | Adverbial derivation indicating directness or lack of mediation. Used for spatial directness and live media transmission. | [CORE] |
| zuzen | zuzeneko | zuzeneko | zuzen (direct) + -eko (relational) | direct, live (adjectival) | Adjectival derivation describing direct connections or live broadcasts. Common in media and technical contexts. | [CORE] |
| zuzen | zuzenki | zuzenki | zuzen (correct) + -ki (adverbial suffix) | correctly, rightly | Adverbial derivation meaning in a correct manner. Used in instructional and evaluative contexts. | [CORE] |
| zuzen | zuzenbide | zuzenbide | zuzen (right/just) + bide (way, path) | law, jurisprudence, justice | Compound derivation that has lexicalized as the standard term for law or legal system. Fundamental term in legal discourse. | [CORE] |
| zuzen | zuzendaritza | zuzendaritza | zuzen (direct) + -dari (agent) + -tza (abstract noun/office) | direction, management, directorate | Complex derivation referring to management or directing body. Used in organizational and administrative contexts. | [CORE] |
