# F3 — SEMANTIC GROUPS TABLE

| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|------------|------------|---------------------------|-------------------------------|----------------|
| GROUP 1: AUTHENTICITY AND GENUINENESS EVALUATION | Terms used to evaluate whether objects, products, or representations are genuine versus counterfeit, original versus imitation. These terms commonly appear in commercial contexts (distinguishing real from fake goods), art authentication (original works versus copies), and verification of material objects. They focus on the physical or material authenticity of things rather than the truth of statements. | 真 (zhēn) [when modifying physical objects], 假 (jiǎ), 真品 (zhēnpǐn), 真迹 (zhēnjì), 真丝 (zhēnsī), 真皮 (zhēnpí), 正版 (zhèngbǎn), 正品 (zhèngpǐn), 货真价实 (huò zhēn jià shí), 真假 (zhēnjiǎ), 真伪 (zhēnwěi), 以假乱真 (yǐ jiǎ luàn zhēn), 辨别真假 (biànbié zhēnjiǎ) | 真 (zhēn) belongs to multiple groups depending on context | Typical contexts: Commerce, art collecting, product authentication, anti-counterfeiting. Key contrasts: Genuine/original vs. counterfeit/imitation; authorized vs. pirated |
| GROUP 2: FACTUAL CORRESPONDENCE AND REALITY | Terms used to evaluate whether statements, descriptions, or representations correspond to actual states of affairs or reality. These terms appear in investigative, journalistic, and analytical contexts where the concern is whether claims match what actually happened or exists. They emphasize correspondence between representation and reality rather than moral or normative correctness. | 真实 (zhēnshí) [of statements/situations], 真相 (zhēnxiàng), 事实 (shìshí), 实际 (shíjì), 实情 (shíqíng), 符合 (fúhé), 真实性 (zhēnshíxìng), 真实度 (zhēnshídù), 揭露真相 (jiēlù zhēnxiàng), 查明真相 (chámíng zhēnxiàng), 隐瞒真相 (yǐnmán zhēnxiàng), 还原真相 (huányuán zhēnxiàng), 真相大白 (zhēn xiàng dà bái), 符合事实 (fúhé shìshí), 不符合事实 (bù fúhé shìshí), 事实上 (shìshí shàng), 实际上 (shíjì shàng), 客观事实 (kèguān shìshí), 铁的事实 (tiě de shìshí) | 真 (zhēn) when modifying statements; 实 (shí) in compounds like 真实, 事实; 符合 (fúhé) with 事实, 实际 | Typical contexts: Journalism, investigation, historical research, verification of claims. Key contrasts: What actually happened vs. what is claimed; reality vs. appearance; facts vs. opinions |
| GROUP 3: CORRECTNESS OF ANSWERS AND JUDGMENTS | Terms used to evaluate whether answers, responses, judgments, or solutions are correct versus incorrect. These terms are extremely common in educational contexts (grading, testing), problem-solving situations, and everyday assessments of whether someone's answer or judgment is right or wrong. They focus on binary correctness rather than degrees of accuracy or moral rightness. | 对 (duì), 错 (cuò), 正确 (zhèngquè), 对不对？(duì bu duì?), 你说得对 (nǐ shuō de duì), 你错了 (nǐ cuò le), 哪里错了？(nǎlǐ cuò le?), 对答如流 (duì dá rú liú), 改正 (gǎizhèng), 纠正 (jiūzhèng), 修正 (xiūzhèng) | 正确 (zhèngquè) also belongs to Groups 11 and 13 depending on context | Typical contexts: Education, testing, problem-solving, everyday judgments. Key contrasts: Correct answer vs. wrong answer; right judgment vs. mistaken judgment |
| GROUP 4: PRECISION AND ACCURACY | Terms used to evaluate the degree of exactness or precision in measurements, statements, descriptions, or representations. These terms commonly appear in technical, scientific, and contexts requiring exactness, where the concern is not just whether something is true or false, but how precisely it matches a standard or target. They emphasize gradable accuracy rather than binary correctness. | 准确 (zhǔnquè), 准确性 (zhǔnquèxìng), 准确度 (zhǔnquèdù), 精确 (jīngquè), 正确地 (zhèngquè de), 准确地 (zhǔnquè de) | None specifically noted | Typical contexts: Scientific measurement, technical specifications, data analysis, quality control. Key contrasts: Precise vs. approximate; exact vs. rough; high accuracy vs. low accuracy |
| GROUP 5: HONESTY AND SINCERITY IN CONDUCT | Terms used to evaluate the honesty, sincerity, or truthfulness of persons, their statements, or their conduct. These terms carry strong moral connotations and are central to character evaluation in Chinese culture. They focus on the moral quality of being truthful and sincere rather than the factual accuracy of statements, and often appear in contexts of moral judgment, character assessment, and interpersonal relationships. | 诚 (chéng), 诚实 (chéngshí), 诚实守信 (chéngshí shǒuxìn), 诚实可靠 (chéngshí kěkào), 真诚 (zhēnchéng), 真心 (zhēnxīn), 真挚 (zhēnzhì), 真心实意 (zhēn xīn shí yì), 老实 (lǎoshí), 正直 (zhèngzhí), 正派 (zhèngpài), 开诚布公 (kāi chéng bù gōng), 精诚所至，金石为开 (jīng chéng suǒ zhì, jīn shí wèi kāi), 说实话 (shuō shíhuà), 老实说 (lǎoshí shuō), 实话实说 (shíhuà shíshuō), 坦白说 (tǎnbái shuō) | 诚实 (chéngshí) and related terms also function as discourse markers (Group 16); 说实话, 老实说, 坦白说 overlap with Group 16 | Typical contexts: Moral evaluation, character assessment, interpersonal relationships, ethical discourse. Key contrasts: Honest vs. deceitful; sincere vs. hypocritical; truthful vs. lying |
| GROUP 6: DECEPTION AND FALSIFICATION | Terms used to describe deliberate acts of deceiving, lying, or creating false representations. These terms carry negative moral connotations and focus on intentional dishonesty rather than mere error or mistake. They commonly appear in contexts of moral condemnation, legal proceedings, and discussions of fraud or deception. | 欺骗 (qīpiàn), 欺骗感情 (qīpiàn gǎnqíng), 谎言 (huǎngyán), 说谎 (shuō huǎng), 撒谎 (sā huǎng), 虚假 (xūjiǎ), 虚张声势 (xū zhāng shēng shì), 弄假成真 (nòng jiǎ chéng zhēn), 把...弄假 (bǎ... nòng jiǎ) | None specifically noted | Typical contexts: Moral condemnation, legal proceedings, fraud investigation, relationship conflicts. Key contrasts: Deliberate deception vs. honest error; lying vs. truth-telling; fraud vs. authenticity |
| GROUP 7: SUBSTANTIALITY AND CONCRETENESS | Terms used to evaluate whether something has substance, solidity, or concrete reality as opposed to being empty, hollow, or merely theoretical. These terms often contrast the substantial/practical with the insubstantial/theoretical, and commonly appear in contexts evaluating whether plans, content, or work has real substance versus being superficial or empty show. | 实 (shí), 虚 (xū), 实在 (shízài), 实心 (shíxīn), 实体 (shítǐ), 实物 (shíwù), 充实 (chōngshí), 扎实 (zhāshí), 踏实 (tāshí), 殷实 (yīnshí), 朴实 (pǔshí), 平实 (píngshí), 实实在在 (shí shí zài zài), 华而不实 (huá ér bù shí), 虚有其表 (xū yǒu qí biǎo), 脚踏实地 (jiǎo tà shí dì), 虚虚实实 (xū xū shí shí), 真材实料 (zhēn cái shí liào) | 实 (shí) as standalone or in compounds emphasizing solidity; also belongs to Groups 2 and 8 | Typical contexts: Evaluation of work quality, content assessment, character evaluation, strategic analysis. Key contrasts: Substantial vs. empty; concrete vs. abstract; solid vs. hollow; practical vs. theoretical |
| GROUP 8: PRACTICAL IMPLEMENTATION AND ACTUALIZATION | Terms used to describe the process of making something actual, implementing plans, or putting ideas into practice. These terms focus on the transition from theoretical or planned to actual or realized, and commonly appear in administrative, political, and project management contexts. They emphasize action and actualization rather than mere description or evaluation. | 实现 (shíxiàn), 实施 (shíshī), 实行 (shíxíng), 实践 (shíjiàn), 落实 (luòshí), 坐实 (zuòshí), 从实际出发 (cóng shíjì chūfā), 符合实际 (fúhé shíjì) | 实 (shí) in verbal compounds like 实现, 实施; also belongs to Groups 2 and 7 | Typical contexts: Project management, policy implementation, administrative work, political discourse. Key contrasts: Theory vs. practice; planning vs. implementation; abstract vs. actualized |
| GROUP 9: RELIABILITY AND DEPENDABILITY | Terms used to evaluate whether persons, information, or objects can be depended upon or trusted. These terms focus on trustworthiness and dependability rather than truth per se, and commonly appear in contexts of assessing whether something or someone is reliable enough to be trusted or depended upon. | 可靠 (kěkào), 可靠性 (kěkàoxìng), 可靠度 (kěkàodù), 确实 (quèshí), 确实如此 (quèshí rúcǐ), 确凿的证据 (quèzáo de zhèngjù) | None specifically noted | Typical contexts: Quality assessment, trust evaluation, technical reliability testing. Key contrasts: Reliable vs. unreliable; dependable vs. undependable; trustworthy vs. untrustworthy |
