# CLCA Protocol v3.4 — F4 Construction Table
# Language: Georgian (ka)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|------------------|---------|-----------------|-------------|-------------|------------------|
| **1. ATTRIBUTION** | ეს ჭეშმარიტია | es č'ešmarit'ia | this is true | Standard predicative pattern used across all registers. Copular suffix -ა on adjectives is the unmarked construction for predication. | [CORE] |
| **1. ATTRIBUTION** | ეს სიმართლეა | es simart'lea | this is the truth | Equally common with abstract nouns. No register or frequency difference from adjectival pattern. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** | ეს არ არის სიმართლე | es ar aris simart'le | this is not the truth | Syntactic negation with არ is the default strategy for negating predicative statements. Used in all contexts. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** | ეს უსამართლოა | es usamart'loa | this is unjust | Lexical negation with უ- creates stable antonyms with distinct meanings. Not freely interchangeable with syntactic negation. | [CORE] |
| **3. ADNOMINAL MODIFICATION** | ჭეშმარიტი სიტყვა | č'ešmarit'i sit'q'va | true word | Highly productive across all truth-domain adjectives. Standard attributive position (adjective before noun) with case agreement. | [CORE] |
| **3. ADNOMINAL MODIFICATION** | ნამდვილი მეგობარი | namdvili megobari | true friend | No restrictions observed. Applies to concrete and abstract nouns equally. | [CORE] |
| **4. BECOME / INCHOATIVE** | სიმართლე გამოვლინდა | simart'le gamovlinda | the truth was revealed | Specialized verb for truth revelation is highly idiomatic. More common than generic "become" construction in truth domain. | [CORE] |
| **4. BECOME / INCHOATIVE** | მართალი გახდა | mart'ali gaxda | became right/correct | Generic "become" construction less frequent with truth-domain predicates. More common with other semantic domains. | [MARGINAL] |
| **5. CAUSATIVE** | (no examples) | — | — | No dedicated morphological causative identified. Periphrastic expressions possible but not systematized in data. | [UNCERTAIN] |
| **6. ABSTRACT NOMINALIZATION** | ნამდვილობა | namdviloba | reality/genuineness | Suffix -ობა/-ება extremely productive. Creates abstract nouns freely from adjectival bases across all registers. | [CORE] |
| **6. ABSTRACT NOMINALIZATION** | სიმართლე | simart'le | truth | Prefix სი- appears with core lexical items. Not productive but forms are high-frequency. | [CORE] |
| **7. AGENTIVE NOMINALIZATION** | მატყუარა | maṭq'uara | liar, deceiver | Highly lexicalized for deception agents. Pattern productive but primarily attested with negative agents. | [CORE] |
| **7. AGENTIVE NOMINALIZATION** | მატყუარებელი | maṭq'uarebeli | deceiver | Variant with -ებელი suffix. Both forms in active use with slight register differences (latter more formal). | [CORE] |
| **8. VERBAL NOUN FORMATION WITH PREVERBS** | მოტყუება | moṭq'ueba | deception, deceiving | Extremely productive pattern. Different preverbs create aspectual distinctions systematically. | [CORE] |
| **8. VERBAL NOUN FORMATION WITH PREVERBS** | გამართლება | gamart'leba | justification | No restrictions observed. Applies across all truth-domain verbal roots with various preverbs. | [CORE] |
| **9. ADVERBIALIZATION** | ნამდვილად | namdvilad | really, truly, actually | Suffix -ად applies to all truth-domain adjectives without exception. Functions both as manner adverb and discourse particle. | [CORE] |
| **9. ADVERBIALIZATION** | ზუსტად | zustad | precisely, exactly | High frequency in both spoken and written registers. No usage restrictions. | [CORE] |
| **10. LIGHT VERB: TRUTH-TELLING** | სიმართლე თქვა | simart'le t'qva | to tell the truth | Standard collocation for truth-telling. Verb თქვა is the unmarked choice for this construction. | [CORE] |
| **10. LIGHT VERB: TRUTH-TELLING** | ტყუილი თქვა | ṭq'uili t'qva | to tell a lie | Parallel construction for lying. Equally frequent and unrestricted in usage. | [CORE] |
| **11. LIGHT VERB: TRUTH-SEEKING** | სიმართლე გაარკვია | simart'le gaark'via | to find out the truth | Common construction with multiple verb options. Preverb გა- marks completive aspect. | [CORE] |
| **11. LIGHT VERB: TRUTH-SEEKING** | სიმართლე იძიოს | simart'le iʒios | to search for the truth | Different verb emphasizes process rather than completion. Both constructions productive. | [CORE] |
| **12. LIGHT VERB: VERIFICATION** | სიმართლე დაადასტურა | simart'le daadast'ura | confirmed the truth | Formal register construction. Common in legal, academic, and official contexts. | [CORE] |
| **12. LIGHT VERB: VERIFICATION** | დაამოწმა | daamoc'ma | verified, attested | Parallel construction with different verb. Both equally productive in formal discourse. | [CORE] |
