| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| ATTRIBUTION | Bu bilgi **doğru**. | *Bu bilgi doğru.* | “This information is correct/true.” | Very common in everyday evaluation of information, claims, documents, and persons/sources. Present-tense predication normally appears without an overt copula; related alternants attested in P4a include **X gerçek / haklı / geçerli / güvenilir (olmak)**. | [CORE] |
| ATTRIBUTION | Bu belge **geçerli** değil. | *Bu belge geçerli değil.* | “This document is not valid.” | Common especially in administrative, legal, and institutional contexts for validity judgments. This belongs to the same broad predicative pattern, with alternants attested in P4a such as **X doğru / gerçek / haklı / güvenilir (olmak)**. | [CORE] |
| NEGATIVE ATTRIBUTION | Bu iddia **doğru değil**. | *Bu iddia doğru değil.* | “This claim is not true.” | A very natural way to negate truth-related predicates in general discourse. P4a also attests lexical alternants for negative evaluation, including **X sahte / asılsız / geçersiz**. | [CORE] |
| NEGATIVE ATTRIBUTION | Bu haber **asılsız**. | *Bu haber asılsız.* | “This report is baseless.” | Common in media, public statements, and formal denial contexts; lexical negatives can sound more categorical than **A değil**. Attested alternants in P4a include **X doğru / gerçek / geçerli değil** and lexical negatives such as **sahte, geçersiz, haksız**. | [CORE] |
| ADNOMINAL MODIFICATION | **güvenilir kaynak** | *güvenilir kaynak* | “reliable source” | Highly natural in noun phrases evaluating sources, evidence, institutions, and testimony. P4a attests several alternate modifiers in the same slot: **doğru, gerçek, hakiki, sahici, özgün, geçerli, sahte, uydurma**. | [CORE] |
| ADNOMINAL MODIFICATION | **sahte belge** | *sahte belge* | “fake/forged document” | Very common for authenticity/falsity judgments, especially with documents, goods, and representations. Alternate attested modifiers in P4a include **güvenilir, gerçek, hakiki, sahici, özgün, geçerli, uydurma**. | [CORE] |
| BECOME / INCHOATIVE | Hikâye daha **inandırıcı oldu**. | *Hikâye daha inandırıcı oldu.* | “The story became more convincing.” | **X olmak** is the regular and productive way to express change of state in this semantic area. P4a notes limited alternate inchoatives in **-leş-**. | [CORE] |
| BECOME / INCHOATIVE | İlişkileri zamanla **sahteleşti**. | *İlişkileri zamanla sahteleşti.* | “Their relationship became artificial/fake over time.” | The **-leş-** strategy is attested but more lexically restricted and less general than **X olmak**. P4a gives alternants such as **Adj/N + ol-** and mentions other limited **-leş-** forms like **özgünleşmek**. | [MARGINAL] |
| CAUSATIVE (OR ABSENCE) | Haberi henüz **doğrulamadılar**. | *Haberi henüz doğrulamadılar.* | “They have not verified the news yet.” | This is a very natural causative/verification expression in journalism, administration, and factual checking. P4a indicates that Turkish often uses lexical verbs here rather than a single general causative pattern; attested alternants include **X-i doğrulamak** and limited **Adj + -leş-tir-** causatives. | [CORE] |
| CAUSATIVE (OR ABSENCE) | Bu söylem olayı **sahteleştiriyor**. | *Bu söylem olayı sahteleştiriyor.* | “This discourse makes the event seem artificial/fake.” | Attested but more restricted and stylistically marked than **doğrulamak**-type verbs. P4a notes only limited causatives of this kind, with **-leştir-** not broadly available across the whole domain. | [MARGINAL] |
| ABSTRACT NOMINALIZATION | Raporun **doğruluğu** tartışılıyor. | *Raporun doğruluğu tartışılıyor.* | “The accuracy/truth of the report is being discussed.” | Very common in formal, academic, bureaucratic, and evaluative discourse. P4a attests productive alternants in **-lık/-lik/-luk/-lük**, including **gerçeklik, güvenilirlik, geçerlilik, dürüstlük, sahicilik**, plus lexical nouns such as **hakikat, meşruiyet**. | [CORE] |
| ABSTRACT NOMINALIZATION | Ölçümün **güvenilirliği** düşük. | *Ölçümün güvenilirliği düşük.* | “The reliability of the measurement is low.” | Especially common in technical, scientific, and assessment contexts. Alternate attested nominalizations in P4a include **doğruluk, gerçeklik, geçerlilik, meşruiyet, dürüstlük, sahicilik**. | [CORE] |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | **yalancı** gerçeği sakladı. | *yalancı gerçeği sakladı.* | “The liar hid the truth.” | **yalancı** is a common lexical agent noun in ordinary speech and narrative contexts. P4a, however, notes no equally central direct agentive pair from the core truth adjectives; attested alternants are descriptive phrases like **dürüst biri** and **doğruyu söyleyen kişi**. | [CORE] |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | Herkes ona **dürüst biri** der. | *Herkes ona dürüst biri der.* | “Everyone calls him an honest person.” | This descriptive phrase is natural for positive character evaluation, especially where no compact lexical counterpart to “liar” is preferred. P4a also attests **doğruyu söyleyen kişi** as an alternate descriptive construction. | [CORE] |
| VERIDICAL SPEECH / REPORTING | Bana **gerçeği söyle**. | *Bana gerçeği söyle.* | “Tell me the truth.” | A central and idiomatic pattern for honesty, disclosure, and confrontation in everyday and literary use. P4a attests alternate objects and verbs in the same construction, including **doğruyu / hakikati** with **söylemek / yansıtmak / çarpıtmak / gizlemek**. | [CORE] |
| VERIDICAL SPEECH / REPORTING | Bu açıklama **gerçeği çarpıtıyor**. | *Bu açıklama gerçeği çarpıtıyor.* | “This statement distorts the truth.” | Common in media criticism, political discourse, and evaluative commentary. Attested alternants in P4a include **doğruyu / hakikati** as objects and verbs such as **söylemek, yansıtmak, gizlemek**. | [CORE] |
| PARTIAL-TRUTH CONSTRUCTION | Bu söylentinin **gerçek payı var**. | *Bu söylentinin gerçek payı var.* | “There is some truth in this rumor.” | A compact and idiomatic way to indicate partial truth, especially in discussion of rumors, criticism, or mixed claims. P4a attests alternants with **gerçek / doğruluk / hakikat** in the **X payı olmak** pattern. | [CORE] |
| PARTIAL-TRUTH CONSTRUCTION | Eleştiride **doğruluk payı** yok değil. | *Eleştiride doğruluk payı yok değil.* | “The criticism is not entirely without some truth.” | Natural but somewhat rhetorically nuanced because of the double-negation-like phrasing **yok değil**. Alternate attested forms in P4a include **gerçek payı var** and the broader **X payı olmak** pattern with **hakikat** as well. | [CORE] |
| CONFORMITY-TO-REALITY | Film tarihsel olarak **gerçeğe uygun** değil. | *Film tarihsel olarak gerçeğe uygun değil.* | “The film is not true to historical reality.” | Common in criticism of representations, narratives, and depictions, especially with historical or factual standards. P4a attests the alternate relational pattern **X-(d)en uzak**, alongside **X-(y)e uygun** with complements such as **gerçek / hakikat / asıl**. | [CORE] |
| CONFORMITY-TO-REALITY | Bu anlatı **hakikatten uzak**. | *Bu anlatı hakikatten uzak.* | “This narrative is far from the truth.” | Natural in literary, journalistic, and polemical evaluation of narratives or claims. Attested alternants in P4a include **gerçeğe uygun** and the broader complement set **gerçek / hakikat / asıl** in **X-(y)e uygun / X-(d)en uzak** constructions. | [CORE] |
