# CLCA Protocol v3.4 — P4b Construction Usage & Constraints
# Language: Swahili (sw)

---

| Construction Type | Example | Transliteration | Translation | Naturalness Rating | Usage Notes |
|------------------|---------|-----------------|-------------|-------------------|-------------|
| **1. ATTRIBUTION** | Habari hii ni kweli | habari hii ni kweli | "This news is true" | [CORE] | Standard predicative construction used across all registers. No restrictions observed. The copula ni/si shows invariant form in present tense across noun classes. |
| | Maneno yake ni sahihi | maneno yake ni sahihi | "His/her words are correct" | [CORE] | Same pattern as above; sahihi commonly used for correctness/accuracy in formal and informal contexts. |
| **2. NEGATIVE ATTRIBUTION** | Hii si kweli | hii si kweli | "This is not true" | [CORE] | Most common negation strategy for truth-value denial. Used freely across all contexts. The invariant si form is standard for present tense negation. |
| | Bidhaa hizi si halisi | bidhaa hizi si halisi | "These products are not genuine" | [CORE] | Particularly common in commercial/consumer contexts for authenticity claims. Pattern identical to general negative copular construction. |
| **3. ADNOMINAL MODIFICATION** | Mtu wa kweli | mtu wa kweli | "Genuine person / truthful person" | [CORE] | Highly productive associative construction. The wa variant shows class 1 agreement. Used for character attribution and moral evaluation. |
| | Ushahidi madhubuti | ushahidi madhubuti | "Reliable evidence" | [CORE] | Direct modification pattern common with adjectival truth-terms. Frequent in legal and formal contexts. Madhubuti shows class 11 agreement (u-). |
| **4. BECOME / INCHOATIVE** | Jambo limekamilika | jambo limekamilika | "The matter has become complete" | [CORE] | Stative extension -ik- productive for completion/finalization contexts. Common in formal and administrative language. |
| | Amekuwa mwongo | amekuwa mwongo | "He/she has become a liar" | [CORE] | Periphrastic inchoative with kuwa is the default strategy. Used for character change or revelation. More common than dedicated stative forms. |
| **5. CAUSATIVE** | Sahihisha maandishi | sahihisha maandishi | "Correct the writing / verify the documents" | [CORE] | Extremely productive causative pattern. Common in administrative, educational, and editorial contexts. The -ish- suffix is regular and predictable. |
| | Hakikisha ukweli | hakikisha ukweli | "Ensure the truth / verify the facts" | [CORE] | Very frequent in instructional and procedural language. Hakikisha is one of the most common causative forms in everyday speech. |
| **6. ABSTRACT NOMINALIZATION** | Ukweli wa mambo | ukweli wa mambo | "The truth of the matter" | [CORE] | Highly productive u- prefix pattern for abstract nouns. Ukweli is among the most frequent truth-domain terms across all registers. |
| | Uadilifu ni muhimu | uadilifu ni muhimu | "Justice is important" | [CORE] | The -fu suffix adds quality/character meaning. Common in moral, legal, and philosophical discourse. Uadilifu specifically frequent in justice/fairness contexts. |
| **7. AGENTIVE NOMINALIZATION** | Mwongo anasema uongo | mwongo anasema uongo | "The liar tells lies" | [CORE] | Simple m-/wa- prefix pattern for person nouns. Mwongo is common in moral evaluation and character description. |
| | Mdanganyifu hataaminiwa | mdanganyifu hataaminiwa | "The deceiver will not be trusted" | [CORE] | The -ifu suffix creates habitual agent nouns. Common in moral discourse and character assessment. Implies persistent or characteristic behavior. |
