# F6 — NATURALNESS TABLE
# Language: Georgian (ka)

| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|----------|---------------------------|-----------------|-------------------|-------|
| 1 | სიმართლე გამოვლინდა | simart'le gamovlinda | NATURAL | Most natural construction for truth "becoming known." Preverb გამო- metaphorically represents emergence from concealment. Emphasizes truth revealing itself rather than being made true. |
| 1 | ჭეშმარიტება გამოჩნდა | č'ešmarit'eba gamoč'nda | NATURAL | Alternative with different verb but same pattern. Equally natural. |
| 1 | ეს დადასტურდა | es dadast'urda | NATURAL | Emphasizes verification process rather than inherent truth. Passive construction focusing on claim undergoing confirmation. |
| 1 | ინფორმაცია დადასტურდა | inp'ormacia dadast'urda | NATURAL | Same pattern with different subject. Common in formal contexts. |
| 1 | სიმართლე გაირკვა | simart'le gairkva | NATURAL | Emphasizes epistemic accessibility—truth becoming known or clear. Common in discovery contexts. |
| 1 | ფაქტი გაირკვა | p'ak't'i gairkva | NATURAL | Same pattern with "fact" as subject. |
| 1 | მართალი გახდა | mart'ali gaxda | UNNATURAL | Grammatically possible but pragmatically marked. Generic "become" construction rare with truth predicates. |
| 1 | სწორი გახდა | sc'ori gaxda | UNNATURAL | Same issue—marked construction. Georgian prefers revelation/verification over "becoming true." |
| 1 | (no common expression for "becoming true" as state change) | — | GAP | Georgian lacks natural expression for propositions "becoming true" in sense of acquiring truth value. Language prefers revelation/discovery constructions. |
| 2 | ეს გაიმტყუნა | es gaimṭq'una | NATURAL | Standard construction for refutation. Emphasizes process of disproving. |
| 2 | თეორია გაიმტყუნა | teoria gaimṭq'una | NATURAL | Same pattern with "theory" as subject. |
| 2 | ინფორმაცია უარყო | inp'ormacia uarq'o | NATURAL | Alternative verb for denial/refutation. Equally common. |
| 2 | ეს ტყუილად გამოჩნდა | es ṭq'uilad gamoč'nda | NATURAL | Emphasizes revelation of pre-existing falsity. Uses adverbial form. |
| 2 | ის მატყუარად გამოჩნდა | is maṭq'uarad gamoč'nda | NATURAL | Same pattern for persons being exposed as liars. |
| 2 | ეს ინფორმაცია მოძველდა | es inp'ormacia moʒvelda | NATURAL | For information becoming outdated. Specific verb for temporal change. |
| 2 | ეს აღარ არის სიმართლე | es aɣar aris simart'le | NATURAL | "No longer the truth"—temporal change construction. |
| 2 | (no common expression for truth "becoming false") | — | GAP | Georgian lacks natural expression for truth actively "becoming false." Prefers constructions where falsity is revealed or truth becomes outdated. |
| 3 | მან სიმართლე გამოაჩინა | man simart'le gamoač'ina | NATURAL | Most natural causative construction. Emphasizes revealing pre-existing truth rather than making something true. |
| 3 | გამოძიებამ ფაქტები გამოაჩინა | gamoʒiebam p'ak't'ebi gamoač'ina | NATURAL | Same pattern with investigation as agent. |
| 3 | მან ეს დაადასტურა | man es daadast'ura | NATURAL | Agent causing verification/confirmation. Emphasizes establishing truth. |
