# CLCA Protocol v3.2 — F3 Semantic Groups Table
# Language: Greek (el)

| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|------------|------------|---------------------------|-------------------------------|----------------|
| GROUP 1: PROPOSITIONAL CORRESPONDENCE | Terms used to evaluate whether statements, beliefs, or representations correspond to actual states of affairs. These expressions are invoked when assessing factual accuracy of claims, distinguishing what is the case from what is claimed to be the case. Commonly used in contexts of verification, correction, and factual dispute. | αλήθεια (alítheia) "truth", αληθινός (alithinós) "true, genuine", αληθής (alithís) "true, truthful", ψέμα (pséma) "lie", ψευδής (psevdís) "false, untrue", αναληθής (analithís) "untrue, false", πραγματικός (pragmatikós) "real, actual", σωστός (sostós) "correct, right", λάθος (láthos) "mistake, error", ακριβής (akrivís) "accurate, precise" | σωστός (sostós) — overlaps with Group 3 (procedural correctness); ακριβής (akrivís) — can indicate both factual accuracy and procedural precision; αληθινός (alithinós) — overlaps with Group 2 (material authenticity); πραγματικός (pragmatikós) — also contrasts with imaginary/fictional (Group 9); ψέμα (pséma) — can indicate both factual falsehood and deliberate lie (Group 5) | Focuses on correspondence to facts rather than procedural correctness, material authenticity, or speaker sincerity |
| GROUP 2: AUTHENTICITY AND GENUINENESS | Terms distinguishing original, legitimate items from copies, counterfeits, or imitations. These expressions focus on the provenance and material authenticity of objects, documents, and artifacts rather than propositional truth. Commonly used in commercial, legal, and art contexts where establishing originality matters. | γνήσιος (gnísios) "genuine, authentic", αυθεντικός (afthentikós) "authentic, original", πλαστός (plastós) "fake, counterfeit, forged", κίβδηλος (kívdilos) "counterfeit, adulterated", νόθος (nóthos) "illegitimate, spurious", ψευδώνυμο (psevdónymo) "pseudonym" | αληθινός (alithinós) — can indicate both propositional truth (Group 1) AND material authenticity; αυθεντικό αντίγραφο (certified copy) — paradoxical usage combining authenticity with copying | Concerns material objects and provenance rather than propositional truth-value |
| GROUP 3: PROCEDURAL AND NORMATIVE CORRECTNESS | Terms evaluating whether actions, procedures, or conduct conform to established standards, rules, or norms. These expressions assess correctness relative to conventions, regulations, or proper methods rather than factual truth. Commonly used in educational, technical, religious, and administrative contexts. | ορθός (orthós) "correct, right, proper", ορθότητα (orthótita) "correctness, rightness", σωστός (sostós) "correct, right, proper", ορθόδοξος (orthódoxos) "orthodox", ορθοδοξία (orthodoxía) "orthodoxy", ορθογραφία (orthografía) "orthography", ορθογραφικός (orthografikós) "orthographic" | σωστός (sostós) — overlaps with factual correctness (Group 1); ακριβής (akrivís) — can indicate both factual accuracy (Group 1) and procedural precision | Evaluates conformity to standards and norms rather than correspondence to facts |
| GROUP 4: LEGAL AND ADMINISTRATIVE VALIDITY | Terms used to assess whether documents, statements, or legal instruments have official force and recognition within institutional systems. These expressions concern formal legitimacy and legal standing rather than factual truth or material authenticity. Predominantly used in legal, bureaucratic, and administrative contexts. | έγκυρος (énkyros) "valid, legitimate", άκυρος (ákyros) "invalid, void", εγκυρότητα (enkyrótita) "validity, legitimacy", ακυρότητα (akyrótita) "invalidity, nullity", ακυρώνω (akyróno) "to invalidate, to cancel", ακύρωση (akýrosi) "cancellation, annulment", ψευδομαρτυρία (psevdomartyría) "false testimony, perjury", ψευδομάρτυρας (psevdomártyras) "false witness, perjurer", ψευδορκία (psevdorkía) "perjury, false oath", ψευδόρκος (psevdórkos) "perjurer, oath-breaker" | έγκυρη πηγή — overlaps with reliability assessment (Group 6) | Concerns legal force and institutional recognition rather than factual truth |
| GROUP 5: SINCERITY AND INTENTIONAL DECEPTION | Terms evaluating whether speakers are expressing their genuine beliefs and intentions or deliberately misleading others. These expressions focus on the speaker's honesty and good faith rather than the factual accuracy of what is said. Commonly used in moral evaluation of character and communication. | ειλικρινής (ilikrinís) "sincere, genuine, honest", ειλικρίνεια (ilikríneia) "sincerity, genuineness", ψεύτης (pséftis) "liar", ψεύτρα (psévtra) "female liar", ψευταράς (pseftarás) "big liar, habitual liar", ψεύδομαι (psévdome) "to lie, to tell lies", ψευδολογία (psevdología) "lying, mendacity", ψευδολόγος (psevdológos) "liar, mendacious person", απατηλός (apatilós) "deceptive, misleading", απάτη (apáti) "deception, fraud", απατεώνας (apateónas) "swindler, fraud", απατώ (apató) "to deceive, to cheat" | ψέμα (pséma) — can indicate both deliberate lie (Group 5) and factual falsehood (Group 1); αληθεύω (alithévo) — overlaps with both propositional truth and sincerity; απατηλός (apatilós) — also participates in Group 9 (appearance vs. reality) | Focuses on speaker intentions and honesty rather than factual accuracy |
| GROUP 6: RELIABILITY AND TRUSTWORTHINESS | Terms evaluating whether sources, persons, or information can be depended upon or believed. These expressions assess credibility and dependability based on track record and consistency rather than immediate truth-value. Commonly used when evaluating testimony, sources, and character references. | αξιόπιστος (axiópistos) "reliable, trustworthy, credible", αξιοπιστία (axiopistía) "reliability, trustworthiness", βέβαιος (véveos) "certain, sure, reliable", βεβαιότητα (veveótita) "certainty, assurance", βεβαιώνω (veveóno) "to certify, to confirm", βεβαίωση (veveósi) "certification, confirmation", αμφίβολος (amfívolos) "doubtful, dubious, questionable", αμφιβολία (amfivolía) "doubt, uncertainty" | έγκυρη πηγή — overlaps with legal validity (Group 4) and reliability assessment | Assesses credibility and dependability based on track record rather than immediate truth-value |
| GROUP 7: FABRICATION AND CONSTRUCTION | Terms specifically indicating that something has been artificially created, invented, or manufactured rather than naturally occurring or genuinely reported. These expressions emphasize the constructed nature of false claims, often implying deliberate creation of false evidence or narratives. Commonly used in legal accusations and investigative contexts. | κατασκευασμένος (kataskevazménos) "fabricated, made-up, concocted", κατασκευάζω (kataskevázo) "to construct, to fabricate", κατασκευή (kataskevί) "construction, fabrication", πλαστός (plastós) "fake, false, counterfeit, forged", πλαστότητα (plastótita) "fakeness, falseness", νοθεία (nothía) "adulteration, falsification", νοθεύω (nothévo) "to adulterate, to falsify" | None noted | Emphasizes the active process of creating falsehoods rather than simple incorrectness or error |
| GROUP 8: JUSTICE AND FAIRNESS | Terms evaluating whether actions, judgments, or distributions conform to principles of fairness and moral rightness. These expressions assess ethical correctness in treatment and judgment rather than factual accuracy. Predominantly used in moral, legal, and social contexts where fairness is at stake. | δίκαιος (díkaios) "just, fair, righteous", δικαιοσύνη (dikaiosýni) "justice, fairness", δικαιότητα (dikaiótita) "justness, fairness", άδικος (ádikos) "unjust, unfair, wrong", αδικία (adikía) "injustice, unfairness" | None noted | Relatively distinct from other truth-related terms, focusing on moral/ethical evaluation rather than epistemic or factual assessment |
| GROUP 9: APPEARANCE AND REALITY DISTINCTIONS | Terms specifically marking the contrast between how things appear and how they actually are. These expressions are used when discussing misleading appearances, illusions, or situations where surface presentation differs from underlying reality. Common in philosophical discourse and discussions of perception. | αληθοφανής (alithofanís) "apparently true, plausible, verisimilar", αληθοφάνεια (alithofáneia) "verisimilitude, appearance of truth", ψευδαίσθηση (psevdésthisi) "illusion, false perception", απατηλός (apatilós) "deceptive, misleading", απατηλή εμφάνιση (deceptive appearance) | πραγματικός (pragmatikós) — also contrasts with imaginary/fictional; απατηλός (apatilós) — participates in both Group 5 (intentional deception) and Group 9 | Specifically concerns the phenomenology of truth and falsity rather than truth-value itself |
| GROUP 10: SCIENTIFIC AND TECHNICAL PSEUDO-TERMS | Compound terms using ψευδ- prefix in scientific and technical contexts to indicate resemblance, superficial similarity, or false classification rather than deliberate deception. These terms function as taxonomic or descriptive labels in specialized domains. Predominantly used in scientific, medical, and technical discourse. | ψευδοεπιστήμη (psevdoepistími) "pseudoscience", ψευδοπόδιο (psevdopódio) "pseudopod", ψευδομεταμόρφωση (psevdometamórfosi) "pseudomorphosis", ψευδοκυοφορία (psevdokyoforía) "false pregnancy", ψευδοκύηση (psevdokýisi) "false pregnancy", ψευδάργυρος (psevdárgyros) "zinc", ψευδοδιάγνωση (psevdodiágnosi) "false diagnosis" | ψευδοϊστορία (psevdoïstoría) — could belong to Group 1 (propositional falsity) or Group 10 depending on usage context | Uses ψευδ- root with specialized technical meanings distinct from moral or epistemic falsity |
| GROUP 11: RATIONALITY AND LOGICAL CORRECTNESS | Terms evaluating whether thinking, reasoning, or arguments follow proper logical principles and rational standards. These expressions assess cognitive correctness and sound reasoning rather than factual truth or procedural correctness. Commonly used in intellectual, philosophical, and argumentative contexts. | ορθολογισμός (orthologismós) "rationalism, rational thinking", ορθολογικός (orthologikós) "rational, reasonable, logical", ορθολογιστής (orthologistís) "rationalist", ορθή λογική (correct logic) | None noted | Relatively small but distinct group, focusing on cognitive/logical evaluation rather than other forms of correctness |
| GROUP 12: PHYSICAL STRAIGHTNESS AND UPRIGHTNESS | Terms describing literal physical orientation, posture, or geometric properties. These expressions use the ορθ- root in its spatial rather than correctness sense, though metaphorical extensions to moral uprightness occur. Predominantly used in medical, anatomical, and geometric contexts. | ορθοστασία (orthostasía) "upright posture, standing position", ορθόπνοια (orthópnia) "orthopnea", ορθογώνιος (orthogónios) "right-angled, rectangular", ορθογώνιο (orthogónio) "rectangle", ορθοποδώ (orthopodó) "to walk straight, to walk uprightly", ορθοπεδικός (orthopedikós) "orthopedic", ορθοπεδική (orthopedikí) "orthopedics" | None noted | Shows the polysemy of ορθ-, which can indicate both physical straightness and abstract correctness |
| (Ungrouped Items) | Items with unclear or marginal status that do not fit cleanly into semantic groupings, including discourse markers, exclamatory uses, diminutive forms, and items with insufficient related terms to establish distinct groups. | ψευδώνυμο (psevdónymo) "pseudonym", ψευδοεπώνυμο (psevdoepónymo) "false surname", ψευδοκλασικός (psevdoklasikós) "pseudo-classical", αλήθεια; (interrogative), αλήθεια μου (exclamation), ψέματα! (exclamation), βέβαια (affirmative response), ακριβώς (affirmative response), άσπρο ψέμα (white lie), μαύρο ψέμα (black lie), κόκκινο ψέμα (red lie), ψεματάκι (little lie), λαθάκι (small mistake) | None noted | Exclamatory and discourse-marking uses function primarily as discourse markers and interjections rather than semantic evaluations; color-modified lies form a scalar pattern based on severity/harm; diminutive forms function to minimize severity rather than categorize types of falsity |
