| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|---|---|---|---|---|---|---|
| totoo | katotohanan | katotohanan | *ka-* + *totoo* + *-an* (nominalizing circumfix); the medial *h* appears as a phonological insertion between the root-final vowel and the suffix; also analyzed as *ka-* + *totoo* (with internal vowel adjustment: *totoo* → *totohan*) + *-an*; circumfix nominalizing the root into an abstract state or domain | truth, the truth, reality, the true state of affairs | Abstract nominal referring to truth as an abstract property or to a specific true state of affairs. The standard abstract noun for truth across philosophical, religious, legal, and everyday registers. It is the expected translation equivalent of "truth" in Bible translations and legal oaths, and appears in formal moral exhortations (*Sabihin ang katotohanan* — "Tell the truth"). Used across formal, moral, philosophical, and legal registers. Fully documented in P1 item 2 and P1b A-02. | [CORE] |
| totoo | totoong-totoo | totoong-totoo | *totoo* + *-ng* (linker) + *totoo*; full reduplication with intervening linker, producing emphatic intensification | absolutely true, really and truly real, very real, genuinely genuine | Emphatic form asserting the unambiguous reality or truth of something, typically in response to doubt. An intensified form used in emphatic speech to stress that something is unambiguously real or true. Common in emotional or emphatic registers of everyday speech. Documented in P1 item 1 and P1b A-03. | [CORE] |
| totoo | makatotohanan | makatotohanan | *maka-* + *katotohanan* + *-an*; also analyzed as *maka-* + *totoo* + *-an*; the prefix *maka-* expresses conformity with or orientation toward or accordance with the base; the base here is the derived nominal *katotohanan* or the root *totoo* | realistic, truthful, true-to-life, verisimilar | Applied to representations, narratives, or portrayals that accurately reflect reality; common in aesthetic and critical evaluation. Applied in aesthetic and narrative contexts to evaluate whether a representation corresponds faithfully to reality (*makatotohanang pagkukuwento* — "realistic/truthful storytelling"). Less common in purely propositional contexts than *totoo* itself. Documented in P1 item 18 and P1b A-04. | [CORE] |
| totoo | pagkatotoo | pagkatotoo | *pagka-* (nominalizing prefix expressing state or quality of being) + *totoo* | the state of being true, the quality of being real, the fact of something being the case | Refers to the abstract quality or state of being true or real; used in formal and philosophical registers (*Ang pagkatotoo ng pangyayari ay hindi mapapabulaanan* "The reality of the event cannot be denied"). Less frequent than *katotohanan* but attested in written Tagalog. | [CORE] |
| totoo | itotoo | itotoo | *i-* (object-focus verbal prefix) + *totoo*; future/contemplated aspect | will make real, will actualize, will realize (bring into reality) | Verbal form meaning to make something real or to actualize something previously planned or promised (*Itotoo ko ang aking pangako* "I will make my promise real / I will fulfill my promise"). Attested in spoken and written Tagalog in contexts of commitment and actualization. | [CORE] |
| totoo | itinototoo | itinototoo | *i-* + *-in-* (completive infix) + *totoo* + reduplication (imperfective); actor-focus imperfective of the *i-* verbal form | is making real, is actualizing, is fulfilling | Imperfective form of *itotoo*, describing an ongoing process of making something real or fulfilling a commitment (*Itinototoo niya ang kanyang mga pangako* "He/she is making his/her promises real"). Attested in written and spoken Tagalog. | [CORE] |
| totoo | itinotoo | itinotoo | *i-* + *-in-* (completive infix) + *totoo*; completed object-focus form | made real, actualized, fulfilled, realized | Completive form describing the accomplished actualization of something (*Itinotoo niya ang kanyang pangarap* "He/she made his/her dream real"). Attested in narrative and motivational contexts. | [CORE] |
| totoo | magtotoo | magtotoo | *mag-* (actor-focus verbal prefix) + *totoo*; future/contemplated aspect | will tell the truth, will be truthful, will be honest | Verbal form meaning to tell the truth or to be truthful in one's statements (*Magtotoo ka ba?* "Will you tell the truth?"). Attested in moral and interpersonal contexts. | [CORE] |
| totoo | nagtotoo | nagtotoo | *nag-* (actor-focus, imperfective) + *totoo* + reduplication | is telling the truth, is being truthful | Imperfective actor-focus form describing someone in the act of telling the truth (*Nagtotoo ba siya?* "Is he/she telling the truth?"). Common in interpersonal and evaluative discourse. | [CORE] |
| totoo | pagtotoo | pagtotoo | *pag-* (action nominalization) + *totoo* | the act of telling the truth, truth-telling, being truthful | Nominal form referring to the act or practice of telling the truth (*Ang pagtotoo ay isang katangian ng mabuting tao* "Truth-telling is a quality of a good person"). Attested in moral and didactic discourse. | [CORE] |
| totoo | katotohanang-katotohanan | katotohanang-katotohanan | *katotohanan* + *-ng* + *katotohanan*; full reduplication of the derived nominal with linker, producing emphatic intensification | absolute truth, the very truth itself | Emphatic form of *katotohanan* used in philosophical, religious, or rhetorical contexts to assert the highest or most fundamental level of truth. Documented in P1b as [MARGINAL]. | [MARGINAL] |
| totoo | nagkatotoo | nagkatotoo | *nagka-* + *totoo*; *nagka-* marks an unintended or spontaneous coming-about of a state | came true, was realized, turned out to be real | Used to describe a prediction, wish, or fear that was realized (*Nagkatotoo ang kanyang pangarap* "his dream came true"). The semantic trajectory here is realization of a future state rather than assertion of present truth, placing this form at the periphery of the truth-evaluation domain. | [MARGINAL] |
| katotohanan | makatotohanan | makatotohanan | *maka-* + *katotohanan* + *-an* | realistic, true-to-life, truthful (of a representation) | Already documented under *totoo* (Derived Form 3) and in P1 item 18. Cross-referenced here as the immediate morphological base is *katotohanan* rather than *totoo* directly. | [CORE] |
| katotohanan | katotohanang-katotohanan | katotohanang-katotohanan | Reduplication of *katotohanan* with linker | absolute truth, the very truth itself | Cross-referenced from *totoo* Derived Form 11. Emphatic nominal form. | [MARGINAL] |
| katotohanan | sa katotohanan | sa katotohanan | *sa* (oblique/locative marker) + *katotohanan*; fixed prepositional phrase functioning as a discourse connector | in truth, in reality, truthfully speaking, actually | A fixed discourse connector used to introduce a corrective or clarifying statement, equivalent to "in truth" or "actually." Highly conventionalized discourse connector introducing a confirming or strengthening statement. Common across spoken and written registers; functions as a pragmatic marker rather than a purely referential phrase. Documented in P1 item 4 and P1b. Included here as a fixed phrasal derivation from the nominal base. | [CORE] |
| katotohanan | makatotohanang-makatotohanan | makatotohanang-makatotohanan | *makatotohanan* + *-ng* + *makatotohanan*; full reduplication with linker | extremely realistic, very true-to-life | Emphatic form documented in P1b as [MARGINAL]. | [MARGINAL] |
| katotohanan | hindi makatotohanan | hindi makatotohanan | *hindi* (negation) + *makatotohanan* | unrealistic, not true-to-life, implausible | Standard negation documented in P1b. | [CORE] |
| tunay | katunayan | katunayan | *ka-* + *tunay* + *-an* (nominalizing circumfix); "the state of being *tunay*; proof" | proof, evidence, authenticity, genuineness, verification, the fact that | Functions both as a concrete nominal (a piece of proof or evidence) and as a discourse marker (*sa katunayan* — "in fact"). Refers to evidence or proof establishing genuineness or factual truth; also functions as a conjunctive expression. Used in legal, formal, and argumentative discourse. Fully documented in P1 item 4 and P1b B-02. | [CORE] |
| tunay | tunay na tunay | tunay na tunay | *tunay* + *na* (linker) + *tunay*; full reduplication with linker | absolutely genuine, truly authentic, completely real | Emphatic form asserting the highest degree of genuineness, parallel to *totoong-totoo*. Used in everyday speech to emphasize emphatic genuineness. Documented in P1b B-08. | [CORE] |
| tunay | patunay | patunay | *pa-* (prefix with causative/directional/instrumental function) + *tunay*; *pa-* in nominal function yields "that which causes or establishes tunay"; "that which makes something genuine/proven," or "the means of proving" | proof, evidence, attestation, verification, demonstration (as a concrete item) | Nominal form referring to a specific piece of evidence or a document that proves or verifies a claim; slightly more concrete than *katunayan*, often referring to a specific document or item (*Ipakita ang patunay ng pagbabayad* "Show proof of payment"). Used in legal, administrative, and everyday contexts. Documented in P1b B-22. | [CORE] |
| tunay | patunayan | patunayan | *pa-* (causative prefix) + *tunay* + *-an* (applicative/locative suffix); verbal form with *-an* suffix indicating the goal or locus of the action; "to cause to be proven; to prove to someone" | to prove, to verify, to demonstrate, to establish, to authenticate | The standard verb for the act of proving or demonstrating something to be true or genuine. Used in legal argumentation, scientific discourse, and everyday persuasion (*Patunayan mo ang iyong sinasabi* "Prove what you are saying"; *Patunayan mo* — "Prove it"). Extremely common across all registers. Documented in P1b B-04. | [CORE] |
| tunay | napatunayan | napatunayan | *na-* (completive aspect marker / perfective/completed aspect marker) + *pa-* + *tunay* + *-an*; "has been proven" | has been proven, was verified, has been established | Completive form of *patunayan*, asserting that something has already been demonstrated or verified. The completed-aspect form indicating that something has been successfully proven or verified. Common in legal verdicts, scientific conclusions, and formal declarations. Documented in P1b B-05 and B-06. | [CORE] |
| tunay | mapatunayan | mapatunayan | *ma-* (potential aspect prefix) + *pa-* + *tunay* + *-an*; "to be able to prove; to be provable" | to be able to prove, can be proven, to be provable, to be verifiable, to manage to verify | Potential form expressing the ability or possibility of proving something. Common in legal and argumentative discourse (*Hindi mapatunayan* — "cannot be proven"). Documented in P1b B-05. | [CORE] |
| tunay | pinatunayan | pinatunayan | *p-in-atunayan*; infix *-in-* inserted after initial consonant of *patunayan*, completive actor-focus; also analyzed as *pi-* (completed aspect marker in actor-focus paradigm) + *pa-* + *tunay* + *-an*; "was proven/caused to be verified" | proved, verified, demonstrated, authenticated (by a specific agent) | Completive actor-focus form describing the act of proving as completed by a specific agent. Common in legal and argumentative contexts (*Pinatunayan ng ebidensya ang kanyang kasalanan* "the evidence proved his guilt"). Documented in P1b B-07. | [CORE] |
| tunay | pinapatunayan | pinapatunayan | *p-in-a-* + *patunayan* + reduplication of first syllable of root; imperfective actor-focus of *patunayan* | is proving, is verifying, is demonstrating (ongoing action by a specific agent) | Imperfective actor-focus form of *patunayan*, describing an ongoing act of proving (*Pinapatunayan niya ang kanyang inosensya* "He/she is proving his/her innocence"). Attested in legal and argumentative discourse. | [CORE] |
