# CLCA Protocol v3.2 — F1 Vocabulary Table
# Language: Chinese (zh)

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|-----------------|-----------------|---------------------|-------------------|------------------|
| 真 | zhēn | true, real, genuine | true, real, genuine, authentic | Used to evaluate the authenticity or veracity of statements, objects, or persons. Commonly appears in compounds and can function as an adverb meaning "really" or as an adjective meaning "genuine/true." | [CORE] |
| 假 | jiǎ | false, fake, artificial | false, fake, counterfeit, artificial | Evaluates something as not genuine, counterfeit, or untrue. Used for both physical objects (fake goods) and statements (false claims). | [CORE] |
| 对 | duì | correct, right, facing/toward | correct, right, yes | Indicates correctness of statements, answers, or actions. Commonly used in everyday speech to affirm accuracy or appropriateness of something. | [CORE] |
| 错 | cuò | wrong, mistaken, error | wrong, incorrect, mistaken, error | Evaluates statements, actions, or judgments as incorrect or mistaken. Used both as adjective and verb meaning "to be wrong" or "to make an error." | [CORE] |
| 实 | shí | solid, real, actual, fruit/seed | real, actual, solid, substantial | Emphasizes reality, actuality, or substantiality of something. Often contrasted with 虚 (xū, empty/false) in philosophical and everyday contexts. | [CORE] |
| 虚 | xū | empty, void, false, weak | false, empty, hollow, unreal | Indicates lack of substance, falseness, or unreality. Used in philosophical contexts and everyday speech to describe insubstantial or deceptive things. | [CORE] |
| 诚 | chéng | sincere, honest, true | sincere, honest, truthful | Evaluates the sincerity or honesty of persons, statements, or conduct. Central to Confucian moral philosophy and everyday moral evaluation. | [CORE] |
| 实际 | shíjì | solid + border/limit = actual, practical | actual, practical, realistic | Refers to what is actually the case as opposed to theoretical or imagined. Used to evaluate whether something corresponds to reality or is practically feasible. | [CORE] |
| 准确 | zhǔnquè | standard + definite = accurate, precise | accurate, precise, exact | Evaluates the precision or accuracy of measurements, statements, or representations. Commonly used in technical, scientific, and everyday contexts requiring exactness. | [CORE] |
| 正确 | zhèngquè | upright/correct + definite = correct | correct, right, proper | Indicates correctness of statements, decisions, or actions, often with moral or normative implications. Widely used in educational, political, and everyday contexts. | [CORE] |
| 真实 | zhēnshí | true + real = true, real, authentic | true, real, authentic, genuine | Emphasizes the authenticity and reality of something, particularly statements, representations, or situations. Stronger than 真 alone in asserting correspondence to reality. | [CORE] |
| 虚假 | xūjiǎ | empty + false = false, fake | false, fake, phony, fraudulent | Evaluates something as deliberately false or deceptive. Often used in legal and formal contexts to describe fraudulent claims or counterfeit goods. | [CORE] |
| 真相 | zhēnxiàng | true + appearance/aspect = truth, facts | truth, the real facts, the actual situation | Refers to the true state of affairs or facts of a matter, especially when previously hidden or misrepresented. Commonly used in investigative and journalistic contexts. | [CORE] |
| 事实 | shìshí | matter/affair + real = fact | fact, reality, truth | Denotes objective facts or what actually happened. Used to distinguish factual claims from opinions or interpretations in various contexts. | [CORE] |
| 诚实 | chéngshí | sincere + real = honest, truthful | honest, truthful, sincere | Evaluates persons or conduct as honest and truthful. Central moral virtue term used in everyday moral evaluation and character assessment. | [CORE] |
| 可靠 | kěkào | can + lean on = reliable, dependable | reliable, dependable, trustworthy | Evaluates the reliability or trustworthiness of persons, information, or objects. Commonly used to assess whether something can be depended upon. | [CORE] |
| 确实 | quèshí | definite + real = indeed, really, true | indeed, really, true, authentic | Affirms the truth or reality of a statement or situation. Functions both as adverb (indeed) and adjective (authentic/true). | [CORE] |
| 符合 | fúhé | tally/符 + join = conform to, accord with | conform to, accord with, correspond to, match | Indicates correspondence or conformity between something and a standard, rule, or reality. Used to evaluate whether something matches or fits with something else. | [CORE] |
| 本质 | běnzhì | root/origin + quality = essence, nature | essence, nature, essential quality | Refers to the fundamental nature or essence of something. Used in philosophical and analytical contexts to distinguish essential from superficial characteristics. | [CORE] |
