# CLCA Protocol v3.2 — F5 Opposition Table
# Language: Quechua (qu)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|--------|--------|-----------------|-------------|---------------------|---------------|------------------|
| chiqan (#1) | llulla (#3) | chiqan / llulla | true, real, genuine / false, lie, deceptive | Primary lexical opposition between truth and falsehood. These terms contrast in all contexts: statements, objects, persons, and situations. Both are equally productive in derivations and constructions. | lexical | [CORE] |
| chiqan runa (P1b) | llulla runa (P1b) | chiqan runa / llulla runa | truthful person, honest person / lying person, deceiver | Character-based opposition contrasting persons who habitually tell truth versus those who habitually lie. Parallel compositional structure (quality + runa). | constructional | [CORE] |
| chiqan simi (P1b) | llulla simi (P1b) | chiqan simi / llulla simi | true word, truthful speech / lying words, false speech | Speech-based opposition contrasting truthful versus false communication. Parallel compositional structure (quality + simi). | constructional | [CORE] |
| chiqanta rimay (P2b) | llullata rimay (P2b) | chiqanta rimay / llullata rimay | to speak the truth / to speak lies | Action-based opposition contrasting the act of truthful versus false speech. Parallel accusative + verb construction. | constructional | [CORE] |
| chiqan sunqu (P1b) | llulla sunqu (P1b) | chiqan sunqu / llulla sunqu | true heart, sincere heart / false heart, insincere heart | Intention-based opposition contrasting sincere versus insincere emotions or motivations. Parallel compositional structure (quality + sunqu). | constructional | [CORE] |
| chiqan kaq (P1b/P2b) | llulla kaq (P1b/P2b) | chiqan kaq / llulla kaq | that which is true, the real thing / that which is false, the fake | Ontological opposition contrasting genuine versus counterfeit entities. Parallel substantivizing construction (quality + kaq). | constructional | [CORE] |
| allin (#5) | mana allin (#6) | allin / mana allin | good, well, correct / not good, bad, wrong | Evaluative opposition formed through morphological negation. The negative form (mana allin) is the standard expression for "bad" across all domains. | morphological | [CORE] |
| allin kay (P1b/P2b) | mana allin kay (P2b) | allin kay / mana allin kay | to be good / to not be good, to be bad | Stative opposition contrasting positive versus negative evaluation. Formed through negation of the copula construction. | constructional (with morphological negation) | [CORE] |
| chanin (#7) | mana chanin | chanin / mana chanin | valuable, worthy, legitimate / not valuable, illegitimate | Legitimacy-based opposition formed through morphological negation. Used in legal and administrative contexts to validate or invalidate. | morphological | [CORE] |
| hunt'a (#17) | ch'ulla (#16) | hunt'a / ch'ulla | full, complete, whole / single, odd, incomplete | Completeness-based lexical opposition. Hunt'a indicates wholeness and completeness; ch'ulla indicates incompleteness or lack of proper complement. | lexical | [CORE] |
| hunt'a kay (P2b) | mana hunt'a kay (P2b) | hunt'a kay / mana hunt'a kay | to be complete, to be whole / to be incomplete, to be not whole | Stative opposition contrasting completeness versus incompleteness. Formed through negation of the copula construction. | constructional (with morphological negation) | [CORE] |
| hunt'a (#17) | ch'usaq (#20) | hunt'a / ch'usaq | full, complete, whole / empty, hollow, vain | Fullness-based lexical opposition. Hunt'a indicates positive fullness; ch'usaq indicates emptiness or lack of substance. | lexical | [CORE] |
| kaq (#21) | mana kaq (#22) | kaq / mana kaq | being, existing, that which is / not being, non-existent | Ontological opposition contrasting existence versus non-existence. Formed through morphological negation of the substantivizer. | morphological | [CORE] |
| yachay (#8) | mana yachay (P2b) | yachay / mana yachay | to know, knowledge / to not know, ignorance | Epistemic opposition contrasting knowledge versus ignorance. Formed through morphological negation. | morphological | [CORE] |
| yachay (#8) | yuyay (#9) | yachay / yuyay | to know, knowledge / to think, to remember, thought | Epistemic distinction between established knowledge (yachay) versus subjective mental processes (yuyay). Not a direct opposition but a contrast in epistemic status. | lexical | [CORE] |
| chiqanman rikch'ay (P2b) | llullaman rikch'ay (P2b) | chiqanman rikch'ay / llullaman rikch'ay | to resemble truth, to appear true / to resemble lies, to appear false | Appearance-based opposition contrasting resemblance to truth versus falsehood. Parallel directional construction (quality-man + rikch'ay). | constructional | [CORE] |
| allin rikch'akuy (P2b) | mana allin rikch'akuy (P2b) | allin rikch'akuy / mana allin rikch'akuy | to seem good, to appear well / to seem bad, to appear wrong | Appearance-based evaluative opposition. Formed through negation of the reflexive appearance construction. | constructional (with morphological negation) | [CORE] |
| chiqanpi kay (P2b) | llullapi tiyay (P2b) | chiqanpi kay / llullapi tiyay | to be in truth, to be in reality / to dwell in lies, to live in falsehood | State-based metaphorical opposition using locative constructions. Contrasts being in truth versus dwelling in falsehood, with different verbs (kay vs. tiyay) suggesting temporary versus habitual states. | constructional | [MARGINAL] |
| chiqanchay (P2a) | llullachiy (P2a) | chiqanchay / llullachiy | to verify, to authenticate, to make true / to cause to lie, to make someone lie, to deceive | Causative opposition contrasting making something true/verified versus causing deception. Parallel causative derivation (quality + -cha-/-chi-). | morphological | [CORE] |
| allinyay (P2a) | (no clear opposition identified) | allinyay | to become good, to improve | No attested inchoative form for becoming bad or worsening. The language appears to lack a parallel *mana allinyay or dedicated lexeme for deterioration. | (no opposition) | N/A |
| allinchay (P2a) | (no clear opposition identified) | allinchay | to make good, to improve, to fix | No attested causative form for making bad or damaging. While *mana allinchay might be theoretically possible, it is not attested in the data. | (no opposition) | N/A |
| chiqanta yachay (P2b) | llulla yachay (P1b) | chiqanta yachay / llulla yachay | to know the truth, to know what is true / false knowledge, mistaken belief | Epistemic opposition contrasting genuine knowledge of truth versus false or mistaken beliefs. Different constructional patterns (accusative + verb vs. adnominal modification). | constructional | [CORE] |
| chiqan ñan (P1b) | llulla ñan (P1b) | chiqan ñan / llulla ñan | true path, right way / false path, wrong way | Path-based metaphorical opposition contrasting correct versus incorrect courses of action. Parallel compositional structure (quality + ñan). | constructional | [CORE] |
| chiqamanta (rimay) (P2b) | llullamanta (P2b) | chiqamanta / llullamanta | from truth, truly / from lies, falsely | Manner-based opposition contrasting truthful versus false manner of speaking or acting. Parallel ablative construction (quality + -manta). | constructional | [CORE] |
| allinchu mana allinchu (P2b) | (internal disjunction) | allinchu mana allinchu | good or bad, whether good or not | Internal opposition within a disjunctive question construction. The construction itself presents the opposition between affirmative and negative alternatives. | constructional | [CORE] |
| chiqanchu llullachu (P2b) | (internal disjunction) | chiqanchu llullachu | true or false, whether true or false | Internal opposition within a disjunctive question construction. The construction presents the opposition between truth and falsehood as alternatives. | constructional | [CORE] |
| pantay (#11) | (no clear opposition identified) | pantay | to err, to make a mistake | No attested lexical opposite for "to be correct" or "to avoid error" as a positive action. The language uses allin ruray "to do well" or similar constructions rather than a dedicated antonym of pantay. | (no opposition) | N/A |
| ama llullakychu (P2b) | chiqanta rimay (P2b) | ama llullakychu / chiqanta rimay | don't lie / to speak the truth | Pragmatic opposition between prohibition of lying and positive injunction to speak truth. Different constructional types (prohibitive vs. accusative + verb). | constructional | [CORE] |
| ama pantaychu (P2b) | allinta ruray (P2b) | ama pantaychu / allinta ruray | don't make a mistake / to do well, to do good | Pragmatic opposition between prohibition of error and positive injunction to act correctly. Different constructional types (prohibitive vs. accusative + verb). | constructional | [CORE] |
| chiqan willakuy (P1b) | llulla willakuy (P1b) | chiqan willakuy / llulla willakuy | truthful account, honest testimony / false account, dishonest testimony | Testimony-based opposition contrasting truthful versus false narration. Parallel compositional structure (quality + willakuy). | constructional | [CORE] |
| chiqan qillqa (P1b) | llulla qillqa (P1b) | chiqan qillqa / llulla qillqa | true document, authentic writing / false document, forged writing | Document-based opposition contrasting authentic versus forged texts. Parallel compositional structure (quality + qillqa). | constructional | [CORE] |
| chiqan rimay (P1b) | llulla rimay (P1b) | chiqan rimay / llulla rimay | to speak truthfully, truthful speech / to speak falsely, lying speech | Speech act opposition contrasting truthful versus false speaking. Parallel compositional structure (quality + rimay). | constructional | [CORE] |
| chiqanchakuy (P2a) | llullachakuy (P2a) | chiqanchakuy / llullachakuy | to verify for oneself, to confirm / to deceive oneself, to be self-deceived | Reflexive causative opposition contrasting self-directed verification versus self-deception. Parallel derivational structure (quality + -cha- + -ku-). | morphological | [CORE] |
| chiqanta musyay (P2b) | llulla musyay (P1b) | chiqanta musyay / llulla musyay | to perceive the truth, to realize what is true / false perception, illusion | Perceptual opposition contrasting accurate versus illusory perception. Different constructional patterns (accusative + verb vs. adnominal modification). | constructional | [CORE] |
| chiqanta riqsiy (P2b) | llullata riqsiy (P2b) | chiqanta riqsiy / llullata riqsiy | to recognize the truth, to know what is true / to recognize lies, to identify falsehood | Recognition-based opposition contrasting identification of truth versus detection of falsehood. Parallel accusative + verb construction. | constructional | [CORE] |
