# F6 — NATURALNESS TABLE

| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|----------|---------------------------|-----------------|-------------------|-------|
| 1.1.1 | The story became true. | /ðə ˈstɔːri bɪˈkeɪm truː/ | [MARGINAL] | Rare; "came true" strongly preferred for realization. "Became true" acceptable only for propositions previously false that are now verified. |
| 1.1.2 | His fears became real. | /hɪz fɪəz bɪˈkeɪm rɪəl/ | [MARGINAL] | "Became real" less common than "became reality" or "came true." Acceptable but marked. |
| 1.1.3 | The claim became false. | /ðə kleɪm bɪˈkeɪm fɔːls/ | [MARGINAL] | Very rare; implies change in factual status. "Proved false" or "turned out to be false" strongly preferred. |
| 1.2.1 | His predictions came true. | /hɪz prɪˈdɪkʃənz keɪm truː/ | [CORE] | Fixed expression for realization of predictions, hopes, dreams. Extremely common. Not productive with other adjectives. |
| 1.2.2 | *The statement came false. | — | [UNATTESTED] | Ungrammatical. "Come" does not combine with "false" or other negative truth-adjectives. |
| 1.2.3 | *The document came authentic. | — | [UNATTESTED] | Ungrammatical. "Come" restricted to "true" in this domain. |
| 1.3.1 | The rumor proved false. | /ðə ˈruːmər pruːvd fɔːls/ | [CORE] | Common construction emphasizing evidential discovery. Formal/written register. |
| 1.3.2 | His theory proved correct. | /hɪz ˈθɪəri pruːvd kəˈrɛkt/ | [CORE] | Same pattern. Common in academic and analytical contexts. |
| 1.3.3 | The document proved authentic. | /ðə ˈdɒkjumənt pruːvd ɔːˈθɛntɪk/ | [CORE] | Common in verification contexts. |
| 1.3.4 | The witness proved reliable. | /ðə ˈwɪtnəs pruːvd rɪˈlaɪəbəl/ | [CORE] | Common in legal and evaluative contexts. |
| 1.3.5 | The claim proved true. | /ðə kleɪm pruːvd truː/ | [CORE] | Common, though "proved correct/accurate" may be preferred in some contexts. |
| 1.4.1 | The story turned out to be true. | /ðə ˈstɔːri tɜːnd aʊt tə bi truː/ | [CORE] | Very common construction emphasizing discovery. Works across registers. |
| 1.4.2 | The painting turned out to be fake. | /ðə ˈpeɪntɪŋ tɜːnd aʊt tə bi feɪk/ | [CORE] | Common in narrative and investigative contexts. |
| 1.4.3 | He turned out to be honest. | /hiː tɜːnd aʊt tə bi ˈɒnɪst/ | [CORE] | Common in character evaluation contexts. |
| 1.4.4 | The method turned out to be sound. | /ðə ˈmɛθəd tɜːnd aʊt tə bi saʊnd/ | [CORE] | Common in evaluative contexts. |
| 1.5.1 | *The story got true. | — | [UNATTESTED] | Ungrammatical. "Get" does not combine with "true" for inchoative meaning. |
| 1.5.2 | *The claim got false. | — | [UNATTESTED] | Ungrammatical. "Get" does not work with truth-domain adjectives in this pattern. |
| 1.6.1 | The truth emerged. | /ðə truːθ ɪˈmɜːdʒd/ | [CORE] | "Truth" as subject with intransitive verb. Common in narrative contexts. |
| 1.6.2 | Reality dawned on him. | /riˈæləti dɔːnd ɒn hɪm/ | [CORE] | Fixed expression for sudden awareness. |
