| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|---|---|---|---|---|---|---|
| **tọ́** | **òtítọ́** | òtítọ́ | ò- + títọ́ | truth; correctness | Common noun for truth or correctness in everyday speech, argument, religion, and moral discussion. It refers to the truth of statements and the correctness of accounts or matters. | [CORE] |
| **tọ́** | **òtọ́** | òtọ́ | nominal form from tọ́ | truth; correctness; genuineness | Used for what is true, correct, or genuine, often overlapping with *òtítọ́*. It also appears in contrasts with falsity or imitation. | [CORE] |
| **tọ́** | **títọ́** | títọ́ | nominal/adjectival form from tọ́ | straightness; correctness; truth; properness | Used both literally for straightness and abstractly for correctness or truth. It also appears in evaluations of conduct, procedure, or statements. | [CORE] |
| **tọ́** | **ìtọ́sọ́nà** | ìtọ́sọ́nà | nominalization + direct/straighten + way | guidance; direction; instruction | Common in educational, administrative, and practical contexts for directions or guidance. It is also used figuratively for moral or spiritual guidance. | [CORE] |
| **tọ́ka sí** | **àtọ́ka** | àtọ́ka | nominalization from tọ́ka | index; reference; indication | Used in books, documents, and formal writing for indexing or reference. It is a stable nominal derivative in literate and administrative usage. | [CORE] |
| **tọ́ka sí** | **àtọ́kasí** | àtọ́kasí | nominalization from tọ́ka sí | reference; citation; indication | Common in academic, literary, and administrative contexts for references and citations. It is a well-established nominal form. | [CORE] |
| **tọ́jú** | **ìtọ́jú** | ìtọ́jú | nominalization from tọ́jú | care; treatment; maintenance | Used for care and treatment of persons as well as maintenance of things or responsibilities. It is common in medicine, domestic life, and administration. | [CORE] |
| **tọ́nà** | **títọ́nà** | títọ́nà | nominalization from tọ́nà | guidance; direction | Refers to the act or process of directing or guiding. It is supported, but less central than *ìtọ́sọ́nà* in ordinary usage. | [MARGINAL] |
| **tọ́nisọ́nà** | **olùtọ́nisọ́nà** | olùtọ́nisọ́nà | agent + guide/direct-way | guide; instructor; director | Refers to a person who guides or instructs others in education, travel, religion, or administration. It is a common agentive derivative. | [CORE] |
| **rí** | **ẹ̀rí** | ẹ̀rí | nominal form from rí “see” | evidence; proof; testimony | Used for evidence or proof supporting a claim or establishing an event. It is common in legal, religious, and everyday argumentative contexts. | [CORE] |
| **ẹ̀rí** | **ẹlẹ́rìí** | ẹlẹ́rìí | bearer/owner of testimony | witness | Standard term for a witness in court, public procedure, religious testimony, and narrative reporting. It is a clear person-denoting derivative from the testimony/evidence form. | [CORE] |
| **rí** | **ríran** | ríran | seeing | sight; seeing; vision | Used literally for visual perception and sometimes in extended evaluative or spiritual contexts. Its connection to the truth domain is peripheral, but the form itself is established. | [MARGINAL] |
| **òdodo** | **olódodo** | olódodo | owner/possessor of righteousness | righteous person; just person; upright person | Refers to a morally upright or just person, especially in ethical and religious discourse. It is a stable person-denoting derivative. | [CORE] |
| **òtítọ́** | **(no common derivation identified)** | — | — | — | No additional common derivation beyond the forms already listed is clearly supported in the provided material. | [CORE] |
| **òtọ́** | **(no common derivation identified)** | — | — | — | No further common derivation is clearly supported here beyond its relation to the *tọ́* family. | [CORE] |
| **òtítọ́ ni** | **(no common derivation identified)** | — | — | — | This is a fixed predicative expression rather than a base that clearly yields further common derivations in the provided evidence. | [CORE] |
| **irọ́** | **(no common derivation identified)** | — | — | — | Although *irọ́* is a core lexical item, no further common derivation is clearly supported in the supplied material. | [CORE] |
| **irọ́ ni** | **(no common derivation identified)** | — | — | — | This is a fixed evaluative expression, and no additional common derivation is clearly supported here. | [CORE] |
| **jẹ́ òtítọ́** | **(no common derivation identified)** | — | — | — | This is a verbal expression built syntactically with *òtítọ́*, not a base with further derivation clearly evidenced in the material. | [CORE] |
| **kì í ṣe òtítọ́** | **(no common derivation identified)** | — | — | — | This is a negative predicative expression rather than a derivational base. | [CORE] |
| **kò tọ́** | **(no common derivation identified)** | — | — | — | This is a negated predicate, not a base with a clearly supported derivational family in the provided data. | [CORE] |
| **dájú** | **(no common derivation identified)** | — | — | — | The supplied material supports phrasal uses such as *ó dájú* and *rí i dájú*, but no independent derivational morphology from *dájú* is clearly established here. | [CORE] |
| **ó dájú** | **(no common derivation identified)** | — | — | — | This is a fixed expression of certainty, not a derivational base. | [CORE] |
| **àdéhùn** | **(no common derivation identified)** | — | — | — | No common derivation is clearly supported in the provided material. | [CORE] |
| **ìdánimọ̀** | **(no common derivation identified)** | — | — | — | The material supports compounds with *ẹ̀rí* such as *ẹ̀rí ìdánimọ̀*, but not a further derivational family from *ìdánimọ̀* itself. | [CORE] |
| **ojúlówó** | **(no common derivation identified)** | — | — | — | No further common derivation is clearly supported in the supplied evidence. | [CORE] |
| **èké** | **(no common derivation identified)** | — | — | — | Although central semantically, no common derivational extension is clearly supported here. | [CORE] |
| **ìwà rere** | **(no common derivation identified)** | — | — | — | This is a fixed moral expression, and no further derivation is clearly supported in the provided material. | [CORE] |
| **ìwà búburú** | **(no common derivation identified)** | — | — | — | This is likewise a fixed moral expression rather than a supported derivational base here. | [CORE] |
| **àṣìṣe** | **(no common derivation identified)** | — | — | — | No common derivation is clearly supported in the supplied material. | [CORE] |
| **péye** | **(no common derivation identified)** | — | — | — | No common derivation is clearly supported here. | [CORE] |
| **bá mu** | **(no common derivation identified)** | — | — | — | This is a verbal expression meaning “fit, match, correspond,” and no further derivation is clearly supported in the provided material. | [CORE] |
