| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|----------------|-----------------|--------------------|--------------------|-----------------|
| kweli | kweli | Root *-kweli*; functions as noun and adverb. Etymology debated; possibly from Arabic *qawl* ("speech/saying") or via other borrowing pathway. | truth, true, truly, really, indeed | Used to assert that a statement or situation corresponds to reality or fact, or to intensify an assertion. Functions both as a noun (*kweli ni kwamba…* "the truth is that…") and as an adverb or intensifier. Appears in legal, moral, religious, and everyday evaluative contexts. Participates in derivation: *ukweli* (the truth, as abstract noun). Attested in statements like *hii ni kweli* ("this is true"). | [CORE] |
| ukweli | ukweli | *u-* (noun class 11/14 prefix, abstract) + *kweli*; abstract nominalization of *kweli* | truth, truthfulness, veracity, accuracy, fact | The nominalized abstract form, used when referring to truth as a property or concept. Used in philosophical, legal, and moral discourse (*ukweli wa jambo*, "the truth of a matter"). Contrasts with *uongo* (falsehood). Highly productive as a noun. | [CORE] |
| uongo | uongo | *u-* (abstract prefix) + *-ongo* (root associated with falsehood, deception) | lie, falsehood, deception, untruth | The standard term for a false or deceptive statement, and for the quality of being false. Used in moral condemnation of dishonesty and in legal contexts regarding false testimony (*kusema uongo*, "to tell a lie"). Direct antonym of *ukweli*. | [CORE] |
| halisi | halisi | Borrowing from Arabic *خالص* (khāliṣ), meaning pure, genuine, unmixed | genuine, authentic, real, pure | Applied to objects, persons, or qualities to indicate authenticity or lack of adulteration. Used in commercial contexts (*dhahabu halisi*, "genuine gold"), in evaluations of character, and in broader evaluative discourse about identity. Contrasts with *bandia*. Participates in the nominal form *uhalisi*. | [CORE] |
| uhalisi | uhalisi | *u-* (abstract prefix) + *halisi* (genuine, real) | authenticity, genuineness, reality, realism | Abstract noun denoting the quality of being genuine or real, or reality itself. Used in philosophical, aesthetic, and everyday contexts (*uhalisi wa hali*, "the reality of the situation"). Used in literary and artistic criticism, including discussions of literary realism (*uhalisi wa kisanaa*, "artistic realism"; *uhalisi* as a literary movement). Also used in everyday evaluation of authenticity. | [MARGINAL] |
| uhalisia | uhalisia | *u-* (abstract noun prefix) + *halisi* + *-a* (nominalizing/adjectivizing suffix) | realism, authenticity (in aesthetic or philosophical sense) | Used particularly in literary and artistic criticism to denote the quality of faithfully representing reality. Somewhat more domain-specific than *uhalisi* but well attested in Swahili literary discourse. | [MARGINAL] |
| sahihi | sahihi | Borrowing from Arabic *صحيح* (ṣaḥīḥ), meaning correct, sound, valid | correct, accurate, right, exact, valid | Used to evaluate statements, calculations, documents, and procedures as accurate or correct (*jibu sahihi*, "correct answer"; *hati sahihi*, "valid document"). Extremely common in educational, administrative, and legal contexts. Also used as a confirmation marker meaning "exactly" or "that's right." Also used as a verb (*kusahihisha*, to correct). | [CORE] |
| usahihi | usahihi | *u-* (abstract prefix) + *sahihi* | correctness, accuracy, precision, validity | Abstract noun derived from *sahihi*, referring to the property of being accurate or correct. Used in formal and technical registers when evaluating the precision of information, measurements, or claims, including legal and scientific contexts (*usahihi wa taarifa*, "accuracy of a report"). | [CORE] |
| haki | haki | Borrowing from Arabic *حق* (ḥaqq), meaning right, truth, due | right, justice, truth, entitlement, fairness, due | Covers a wide semantic range including moral rightness, legal rights, and factual truth. Used in legal discourse (*haki za binadamu*, "human rights"), moral evaluation, and everyday assertions of correctness (*haki kabisa*, "absolutely right/true"; *haki ni haki*, "right is right/truth is truth"). Participates in *uhaki* and compounds. | [CORE] |
| haki ya | haki ya | *haki* (right/truth) + *ya* (of, genitive linker) | the right of, the truth of, it is true that | A fixed genitive construction used to assert the truth or legitimacy of something. Functions in evaluative assertions (*haki ya Mungu*, "by God's truth"; used as an oath or strong assertion of truth). | [MARGINAL] |
| uhakika | uhakika | *u-* (abstract prefix) + *hakika* (from Arabic *حقيقة*, ḥaqīqa, reality, certainty) | certainty, sureness, reliability, assurance | Refers to the state of being certain or reliable. Used when evaluating whether information or a source can be trusted or confirmed. Contrasts with *shaka* (doubt). | [CORE] |
| hakika | hakika | From Arabic *حقيقة* (ḥaqīqa), reality, truth | certainty, sureness; also used adverbially: certainly, for sure | Used both as a noun (a certainty) and as an adverb or discourse particle affirming that something is definitely the case. Common in everyday speech and in formal assertions. | [CORE] |
| uaminifu | uaminifu | *u-* (abstract prefix) + *aminifu* (*-amini-* from Arabic *أمين*, amīn, trustworthy + *-fu* adjectival/nominal suffix) | faithfulness, trustworthiness, loyalty, integrity, reliability, honesty, fidelity | Refers to the quality of being trustworthy or faithful, applied to persons, institutions, or representations. Used in moral evaluation of character, in assessments of whether a source or account can be relied upon, and in religious and professional contexts (*uaminifu wa mfanyakazi*, "an employee's reliability"). | [CORE] |
| amini | amini | From Arabic *أمين* (amīn), trustworthy, faithful; functions as verb *kuamini* (to believe, to trust) | trustworthy, faithful, reliable; also used as a verb: to believe, to trust, to have faith in | Functions as an adjective evaluating persons or things as reliable and honest, and as a verb (*kuamini*: to believe, to trust). Used in evaluating whether something is credible or whether a person is trustworthy (*siwezi kumwamini*, "I cannot trust him/her"). Central to moral and religious discourse on trust and credibility. Participates in productive derivation: *uaminifu*, *mwaminifu* (faithful person). | [CORE] |
