# F4 Construction Table — Tamil (ta)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|------------------|---------|-----------------|-------------|-------------|------------------|
| ATTRIBUTION | அது உண்மை | atu uṇmai | That is true | Extremely frequent in everyday evaluative speech. Zero copula is unmarked/default for present tense third person. Explicit இருக்கு (irukku) used for emphasis, non-present tense, or non-third person subjects. | [CORE] |
| ATTRIBUTION (alternate) | அது உண்மை இருக்கு | atu uṇmai irukku | That is true (emphatic) | Explicit copula variant adds emphasis or marks non-present/non-third contexts. Both variants freely alternate in speech. | [CORE] |
| NEGATIVE ATTRIBUTION | அது சரி இல்லை | atu cari illai | That is not correct | Standard negation for equational sentences. Extremely common in denial, correction, and disagreement contexts. இல்லை functions as both negative copula and negative existential without distinction. | [CORE] |
| NEGATIVE ATTRIBUTION (alternate) | உண்மையற்ற | uṇmaiyaṟṟa | untrue, without truth | Adjectival negative using -அற்ற suffix. Used attributively before nouns rather than predicatively. Functionally distinct from இல்லை negation. | [CORE] |
| ADNOMINAL MODIFICATION | உண்மையான கதை | uṇmaiyāṉa katai | a true story | Most productive adjectival derivation pattern. Nearly universal across truth-domain vocabulary. Standard attributive position before modified noun. | [CORE] |
| ADNOMINAL MODIFICATION (alternate) | உண்மை கதை | uṇmai katai | true story | Bare noun compound without derivational morphology. Freely alternates with -ஆன form. Both constructions equally natural in everyday speech. | [CORE] |
| BECOME / INCHOATIVE | பொய் அம்பலமாகு | poy ampalamāku | The lie is exposed | Standard inchoative with ஆகு "become." Common in narrative contexts describing revelation or exposure. Productive with truth-domain terms. | [CORE] |
| BECOME / INCHOATIVE (alternate) | உண்மை தெரிய வரு | uṇmai teriya varu | The truth comes to be known | Alternative inchoative using வரு "come" for emergence/revelation. Particularly common with உண்மை. Both ஆகு and வரு patterns productive. | [CORE] |
| CAUSATIVE | உண்மையை வெளிப்படுத்து | uṇmaiyai veḷippaṭuttu | reveal the truth | Standard causative formation with -உத்து suffix. Common in contexts of deliberate revelation or clarification. Productive with verbs of revelation. | [CORE] |
| CAUSATIVE (variant) | தெளிவுபடுத்து | teḷivupaṭuttu | make clear, clarify | NOUN + படுத்து pattern particularly productive. Creates causatives meaning "cause to become X." Very frequent in explanatory and instructional contexts. | [CORE] |
| ABSTRACT NOMINALIZATION | பொய்மை | poymai | falsehood, falsity | Classical/literary pattern with -மை suffix. Less common in modern colloquial speech. Retained in formal registers and fixed expressions. | [MARGINAL] |
| ABSTRACT NOMINALIZATION (alternate) | உண்மைத்தன்மை | uṇmaittaṉmai | truthfulness, veracity | Modern formal pattern with -தன்மை "quality." Preferred in contemporary formal/analytical discourse. More productive than classical -மை in modern usage. | [CORE] |
| AGENTIVE NOMINALIZATION | பொய்யன் | poyyan | liar (male) | **Restricted to பொய் only.** Not productive across truth-domain vocabulary. Gender-marked forms (masculine -அன், neutral -ஆள்) exist but usage limited. | [MARGINAL] |
| AGENTIVE NOMINALIZATION (note) | உண்மை பேசுபவர் | uṉmai pēcupavar | truth-speaking person | Periphrastic expression required for "truth-teller." Direct agentive derivation *உண்மையன் not attested. Demonstrates non-productivity of agentive pattern. | [CORE] |
| VERB + OBJECT COLLOCATIONS | உண்மையைச் சொல்லு | uṇmaiyaic collu | tell the truth | Most common construction for truth-telling actions. உண்மை takes accusative -ஐ marker. Extremely frequent in everyday speech and interrogation contexts. | [CORE] |
| VERB + OBJECT COLLOCATIONS (asymmetry) | பொய் சொல்லு | poy collu | tell lies | **Asymmetry:** பொய் appears without accusative marking in this construction. Both verbs சொல்லு "say" and பேசு "speak" collocate with both terms. | [CORE] |
| NOUN + NOUN COMPOUNDS | பொய் சாட்சி | poy cāṭci | false testimony, perjury | Extremely productive pattern without overt derivational morphology. பொய் forms legal/commercial compounds; மெய் forms philosophical/spiritual compounds. Very frequent across registers. | [CORE] |
| NOUN + NOUN COMPOUNDS (variant) | மெய்ஞ்ஞானம் | meyññāṉam | true knowledge, enlightenment | மெய் particularly productive in philosophical/religious compounds. Sandhi rules apply (ஞ் doubling after -ய்). Common in spiritual discourse. | [CORE] |
| INTERROGATIVE CONSTRUCTIONS | உண்மையா? | uṇmaiyā? | Is it true? Really? | One of the most frequent constructions in everyday speech. Used for confirmation requests, expressing surprise, or challenging statements. Extremely common. | [CORE] |
| INTERROGATIVE CONSTRUCTIONS (variant) | நிஜமா? | nijamā? | Really? Is that so? | May be even more frequent colloquially than உண்மையா?. Functions identically. Both forms freely alternate in conversational Tamil. | [CORE] |
| ADVERBIAL MANNER CONSTRUCTIONS | உண்மையாக | uṇmaiyāka | truly, truthfully | Highly productive across truth-domain vocabulary. Parallel to -ஆன adjectival pattern. Nearly universal derivation for manner adverbs. | [CORE] |
| ADVERBIAL MANNER CONSTRUCTIONS (emphatic) | உண்மையாகவே | uṇmaiyākavē | truly indeed | Emphatic variant with -ஏ particle. Very common for intensification or insistence. Productive emphatic pattern across adverbials. | [CORE] |
| LOCATIVE/ABSTRACT STATE CONSTRUCTIONS | உண்மையில் | uṇmaiyil | in truth, actually, in reality | Extremely common as discourse marker and adverbial emphasizer. Functions both epistemically ("actually") and ontologically ("in reality"). Very frequent in everyday speech. | [CORE] |
| LOCATIVE/ABSTRACT STATE CONSTRUCTIONS (note) | பொய்யில் | poyyil | in falsehood | Less common than உண்மையில். Restricted to literary/formal registers. Pattern less productive with பொய் than with உண்மை. | [MARGINAL] |
| NEGATIVE ADJECTIVAL DERIVATION | உண்மையற்ற | uṇmaiyaṟṟa | without truth, untrue, false | Productive negative adjectival pattern with -அற்ற "without, lacking." Alternative to using பொய்யான for negation. Common with abstract nouns. | [CORE] |
| NEGATIVE ADJECTIVAL DERIVATION (variant) | சந்தேகமற்ற | cantēkamaṟṟa | without doubt, certain | Pattern productive beyond core truth-domain terms. Creates negative adjectives from abstract nouns generally. Frequent in formal and everyday registers. | [CORE] |
