| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|---|---|---|---|---|---|---|
| *tosi* | *epätosi* | tosi / epätosi | true / untrue, false | *Epätosi* is formed by applying the negating prefix *epä-* directly to *tosi*, producing its logical negation. The contrast is used in propositional truth attribution contexts (*se on tosi* — "that is true" vs. *väite on epätosi* — "the claim is false"). The CONTEXT explicitly identifies *epätosi* as "the direct negation of *tosi*" and notes it is more formal and explicitly propositional than *väärä*; *epätosi* is more characteristic of written and academic registers than *tosi*, which is common across all registers including colloquial speech. | morphological | [CORE] |
| *tosi* | *väärä* | tosi / väärä | true / wrong, false | The CONTEXT identifies *väärä* as "the primary antonym of both *oikea* and *tosi* in evaluative contexts." While *epätosi* is the formal propositional negation, *väärä* is the general-purpose negative evaluative term used across propositional, normative, and identity-evaluation contexts. The CONTEXT does not document a single direct lexical antonym of *tosi* with a morphologically parallel negative form within the same root; the negative pole is covered by *väärä* in propositional contexts, making this opposition asymmetric. | lexical (asymmetric) | [CORE] |
| *tosi* | *taru* | tosi / taru | true, real / legend, myth, tale | The fixed contrastive phrase *tosi vai tarua* ("fact or fiction / true or legend") pairs *tosi* with *taru* (legend, myth, tale) in the partitive. Used as a heading or framing device in journalism, popular media, and everyday speech to introduce a question about whether something is real or legendary. This is a lexical opposition between factual reality and legendary or fictional narrative, not a morphological negation. The CONTEXT documents *tosi vai tarua* as "a fixed binary construction contrasting factual truth with legend or myth (*taru* — legend, myth)." | lexical | [CORE] |
| *olla totta* | *ei ole totta* | N/A | to be true / to not be true | The standard copular truth-attribution construction and its direct negation. The partitive *totta* is retained under negation; the construction is documented as fundamental to everyday epistemic discourse. | constructional | [CORE] |
| *pitää paikkansa* | *ei pidä paikkaansa* | N/A | to be true, to hold / to not be true, to not hold | These are the positive and negative forms of the fixed colloquial construction for asserting or denying propositional truth. The CONTEXT documents both forms and identifies them as the most frequent everyday constructions for this function, preferred over *on tosi* / *ei ole tosi* in spoken Finnish. The CONTEXT also notes them as near-synonyms of the *olla totta* / *ei ole totta* pair, common in evaluative assessment of specific claims across all registers. | constructional | [CORE] |
| *totuus* | *epätotuus* | totuus / epätotuus | truth / untruth, falsehood | *Totuus* is the standard nominal for truth as an abstract property; *epätotuus* is its morphological negation, referring to a statement or proposition that is not true. The CONTEXT notes that *epätotuus* does not necessarily imply deliberate deception, distinguishing it from *valhe* (lie); it is somewhat less formal than *valhe* and is used in everyday and journalistic contexts (*puhua epätotuuksia* — "to say untruths/falsehoods"). | morphological | [CORE] |
| *totuus* | *valhe* | totuus / valhe | truth / lie | The context notes *epätotuus* as "somewhat less formal than *valhe* (lie)" when describing falsehoods, implying *valhe* as the lexical counterpart to *totuus* in the domain of deliberate untruth. *Valhe* is referenced in the context as a contrasting term. The opposition is between truth as a property of statements and lying as a deliberate act. | lexical | [UNCERTAIN] |
| *totuudenmukainen* / *totuudenmukaisuus* | *totuudenvastainen* / *totuudenvastaisuus* | totuudenmukainen / totuudenvastainen; totuudenmukaisuus / totuudenvastaisuus | truthful, in accordance with truth / contrary to truth, untruthful; truthfulness / untruthfulness, falsity | These are compound-derived antonyms built on the genitive of *totuus* with *mukainen* (in accordance with) and *vastainen* (contrary to) respectively. The CONTEXT documents both pairs and notes their use in legal and formal discourse to evaluate whether statements correspond to or contradict the truth. The CONTEXT also notes this as a productive antonym pattern in which *mukainen* (conforming to) and *vastainen* (contrary to) substitute on the same genitive base to produce opposing compound adjectives, described as productive across the domain in P4a and P4b. | morphological | [CORE] |
| *totuudenmukainen* | *epätotuudenmukainen* | totuudenmukainen / epätotuudenmukainen | truthful, accurate, faithful to the truth / untruthful, inaccurate, not conforming to truth | *Epätotuudenmukainen* is formed by *epä-* prefixation on *totuudenmukainen* and is documented in P2a. The context marks it [MARGINAL], noting it is less common than *totuudenmukainen* but attested in legal and evaluative contexts. | morphological | [MARGINAL] |
