| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| სიმართლე | სიმართლის თქმა | *simartlis tkma* | telling the truth; to tell the truth | Very common expression for speaking truthfully. Used both literally and in moral or conversational evaluation. | [CORE] |
| სიმართლე | სიმართლე გითხრათ / სიმართლე რომ გითხრათ | *simartle gitxrat / simartle rom gitxrat* | to tell you the truth; honestly | Common discourse-marking phrase introducing a candid opinion, admission, or correction. Neutral and widely used in speech and writing. | [CORE] |
| სიმართლე | სიმართლე ითქვას | *simartle itqvas* | truth be told | A common impersonal formula used to introduce a frank assessment. Slightly more rhetorical or literary than direct conversational phrasing. | [CORE] |
| სიმართლე | სიმართლეს შეესაბამება | *simartles sheesabameba* | corresponds to the truth; is true | Used in formal, journalistic, legal, and evaluative contexts for whether a statement matches reality. More formal than everyday “is right/true.” | [CORE] |
| სიმართლე | სიმართლეს არ შეესაბამება | *simartles ar sheesabameba* | does not correspond to the truth; is untrue | Common in denials, corrections, media statements, and official language. Often used to reject claims as factually false. | [CORE] |
| სიმართლე | სიმართლე გაირკვა | *simartle gairkva* | the truth came out; the truth became clear | Used when hidden facts are revealed or uncertainty is resolved. Common in narrative, journalism, and everyday speech. | [CORE] |
| სიმართლე | სიმართლე დადგინდა | *simartle dadginda* | the truth was established | Common in investigative, legal, and formal contexts. Stronger and more institutional than everyday revelation formulas. | [CORE] |
| სიმართლე | სიმართლის დადგენა | *simartlis dadgena* | establishment of the truth; determining the truth | Used in law, investigation, scholarship, and journalism. Refers to the process of finding what really happened or what is factually correct. | [CORE] |
| სიმართლე | სიმართლის ძიება | *simartlis dzieba* | search for truth | Used in philosophical, journalistic, ethical, and literary contexts. It can refer to factual inquiry or broader moral/intellectual pursuit. | [CORE] |
| სიმართლე | სიმართლე თვალებში ჩახედა | *simartle tvalebshi chakheda* | looked the truth in the eye; faced the truth | Idiomatic expression for confronting reality honestly. Used in literary and journalistic language and also understandable in general usage. | [MARGINAL] |
| მართალი | მართალი ხარ | *martali xar* | you are right | Extremely common conversational phrase for agreement or acknowledgment that another speaker is correct. | [CORE] |
| მართალი | მართალი იყო | *martali iq’o* | was right | Used retrospectively about a person, warning, judgment, or prediction. Very common in everyday speech and narrative. | [CORE] |
| მართალი | მართალი რომ ვთქვა | *martali rom vtkva* | to tell the truth; honestly speaking | Common discourse phrase introducing a frank opinion. Close in function to **სიმართლე რომ გითხრათ**, but built on the adjective. | [CORE] |
| მართალი | მართალი გითხრათ | *martali gitxrat* | to tell you the truth | Very common candidness marker in speech and writing. Natural in both neutral and mildly informal contexts. | [CORE] |
| მართალი | მართალი სიტყვა | *martali sit’q’va* | true word; truthful statement | Used for sincere or truthful speech, often with moral or rhetorical force. More common in literary, emphatic, or evaluative usage than in plain factual reporting. | [CORE] |
