| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| truth | tell the truth | N/A | tell the truth | Extremely common everyday and legal expression meaning to speak honestly and accurately. It is central in moral, interpersonal, and testimonial contexts. | [CORE] |
| truth | the truth | N/A | the truth | Very common noun phrase referring to what is really the case. It often carries rhetorical force, especially in contrastive contexts. | [CORE] |
| truth | the whole truth | N/A | the whole truth | Common phrase emphasizing completeness as well as accuracy. It is especially familiar from legal oaths and serious interpersonal exchanges. | [CORE] |
| truth | nothing but the truth | N/A | nothing but the truth | Fixed phrase most familiar from courtroom oath language, often occurring in “the truth, the whole truth, and nothing but the truth.” It stresses exclusion of falsehood or embellishment. | [CORE] |
| truth | truth be told | N/A | truth be told; honestly | Common discourse marker introducing a candid admission. It is frequent in speech and informal-to-neutral writing. | [CORE] |
| truth | in truth | N/A | in truth; in fact | Established but somewhat formal or literary phrase marking what is really the case. It is less common in casual conversation than *actually* or *in fact*. | [CORE] |
| truth | there is some truth in | N/A | there is some truth in X | Common evaluative construction used to concede partial correctness to a claim, criticism, or stereotype. It is frequent in argument and commentary. | [CORE] |
| truth | have a ring of truth | N/A | have a ring of truth | Idiomatic expression for sounding believable or authentic. It overlaps semantically with *ring true* but is built on the noun *truth*. | [CORE] |
| truth | moment of truth | N/A | moment of truth | Common idiom for the decisive point when reality is revealed or tested. It is widely used in journalism, sports, business, and everyday speech. | [CORE] |
| truth | home truth | N/A | home truth; uncomfortable truth | Established chiefly in British English for a blunt or unpleasant truth someone needs to hear. It is idiomatic and somewhat marked regionally. | [CORE] |
| true | come true | N/A | come true | Very common construction for wishes, fears, predictions, or dreams becoming reality. It is one of the most entrenched multi-word expressions with *true*. | [CORE] |
| true | ring true | N/A | ring true | Common idiom for sounding convincing, authentic, or believable. It often refers to intuitive plausibility rather than direct verification. | [CORE] |
| true | hold true | N/A | hold true; remain valid | Common in generalization, science, and argumentation for a statement or pattern continuing to apply. It is especially frequent in expository prose. | [CORE] |
| true | prove true | N/A | prove true; turn out to be true | Common construction used when later evidence confirms a claim, suspicion, or prediction. It is frequent in narrative and reporting. | [CORE] |
| true | be true of | N/A | be true of | Standard construction meaning “apply to” or “accurately characterize.” It is common in general statements and comparisons. | [CORE] |
| true | be true to | N/A | be true to; remain faithful to | Common construction for loyalty, consistency, or fidelity to a person, principle, style, or source. It extends beyond factual truth into faithfulness and authenticity. | [CORE] |
| true | true to life | N/A | true to life; lifelike | Conventional expression for depictions, performances, or narratives that closely resemble reality. It is common in artistic and descriptive evaluation. | [CORE] |
| true | true to form | N/A | true to form | Common idiom meaning consistent with expected character or pattern, often with ironic coloring. It is frequent in journalism and conversation. | [CORE] |
| true | true to oneself | N/A | true to oneself | Common expression in moral, psychological, and self-help discourse for acting in accordance with one’s values or identity. It is well established but semantically extended from factual truth. | [CORE] |
| true | true to his/her word | N/A | true to his/her word | Common phrase for someone who does what they promised. It emphasizes fidelity and reliability rather than propositional truth. | [CORE] |
| true | too true | N/A | too true; unfortunately true | Idiomatic response expressing reluctant agreement that something is indeed true. It is common in conversational and literary use. | [CORE] |
| true | if that be true / if that is true | N/A | if that is true | Standard conditional construction for reasoning from a possibly true premise. The *be* variant is formal or archaic; the *is* variant is fully current. | [CORE] |
| correct | be correct in | N/A | be correct in | Common construction for being right in a judgment, assumption, or statement. It is frequent in formal and semi-formal prose. | [CORE] |
| correct | correct to say | N/A | be correct to say | Established evaluative construction used when assessing whether a formulation is accurate. It is common in academic, journalistic, and careful explanatory prose. | [CORE] |
| correct | correct in saying | N/A | correct in saying | Common phrase for judging a speaker’s statement as accurate. It often appears in reported evaluation or argument. | [CORE] |
| correct | correct answer | N/A | correct answer | Very common noun phrase in education, testing, and problem-solving. It is one of the most basic collocations with *correct*. | [CORE] |
| correct | correct interpretation | N/A | correct interpretation | Common in law, criticism, religion, and scholarship where competing readings are evaluated. It signals accepted or defensible understanding. | [CORE] |
| right | be right | N/A | be right | Extremely common basic construction for being correct, justified, or accurate. Context determines whether the sense is factual, practical, or moral. | [CORE] |
| right | be right about | N/A | be right about | Very common construction for having a correct judgment or prediction concerning something. It is frequent in everyday conversation. | [CORE] |
| right | be right to | N/A | be right to | Common construction meaning that an action, judgment, or feeling is justified. It often expresses normative rather than factual correctness. | [CORE] |
| right | get it right | N/A | get it right | Very common phrase for achieving correctness in understanding, reporting, performance, or procedure. It is widely used across registers. | [CORE] |
| right | set right | N/A | set right; correct | Established expression for correcting an error or remedying a wrong situation. It occurs in both practical and moral contexts. | [CORE] |
| right | put right | N/A | put right; rectify | Common especially in British English for correcting a mistake or fixing a problem. It is natural in both literal and figurative uses. | [CORE] |
| right | right answer | N/A | right answer | Very common phrase in educational and everyday evaluative settings. It is often more colloquial than *correct answer*. | [CORE] |
| right | right thing to do | N/A | the right thing to do | Extremely common moral-evaluative phrase for the justified or proper course of action. It is central in everyday ethical reasoning. | [CORE] |
| right | in the right | N/A | in the right; justified | Established phrase for being the justified party in a dispute. It is somewhat more formal than simply *right*. | [CORE] |
| right | by right | N/A | by right; rightfully | Common in legal, historical, and rhetorical contexts for entitlement or proper claim. It is less common in casual speech. | [CORE] |
| right | serve someone right | N/A | serve someone right | Common idiom meaning that a bad outcome is deserved. It belongs to moral evaluation rather than truth assessment narrowly. | [CORE] |
| accurate | accurate enough | N/A | accurate enough | Very common evaluative construction indicating sufficient accuracy for a purpose. It is frequent in technical and everyday contexts. | [CORE] |
| accurate | accurate to within | N/A | accurate to within X | Standard technical construction for specifying a margin of error. It is common in science, engineering, and product description. | [CORE] |
| accurate | accurate to | N/A | accurate to X | Common phrase for specifying degree of precision, as in decimal places or units. It is especially frequent in measurement contexts. | [CORE] |
| accurate | accurate description | N/A | accurate description | Common collocation for a description that matches the facts well. It is used in journalism, science, and everyday evaluation. | [CORE] |
| accurate | accurate account | N/A | accurate account | Common phrase for a reliable and factually correct report or narrative. It is frequent in historical, legal, and journalistic contexts. | [CORE] |
| accuracy | with accuracy | N/A | with accuracy | Established but somewhat formal phrase for doing something accurately. It is less common than the adverb *accurately* but clearly attested. | [CORE] |
| accuracy | degree of accuracy | N/A | degree of accuracy | Common technical and evaluative phrase for how accurate a measurement, model, or report is. It is frequent in scientific and analytical writing. | [CORE] |
| accuracy | level of accuracy | N/A | level of accuracy | Common phrase in technical, bureaucratic, and educational contexts. It is used when comparing or specifying standards of precision. | [CORE] |
| accuracy | accuracy of | N/A | accuracy of X | Very common genitival construction for evaluating data, reports, translations, or instruments. It is one of the main syntactic frames for the noun. | [CORE] |
| genuine | genuine concern | N/A | genuine concern | Very common phrase for sincere rather than performative concern. It is frequent in interpersonal and public discourse. | [CORE] |
| genuine | genuine interest | N/A | genuine interest | Common collocation for sincere, real interest rather than politeness or strategy. It is widely used in personal and professional settings. | [CORE] |
| genuine | genuine article | N/A | genuine article | Established idiomatic phrase for the authentic thing or person, not an imitation. It is common in commercial and figurative use. | [CORE] |
| genuine | genuine leather / genuine gold / genuine signature | N/A | genuine leather / gold / signature | Very common authenticity-marking construction with material or object nouns. It is especially frequent in commercial, legal, and forensic contexts. | [CORE] |
