| Construction Type | Example | Transliteration | Translation | Epistemic Status | Usage Notes |
|---|---|---|---|---|---|
| ATTRIBUTION | *Informasi itu benar.* | — | “That information is true.” | [CORE] | Common, idiomatic predicate use in everyday and formal Indonesian, especially for evaluating truth, validity, or authenticity. Bare predicates are normal in present-tense clauses; *adalah* is mainly a more formal variant. Alternate constructions: **X (adalah) benar / betul / tepat / sesuai / sah / valid / akurat / asli / palsu** |
| ATTRIBUTION | *Dokumen ini sah.* | — | “This document is valid.” | [CORE] | Very natural in legal, administrative, and documentary contexts. Predicate choice is domain-sensitive: *sah* for legal validity, *valid* for technical/administrative validity, *asli/palsu* for authenticity. Alternate constructions: **X (adalah) benar / betul / tepat / sesuai / sah / valid / akurat / asli / palsu** |
| NEGATIVE ATTRIBUTION | *Kabar itu tidak benar.* | — | “That news is not true.” | [CORE] | Standard negated predicate pattern, widely used in denial, correction, and rebuttal. *Tidak* is the regular negator before adjectives; this is productive across the listed predicates. Alternate constructions: **X tidak + ADJ** / **X kurang + ADJ** / **X belum + ADJ** |
| NEGATIVE ATTRIBUTION | *Data ini kurang akurat.* | — | “These data are not very accurate.” | [CORE] | Natural when the speaker softens criticism rather than fully rejecting the predicate. *Kurang* is especially common for scalar evaluations like *akurat* or *tepat*, while *belum* is more natural for pending status such as *belum valid*. Alternate constructions: **X tidak + ADJ** / **X kurang + ADJ** / **X belum + ADJ** |
| ADNOMINAL MODIFICATION | *jawaban yang tepat* | — | “the correct answer” | [CORE] | **N yang ADJ** is a very common and productive way to modify nouns with evaluative adjectives. It is broadly usable across everyday and formal registers. Alternate constructions: **N yang + ADJ** / **N + ADJ** |
| ADNOMINAL MODIFICATION | *bukti yang sah* | — | “valid/legal evidence” | [CORE] | Natural in legal, bureaucratic, and formal evaluative contexts. Bare **N + ADJ** also occurs in some set or formal combinations, but **N yang ADJ** is the clearer general pattern. Alternate constructions: **N yang + ADJ** / **N + ADJ** |
| BECOME / INCHOATIVE | *Data itu menjadi tidak valid setelah diubah.* | — | “The data became invalid after being changed.” | [CORE] | Natural for explicit change-of-state descriptions, especially in procedural, technical, or administrative contexts. *Menjadi* is the regular overt way to express becoming in this domain. Alternate constructions: **menjadi + ADJ/N** / **terbukti + ADJ** |
| BECOME / INCHOATIVE | *Dokumen itu terbukti palsu.* | — | “The document turned out/proved to be fake.” | [CORE] | Common when the status is presented as established by evidence, investigation, or later discovery. Compared with *menjadi*, *terbukti* is more about confirmed result than simple change. Alternate constructions: **menjadi + ADJ/N** / **terbukti + ADJ** |
| CAUSATIVE (OR ABSENCE) | *Pejabat itu membenarkan kabar tersebut.* | — | “The official confirmed that news.” | [CORE] | Natural and well attested, but meaning depends strongly on the lexical verb rather than a single uniform causative pattern. *Membenarkan* is common for confirming or justifying, especially in reporting and official statements. Alternate constructions: **meN- + root + -kan** causative/confirmative/validative |
