| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|------------|------------|---------------------------|-------------------------------|----------------|
| GROUP 1: Terms for Correspondence to Reality | This group comprises expressions used to characterize statements, cognitions, or representations as corresponding (or failing to correspond) to actual states of affairs. These terms appear in contexts requiring verification, factual accuracy, or assessment of whether something matches objective reality. They are distinguished from moral/ethical evaluations and from metaphysical discussions of ultimate reality. | सत्य (satya) — "truth, true, real"; असत्य (asatya) — "false, untrue"; तथ्य (tathya) — "true, factual, real"; यथार्थ (yathārtha) — "true, accurate, corresponding to reality"; अयथार्थ (ayathārtha) — "untrue, inaccurate, not corresponding to reality"; सत्यवचन (satyavacana) — "true statement, truthful speech"; तथ्यं कथयति (tathyaṃ kathayati) — "tells the facts, narrates truthfully"; यथार्थं भवति (yathārthaṃ bhavati) — "is accurate, corresponds to reality" | सत्य (satya) — also appears in moral contexts (satyavādin "truth-speaker" as virtue) and ontological contexts (sat "being, reality"); सत्यार्थ (satyārtha) — "true meaning" — bridges factual correspondence and interpretive accuracy | Distinguished from moral/ethical evaluations and from metaphysical discussions of ultimate reality |
| GROUP 2: Terms for Epistemic Validity and Justification | This group includes expressions denoting valid means of acquiring knowledge, the results of such valid cognition, and the standards by which knowledge claims are evaluated. These terms appear in philosophical discussions of epistemology, debates about proof and evidence, and contexts requiring epistemic warrant. They focus on the instruments and processes of knowing rather than the content of what is known. | प्रमाण (pramāṇa) — "valid means of knowledge, proof, authority"; प्रमा (pramā) — "valid knowledge, true cognition"; प्रमाता (pramātā) — "knower, cognizer, subject of knowledge"; प्रमेय (prameya) — "knowable, object of knowledge"; प्रत्यक्ष (pratyakṣa) — "perception, direct cognition"; अनुमान (anumāna) — "inference, reasoning"; शब्द (śabda) — "word, verbal testimony, scriptural authority"; उपमान (upamāna) — "comparison, analogy (as means of knowledge)"; प्रमाणेन ज्ञायते (pramāṇena jñāyate) — "is known through valid means"; प्रमाणं भवति (pramāṇaṃ bhavati) — "becomes/serves as valid means of knowledge"; किं प्रमाणम् (kiṃ pramāṇam) — "what is the proof?"; प्रत्यक्षानुमानशब्दाः (pratyakṣānumānaśabdāḥ) — "perception, inference, and testimony" | प्रमाणाभास (pramāṇābhāsa) — "semblance of valid knowledge, pseudo-proof" — bridges this group and error terms; प्रमाणीकरण (pramāṇīkaraṇa) — "validation, authentication" — modern administrative usage extends beyond philosophical epistemology | Focus on instruments and processes of knowing rather than content of what is known |
| GROUP 3: Terms for Cognitive Error and Illusion | This group comprises expressions denoting mistaken cognition, perceptual error, or failure of knowledge to correspond to reality. These terms appear in epistemological discussions of the distinction between valid and invalid cognition, in analyses of specific types of error (such as mistaking rope for snake), and in philosophical accounts of illusion and misapprehension. | भ्रम (bhrama) — "error, illusion, mistake, false cognition"; भ्रान्ति (bhrānti) — "error, delusion, mistake"; विपर्यय (viparyaya) — "error, perversion, reversal, mistaken cognition"; अप्रमा (apramā) — "invalid cognition, erroneous knowledge"; भ्रमः भवति (bhramaḥ bhavati) — "error occurs, illusion arises"; भ्रमात् (bhramāt) — "from/due to error"; मिथ्याप्रत्यय (mithyāpratyaya) — "false cognition, erroneous belief"; अयथार्थं प्रतीयते (ayathārthaṃ pratīyate) — "is cognized inaccurately" | मिथ्या (mithyā) — appears both in epistemological contexts (error) and metaphysical contexts (illusoriness, unreality); आभास (ābhāsa) — "appearance, semblance" — can denote both perceptual error and metaphysical appearance versus reality | Appears in epistemological discussions of distinction between valid and invalid cognition |
| GROUP 4: Terms for Metaphysical Falsity and Illusoriness | This group includes expressions used in philosophical discourse to characterize phenomena as lacking ultimate reality, being merely apparent, or possessing only conventional rather than absolute existence. These terms appear particularly in Vedāntic discussions of the relationship between appearance and reality, in Buddhist two-truths doctrine, and in analyses of the ontological status of empirical phenomena. | मिथ्या (mithyā) — "false, illusory, unreal"; मिथ्यात्व (mithyātva) — "falsity, illusoriness, unreality"; आभास (ābhāsa) — "appearance, semblance, reflection, illusion"; व्यवहार (vyavahāra) — "conventional usage, practical reality, empirical reality"; परमार्थ (paramārtha) — "ultimate truth, highest reality, absolute meaning"; मिथ्या भवति (mithyā bhavati) — "is false, becomes illusory"; आभासमात्रम् (ābhāsamātram) — "mere appearance, only a semblance"; व्यवहारे (vyavahāre) — "in conventional usage, at the practical level"; परमार्थतः (paramārthataḥ) — "from the ultimate standpoint, ultimately"; व्यवहारपरमार्थयोः (vyavahāraparamārthayoḥ) — "of conventional and ultimate [truth]" | मिथ्या (mithyā) — also appears in epistemological contexts for cognitive error; असत् (asat) — "non-being, unreal" — can denote both ontological non-existence and moral evil; मिथ्यारोप (mithyāropa) — "false superimposition" — technical Vedāntic term bridging epistemology and metaphysics | Appears particularly in Vedāntic discussions of appearance and reality, Buddhist two-truths doctrine, and analyses of ontological status of empirical phenomena |
| GROUP 5: Terms for Moral Truthfulness and Deception | This group comprises expressions characterizing persons, speech acts, or conduct as truthful or deceptive from a moral or ethical standpoint. These terms appear in contexts of moral evaluation, ethical instruction, legal testimony, and religious duty. They focus on the virtue or vice of truthfulness in speech and behavior rather than on factual accuracy or metaphysical reality. | सत्यवादिन् (satyavādin) — "truth-speaking, truthful person"; असत्यवादिन् (asatyavādin) — "liar, one who speaks falsely"; मिथ्यावादिन् (mithyāvādin) — "liar, one who speaks falsely"; सत्यव्रत (satyavrata) — "vow of truthfulness, committed to truth"; सत्यसन्ध (satyasandha) — "keeping truth, faithful to promises"; सत्यनिष्ठ (satyaniṣṭha) — "devoted to truth, firmly established in truth"; मिथ्याभाषण (mithyābhāṣaṇa) — "false speech, lying"; मिथ्यावाद (mithyāvāda) — "false doctrine, lying"; मिथ्यासाक्षिन् (mithyāsākṣin) — "false witness, perjurer"; सत्यं वद (satyaṃ vada) — "speak truth"; सत्यं ब्रूयात् (satyaṃ brūyāt) — "one should speak truth"; असत्यं वदति (asatyaṃ vadati) — "speaks falsely, tells lies"; सत्यमेव जयते (satyam eva jayate) — "truth alone conquers" | सत्य (satya) — appears across factual, moral, and ontological contexts; मिथ्याचार (mithyācāra) — "false conduct, hypocrisy" — bridges moral deception and behavioral authenticity | Focus on virtue or vice of truthfulness in speech and behavior rather than on factual accuracy or metaphysical reality |
| GROUP 6: Terms for Righteousness and Proper Conduct | This group includes expressions denoting right conduct, moral duty, proper behavior, and their opposites. These terms appear in ethical, legal, and religious discourse about what constitutes appropriate action, social obligation, and virtuous character. They are distinguished from terms specifically about truthfulness by their broader scope encompassing all forms of right and wrong conduct. | धर्म (dharma) — "duty, righteousness, law, proper conduct"; अधर्म (adharma) — "unrighteousness, wrong conduct, injustice"; साधु (sādhu) — "good, virtuous, proper, correct"; असाधु (asādhu) — "bad, improper, incorrect, wicked"; सम्यक् (samyak) — "right, correct, proper, complete"; धार्मिक (dhārmika) — "righteous, religious, relating to dharma"; धर्मं चर (dharmaṃ cara) — "practice dharma, follow righteousness"; धर्मात् न चलेत् (dharmāt na calet) — "should not deviate from dharma"; धर्मः रक्षति रक्षितः (dharmaḥ rakṣati rakṣitaḥ) — "dharma protects those who protect it"; को धर्मः (ko dharmaḥ) — "what is dharma?, what is the right course?"; साधु साधु (sādhu sādhu) — "well done! excellent!" | सत्यधर्म (satyadharma) — "duty of truthfulness" — bridges truthfulness and general righteousness; साधु (sādhu) — also used for grammatical correctness, extending beyond moral domain; सम्यग्दृष्टि (samyagdṛṣṭi) — "right view" — Buddhist technical term bridging ethics and epistemology | Distinguished from terms specifically about truthfulness by broader scope encompassing all forms of right and wrong conduct |
| GROUP 7: Terms for Ignorance and Knowledge | This group comprises expressions denoting the presence or absence of knowledge, particularly in soteriological contexts where ignorance is understood as the root cause of bondage and knowledge as the means to liberation. These terms appear in philosophical discussions of the relationship between ignorance and suffering, in descriptions of spiritual progress, and in analyses of the nature of liberating knowledge. | अविद्या (avidyā) — "ignorance, nescience, false knowledge"; विद्या (vidyā) — "knowledge, learning, wisdom"; अविद्यया (avidyayā) — "by/through ignorance, due to ignorance"; विद्यया (vidyayā) — "by/through knowledge"; अविद्यावशात् (avidyāvaśāt) — "under the power of ignorance"; अविद्यानिवृत्तौ (avidyānivṛttau) — "upon cessation of ignorance"; विद्याविद्ययोः (vidyāvidyayoḥ) — "of knowledge and ignorance"; विद्या ददाति विनयम् (vidyā dadāti vinayam) — "knowledge gives humility" | मिथ्याज्ञान (mithyājñāna) — "false knowledge" — bridges epistemological error and soteriological ignorance; यथार्थज्ञानम् (yathārthajñānam) — "accurate knowledge" — bridges epistemological validity and liberating knowledge | Particularly in soteriological contexts where ignorance is understood as root cause of bondage and knowledge as means to liberation |
| GROUP 8: Vedic Cosmic-Moral Order Terms | This group includes archaic Vedic expressions denoting cosmic order, ritual propriety, and the fundamental rightness of things as aligned with universal law. These terms appear primarily in Vedic hymns and early Upaniṣadic texts, where they characterize both cosmic regularity and moral-ritual correctness as aspects of a unified order. They are largely replaced by other terms (satya, dharma) in classical usage. | ऋत (ṛta) — "cosmic order, truth, right, law"; अनृत (anṛta) — "falsehood, untruth, disorder, wrong"; ऋतस्य पथा (ṛtasya pathā) — "by the path of ṛta, according to cosmic order"; ऋतं च सत्यं च (ṛtaṃ ca satyaṃ ca) — "both cosmic order and truth"; ऋतज्ञ (ṛtajña) — "knowing the cosmic order, wise"; ऋतावन् (ṛtāvan) — "possessing ṛta, righteous" | None significant — these terms form a relatively distinct archaic register | Appear primarily in Vedic hymns and early Upaniṣadic texts; largely replaced by other terms (satya, dharma) in classical usage |
| GROUP 9: Terms for Essential Nature and Identity | This group comprises expressions denoting the essential nature, inherent form, or true identity of things as distinguished from accidental properties or superficial appearances. These terms appear in philosophical discussions of substance and attribute, in metaphysical analyses of what things fundamentally are, and in contexts requiring distinction between essence and accident. | स्वरूप (svarūpa) — "essential nature, true form, inherent character"; सत्त्व (sattva) — "being, existence, essence"; सत्ता (sattā) — "existence, being, reality, entity"; धर्मता (dharmatā) — "essential nature" (in philosophical contexts); स्वरूपेण (svarūpeṇa) — "in its essential nature, by its own form"; स्वरूपं ज्ञायते (svarūpaṃ jñāyate) — "the essential nature is known" | सत् (sat) — "being, existing, real" — bridges ontological existence and essential nature; धर्म (dharma) — in philosophical contexts can mean "essential property" as well as "duty" | Appear in philosophical discussions of substance and attribute, in metaphysical analyses of what things fundamentally are |
