| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| òtítọ́ | sọ òtítọ́ | sọ òtítọ́ | tell the truth | Very common everyday expression for speaking truthfully. Used in conversation, moral instruction, child-rearing, and legal or testimonial contexts. | [CORE] |
| òtítọ́ | mọ̀ òtítọ́ | mọ̀ òtítọ́ | know the truth | Used when someone knows the real facts of a matter. Common in interpersonal disputes, religious discourse, and discussions of hidden reality. | [CORE] |
| òtítọ́ | fẹ́ òtítọ́ | fẹ́ òtítọ́ | love truth | Common in moral, philosophical, and religious discourse for valuing honesty and truthfulness. It is less tied to a single factual claim than to a general ethical stance. | [CORE] |
| òtítọ́ | fi òtítọ́ hàn | fi òtítọ́ hàn | reveal the truth; show the truth | Used when evidence, confession, or investigation makes the truth visible or clear. Common in argumentative, legal, and narrative settings. | [CORE] |
| òtítọ́ | ní òtítọ́ | ní òtítọ́ | in truth; truly; indeed | Adverbial expression used to mark sincerity or factual truth. It is especially common in formal, literary, and sermonic styles, though also understandable in ordinary speech. | [CORE] |
| òtítọ́ | l’òtítọ́ | l’òtítọ́ | truly; in fact | Reduced form of *ní òtítọ́*, common in connected speech and writing. Often introduces a candid clarification or the actual state of affairs. | [CORE] |
| òtítọ́ | òtítọ́ ọrọ̀ | òtítọ́ ọrọ̀ | the truth of the matter; the real facts | Used to distinguish actual facts from rumor, distortion, or superficial appearance. Common in explanation, dispute, and narrative clarification. | [CORE] |
| òtítọ́ | máa sọ òtítọ́ | máa sọ òtítọ́ | tell the truth habitually; speak truth | Used in exhortation or character evaluation rather than just a single act of truthful speech. Especially natural in moral and religious instruction. | [CORE] |
| òtítọ́ | wà ní òtítọ́ | wà ní òtítọ́ | be in the right; be in truth | This expression can refer to being correct or standing in truth, depending on context. It appears to be less central and more register-sensitive than simpler truth predicates. | [MARGINAL] |
| òtọ́ | (no common expression identified) | — | — | Although *òtọ́* is a core lexical item, the supplied material does not clearly support a distinct set of common multi-word constructions built on it apart from overlap with the broader *tọ́ / òtítọ́* family. | [CORE] |
| òtítọ́ ni | òtítọ́ ni | òtítọ́ ni | it is true; that is true | Fixed affirming expression used to confirm that a statement or report is accurate. Very common in direct conversational response. | [CORE] |
| irọ́ | (no common expression identified) | — | — | The provided material supports *irọ́* as a core noun meaning “lie/falsehood,” but does not clearly establish additional common multi-word constructions beyond the fixed predicative expression *irọ́ ni*. | [CORE] |
| irọ́ ni | irọ́ ni | irọ́ ni | it is a lie; that is false | Fixed expression used to reject a statement as false or deceptive. Common in direct disagreement, accusation, and evaluation of reports. | [CORE] |
| jẹ́ òtítọ́ | jẹ́ òtítọ́ | jẹ́ òtítọ́ | be true | Standard predicative expression for saying that a claim, report, rumor, or appearance is true. It is one of the most natural verbal ways to assert truth. | [CORE] |
| kì í ṣe òtítọ́ | kì í ṣe òtítọ́ | kì í ṣe òtítọ́ | is not true | Common way to deny truth or accuracy without necessarily accusing someone of deliberate lying. Often softer or more neutral than calling something *irọ́* directly. | [CORE] |
| títọ́ | ọ̀nà títọ́ | ọ̀nà títọ́ | straight path; right way | Used literally for a straight route and figuratively for proper conduct or morally right living. The figurative use is especially common in moral and religious discourse. | [CORE] |
| tọ́ | ó tọ́ | ó tọ́ | it is right; that is correct | Conversational affirmation that a statement, judgment, or action is right. Common in everyday argument and practical evaluation. | [CORE] |
| kò tọ́ | kò tọ́ | kò tọ́ | it is not right; it is wrong | Used for moral impropriety, unfairness, or factual/practical incorrectness depending on context. Very common in rebuke and evaluation. | [CORE] |
| dájú | rí i dájú | rí i dájú | make sure; ascertain | Very common procedural expression for checking that something is correct, secure, or certain. Used in administration, instruction, and everyday practical speech. | [CORE] |
| ó dájú | ó dájú | ó dájú | it is certain; surely; definitely | Fixed expression marking confidence or certainty about a statement or expectation. Common in both ordinary conversation and persuasive or formal speech. | [CORE] |
| àdéhùn | (no common expression identified) | — | — | *Àdéhùn* is clearly a core noun, but the supplied material does not provide a specific attested multi-word construction centered on it. | [CORE] |
| ẹ̀rí | fi ẹ̀rí hàn | fi ẹ̀rí hàn | present evidence; show proof | Used in argument, investigation, court, and scholarship when evidence is produced or displayed. It is a central evidential construction. | [CORE] |
| ẹ̀rí | ní ẹ̀rí | ní ẹ̀rí | have evidence; have proof | Common in disputes and reasoning when someone possesses supporting evidence. Natural in both formal and everyday argumentative contexts. | [CORE] |
| ẹ̀rí | kò sí ẹ̀rí | kò sí ẹ̀rí | there is no evidence | Used to deny evidential support for a claim, accusation, or theory. Common in legal, journalistic, scientific, and ordinary discussion. | [CORE] |
| ẹ̀rí | ẹ̀rí ìdánimọ̀ | ẹ̀rí ìdánimọ̀ | proof of identity; identification evidence | Common in administrative and legal settings for documents or materials used to verify identity. It is a stable bureaucratic and procedural expression. | [CORE] |
| ẹ̀rí | ẹ̀rí ìbí | ẹ̀rí ìbí | birth certificate; proof of birth | Administrative/legal expression for official proof of birth. Common in documentation and identity verification contexts. | [CORE] |
| ẹ̀rí | ẹ̀rí ọ̀rọ̀ | ẹ̀rí ọ̀rọ̀ | evidence for a claim; verbal testimony | Used when discussing what supports a statement or case. It appears less central than the broader evidential expressions above. | [MARGINAL] |
| ẹ̀rí | ẹ̀rí ọkọ́ | ẹ̀rí ọkọ́ | vehicle papers; vehicle documentation | Administrative and policing expression for official vehicle documents. Its connection to the truth domain is practical and documentary rather than abstract. | [MARGINAL] |
| ẹ̀rí | ẹ̀rí ilé | ẹ̀rí ilé | title document; property papers | Used in land and property matters for documentary proof of ownership. More specialized than general evidential uses. | [MARGINAL] |
| ẹlẹ́rìí | jẹ́ ẹlẹ́rìí | jẹ́ ẹlẹ́rìí | be a witness | Used when someone personally witnessed an event or serves as a formal witness. Common in legal, procedural, religious, and narrative contexts. | [CORE] |
| ẹlẹ́rìí | pe ẹlẹ́rìí | pe ẹlẹ́rìí | call a witness | Common in legal and procedural settings, and also usable in disputes or public inquiry. Refers to summoning or inviting testimony. | [CORE] |
| ẹlẹ́rìí | ẹlẹ́rìí ojú | ẹlẹ́rìí ojú | eyewitness | Standard expression for a witness who directly saw an event. Common in legal reporting and narrative description. | [CORE] |
| ẹlẹ́rìí | ẹlẹ́rìí àròsọ | ẹlẹ́rìí àròsọ | hearsay witness | Used for indirect rather than firsthand testimony, but the supplied evidence is weaker for how established this expression is in broad usage. | [UNCERTAIN] |
| ìdánimọ̀ | (no common expression identified) | — | — | The material supports *ẹ̀rí ìdánimọ̀* as a compound headed by *ẹ̀rí*, but does not independently establish a separate common construction centered on *ìdánimọ̀* itself. | [CORE] |
| ojúlówó | (no common expression identified) | — | — | Although *ojúlówó* is a core adjective for genuineness/authenticity, the provided material does not clearly support a specific recurring multi-word construction built from it. | [CORE] |
| èké | (no common expression identified) | — | — | The supplied material identifies *èké* as a core item for falsehood/deceit, but does not provide a clearly supported multi-word construction centered on it. | [CORE] |
| òdodo | ṣe òdodo | ṣe òdodo | do what is right; act justly | Common in moral exhortation, preaching, and ethical discussion. It evaluates conduct in terms of justice or righteousness rather than factual truth. | [CORE] |
| òdodo | idájọ́ òdodo | idájọ́ òdodo | just judgment; fair judgment | Used in legal, political, and moral contexts for a fair decision or verdict. It is a stable expression in discussions of justice. | [CORE] |
| òdodo | ọlọ́run òdodo | ọlọ́run òdodo | righteous God; just God | Common in Christian religious discourse and preaching. It is a strongly established religious collocation. | [CORE] |
| òdodo | ènìyàn òdodo | ènìyàn òdodo | righteous person; just person | General expression for a morally upright person. Used in ethical and religious characterization. | [CORE] |
| òdodo | fẹ́ òdodo | fẹ́ òdodo | love justice; love righteousness | Used in moral and religious exhortation for valuing justice and uprightness. It is more abstract and ethical than case-specific. | [CORE] |
| òdodo | dúró fún òdodo | dúró fún òdodo | stand for justice | Used in political, moral, and activist discourse for supporting or defending justice. It is a productive but established public-ethical expression. | [CORE] |
| òdodo | ọba òdodo | ọba òdodo | righteous king; just ruler | Found in literary, political, and religious discourse for an upright ruler. Less central in everyday speech than broader *òdodo* expressions. | [MARGINAL] |
| òdodo | ọkùnrin òdodo | ọkùnrin òdodo | righteous man; upright man | Used in moral and religious characterization. It is understandable and attested, though less central than more general expressions like *ènìyàn òdodo*. | [MARGINAL] |
| òdodo | obìnrin òdodo | obìnrin òdodo | righteous woman; upright woman | Parallel to *ọkùnrin òdodo* in moral and religious characterization. It appears established but less central than the general person term. | [MARGINAL] |
| òdodo | ọ̀nà òdodo | ọ̀nà òdodo | righteous way; just path | Common in sermons, moral teaching, and literary usage. It is more figurative and register-specific than everyday legal or conversational expressions. | [MARGINAL] |
| òdodo | ní òdodo | ní òdodo | in righteousness; justly | Adverbial expression used in formal, literary, and religious discourse. It is less central in ordinary colloquial speech. | [MARGINAL] |
| òdodo | tẹ̀lé òdodo | tẹ̀lé òdodo | follow righteousness; pursue justice | Used in sermons and ethical instruction for pursuing a righteous path. It appears established but more specialized in register. | [MARGINAL] |
| olódodo | (no common expression identified) | — | — | *Olódodo* is itself a stable lexical item meaning “righteous/just person,” but the supplied material does not clearly support additional recurring multi-word constructions centered on it. | [CORE] |
| ìwà rere | (no common expression identified) | — | — | This is already a fixed multi-word lexical expression in P1, but the provided material does not establish further common constructions built from it. | [CORE] |
| ìwà búburú | (no common expression identified) | — | — | Likewise, this is already a fixed expression in P1, and no additional common construction is clearly supported in the supplied evidence. | [CORE] |
| àṣìṣe | (no common expression identified) | — | — | Although *àṣìṣe* is a core noun for error or mistake, the provided material does not identify a specific attested multi-word construction centered on it. | [CORE] |
| péye | (no common expression identified) | — | — | The material supports *péye* as a core lexical item for exactness/precision, but does not clearly provide a recurring multi-word construction built from it. | [CORE] |
| bá mu | (no common expression identified) | — | — | *Bá mu* is itself a verbal expression meaning “fit, match, correspond,” but no additional higher-level construction is clearly supported in the supplied material. | [CORE] |
