# CLCA Protocol v3.4 — F2a Derivational Table
# Language: Quechua (qu)

| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|-----------|--------------|-----------------|-------------------|-------------|-------------------|------------------|
| chiqaq (true, truthful) | 1.1 | chiqay | chiq-a-y (truth.root-VBLZ-INF) | to be true, to be real | Verbal form used to assert or verify the truth of something. Common in everyday verification contexts like "kayqa chiqanmi" (this is true). | [CORE] |
| chiqaq (true, truthful) | 1.2 | chiqanchay | chiq-a-ncha-y (truth.root-VBLZ-CAUS-INF) | to verify, to authenticate, to make true | Causative form meaning to establish truth or authenticate something. Used in administrative, legal, and verification contexts. | [CORE] |
| chiqaq (true, truthful) | 1.3 | chiqanchaq | chiq-a-ncha-q (truth.root-VBLZ-CAUS-AG) | verifier, authenticator, one who establishes truth | Agentive form referring to persons who verify or authenticate. Used for officials, witnesses, or validators. | [CORE] |
| chiqaq (true, truthful) | 1.4 | chiqanchana | chiq-a-ncha-na (truth.root-VBLZ-CAUS-NMLZ) | means of verification, instrument of authentication | Nominalizer indicating tools, methods, or procedures used for verification or authentication. | [CORE] |
| chiqaq (true, truthful) | 1.5 | chiqanchakuy | chiq-a-ncha-ku-y (truth.root-VBLZ-CAUS-REFL-INF) | to verify for oneself, to authenticate oneself | Reflexive causative used when someone verifies something for their own benefit or authenticates their own claims. | [CORE] |
| chiqaq (true, truthful) | 1.6 | chiqaqyay | chiq-aq-ya-y (truth.root-AG-INCH-INF) | to become true, to be verified, to turn out true | Inchoative verb indicating the process of becoming true or being confirmed. Used when something is in the process of verification. | [CORE] |
| chiqaq (true, truthful) | 1.7 | chiqaqsapa | chiq-aq-sapa (truth.root-AG-ABUND) | very truthful, full of truth, characterized by truthfulness | Abundance suffix indicating persons or things characterized by much truth. Used to describe truthful persons or authentic situations. | [CORE] |
| chiqaq (true, truthful) | 1.8 | chiqaqniyuq | chiq-aq-ni-yuq (truth.root-AG-POSS-POSSESSOR) | having truth, possessing authenticity | Possessor suffix indicating something that has or possesses truth. Used for claims, documents, or persons that have genuine truth. | [CORE] |
| llulla (lie, false) | 3.1 | llullakuy | llulla-ku-y (lie-REFL-INF) | to lie (intransitive), to tell lies | Reflexive form used for the act of lying or telling falsehoods. Common in everyday speech for describing dishonest speech acts. | [CORE] |
| llulla (lie, false) | 3.2 | llullachiy | llulla-chi-y (lie-CAUS-INF) | to cause to lie, to make someone lie, to deceive | Causative form meaning to cause someone to lie or to deceive. Used in contexts of manipulation or forcing dishonesty. | [CORE] |
| llulla (lie, false) | 3.3 | llullaq | llulla-q (lie-AG) | liar, one who lies | Agentive form referring to a person who habitually lies or is currently lying. Used as a character assessment or accusation. | [CORE] |
| llulla (lie, false) | 3.4 | llullasapa | llulla-sapa (lie-ABUND) | very deceitful, full of lies, characterized by lying | Abundance suffix indicating persons characterized by much lying or situations full of deception. Strong negative character assessment. | [CORE] |
| llulla (lie, false) | 3.5 | llullay | llulla-y (lie-INF) | to lie, to deceive (transitive) | Verbal form used when lying takes a direct object (to lie to someone, to deceive someone about something). | [CORE] |
| allin (good, well) | 4.1 | allinyay | allin-ya-y (good-INCH-INF) | to become good, to improve, to get better, to heal | Inchoative verb indicating process of becoming good or improving. Very common in contexts of healing, improvement, or moral development. | [CORE] |
| allin (good, well) | 4.2 | allinyachiy | allin-ya-chi-y (good-INCH-CAUS-INF) | to make good, to improve, to fix, to heal, to repair | Causative form used for making things better, repairing, healing, or improving situations. Common in medical, technical, and moral contexts. | [CORE] |
| allin (good, well) | 4.3 | allinyachiq | allin-ya-chi-q (good-INCH-CAUS-AG) | improver, healer, repairer, one who makes good | Agentive form referring to persons who improve, heal, or fix things. Used for healers, repairers, and moral reformers. | [CORE] |
| allin (good, well) | 4.4 | allinyachina | allin-ya-chi-na (good-INCH-CAUS-NMLZ) | means of improvement, remedy, cure, repair tool | Nominalizer indicating instruments or means. Refers to medicines, tools, or methods used for improvement or healing. | [CORE] |
| allin (good, well) | 4.5 | allinyachikuy | allin-ya-chi-ku-y (good-INCH-CAUS-REFL-INF) | to improve oneself, to get better (for oneself), to have something fixed for oneself | Reflexive causative used when someone improves themselves or has something improved for their own benefit. | [CORE] |
| allin (good, well) | 4.6 | allinsapa | allin-sapa (good-ABUND) | very good, full of goodness, excellent, highly virtuous | Abundance suffix indicating something characterized by much goodness. Used for highly virtuous persons or excellent quality items. | [CORE] |
| allin (good, well) | 4.7 | allinniyuq | allin-ni-yuq (good-POSS-POSSESSOR) | having goodness, possessing virtue, of good quality | Possessor suffix indicating something that has or possesses goodness. Used for persons of good character or things of good quality. | [CORE] |
| allin (good, well) | 4.8 | allinchakuy | allin-cha-ku-y (good-DIM-REFL-INF) | to make oneself presentable, to tidy oneself, to groom oneself | Reflexive diminutive with specialized meaning for personal grooming or making oneself look proper. Common in preparation contexts. | [CORE] |
| chanin (valid, legitimate, having value) | 6.1 | chaninchay | chanin-cha-y (value-CAUS-INF) | to validate, to give value to, to legitimize, to authorize | Causative form meaning to establish validity or confer legitimacy. Used in legal, administrative, and social contexts for authorization and validation. | [CORE] |
