# CLCA Protocol v3.2 — F5 Opposition Table
# Language: English (en)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|--------|--------|-----------------|-------------|---------------------|---------------|------------------|
| true | false | /truː/ vs. /fɔːls/ | "corresponding to facts" vs. "not corresponding to facts" | Primary lexical opposition for evaluating propositional content. These terms mark whether statements, beliefs, or claims correspond to actual facts or reality. | lexical | [CORE] |
| correct | incorrect | /kəˈrɛkt/ vs. /ˌɪnkəˈrɛkt/ | "conforming to standards/facts" vs. "not conforming to standards/facts" | Opposition marking conformity to established norms, rules, or facts. Spans epistemic (correct answer) and procedural (correct behavior) domains. | morphological (in- prefix negation) | [CORE] |
| right | wrong | /raɪt/ vs. /rɒŋ/ | "correct/proper/just" vs. "incorrect/improper/unjust" | Highly polysemous opposition spanning epistemic (right answer), moral (right action), and practical (right way) domains. Extremely frequent across all registers. | lexical | [CORE] |
| accurate | inaccurate | /ˈækjərət/ vs. /ɪnˈækjərət/ | "precise in detail" vs. "lacking precision" | Opposition emphasizing degree of precision and exactness in representations, measurements, or descriptions rather than simple truth/falsity. | morphological (in- prefix negation) | [CORE] |
| genuine | fake | /ˈdʒɛnjuɪn/ vs. /feɪk/ | "authentic" vs. "counterfeit" | Opposition distinguishing authentic objects or credentials from counterfeits or imitations. Common in commercial and verification contexts. | lexical | [CORE] |
| authentic | inauthentic | /ɔːˈθɛntɪk/ vs. /ˌɪnɔːˈθɛntɪk/ | "of undisputed origin" vs. "not genuine" | Opposition marking whether objects, documents, or experiences are of genuine origin versus copied or false. Prominent in art, cultural, and philosophical contexts. | morphological (in- prefix negation) | [CORE] |
| real | unreal | /rɪəl/ vs. /ʌnˈrɪəl/ | "actually existing" vs. "not existing/dreamlike" | Ontological opposition distinguishing actual existence from imagination, simulation, or appearance. Also used as slang intensifier ("unreal skills"). | morphological (un- prefix negation) | [CORE] |
| valid | invalid | /ˈvælɪd/ vs. /ɪnˈvælɪd/ | "logically sound/legally effective" vs. "logically flawed/legally ineffective" | Opposition marking logical soundness of arguments or legal force of documents. Operates across logical, legal, and technical domains with distinct senses. | morphological (in- prefix negation) | [CORE] |
| sound | unsound | /saʊnd/ vs. /ʌnˈsaʊnd/ | "well-founded" vs. "flawed" | Opposition evaluating whether reasoning, judgment, or arguments are well-founded and reliable versus flawed. Common in logical and evaluative contexts. | morphological (un- prefix negation) | [CORE] |
| reliable | unreliable | /rɪˈlaɪəbəl/ vs. /ˌʌnrɪˈlaɪəbəl/ | "consistently dependable" vs. "not dependable" | Opposition assessing whether sources, persons, or instruments can be consistently depended upon. Emphasizes track record and consistency. | morphological (un- prefix negation) | [CORE] |
| trustworthy | untrustworthy | /ˈtrʌstwɜːrði/ vs. /ʌnˈtrʌstwɜːrði/ | "deserving confidence" vs. "not deserving confidence" | Opposition evaluating whether persons, sources, or institutions merit confidence and belief. Emphasizes moral character and reliability. | morphological (un- prefix negation) | [CORE] |
| honest | dishonest | /ˈɒnɪst/ vs. /dɪsˈɒnɪst/ | "free from deceit" vs. "deceptive" | Opposition evaluating character and habitual truthfulness versus deception. Note: synthetic negation "dishonest" is standard; analytic "*not honest" is marked. | morphological (dis- prefix negation) | [CORE] |
| truthful | untruthful | /ˈtruːθfəl/ vs. /ʌnˈtruːθfəl/ | "habitually telling truth" vs. "habitually lying" | Opposition describing habitual truth-telling versus lying behavior. Emphasizes both accuracy and sincerity in representation. | morphological (un- prefix negation) | [CORE] |
| faithful | unfaithful | /ˈfeɪθfəl/ vs. /ʌnˈfeɪθfəl/ | "loyal/accurately corresponding" vs. "disloyal/inaccurate" | Opposition spanning both representational accuracy (faithful translation) and moral loyalty (faithful spouse). Dual semantic range across domains. | morphological (un- prefix negation) | [CORE] |
| true | untrue | /truː/ vs. /ʌnˈtruː/ | "corresponding to facts" vs. "not corresponding to facts" | Morphological negation of "true." Less harsh alternative to "false" in some contexts; "untrue" often implies error rather than deliberate deception. | morphological (un- prefix negation) | [CORE] |
| realistic | unrealistic | /ˌrɪəˈlɪstɪk/ vs. /ˌʌnrɪəˈlɪstɪk/ | "accurately representing reality/practically feasible" vs. "not feasible/inaccurate" | Opposition evaluating whether representations are accurate or plans are practically feasible. Common in criticism of expectations and depictions. | morphological (un- prefix negation) | [CORE] |
| genuine | counterfeit | /ˈdʒɛnjuɪn/ vs. /ˈkaʊntərfɪt/ | "authentic" vs. "fraudulent imitation" | Opposition distinguishing authentic items from fraudulent imitations, especially currency and documents. "Counterfeit" more formal and specific than "fake," often with legal implications. | lexical | [CORE] |
| authentic | fake | /ɔːˈθɛntɪk/ vs. /feɪk/ | "of genuine origin" vs. "counterfeit" | Opposition marking genuine versus counterfeit status. "Fake" is more informal than "counterfeit" and applies broadly to objects, credentials, and affected behavior. | lexical | [CORE] |
| real | fake | /rɪəl/ vs. /feɪk/ | "genuine/actually existing" vs. "counterfeit/simulated" | Opposition spanning both ontological reality (real vs. imaginary) and authenticity (real vs. counterfeit). Highly frequent in informal discourse. | lexical | [CORE] |
| true | bogus | /truː/ vs. /ˈbəʊɡəs/ | "genuine/factual" vs. "spurious/fraudulent" | Opposition marking genuine versus spurious status. "Bogus" is informal register, commonly used for dubious claims or fake credentials. | lexical | [CORE] |
| legitimate | illegitimate (implied) | /lɪˈdʒɪtɪmət/ vs. /ˌɪlɪˈdʒɪtɪmət/ | "conforming to law/rules" vs. "not conforming to law/rules" | Opposition assessing conformity to law, rules, or accepted standards. While "illegitimate" is not explicitly listed in P1, it is implied through usage patterns of "legitimate." | morphological (il- prefix negation, implied) | [CORE] |
