# CLCA Protocol v3.2 — F1 Vocabulary Table
# Language: Swahili (sw)

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|-----------------|-----------------|---------------------|-------------------|------------------|
| kweli | kweli | truth, truthfulness | true, truth, real, really, indeed | Used to affirm the accuracy or genuineness of statements and to express agreement with factual claims. Commonly appears in both everyday conversation and formal discourse to mark veracity. | [CORE] |
| ukweli | ukweli | u- (noun class prefix) + -kweli (truth root) | truth, reality, fact | Nominal form referring to the state or quality of being true. Frequently used in philosophical, legal, and everyday contexts when discussing what is factually accurate or real. | [CORE] |
| sahihi | sahihi | (from Arabic ṣaḥīḥ) correct, sound | correct, accurate, right, proper, authentic | Indicates correctness of information, accuracy of representations, or authenticity of documents. Widely used in educational, administrative, and everyday contexts to confirm accuracy. | [CORE] |
| uongo | uongo | u- (noun class prefix) + -ongo (lie/falsehood root) | lie, falsehood, untruth | Refers to deliberate falsehood or deception. Used in moral and everyday discourse to characterize statements or representations as false or deceptive. | [CORE] |
| -a kweli | -a kweli | of truth (associative construction) | true, genuine, real, authentic | Adjectival phrase modifying nouns to indicate genuineness or authenticity. Common in expressions like "mtu wa kweli" (genuine person) or "habari za kweli" (true news). | [CORE] |
| haki | haki | (from Arabic ḥaqq) right, justice, truth | right, justice, truth, entitlement, fairness | Used in legal, moral, and social contexts to refer to rights, justice, or what is morally correct. Frequently appears in discussions of fairness and legitimate claims. | [CORE] |
| sawa | sawa | equal, same, level | correct, right, okay, equal, same, appropriate | Indicates correctness, appropriateness, or agreement with a standard. Commonly used in everyday speech to confirm that something is right or acceptable. | [CORE] |
| halisi | halisi | (from Arabic ḫāliṣ) pure, genuine | genuine, authentic, real, pure, sincere | Emphasizes authenticity and genuineness of objects, persons, or qualities. Used to distinguish real from fake or to indicate sincerity. | [CORE] |
| -enye ukweli | -enye ukweli | having truth (possessive construction) | truthful, veracious, true | Describes persons or statements as possessing the quality of truthfulness. Used attributively to characterize reliability or veracity. | [CORE] |
