# CLCA Protocol v3.4 — F2b Constructions Table
# Language: Georgian (ka)

| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| სიმართლე (simart'le) "truth" | სიმართლე თქვა | simart'le t'qva | to tell the truth, to speak the truth | Standard expression for truthful speech. The verb თქვა (t'qva) "to say" combines with სიმართლე in accusative case. Very common in everyday and formal discourse. | [CORE] |
| სიმართლე (simart'le) "truth" | სიმართლე გამოთქვა | simart'le gamot'qva | to express the truth, to state the truth | More formal variant using the preverb გა- (ga-) with მო- (mo-) prefix on "say." Used in formal contexts and written discourse for expressing truth. | [CORE] |
| სიმართლე (simart'le) "truth" | სიმართლე ამბობს | simart'le ambobs | tells the truth, speaks the truth (habitual) | Uses the verb ამბობს (ambobs) "tells/says" for habitual truth-telling. Common in character descriptions. | [CORE] |
| ჭეშმარიტი (č'ešmarit'i) "true" | ჭეშმარიტი სიტყვა თქვა | č'ešmarit'i sit'q'va t'qva | to speak a true word, to tell the truth | Literally "to say a true word." More elevated or emphatic than simple სიმართლე თქვა. Used in formal or solemn contexts. | [CORE] |
| მართალი (mart'ali) "right, correct" | მართალს ამბობს | mart'als ambobs | tells what is right, speaks correctly | Uses mart'ali in dative case with "tells." Common expression for speaking correctly or truthfully. | [CORE] |
| ტყუილი (ṭq'uili) "lie" | ტყუილი თქვა | ṭq'uili t'qva | to tell a lie, to lie | Standard expression for lying. Parallel structure to სიმართლე თქვა. Very common in everyday speech. | [CORE] |
| ტყუილი (ṭq'uili) "lie" | ტყუილი ამბობს | ṭq'uili ambobs | tells lies (habitual) | Habitual aspect for characterizing someone as a liar. Common in character descriptions. | [CORE] |
| ტყუილი (ṭq'uili) "lie" | ტყუილი არ არის | ṭq'uili ar aris | it's not a lie, it's true | Negative existential construction affirming truth by denying falsehood. Common in defensive or emphatic affirmations. | [CORE] |
| ტყუილი (ṭq'uili) "lie" | ტყუილს ამბობს | ṭq'uils ambobs | tells lies (with dative case) | Alternative construction with ტყუილი in dative case. Functionally similar to ტყუილი ამბობს but with different case marking. | [CORE] |
| სიმართლე (simart'le) "truth" | სიმართლე გაარკვია | simart'le gaark'via | to find out the truth, to clarify the truth | Uses verb გაარკვია (gaark'via) "to clarify/find out." Common in investigative or inquiry contexts. | [CORE] |
