# CLCA Protocol v3.2 — F5 Opposition Table
# Language: Hebrew (he)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|--------|--------|-----------------|-------------|---------------------|---------------|------------------|
| אמת (emet) | שקר (sheker) | emet vs. sheker | truth vs. falsehood/lie | Primary lexical opposition in Hebrew truth domain. אמת denotes correspondence with reality or factual accuracy, while שקר denotes falsehood, deception, or non-correspondence with facts. This is the most fundamental and frequently attested opposition across all data. | lexical | [CORE] |
| אמיתי (amiti) | מזויף (mezuyaf) | amiti vs. mezuyaf | genuine/real vs. forged/fake | Opposition in authenticity domain. אמיתי indicates genuineness or authenticity of objects, persons, or statements, while מזויף indicates deliberate falsification or counterfeit status. | lexical | [CORE] |
| אמיתי (amiti) | לא אמיתי (lo amiti) | amiti vs. lo amiti | real/genuine vs. not real/fake | Morphological negation creating opposition between genuine and non-genuine. The construction לא אמיתי is explicitly attested in P2b data as a common expression for denying genuineness. | morphological | [CORE] |
| נכון (nakhon) | לא נכון (lo nakhon) | nakhon vs. lo nakhon | correct/right vs. not correct/wrong | Standard morphological negation for correctness. Both forms are extremely frequent in conversational Hebrew for confirming or denying factual accuracy. | morphological | [CORE] |
| זה אמת (ze emet) | זה שקר (ze sheker) | ze emet vs. ze sheker | this is truth vs. this is a lie | Constructional opposition using predicative structure. Both constructions are attested in P2b data as common assertions or denials of truthfulness. | constructional | [CORE] |
| אמת (emet) | כזב (kazav) | emet vs. kazav | truth vs. lie/falsehood | Biblical/literary lexical opposition. כזב is a synonym of שקר but restricted to elevated registers. The opposition appears in the fixed expression שקר וכזב "lies and falsehood" documented in P1b. | lexical | [MARGINAL] |
| יש בזה אמת (yesh baze emet) | אין בזה אמת (eyn baze emet) | yesh baze emet vs. eyn baze emet | there's truth in this vs. there's no truth in this | Constructional opposition using existential affirmation/negation. Both constructions are attested in P2b data for acknowledging or denying partial truth in claims. | constructional | [CORE] |
| אמין (amin) | לא אמין (lo amin) | amin vs. lo amin | reliable/trustworthy vs. unreliable/not trustworthy | Morphological negation in reliability domain. The construction לא אמין is attested in P2b data as a negative assessment of reliability. | morphological | [CORE] |
| צודק (tsodek) | לא צודק (lo tsodek) | tsodek vs. lo tsodek | right/correct vs. not right/wrong | Morphological negation for rightness/correctness. Both forms are extremely common in conversational Hebrew for agreement and disagreement. | morphological | [CORE] |
| אתה צודק (ata tsodek) | אתה לא צודק (ata lo tsodek) | ata tsodek vs. ata lo tsodek | you're right vs. you're not right | Constructional opposition in agreement/disagreement expressions. Both constructions are attested in P2b and P4b data as standard conversational patterns. | constructional | [CORE] |
| ודאי (vadai) | לא ודאי (lo vadai) | vadai vs. lo vadai | certain/sure vs. not certain/uncertain | Morphological negation for certainty. Both forms are attested in P2b data for expressing or denying epistemic certainty. | morphological | [CORE] |
| ברור (barur) | לא ברור (lo barur) | barur vs. lo barur | clear/obvious vs. not clear/unclear | Morphological negation for clarity. Both forms are extremely frequent in P2b data, used for asserting clarity or requesting clarification. | morphological | [CORE] |
| מדויק (meduyak) | לא מדויק (lo meduyak) | meduyak vs. lo meduyak | precise/accurate vs. not precise/inaccurate | Morphological negation for precision. The construction לא מדויק is attested in P2b data as a common expression for indicating lack of precision. | morphological | [CORE] |
| מוצדק (mutsдak) | לא מוצדק (lo mutsдak) | mutsдak vs. lo mutsдak | justified/warranted vs. not justified/unwarranted | Morphological negation for justification. The construction לא מוצדק is attested in P2b data for rejecting legitimacy or justification of actions or claims. | morphological | [CORE] |
| תקף (takef) | לא תקף (lo takef) | takef vs. lo takef | valid vs. not valid | Morphological negation for validity. Both forms are attested in P2b data, used in legal and logical contexts to assess validity. | morphological | [CORE] |
| מעשי (ma'asi) | לא מעשי (lo ma'asi) | ma'asi vs. lo ma'asi | practical vs. not practical/impractical | Morphological negation for practicality. The construction לא מעשי is attested in P2b data for rejecting practicality or feasibility. | morphological | [CORE] |
| מציאותי (metsi'uti) | לא מציאותי (lo metsi'uti) | metsi'uti vs. lo metsi'uti | realistic/real vs. not realistic/unrealistic | Morphological negation for realism. The construction לא מציאותי is attested in P2b data as a common expression for rejecting feasibility or realism. | morphological | [CORE] |
| אותנטי (otenti) | לא אותנטי (lo otenti) | otenti vs. lo otenti | authentic vs. not authentic/inauthentic | Morphological negation for authenticity. Both forms are attested in P2b data for asserting or denying authenticity. | morphological | [CORE] |
| מוכח (mukhaḥ) | לא מוכח (implied) | mukhaḥ vs. lo mukhaḥ | proven vs. not proven/unproven | Morphological negation for proven status. While לא מוכח is not explicitly attested in the data, the construction זה מוכח "this is proven" in P2b implies the availability of negation following standard Hebrew patterns. | morphological | [UNCERTAIN] |
| אמת או שקר (emet o sheker) | (binary opposition within construction) | emet o sheker | truth or falsehood | Constructional opposition presenting binary choice between truth and falsehood. This fixed expression is attested in P1 and P2b data, used in questions, games, and evaluative contexts. | constructional | [CORE] |
| להאמין (leha'amin) | לא להאמין (lo leha'amin) | leha'amin vs. lo leha'amin | to believe vs. not to believe | Morphological negation of belief verb. The construction להאמין או לא להאמין "believe it or not" is attested in P1b and P2b data as a discourse marker. | morphological | [CORE] |
| קשה להאמין (kashe leha'amin) | אי אפשר להאמין (i efshar leha'amin) | kashe leha'amin vs. i efshar leha'amin | hard to believe vs. impossible to believe | Scalar opposition in epistemic modality. Both constructions are attested in P2b and P4b data, with אי אפשר expressing stronger incredulity than קשה. | lexical | [CORE] |
| לומר את האמת (lomar et ha'emet) | לספר שקרים (lesaper shkarim) | lomar et ha'emet vs. lesaper shkarim | to tell the truth vs. to tell lies | Constructional opposition in speech act descriptions. Both light verb constructions are attested in P2b data as standard expressions for truthful versus deceptive speech. | constructional | [CORE] |
| לגלות את האמת (legalot et ha'emet) | להסתיר את האמת (lehasתir et ha'emet) | legalot et ha'emet vs. lehasתir et ha'emet | to reveal the truth vs. to hide the truth | Constructional opposition in metaphorical extensions. Both constructions are attested in P2b data, conceptualizing truth as an object that can be revealed or concealed. | constructional | [CORE] |
| אמונה עיוורת (emuna iveret) | אמונה תמימה (emuna temima) | emuna iveret vs. emuna temima | blind faith vs. simple/innocent faith | Lexical opposition between types of faith. אמונה עיוורת (attested in P1b and P2b) is pejorative, denoting uncritical belief, while אמונה תמימה (attested in P1b) can be positive (pure faith) or negative (naivety), creating a nuanced contrast. | lexical | [CORE] |
| צדק (tsedek) | חסד (ḥesed) | tsedek vs. ḥesed | justice vs. mercy/kindness | Lexical opposition in ethical domain. The pairing צדק וחסד "justice and mercy" is attested in P1b data as a traditional value pairing, representing tension between strict justice and compassion. | lexical | [MARGINAL] |
| אמת (emet) | שלום (shalom) | emet vs. shalom | truth vs. peace | Lexical opposition in ethical domain. The pairing אמת ושלום "truth and peace" is attested in P1b and P2b data as a traditional pairing used when discussing tension between truthfulness and social harmony. | lexical | [MARGINAL] |
| שקר לבן (sheker lavan) | שקר גמור (sheker gamur) | sheker lavan vs. sheker gamur | white lie vs. complete lie | Lexical opposition between types of lies. שקר לבן (attested in P1 and P1b) denotes minor or harmless lies, while שקר גמור (attested in P1b) denotes complete or serious falsehoods. | lexical | [CORE] |
| אמת מוחלטת (emet muḥletet) | אמת סובייקטיבית (emet subiyektivit) | emet muḥletet vs. emet subiyektivit | absolute truth vs. subjective truth | Lexical opposition between types of truth. Both constructions are attested in P1b data, representing philosophical distinction between universal/unconditional truth and perspective-relative truth. | lexical | [CORE] |
| יותר נכון (yoter nakhon) | הכי נכון (hakhi nakhon) | yoter nakhon vs. hakhi nakhon | more correct vs. most correct | Constructional opposition in degree modification. Both comparative and superlative constructions are attested in P2b and P4b data, representing scalar gradation of correctness. | constructional | [CORE] |
| באמת (be'emet) [affirmative] | לא באמת (lo be'emet) | be'emet vs. lo be'emet | really vs. not really | Morphological negation of adverbial expression. Both forms are attested in P2b data, with באמת functioning as emphatic affirmation and לא באמת as qualified negation or doubt. | morphological | [CORE] |
| באמת? (be'emet?) [question] | באמת שכן (be'emet sheken) | be'emet? vs. be'emet sheken | really? vs. really yes/indeed so | Constructional opposition between question and emphatic affirmation. Both constructions are attested in P2b data, representing different discourse functions of the same base form. | constructional | [CORE] |
| נכון? (nakhon?) [tag question] | נכון. (nakhon.) [affirmation] | nakhon? vs. nakhon. | right?/isn't it? vs. right/correct | Constructional opposition based on intonation/punctuation. The interrogative form (attested in P2b and P4b) seeks confirmation, while the declarative form affirms correctness. | constructional | [CORE] |
| ברור? (barur?) [question] | ברור. (barur.) [affirmation] | barur? vs. barur. | clear?/understood? vs. clear/obvious | Constructional opposition based on intonation/punctuation. The interrogative form (attested in P2b and P4b) checks comprehension, while the declarative form asserts clarity. | constructional | [CORE] |
| להיות כנה (lihyot kene) [infinitive] | בכנות (bikhnut) [adverbial] | lihyot kene vs. bikhnut | to be honest vs. honestly/in honesty | Constructional opposition between verbal and adverbial expressions of honesty. Both forms are attested in P2b data as discourse markers introducing frank statements, but with different syntactic functions. | constructional | [CORE] |
| אמת היסטורית (emet historit) | אמת מדעית (emet mada'it) | emet historit vs. emet mada'it | historical truth vs. scientific truth | Lexical opposition between domain-specific types of truth. Both constructions are attested in P1b data, representing different epistemological domains and methods of truth-establishment. | lexical | [CORE] |
| צדק חברתי (tsedek ḥevrati) | צדק משפטי (tsedek mishpati) | tsedek ḥevrati vs. tsedek mishpati | social justice vs. legal justice | Lexical opposition between types of justice. Both constructions are attested in P1b data, representing different domains of justice (distributive/social versus procedural/legal). | lexical | [CORE] |
| עד שקר (ed sheker) | עד מהימן (ed meheyman) | ed sheker vs. ed meheyman | false witness vs. credible witness | Lexical opposition in legal testimony domain. עד שקר is attested in P1 and P1b as a legal term for perjurer, while עד מהימן is attested in P2b as a term for trustworthy witness. | lexical | [CORE] |
| עדות שקר (edut sheker) | עדות אמת (edut emet) [implied] | edut sheker vs. edut emet | false testimony vs. true testimony | Lexical opposition in legal domain. עדות שקר is attested in P1 and P1b, while the construction להעיד עדות אמת "to give true testimony" is attested in P1b, implying the nominal form עדות אמת. | lexical | [CORE] |
| נאמן לעצמו (ne'eman le'atsmo) | נאמן לדבריו (ne'eman lidvarav) | ne'eman le'atsmo vs. ne'eman lidvarav | true to oneself vs. true to one's word | Lexical opposition between types of faithfulness. Both constructions are attested in P1b data, representing different objects of loyalty (internal authenticity versus external commitments). | lexical | [CORE] |
| חבר אמיתי (ḥaver amiti) | חבר לא אמיתי (ḥaver lo amiti) [implied] | ḥaver amiti vs. ḥaver lo amiti | true friend vs. not a true friend | Morphological negation in relationship domain. חבר אמיתי is attested in P2b data, and the negation follows standard Hebrew patterns for denying genuineness. | morphological | [CORE] |
| אהבה אמיתית (ahava amitit) | אהבה לא אמיתית (ahava lo amitit) [implied] | ahava amitit vs. ahava lo amitit | true love vs. not true love | Morphological negation in romantic domain. אהבה אמיתית is attested in P2b data, and the negation follows standard Hebrew patterns for denying genuineness. | morphological | [CORE] |
| מקור אמין (makor amin) | מקור לא אמין (makor lo amin) [implied] | makor amin vs. makor lo amin | reliable source vs. unreliable source | Morphological negation in information evaluation. מקור אמין is attested in P2b data, and the construction לא אמין is also attested, allowing combination with מקור. | morphological | [CORE] |
| כסף מזויף (kesef mezuyaf) | כסף אמיתי (kesef amiti) [implied] | kesef mezuyaf vs. kesef amiti | counterfeit money vs. genuine money | Lexical opposition in authenticity of currency. כסף מזויף is attested in P2b data as a specific term for fake currency, implying contrast with genuine currency. | lexical | [CORE] |
