| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| सत्य (*satya*) | सत्यं वद | satyaṃ vada | Speak the truth. | A fixed injunctive phrase from the Taittirīya Upaniṣad (1.11.1), widely cited in ethical and educational contexts as a foundational moral injunction. The construction *satyaṃ vada* (with *satya* in the accusative as the object of *vad-*) is one of the most widely attested ethical imperatives in Sanskrit literature. Functions as a complete imperative sentence and is quoted as a unit across philosophical, didactic, and popular discourse. The phrase appears in the *śikṣāvallī*'s instructions to the graduating student: *satyaṃ vada, dharmaṃ cara* ("Speak truth; walk in *dharma*"). | [CORE] |
| सत्य (*satya*) | सत्यं ब्रूहि | satyaṃ brūhi | Tell the truth; speak truly. | A near-synonym of *satyaṃ vada* using the root *brū-* (to speak, to say) rather than *vad-*; appears in legal and narrative contexts as an injunction to a witness or interlocutor to speak truthfully. The two constructions are functionally equivalent but *brūhi* is more common in direct address in legal and narrative contexts. | [CORE] |
| सत्य (*satya*) | सत्यं ब्रूयात् | satyaṃ brūyāt | One should speak the truth. | A fixed prescriptive phrase from Manusmṛti and related Dharmaśāstra literature, stating the duty of truthful speech in the optative mood. Often cited as the first half of a longer injunction qualified by conditions under which truth-telling may be overridden. The full verse (*satyaṃ brūyāt priyaṃ brūyāt, na brūyāt satyam apriyam*) is a well-known ethical maxim: "One should speak the truth; one should speak what is pleasant; one should not speak the truth if it is unpleasant." | [CORE] |
| सत्य (*satya*) | सत्यं ब्रूयात् प्रियं ब्रूयात् न ब्रूयात् सत्यमप्रियम् | satyaṃ brūyāt priyaṃ brūyāt na brūyāt satyam apriyam | One should speak the truth; one should speak what is pleasing; one should not speak truth that is unpleasant. | A fixed three-part injunctive sequence from Manusmṛti (4.138), widely cited in ethical discourse on the conditions and limits of truthful speech. The full sequence is quoted as a unit in discussions of the relationship between truth and kindness in speech. | [CORE] |
| सत्य (*satya*) | सत्यमेव जयते | satyam eva jayate | Truth alone conquers / Truth alone prevails. | A fixed phrase from the Muṇḍaka Upaniṣad (3.1.6), adopted as the national motto of India. The *eva* (emphatic particle, "alone, indeed") is integral to the construction and cannot be omitted without changing the meaning. Quoted as a complete sentence across philosophical, political, and rhetorical contexts; functions as a maxim asserting the ultimate triumph of truth. | [CORE] |
| सत्य (*satya*) | सत्ये प्रतिष्ठितः | satye pratiṣṭhitaḥ | Established in truth / grounded in truth. | A periphrastic construction using the locative of *satya* with the past passive participle *pratiṣṭhita* (established, grounded, from *prati-* + root *sthā-*), used in epic and Purāṇic literature to characterize a person whose conduct and character are firmly grounded in truthfulness. Appears in Vedāntic and epic literature as a characterization of the sage or the virtuous person. The locative + *pratiṣṭhita* pattern is productive across ethical vocabulary. | [CORE] |
| सत्य (*satya*) | सत्यात् न प्रचलति | satyāt na pracalati | Does not deviate from truth / does not swerve from truth. | A periphrastic construction using the ablative of *satya* with the negative particle *na* and the verb *pracalati* (deviates, moves away from, from *pra-* + root *cal-*), used in epic literature to characterize a person of unwavering truthfulness. The ablative + *na pracalati* pattern is a standard way of expressing steadfast adherence to a value. | [CORE] |
| सत्य (*satya*) | सत्यात् न चलति / सत्यात् न विचलति | satyāt na calati / satyāt na vicalati | Does not deviate from truth; does not swerve from truth. | A construction using the ablative *satyāt* (from truth) with verbs of motion (*cal-*, *vical-*) and negation, expressing steadfast adherence to truth; common in epic literature as a characterization of virtuous heroes. | [CORE] |
| सत्य (*satya*) | सत्यं परं धर्मः | satyaṃ paraṃ dharmaḥ | Truth is the highest dharma. | A fixed maxim attested in the Mahābhārata (e.g., Ādiparvan) and widely cited in ethical discourse, asserting the primacy of truthfulness among all dharmic obligations. Functions as a complete nominal sentence and is quoted as a unit. | [CORE] |
