| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|---|---|---|---|---|
| 1 | სიმართლე გაირკვა. | *simartle gairkva* | clearly supported | “The truth came out / became clear.” |
| 1 | სიმართლე დადგინდა. | *simartle dadginda* | clearly supported | “The truth was established.” |
| 1 | ჭეშმარიტება დადგინდა. | *č’ešmarit’eba dadginda* | less directly supported than **ჭეშმარიტების დადგენა** | “The truth was established.” **Epistemic note:** less directly supported than **ჭეშმარიტების დადგენა**; the noun-phrase construction is better supported. |
| 2 | ნამდვილობის დადგენა | *namdvilobis dadgena* | strongly supported | “establishing authenticity” |
| 2 | ნამდვილობის შემოწმება | *namdvilobis shemots’meba* | strongly supported | “checking authenticity” |
| 2 | დოკუმენტის ნამდვილობა დადგინდა. | *dok’ument’is namdviloba dadginda* | natural | “The document’s authenticity was established.” |
| 3 | სისწორის შემოწმება | *sists’oris shemots’meba* | supported | “checking correctness” |
| 3 | სიზუსტის შემოწმება | *sizust’is shemots’meba* | supported | “checking accuracy” |
| 4 | ეს სიმართლეს არ შეესაბამება. | *es simartles ar sheesabameba* | supported | “This does not correspond to the truth.” |
| 4 | ეს დოკუმენტი ყალბია. | *es dok’ument’i q’albia* | supported | “This document is fake.” |
| 5 | სიმართლის დადგენა | *simartlis dadgena* | clearly supported | “establishing the truth” |
| 5 | ჭეშმარიტების დადგენა | *č’ešmarit’ebis dadgena* | clearly supported | “determination / establishment of truth” |
| 5 | ნამდვილობის დადგენა | *namdvilobis dadgena* | clearly supported | “establishing authenticity” |
| 6 | გაამართლა მოლოდინი. | *gaamartla molodini* | clearly supported | “It justified / lived up to expectations.” |
| 6 | გამართლება | *gamartleba* | clearly supported | “justification; acquittal; vindication” |
| 6 | გამართლება აქვს. | *gamartleba akvs* | clearly supported | “It has justification / is justified.” |
| 6 | გამართლება არ აქვს. | *gamartleba ar akvs* | clearly supported | “There is no justification / it is inexcusable.” |
| 7 | დამაჯერებელი არგუმენტი | *damajerebeli argument’i* | supported | “convincing argument” |
| 7 | დამაჯერებელი ახსნა | *damajerebeli akhsna* | supported | “convincing explanation” |
| 7 | დამაჯერებელი მტკიცებულება | *damajerebeli mtkitsebuleba* | supported | “convincing evidence” |
| 8 | სიმართლე გაირკვა. | *simartle gairkva* | supported | “The truth came out.” |
| 8 | სიმართლის ძიება | *simartlis dzieba* | supported | “search for truth” |
| 8 | ჭეშმარიტების ძიება | *č’ešmarit’ebis dzieba* | supported | “search for truth” |
| 8 | ნამდვილობის შემოწმება | *namdvilobis shemots’meba* | supported | “checking authenticity” |
| 8 | სისწორის შემოწმება | *sists’oris shemots’meba* | supported | “checking correctness” |
| 8 | სიზუსტის შემოწმება | *sizust’is shemots’meba* | supported | “checking accuracy” |
| 9 | No clearly supported common expression identified. |  | NO COMMON EXPRESSION EXISTS | The context is rich in expressions for: being true/correct/genuine, establishing truth, checking authenticity, justifying something, but it does not provide a clear common pattern specifically for **remaining** true, correct, or genuine over time. |
| 10 | სიმართლე გაირკვა | *simartle gairkva* | best supported dynamic expression | **სიმართლე**: revelation / establishment |
| 10 | სიმართლე დადგინდა | *simartle dadginda* | best supported dynamic expression | **სიმართლე**: revelation / establishment |
| 10 | სიმართლის დადგენა | *simartlis dadgena* | best supported dynamic expression | **სიმართლე**: revelation / establishment |
| 10 | სიმართლის ძიება | *simartlis dzieba* | best supported dynamic expression | **სიმართლე**: revelation / establishment |
| 10 | ჭეშმარიტების დადგენა | *č’ešmarit’ebis dadgena* | best supported dynamic expression | **ჭეშმარიტება**: more elevated; dynamic use mainly through searching for or establishing truth |
| 10 | ჭეშმარიტების ძიება | *č’ešmarit’ebis dzieba* | best supported dynamic expression | **ჭეშმარიტება**: more elevated; dynamic use mainly through searching for or establishing truth |
| 10 | ჭეშმარიტების თქმა | *č’ešmarit’ebis tkma* | best supported dynamic expression | **ჭეშმარიტება**: more elevated; dynamic use mainly through searching for or establishing truth |
| 10 | ნამდვილობის დადგენა | *namdvilobis dadgena* | best supported dynamic expression | **ნამდვილი / ნამდვილობა**: authenticity mainly verified or established |
| 10 | ნამდვილობის შემოწმება | *namdvilobis shemots’meba* | best supported dynamic expression | **ნამდვილი / ნამდვილობა**: authenticity mainly verified or established |
| 10 | სისწორის შემოწმება | *sists’oris shemots’meba* | best supported dynamic expression | **სწორი / სისწორე**: correctness mainly treated as something to check |
| 10 | სიზუსტის შემოწმება | *sizust’is shemots’meba* | best supported dynamic expression | **ზუსტი / სიზუსტე**: accuracy treated procedurally |
| 10 | სიზუსტის დაცვა | *sizust’is datsva* | best supported dynamic expression | **ზუსტი / სიზუსტე**: accuracy treated procedurally |
| 10 | გაამართლა | *gaamartla* | best supported dynamic expression | **მართებული / გამართლებული / გამართლება**: justification, vindication, proving right |
| 10 | გამართლება აქვს / არ აქვს | *gamartleba akvs / ar akvs* | best supported dynamic expression | **მართებული / გამართლებული / გამართლება**: justification, vindication, proving right |
| 10 | NO COMMON EXPRESSION EXISTS |  | NO COMMON EXPRESSION EXISTS | **ყალბი / სიყალბე**: no supported change-of-state pattern in the supplied material |
