# F1 — VOCABULARY TABLE: Korean Truth Vocabulary

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|-----------------|-----------------|---------------------|-------------------|------------------|
| 진실 | jinsil | true + reality (真實) | truth, truthfulness, veracity | Used to refer to factual accuracy or the true state of affairs. Commonly appears in both everyday and formal contexts when discussing whether statements correspond to reality. Often contrasted with lies or deception. | [CORE] |
| 거짓 | geojit | false, fake | lie, falsehood, untruth | Refers to statements or representations that do not correspond to reality. Used broadly in everyday speech and writing to describe deceptive or inaccurate information. Can function as a noun or modifier. | [CORE] |
| 사실 | sasil | matter + reality (事實) | fact, reality, truth | Denotes objective facts or actual circumstances. Frequently used in formal and informal contexts to distinguish what actually happened from opinions or false claims. Often appears in phrases like "사실은" (in fact). | [CORE] |
| 진짜 | jinjja | true + thing | real, genuine, authentic | Colloquial term for genuineness or authenticity, contrasting with fake or imitation. Used extensively in everyday speech to verify or emphasize the reality of something. Can also function as an intensifier. | [CORE] |
| 가짜 | gajja | false + thing | fake, counterfeit, imitation | Common term for something that is not genuine or authentic. Used in everyday contexts to describe counterfeit goods, false identities, or deceptive appearances. Direct opposite of 진짜. | [CORE] |
| 정확하다 | jeonghwakhada | correct + exact + to be (正確) | accurate, precise, exact | Describes precision and correctness in statements, measurements, or representations. Commonly used in technical, academic, and everyday contexts when evaluating the degree of correspondence to a standard or reality. | [CORE] |
| 올바르다 | olbareuda | upright + correct + to be | right, correct, proper | Indicates moral or procedural correctness. Used to evaluate conduct, decisions, or methods according to ethical or normative standards. Carries connotations of righteousness and propriety. | [CORE] |
| 틀리다 | teullida | to be wrong, to be mistaken | wrong, incorrect, mistaken | Indicates factual incorrectness or error. Commonly used in educational contexts and everyday speech to point out mistakes or inaccuracies. Distinguished from 다르다 (different) in careful usage. | [CORE] |
| 맞다 | matda | to be correct, to fit | right, correct, true | Affirms correctness or accuracy of statements, answers, or judgments. Widely used in everyday conversation and formal contexts. Also means "to fit" or "to match" in physical contexts. | [CORE] |
| 진정하다 | jinjeonghada | true + genuine + to be (眞正) | genuine, sincere, authentic | Emphasizes authenticity and sincerity, particularly regarding emotions, intentions, or identity. More formal than 진짜, often used in written or elevated speech contexts. | [CORE] |
| 정직하다 | jeongjikada | upright + straight + to be (正直) | honest, truthful, upright | Describes moral character related to truthfulness and integrity. Used to evaluate persons or conduct according to standards of honesty. Common in both moral discourse and everyday character assessment. | [CORE] |
| 거짓말 | geojinmal | false + speech | lie, falsehood | Specifically refers to spoken or written lies. The most common everyday term for deliberate false statements. Used across all registers from casual conversation to formal discourse. | [CORE] |
| 진리 | jilli | true + principle (眞理) | truth (philosophical/religious), verity | Refers to fundamental or universal truths, particularly in philosophical, religious, or scientific contexts. More abstract and elevated than 진실, often used when discussing principles or ultimate reality. | [CORE] |
| 참 | cham | true, real | true, real, genuine | Native Korean word for truth or genuineness, often used in compounds and as a modifier. Can function as an intensifier meaning "very" or "really" in colloquial speech. | [CORE] |
| 거짓되다 | geojitdoeda | false + to become | to be false, to be deceitful | Describes something as being false or deceptive in nature. More formal than simple 거짓, often used in written or elevated contexts to characterize statements or representations as fundamentally untrue. | [CORE] |
| 신뢰하다 | silloehada | trust + rely + to do (信賴) | to trust, to rely on, to have confidence in | Expresses trust or confidence in the reliability of persons, statements, or institutions. Common in formal and informal contexts when evaluating credibility or dependability. | [CORE] |
| 믿다 | mitda | to believe, to trust | to believe, to trust, to have faith in | Basic verb for belief or trust, used across all contexts from religious faith to everyday credibility judgments. Can refer to both epistemic belief and interpersonal trust. | [CORE] |
| 확실하다 | hwaksilhada | certain + real + to be (確實) | certain, sure, definite | Indicates certainty or definiteness about facts or situations. Used when expressing high confidence in the truth or reliability of information. Common in both formal and informal discourse. | [CORE] |
