| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|---|---|---|---|---|---|---|
| 진짜 (jinjja) | 가짜 (gajja) | jinjja / gajja | genuine, real / fake, counterfeit | These two items are explicitly documented as direct contrasts throughout the context, appearing together in fixed paired constructions (진짜인지 가짜인지 모르다; 가짜를 진짜로 속이다; 진짜와 가짜를 구별하다) and assigned to the same semantic group (P3 Group 3). The morphological parallel — 진 (眞, true) versus 가 (假, false/temporary) with the shared suffix -짜 — reinforces the opposition at both the lexical and morphological levels. P3 identifies these as the most colloquial pair in the authenticity-of-objects group. | lexical | [CORE] |
| 진실 (jinsil) | 거짓 (geojit) | jinsil / geojit | truth, truthfulness / falsehood, lie, untruth | Explicitly documented as contrasting items in P1 (거짓 contrasts with 진실 and 사실) and in the fixed collocations 진실과 거짓을 가리다 (to distinguish truth from falsehood), 진실과 거짓 사이 (between truth and falsehood), 거짓과 진실을 구별하다 (to distinguish falsehood from truth), and the reverse-order variant 거짓과 진실을 구분하다. P2b documents both orderings as attested. The two items occupy opposite poles of the truth-falsehood axis in everyday and formal registers. P3 identifies 진실 and 거짓 as the positive and negative poles of the truth-evaluation axis. P1 notes that 진실 "appears in moral, legal, and everyday contexts, often in opposition to 거짓." | lexical | [CORE] |
| 진실 (jinsil) | 거짓말 (geojitmal) | jinsil / geojitmal | truth / lie | P3 places 진실 as the positive pole contrasted with 거짓말 in everyday moral discourse about speech acts. The construction 진실을 말하다 ("to tell the truth") is the direct counterpart to 거짓말하다 ("to lie"), both documented in P2b and P2a respectively. | lexical | [CORE] |
| 맞다 (matda) | 틀리다 (teullida) | matda / teullida | to be right, correct / to be wrong, incorrect, mistaken | Explicitly documented as contrasting items in P1 (틀리다 contrasts with 맞다) and in fixed paired constructions (맞는지 틀린지 모르다; 맞고 틀리고를 떠나서). Both items are assigned to P3 Group 10 as natural contrasts within the precision-and-correctness domain. | lexical | [CORE] |
| 옳다 (olta) | 그르다 (geureuda) | olta / geureuda | to be right, correct, just / to be wrong, incorrect, improper | P1 explicitly identifies 그르다 as the direct antonym of 옳다 and notes the fixed expression 옳고 그름 (right and wrong). P2a and P2b document the nominalized pair 옳음 and 그름 and the collocations 옳고 그름을 가리다 and 옳고 그름을 따지다. P2b (items 11.1 and 11.2) and P4a attest 옳고 그름 as a fixed collocation. P3 (Group 11) documents these as a matched antonym pair. | lexical | [CORE] |
| 옳다 (olta) | 틀리다 (teullida) | olta / teullida | to be right / to be wrong (in everyday factual contexts) | P3 (Group 11) notes that 틀리다 has "largely displaced" 그르다 in factual-incorrectness contexts in contemporary everyday Korean, making 옳다 and 틀리다 a functional pair in everyday speech even though they are not morphologically related antonyms. P2b (item 13.1) documents 틀린 게 없다 ("there is nothing wrong") as the everyday negation of correctness. | lexical | [CORE] |
| 사실이다 (sasil-ida) | 사실이 아니다 (sasil-i anida) | sasil-ida / sasil-i anida | it is a fact, that is true / it is not a fact, that is not the case | Documented in P2b and P4a as the standard positive and negative copular predication pair for factual assertion and denial. P4b explicitly notes that the negative form is as productive as the positive and that both are ubiquitous across all registers. P4b notes that 사실이 아니다 is "the standard and neutral construction for denying factual status" and is "preferred in formal corrections and public statements over the more marked 거짓이다." P4a identifies 아니다 as the negative copula used with nominal predicates. | constructional | [CORE] |
| 사실이 아니다 (sasil-i anida) | 거짓이다 (geojit-ida) | sasil-i anida / geojit-ida | it is not a fact (neutral denial) / it is a falsehood (marked assertion) | P4b (Construction 2) notes that 거짓이다 is "attested as a more marked alternative" to 사실이 아니다 in denial contexts, with 사실이 아니다 preferred for neutral correction and 거짓이다 carrying a stronger evaluative charge. This is a constructional contrast in pragmatic register rather than in truth-conditional content. | constructional | [CORE] |
| 사실 (sasil) | 허위 (heowi) / 허위사실 (heowi sasil) | sasil / heowi, heowi sasil | fact / falsehood; false fact | P3 identifies 사실 and 허위 as the primary poles of the factual-status assertion group, noting that 허위사실 is explicitly formed by combining 허위 with 사실 to denote a claim presented as factual but false. The construction 사실이 아니다 ("it is not a fact") and 허위로 밝혀지다 ("to be revealed as false") are documented as contrasting constructions in P2b. | lexical | [CORE] |
| 근거가 있다 (geungeo itda) | 근거가 없다 (geungeo eopda) | geungeo itda / geungeo eopda | to be grounded, to have a basis / to be groundless, to lack basis | Documented in P2a, P2b, P3, and P4a as the standard positive and negative evaluative construction for evidential groundedness. P4b notes that the 있다/없다 pattern is the primary evaluative frame for this class of abstract quality nouns and that -하다 attachment is not available as an alternative. | constructional | [CORE] |
| 신빙성이 있다 (sinbyeongseong-i itda) | 신빙성이 없다 (sinbyeongseong-i eopda) | sinbyeongseong-i itda / sinbyeongseong-i eopda | to be credible, to have credibility / to lack credibility, to be implausible | Documented in P1, P2a, P2b, P4a, and P4b as the standard positive and negative evaluative construction for credibility assessment. P4a notes that this is the primary predication strategy for 성-nominalized quality nouns in the truth domain because these forms do not take 하다 as a predicative suffix. P4b confirms that the 있다/없다 frame is the only available predicative construction for 신빙성; no -하다 form exists. The pair is extremely common in legal and investigative contexts. | constructional | [CORE] |
| 진정성이 있다 (jinjeonseong-i itda) | 진정성이 없다 (jinjeonseong-i eopda) | jinjeonseong-i itda / jinjeonseong-i eopda | to be authentic, to have genuineness / to lack authenticity, to be inauthentic | Documented in P1, P2a, and P2b as the standard positive and negative evaluative construction for inner-state authenticity. Both forms are listed as [CORE] in P2a and appear in P3 Group 5 as the defining predicative constructions for 진정성. P2b (items 7.4 and 8.1) and P4a (Construction 8) document these as the standard affirmative and negative predication pair. P2a (18.2) documents 진정성 없는 as a prenominal modifier (진정성 없는 사과, an insincere apology), parallel to 진정성 있는 사과 (a sincere apology). | constructional | [CORE] |
| 타당성이 있다 (tadangseong-i itda) | 타당성이 없다 (tadangseong-i eopda) | tadangseong-i itda / tadangseong-i eopda | to be valid, to have grounds / to be invalid, to lack grounds | P2b documents this pair as standard predicative collocations for 타당성. The structure is parallel to the 신빙성이 있다/없다 pair, using the same 있다/없다 existential frame to treat validity as a binary possession. | constructional | [CORE] |
